date,added,ratings,reviews,to-read
2022-08-16,19,1,0,14
2022-08-17,9,2,0,6
2022-08-18,11,2,0,9
2022-08-19,12,0,0,10
2022-08-20,12,1,0,7
2022-08-21,12,1,0,7
2022-08-22,7,2,0,3
2022-08-23,16,2,0,13
2022-08-24,11,0,0,8
2022-08-25,11,0,0,11
2022-08-26,11,-1,0,7
2022-08-27,9,1,0,6
2022-08-28,19,3,0,12
2022-08-29,11,1,0,7
2022-08-30,7,-2,0,5
2022-08-31,11,1,0,10
2022-09-01,5,1,0,4
2022-09-02,11,1,0,8
2022-09-03,11,2,0,7
2022-09-04,8,2,0,3
2022-09-05,11,0,0,8
2022-09-06,7,0,0,6
2022-09-07,11,0,0,10
2022-09-08,8,0,0,4
2022-09-09,14,-1,0,10
2022-09-10,4,2,0,3
2022-09-11,5,0,0,3
2022-09-12,18,3,0,13
2022-09-13,12,3,0,8
2022-09-14,11,2,1,10
2022-09-15,13,0,0,8
2022-09-16,10,1,1,8
2022-09-17,7,0,0,6
2022-09-18,14,1,0,11
2022-09-19,7,2,1,5
2022-09-20,12,4,0,9
2022-09-21,12,2,0,8
2022-09-22,10,3,0,6
2022-09-23,9,1,0,5
2022-09-24,6,1,0,2
2022-09-25,13,1,0,10
2022-09-26,7,3,0,4
2022-09-27,11,1,0,6
2022-09-28,12,0,0,8
2022-09-29,8,0,0,7
2022-09-30,12,5,0,9
2022-10-01,9,2,0,5
2022-10-02,8,1,0,6
2022-10-03,11,1,0,10
2022-10-04,8,0,0,8
2022-10-05,14,1,0,9
2022-10-06,13,1,0,8
2022-10-07,7,1,1,6
2022-10-08,7,0,0,7
2022-10-09,13,0,0,10
2022-10-10,16,2,0,13
2022-10-11,6,1,0,2
2022-10-12,18,5,0,13
2022-10-13,15,1,0,15
2022-10-14,9,1,0,8
2022-10-15,10,0,0,7
2022-10-16,14,1,0,13
2022-10-17,16,1,0,14
2022-10-18,15,2,0,12
2022-10-19,7,0,0,5
2022-10-20,9,2,0,7
2022-10-21,9,1,0,8
2022-10-22,15,0,0,13
2022-10-23,11,0,0,6
2022-10-24,16,2,0,12
2022-10-25,17,1,0,11
2022-10-26,16,1,0,14
2022-10-27,12,1,0,9
2022-10-28,8,1,0,6
2022-10-29,13,1,0,12
2022-10-30,12,3,0,8
2022-10-31,10,1,0,6
2022-11-01,13,0,0,6
2022-11-02,12,1,0,12
2022-11-03,5,0,0,5
2022-11-04,17,2,0,12
2022-11-05,10,1,0,7
2022-11-06,5,1,0,4
2022-11-07,7,0,0,6
2022-11-08,15,3,0,8
2022-11-09,8,0,0,5
2022-11-10,9,2,0,7
2022-11-11,4,1,0,3
2022-11-12,6,1,0,3
2022-11-13,9,1,0,6
2022-11-14,8,0,0,4
2022-11-15,8,2,1,6
2022-11-16,14,4,0,9
2022-11-17,7,0,0,6
2022-11-18,10,0,0,6
2022-11-19,8,0,0,5
2022-11-20,12,5,0,6
2022-11-21,18,1,0,15
2022-11-22,12,2,0,10
2022-11-23,12,3,0,8
2022-11-24,7,-1,0,7
2022-11-25,15,1,0,14
2022-11-26,12,2,0,9
2022-11-27,11,0,0,9
2022-11-28,13,3,0,10
2022-11-29,11,1,0,8
2022-11-30,14,3,0,8
2022-12-01,11,2,0,8
2022-12-02,11,1,0,6
2022-12-03,13,-1,0,12
2022-12-04,10,3,0,7
2022-12-05,15,6,0,8
2022-12-06,13,2,0,11
2022-12-07,12,2,0,11
2022-12-08,7,1,0,5
2022-12-09,12,0,0,12
2022-12-10,16,1,0,11
2022-12-11,9,-1,0,8
2022-12-12,8,0,0,8
2022-12-13,12,1,0,11
2022-12-14,22,5,1,11
2022-12-15,9,2,0,4
2022-12-16,12,4,1,7
2022-12-17,12,3,0,8
2022-12-18,18,2,0,13
2022-12-19,9,3,0,8
2022-12-20,14,3,0,11
2022-12-21,13,0,0,11
2022-12-22,10,2,0,7
2022-12-23,17,1,0,11
2022-12-24,8,2,0,4
2022-12-25,13,-1,1,10
2022-12-26,12,-1,0,11
2022-12-27,11,0,0,7
2022-12-28,22,5,1,15
2022-12-29,16,1,0,14
2022-12-30,18,1,0,9
2022-12-31,16,2,0,13
2023-01-01,22,1,0,15
2023-01-02,25,5,1,15
2023-01-03,22,7,0,13
2023-01-04,11,4,0,6
2023-01-05,24,4,1,14
2023-01-06,16,5,0,8
2023-01-07,4,3,1,4
2023-01-08,13,5,0,5
2023-01-09,17,2,0,12
2023-01-10,16,3,0,11
2023-01-11,16,0,0,11
2023-01-12,10,1,0,7
2023-01-13,8,3,0,5
2023-01-14,12,1,0,7
2023-01-15,9,1,0,7
2023-01-16,16,0,0,11
2023-01-17,7,1,0,6
2023-01-18,18,4,1,9
2023-01-19,15,1,0,14
2023-01-20,16,1,0,15
2023-01-21,15,1,0,13
2023-01-22,16,3,0,12
2023-01-23,17,2,0,13
2023-01-24,11,1,0,8
2023-01-25,18,1,0,14
2023-01-26,9,2,0,5
2023-01-27,17,3,0,9
2023-01-28,19,1,0,18
2023-01-29,14,0,0,10
2023-01-30,8,1,0,5
2023-01-31,11,0,0,10
2023-02-01,11,3,0,6
