date,added,ratings,reviews,to-read
2022-08-16,14,1,0,14
2022-08-17,6,0,0,6
2022-08-18,9,1,0,6
2022-08-19,10,1,0,7
2022-08-20,5,0,0,4
2022-08-21,10,0,0,9
2022-08-22,8,1,0,8
2022-08-23,13,1,0,10
2022-08-24,9,3,0,7
2022-08-25,10,0,0,8
2022-08-26,7,2,0,7
2022-08-27,12,0,0,10
2022-08-28,12,1,0,8
2022-08-29,8,1,0,5
2022-08-30,14,2,0,12
2022-08-31,11,3,0,7
2022-09-01,12,1,1,9
2022-09-02,9,2,0,6
2022-09-03,11,-2,0,10
2022-09-04,8,3,0,6
2022-09-05,13,3,0,10
2022-09-06,5,0,0,5
2022-09-07,5,0,0,5
2022-09-08,9,0,0,8
2022-09-09,5,0,0,5
2022-09-10,11,1,0,11
2022-09-11,8,1,0,6
2022-09-12,4,1,0,2
2022-09-13,8,0,0,6
2022-09-14,12,0,0,11
2022-09-15,9,1,0,5
2022-09-16,9,1,0,8
2022-09-17,4,1,0,3
2022-09-18,4,1,1,3
2022-09-19,16,-1,0,11
2022-09-20,12,5,0,9
2022-09-21,7,1,0,6
2022-09-22,12,1,0,11
2022-09-23,11,-1,0,10
2022-09-24,12,1,0,9
2022-09-25,9,0,0,8
2022-09-26,16,0,0,15
2022-09-27,12,0,0,9
2022-09-28,9,0,0,9
2022-09-29,12,2,0,8
2022-09-30,13,1,0,11
2022-10-01,10,1,0,9
2022-10-02,11,2,0,8
2022-10-03,7,2,1,5
2022-10-04,10,0,0,10
2022-10-05,10,-1,0,9
2022-10-06,12,4,0,8
2022-10-07,10,0,0,9
2022-10-08,8,-2,0,8
2022-10-09,14,0,0,12
2022-10-10,8,2,0,7
2022-10-11,6,1,0,5
2022-10-12,8,0,0,7
2022-10-13,8,1,0,7
2022-10-14,7,1,0,4
2022-10-15,13,2,0,7
2022-10-16,13,0,0,12
2022-10-17,8,0,0,8
2022-10-18,15,-1,0,14
2022-10-19,15,1,0,9
2022-10-20,10,1,0,9
2022-10-21,13,0,0,10
2022-10-22,7,0,0,7
2022-10-23,7,3,1,4
2022-10-24,7,0,0,6
2022-10-25,3,2,0,3
2022-10-26,18,0,0,16
2022-10-27,4,0,0,4
2022-10-28,9,-1,0,8
2022-10-29,6,0,0,4
2022-10-30,6,2,0,5
2022-10-31,6,0,0,2
2022-11-01,13,1,0,9
2022-11-02,7,0,1,4
2022-11-03,5,1,0,4
2022-11-04,13,-1,0,11
2022-11-05,10,2,0,7
2022-11-06,11,2,0,9
2022-11-07,9,1,0,7
2022-11-08,11,2,0,6
2022-11-09,11,0,0,7
2022-11-10,8,4,0,7
2022-11-11,9,-1,0,9
2022-11-12,8,1,0,7
2022-11-13,9,1,0,7
2022-11-14,9,0,0,7
2022-11-15,14,1,0,12
2022-11-16,9,3,0,7
2022-11-17,7,1,0,4
2022-11-18,14,2,0,13
2022-11-19,12,0,0,12
2022-11-20,9,1,0,7
2022-11-21,3,0,0,3
2022-11-22,11,2,0,7
2022-11-23,9,1,0,7
2022-11-24,10,1,0,7
2022-11-25,8,2,0,6
2022-11-26,8,0,0,5
2022-11-27,12,0,0,11
2022-11-28,6,0,0,5
2022-11-29,9,0,0,9
2022-11-30,13,0,0,10
2022-12-01,16,3,0,12
2022-12-02,13,1,0,7
2022-12-03,9,-1,0,9
2022-12-04,9,0,0,9
2022-12-05,8,1,0,4
2022-12-06,13,1,0,12
2022-12-07,11,1,0,9
2022-12-08,10,1,0,9
2022-12-09,12,2,1,9
2022-12-10,7,0,0,4
2022-12-11,22,3,0,15
2022-12-12,6,1,0,5
2022-12-13,8,0,0,8
2022-12-14,12,2,1,11
2022-12-15,9,0,0,9
2022-12-16,13,1,0,8
2022-12-17,7,0,0,7
2022-12-18,7,1,0,6
2022-12-19,5,0,0,5
2022-12-20,11,1,0,10
2022-12-21,9,0,0,8
2022-12-22,13,0,1,13
2022-12-23,10,0,1,5
2022-12-24,7,0,1,7
2022-12-25,11,0,0,7
2022-12-26,11,1,0,9
2022-12-27,19,1,0,15
2022-12-28,16,1,0,11
2022-12-29,13,4,0,11
2022-12-30,18,0,0,14
2022-12-31,12,2,0,6
2023-01-01,23,3,1,18
2023-01-02,14,1,0,13
2023-01-03,16,1,0,13
2023-01-04,15,0,0,13
2023-01-05,17,4,0,12
2023-01-06,11,-2,0,8
2023-01-07,16,0,-1,15
2023-01-08,5,-1,0,4
2023-01-09,13,2,1,10
2023-01-10,16,-1,0,13
2023-01-11,11,3,0,9
2023-01-12,16,1,0,9
2023-01-13,11,2,0,6
2023-01-14,15,0,0,11
2023-01-15,10,1,0,5
2023-01-16,14,3,0,10
2023-01-17,16,2,0,12
2023-01-18,10,1,0,6
2023-01-19,14,2,0,12
2023-01-20,9,2,0,6
2023-01-21,8,-1,0,8
2023-01-22,13,0,0,12
2023-01-23,13,1,0,11
2023-01-24,11,2,0,8
2023-01-25,11,0,0,7
2023-01-26,18,1,0,13
2023-01-27,11,1,0,10
2023-01-28,16,1,0,10
2023-01-29,18,1,0,14
2023-01-30,14,2,0,9
2023-01-31,15,4,0,12
2023-02-01,14,1,0,10
