date,added,ratings,reviews,to-read
2022-08-16,6,2,0,4
2022-08-17,4,-1,0,4
2022-08-18,12,-1,0,10
2022-08-19,14,2,0,10
2022-08-20,10,-1,0,8
2022-08-21,14,1,1,11
2022-08-22,10,1,0,7
2022-08-23,8,4,0,4
2022-08-24,14,2,0,9
2022-08-25,5,1,0,2
2022-08-26,10,-9,0,6
2022-08-27,8,0,0,5
2022-08-28,5,1,0,3
2022-08-29,11,-2,0,9
2022-08-30,9,-3,0,4
2022-08-31,11,-1,0,8
2022-09-01,10,1,0,6
2022-09-02,4,1,1,3
2022-09-03,10,0,0,7
2022-09-04,5,1,0,2
2022-09-05,5,1,0,4
2022-09-06,6,1,0,4
2022-09-07,5,0,0,4
2022-09-08,10,1,0,6
2022-09-09,7,3,0,3
2022-09-10,12,2,0,9
2022-09-11,8,2,0,6
2022-09-12,8,1,0,5
2022-09-13,9,0,0,8
2022-09-14,11,0,0,11
2022-09-15,8,1,0,5
2022-09-16,12,1,0,11
2022-09-17,5,0,0,5
2022-09-18,10,1,1,7
2022-09-19,13,1,1,11
2022-09-20,9,2,0,6
2022-09-21,4,-1,0,4
2022-09-22,4,1,1,4
2022-09-23,4,0,0,3
2022-09-24,10,1,0,8
2022-09-25,11,1,0,9
2022-09-26,4,0,0,3
2022-09-27,12,-1,0,10
2022-09-28,9,0,0,8
2022-09-29,5,0,0,4
2022-09-30,9,0,0,8
2022-10-01,7,2,0,5
2022-10-02,12,1,0,10
2022-10-03,8,1,1,5
2022-10-04,8,0,0,6
2022-10-05,13,2,0,8
2022-10-06,13,0,0,9
2022-10-07,11,1,0,7
2022-10-08,10,1,0,8
2022-10-09,20,0,0,18
2022-10-10,13,2,0,9
2022-10-11,11,1,0,9
2022-10-12,13,0,0,9
2022-10-13,9,-1,0,9
2022-10-14,11,1,0,9
2022-10-15,16,1,0,13
2022-10-16,11,0,0,9
2022-10-17,11,1,0,11
2022-10-18,18,1,0,16
2022-10-19,13,1,0,11
2022-10-20,10,1,1,8
2022-10-21,14,1,0,11
2022-10-22,10,1,0,7
2022-10-23,18,1,0,15
2022-10-24,17,0,1,15
2022-10-25,12,1,0,10
2022-10-26,11,1,0,10
2022-10-27,8,-1,0,7
2022-10-28,15,0,0,13
2022-10-29,19,2,1,15
2022-10-30,11,1,0,9
2022-10-31,12,1,0,10
2022-11-01,11,0,0,6
2022-11-02,11,0,0,8
2022-11-03,14,1,1,9
2022-11-04,21,-1,0,19
2022-11-05,13,0,0,11
2022-11-06,15,1,0,14
2022-11-07,12,2,0,7
2022-11-08,14,0,0,12
2022-11-09,15,1,0,11
2022-11-10,12,3,0,9
2022-11-11,12,1,0,8
2022-11-12,13,0,0,9
2022-11-13,16,2,0,13
2022-11-14,16,-1,0,14
2022-11-15,20,1,0,17
2022-11-16,13,2,0,7
2022-11-17,12,2,0,10
2022-11-18,10,1,0,9
2022-11-19,20,0,0,17
2022-11-20,19,1,0,15
2022-11-21,12,0,0,9
2022-11-22,14,2,1,10
2022-11-23,10,0,0,9
2022-11-24,6,0,0,5
2022-11-25,13,3,0,7
2022-11-26,19,1,0,15
2022-11-27,23,2,0,18
2022-11-28,15,2,0,13
2022-11-29,9,1,0,8
2022-11-30,15,0,0,15
2022-12-01,12,0,0,12
2022-12-02,12,1,0,7
2022-12-03,11,-4,0,7
2022-12-04,9,1,0,6
2022-12-05,13,2,1,9
2022-12-06,7,0,0,6
2022-12-07,16,1,0,13
2022-12-08,9,3,0,9
2022-12-09,17,-1,0,15
2022-12-10,13,1,0,9
2022-12-11,18,0,0,16
2022-12-12,12,-1,0,11
2022-12-13,11,1,0,9
2022-12-14,13,1,0,11
2022-12-15,8,1,0,7
2022-12-16,6,2,0,3
2022-12-17,13,1,0,13
2022-12-18,18,1,0,15
2022-12-19,10,0,0,7
2022-12-20,7,1,0,5
2022-12-21,15,3,1,10
2022-12-22,13,1,0,11
2022-12-23,12,3,0,8
2022-12-24,8,0,0,8
2022-12-25,8,0,0,4
2022-12-26,13,1,1,9
2022-12-27,15,-1,0,13
2022-12-28,18,1,1,11
2022-12-29,17,2,0,13
2022-12-30,22,2,0,14
2022-12-31,13,1,0,7
2023-01-01,23,1,0,18
2023-01-02,26,-1,0,19
2023-01-03,22,3,0,16
2023-01-04,21,2,0,16
2023-01-05,18,2,0,13
2023-01-06,15,1,0,12
2023-01-07,18,1,0,14
2023-01-08,14,2,0,9
2023-01-09,19,1,0,14
2023-01-10,13,0,0,7
2023-01-11,9,0,0,8
2023-01-12,16,1,0,14
2023-01-13,16,0,0,12
2023-01-14,12,1,0,9
2023-01-15,9,0,0,7
2023-01-16,16,0,0,15
2023-01-17,11,0,0,9
2023-01-18,10,0,0,6
2023-01-19,16,0,0,15
2023-01-20,12,1,0,8
2023-01-21,8,1,0,7
2023-01-22,15,1,0,12
2023-01-23,11,2,0,9
2023-01-24,13,1,0,9
2023-01-25,12,2,0,9
2023-01-26,10,1,0,9
2023-01-27,12,0,0,9
2023-01-28,18,4,0,13
2023-01-29,17,1,0,15
2023-01-30,11,2,0,8
2023-01-31,15,2,0,11
2023-02-01,11,2,0,6
