Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
128461,A Season in Hell and The Drunken Boat,Kenny,485,812,5,"May 19, 2022","I ought to have a special hell for my anger, a hell for my pride, ~~ and a hell for sex; a whole symphony of hells!A Season in Hell ~~ Arthur RimbaudI read 
  Rimbaud
 in my youth. I read of the number of rock stars who were influenced by 
  Rimbaud
, & thought I better jump on this bandwagon. Being an upper, middle class, white boy of 14 I loved the imagery, but it's true meanings were lost on me. I sported a red, 
  Rimbaud
 t-shirt, carried a small volume of his collected poems with me and thought I was the epitome of the cool, but tortured, artistic teenager. I really thought I got 
  it
 whatever 
  it
 was. Flash forward many years later. I decided to seriously delve into 
  Rimbaud
. And this time, I got 
  it
 ~~ or so I think I did ...
  Rimbaud
 was born in Charleville, north-east France, in 1854. A gifted student ~~ he was also restless ~~ this led to his running away to Paris ~~ where he became the lover of symbolist poet Paul Verlaine. The stormy relationship, along with their hashish and absinthe fueled lifestyle, caused quite a scandal in European literary circles. Things came crashing down when Verlaine pulling a gun wounded his younger partner. It was during this time that 
  Rimbaud
 was writing most of the verse for which he is remembered. His life as a poet was a short one, however, as he soon gave up writing and began wandering the world before settling into arms and coffee dealing in Africa. He died in France from syphilis and cancer, aged 37.A Season in Hell & The Drunken Boat are marked by a youthful passion and aggression. In addition, 
  Rimbaud's
 writing is also rich in symbolism and metaphor ~~ 
  Rimbaud
 so skilfully applies these that many poets still adopt his techniques to this day. 
  Rimbaud
 presents himself as a gleeful, arrogant youth without and ounce of apology.A SEASON IN HELLOnce, if my memory serves me well, my life was a banquet where every heart revealed itself, where every wine flowed.One evening I took Beauty in my arms - and I thought her bitter - and I insulted her.I steeled myself against justice.I fled. O witches, O misery, O hate, my treasure was left in your care!I have withered within me all human hope. With the silent leap of a sullen beast, I have downed and strangled every joy.I have called for executioners; I want to perish chewing on their gun butts. I have called for plagues, to suffocate in sand and blood. Unhappiness has been my god. I have lain down in the mud, and dried myself off in the crime-infested air. I have played the fool to the point of madness.And springtime brought me the frightful laugh of an idiot.Now recently, when I found myself ready to croak! I thought to seek the key to the banquet of old, where I might find an appetite again.That key is Charity. - This idea proves I was dreaming!""You will stay a hyena, etc...,"" shouts the demon who once crowned me with such pretty poppies. ""Seek death with all your desires, and all selfishness, and all the Seven Deadly Sins.""Ah! I've taken too much of that: - still, dear Satan, don't look so annoyed, I beg you! And while waiting for a few belated cowardices, since you value in a writer all lack of descriptive or didactic flair, I pass you these few foul pages from the diary of a Damned Soul.What are you rebelling against? the local girl asks one of the motorcyclists in the 1953 movie The Wild One. Brando drawls, Whaddaya got? And that is true too of 
  Rimbaud
 ~~ it wasn't the cause that fueled his passions, it was the 
  act
 enthralled 
  Rimbaud
, who revolutionized literature and then abandoned it at the age nineteen.",77,4
128461,A Season in Hell and The Drunken Boat,Steven Godin,"2,280",2149,4,"September 13, 2018","“And so my heartaches kept growing and growing, and I saw myself going more and more to pieces – and everyone else would have seen it, too, if I hadn’t been so miserable that no one even looked at me anymore! and still more and more I craved his affection… His kisses and his friendly arms around me were just like heaven – a dark heaven, that I could go into, and where I wanted only to be left – poor, deaf, dumb, and blind. Already, I was getting to depend on it. And I used to imagine that we were two happy children free to wander in a Paradise of sadness."" Unknown beyond the avant-garde at the time of his death in 1891, Arthur Rimbaud has become one of the most liberating influences on twentieth-century poets and of culture. Rimbaud’s A Season In Hell & The Drunken Boat is a personal cry of damnation as well as a plea to be released from the chains of his own profundity. Rimbaud originally distributed A Season In Hell to friends as a self-published booklet, and soon afterward, at the age of only nineteen, yes nineteen! quit poetry altogether. This beautifully dark composition in terms of translation is compelling and excellently done for those who are not versed in his native French. This young man was indeed a rare creator. An outcast of society, a vagabond in decadence and carousing avenging scandal, however a living man of flowing movement, unlike our dead, civilized and rational society. And for this, the man and his poetry snubbed and forgotten, only to be noticed at a later time and recognized for its aesthetic, passionate value. This is typical with almost all true creators of autonomous ability and dangerous living. This short book is filled with pain and chaos, but also soaring with the energy of life. Not quite as good as Illuminations, but for the poetry connoisseur it's definitely worth reading.",42,2
128461,A Season in Hell and The Drunken Boat,Michael,657,969,4,"March 25, 2020","A nine-part prose poem reflecting on madness, decadence, and despair, A Season in Hell sketches fragments of a turbulent inner life. Each piece mythicizes the poet’s personal life, framing his teenaged existential angst as a season in hell; across a series of loosely connected lurid images Rimbaud rants about everything from his Gaulish ancestry to an ill-fated romance. The writing feels less modern and sharp than that in Illuminations, but flashes of brilliance make the work compelling.",38,3
128461,A Season in Hell and The Drunken Boat,Cody,506,175,4,"May 31, 2016","This will be brief.While looking for a particular title for a friend in a box of old books today, I came across this. I hadn't read Rimbaud in, god, twenty+ years? As a painfully twee, suis generis teenager, I guess he was a bit of a hero: a drunken, libidinal monster who, well, got laid a whole hell of a lot more than I did (though I matched him drink for drink). It's dogeared and bears all the telltales of my youth, underlined passages included. The young ladies, shockingly, did not faint at the sight of the cardiganed hairfarmer reading a New Directions paperback. Turns out they had every reason not to. Now? Well, his youth shows. ""The Drunken Boat"" is absolutely gorgeous, and more than a few portions of A Season in Hell are still lovelylovelylovely:-Sometimes, I'll see endless beaches in the skies above, filled with pale rejoicing nations. A great golden vessel, high above me, flutters vari-colored flags in the morning breeze. I invented every celebration, every victory, every drama. I tried to invent new flowers, new stars, new flesh, new tongues!It's the absolutism of youth that I find a bit grating at points (and an awful lot of talk about parents), but that's just jealousy on my part. You can afford to be a walking, vomiting, ocean-guzzling behemoth at that age because you're going to live forever. And then one day you wake up and your fucking coccyx hurts. Seriously, how the hell does that even happen?!? ",23,2
128461,A Season in Hell and The Drunken Boat,Ted,515,744,5,"April 3, 2018","Surely it must be - never has a poet left so many wondering so much, over so few words ...4 1/2a Preface … by Patti Smith. More an imaginative appreciation. In his confessional masterpiece, A Season in Hell, Arthur Rimbaud imparts the formula for the alchemical transformation of the soul, even as he simultaneously acknowledges the futility of acting upon it. No one could exact a more brutal analysis of this sublime scrap of illuminated consciousness than the poet himself. In his own private Gethsemane he is at once savior and betrayer, extending one hand as he slyly withdraws the other. On sheets of gold he spews of the loathsome sheets where he has lain with the fallen angel, Verlaine. He beholds his ancestors; he berates his ancestors. Grappling with the civil war of his personality, he prays bitterly to be good but he is not able. He ridicules his inventiveness, his weariness, his flowering heart. But believe it! It is not a pose, but a confusion. He is nineteen years old and within his cosmology excrement and roses equally offend. As he rolls in piss and thorns he consciously offends himself. He is Hamlet, tossing off dazzling soliloquies as if they were but disgruntled mumblings. To be spent, wrung out, is his dream. And how shall he be spent? Rimbaud knows too well the unfortunate answer. The alchemist must descend within himself, a journey more terrifying than trudging the White Pass or scaling the immense, tragic cliffs of Bhutan. Only by navigating the chaos of his being can he initiate the process of mapping out this small unholy guide. Vows erupt! He shudders as he writes, generating a superb and nasty shedding of skins. Engulfed by a wave of nothingness, he is like an old man who can no longer distinguish tears from laughter. He speaks of abandoning everything, and eventually does, in concert with those who come clean, turn their backs, then burn their poems, to be purified in the flames of their folly. Ignited by the fireworks of his despair, he exhausts us with beauty, but is also the flayed youth, a hyena etc. He articulates the battlements of the besieged soul. What he fears most is to be judged a fraud by God. A Season in Hell brought him nothing but misery. In misery's company you will find him, tramping the luminous sewer of his own circulatory system with all his marvelous contradictions intact. His hell distilled – rubies strewn in hard places – he arrives, with his infernal stump, at heaven's gate bowed. Think of me he cries – and we must – immersing ourselves, as his compassionate translator Louise Varese did, in an infinite affair. We pray for him, offering love. History praises him, offering laurels. Mercy sings of him, offering absolution. Arthur Rimbaud, in his long suffering, has at last attained God's favor.Whew! Over the top, but it captures the crazed style, the obscene rantings, the words themselves of this nineteen-year old modern (hyper-modern?!) performance in 1873. The book self-published, soon after burned, having a first life of only a few months, the young iconoclast never to write poetry again. He'd already passed his life's mid-point.boring stuffThe slim volume pictured includes a chronology based on Enid Starkie's definitive biography of Rimbaud. Born 1854, died 1891. Such interesting events as Rimbaud's running off to Paris to join the Commune in 1871, at the age of 17.For additional info on Rimbaud's life, see my review of Disaster Was My God, Bruce Duffy's amazing post-modern fictionalized biography of Rimbaud, undoubtedly a more exciting read than any mere biography. (Here)poetryThe woman mentioned in Smith's preface, Louis Verese, is indeed the translator for this edition. If you read French, you can assess her translations yourself - the book has the French facing the English throughout.the first poemA SEASON IN HELL Once, if I remember well, my life was a feast where all hearts opened and all wines flowed. One evening I seated Beauty on my knees. And I found her bitter. And I cursed her. I armed myself against justice. I fled. O Witches, O Misery, O Hate, to you has my treasure been entrusted! I contrived to purge my mind of all human hope. On all joy, to strangle it, I pounced with the stealth of a wild beast. I called to the executioners that I might gnaw their rifle-butts while dying. I called to the plagues to smother me in blood, in sand. Misfortune was my God. I laid myself down in the mud. I dried myself in the air of crime. I played sly tricks on madness. And spring brought me the idiot's frightful laughter. Now, only recently, being on the point of giving my last squawk, I thought of looking for the key to the ancient feast where I might find my appetite again. Charity is that key. – This inspiration proves that I have dreamed! ""You will always be a hyena…"" etc., protests the devil who crowned me with such pleasant poppies. ""Attain death with all your appetites, your selfishness and all the capital sins!"" Ah! I'm fed up: - But, dear Satan, a less fiery eye I beg you! And while awaiting a few small infamies in arrears, you who love the absence of the instructive or descriptive faculty in a writer, for you let me tear out these few, hideous pages from my notebook of one of the damned.miscellaneous passages and phrases. Let's hear now a hell-mate's confession: ""O heavenly Bridegroom, my Lord, do not reject the confession of the saddest of your handmaidens. I am lost. I am drunk. I am unclean. What a life!... ""[p.35] …Never a man had such a wish. I realized, - without any fear of him, - that he could be a serious danger to society. Perhaps he has some secrets for changing life? No, I would say to myself he is only looking for them. In short, his charity is bewitched, and I, its prisoner…[p. 41] Ah! That life of my childhood, the highroad in all weathers, supernaturally sober, more disinterested than the best of beggars, proud to have neither country, nor friends, how stupid it was! And I see it only now! - I was right to despise those poor fellows who would never miss the chance of a caress, parasites of the cleanliness and health of our women, now that they are so little in accord with us.[p. 69] … You who declare that beasts sob in their grief, that the sick despair, that the dead have bad dreams, try to relate my fall and my sleep. As for me, I can no more explain myself that the beggar with his endless Paters and Ave Marias. I can no longer speak! However, I have finished, I think, the tale of my hell today. It was really hell; the old hell, the one whose doors were opened by the son of man.[p. 81] Yes, the new hour is at least very severe. For I can say that victory is won: the gnashing of teeth, the hissings of fire, the pestilential sighs are abating. All the noisome memories are fading. My last regrets take to their heels, - envy of beggars, brigands, of death's friends, of the backward of all kinds. O damned ones, what if I avenged myself! One must be absolutely modern. No hymns! Hold the ground gained. Arduous night! The dried blood smokes on my face, and I have nothing behind me but that horrible bush! … Spiritual combat is as brutal as the battle of men: but the vision of justice is the pleasure of God alone.[p. 87]the beginning of Le Bateau Ivre, ""The Drunken Boat"", written in 1871. The first person speaker is, yes, the boat itself.As I came down the impassable Rivers,I felt no more the bargemen's guiding hands,Targets for yelling red-skins they were nailedNaked to poles.What did I care for any crews,Carriers of English cotton or of Flemish grain!Bargemen and all that hubbub left behind,The waters let me go my own free way.In the furious lashing of the tides,Emptier than children's minds, I through that winterRan! And great peninsulas unmooredNever knew more triumphant uproar than I knew.The tempest blessed my waking on the sea.Light as a cork I danced upon the waves,Eternal rollers of the deep sunk dead,Nor missed at night the lanterns' idiot eyes![p. 93]it continues for 21 more stanzas. . . . . . . . . . . . . . . . . . . .Previous review: Tom PaineRandom review: Doctor Copernicus BanvilleNext review: The Tragedy of Julius CaesarPrevious library review: The MisanthropeNext library review: The Fall[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>",17,4
128461,A Season in Hell and The Drunken Boat,Mike,297,134,3,"April 29, 2019","I try to be neither overly awed by nor blithely dismissive of classics. That is to say, I reserve the right to my own impressions, but context sometimes suggests that you might be missing something.Clearly, I might be missing something here. My relative ignorance of Rimbaud’s life probably doesn’t help. I read these poems twice, but didn’t go over them with a fine-tooth comb. If I were in a poetry class with a good professor, and we broke it all down line-by-line, I imagine I’d get more out of the experience.Of course there are memorable lines, occasionally striking images: …as avaricious as the sea; …the drunken fly in the inn’s privy…; a storm came chasing the sky away.There’s a general sense that the material world is not what it appears, that there are mysteries we can only begin to perceive: It seemed to me that for every creature several other lives were due…With several men I have spoken aloud with a moment of one of their other lives…A couple of the stanzas I find most beautiful are very simple:No more tomorrows,Embers of satin,Your ardor is nowYour duty only.It is recovered!What? Eternity.It is the seaMixed with the sun.In general, however, the language doesn’t inspire me to Talmudic study. By the end, we seem to be leaving hell: And, in the dawn, armed with an ardent patience, we shall enter magnificent cities. That’s a nice image, but it also showcases the melodramatic, pseudo-prophetic tone that began to wear on me. Not that I can really blame a teenager for writing that way. Christ, let’s look at some of my teenage poetry. Actually, let’s not. I have similar feelings about The Drunken Boat. I found myself shrugging my shoulders at a lot of it, but there are striking, memorable moments.In the furious lashings of the tides,Emptier than children’s minds, I through that winterRan! And great peninsulas unmooredNever knew more triumphant uproar than I knew.And:I’ve seen the low sun, fearful with mystic signs,Lightning with far flung violet arms, Like actors in an ancient tragedy,The fluted waters shivering far away.",12,4
128461,A Season in Hell and The Drunken Boat,Maria,609,99,4,"May 8, 2016","I understand, and not knowing how to express myself without pagan words, I’d rather remain silent.I am not going to lie to you. This is definitely not the kind of book I would randomly read. To be quite honest, I wasn’t even aware of its existence until I found myself reading Patti Smith’s M Train and watching Ed Harris’ Pollock in the very same week. The title, A Season in Hell, was what caught my attention at first; then there was Patti Smith’s dedication to the author and the quote Lee Krasner (Marcia Gay Harden), Pollock’s wife, had on her wall.This is definitely the kind of book that scares me; and yet I found myself buying a copy and reading it.To whom shall I hire myself out? What beast should I adore? What holy image is attacked? What hearts shall I break? What lies should I uphold? In what blood tread?Rimbaud’s writing feels… restless. At first there seems to be a sort of chaos, like he has happened upon a world that sees contradictions as twins in the same womb, sharing one beating heart, instead of distant cousins. He seems to be drowning in an ocean of everything and nothing. You can almost hear his breathlessness, which seems tainted not by wonder, awe, but by adrenalin.As someone who used to write things, I think I recognize the conflict. I would say that writing poetry is not something someone does lightly. Once you put something down, it truly feels like there’s no turning back, no deleting. What’s done is done. With Rimbaud, it’s as if he’s going through some sort of catharsis, like he has decided to write everything… and then be done with it for life. It’s fascinating how he seems to have gone through all this process before even reaching the age of twenty. And his writing! It’s quite extraordinary.He made it twenty times, that lovers’ promise. It was as vain as when I said to him: ‘I understand you’.I am sure I will have to revisit this book later on. First, though, I feel like I need to read more about the author and perhaps some of his other work as well.",9,N/A
128461,A Season in Hell and The Drunken Boat,Rachel,8,15,3,"May 30, 2008","initially i wrote this off as the drunken masturbatory ramblings of a privileged white boy in france. which it is. but once i shook off my distaste for that particular trope, i kinda started liking his bad-ass shtick. i really hated the intro although it's somewhat a necessity- some dude blathers on in a horribly biased way about rimbaud for like 15 pages. he fails to directly acknowledge hardships, queerness, blablablablabla, mostly trying to figure out how to get the whole of his body into rimbaud's ass. i definitely would have appreciated a short biography that seemed a little more reflexive and unslanted. the film total eclipse kinda helped correct some ideas i had about rimbaud. the movie itself is pretty mediocre, but worth it if you want to know more.it reads kinda like a novel (a season in hell more than the drunken boat, one better than the other, respectively). rimbaud somehow matures by the end of a season in hell- all 17 years of him or whatever. the grumpiness i had from talk of wallowing in his own crapulence and fastuous self pity waned towards the end and i almost liked the guy. parts were almost kinda beautiful. almost kinda touched ya... fucking poetry. this shit is fucking french as all hell, too.",8,3
128461,A Season in Hell and The Drunken Boat,Jonfaith,"1,821",1320,5,"January 1, 2021","Rereading Rimbaud's Une Saison En Enfer after probably 25 years:At first it was an experiment. I wrote silences, I wrote the night. I recorded the inexpressible. I fixed frenzies in their flight.I was rather awestruck by the Blakean imagery and eschatological defiance. This a potent portent for the rereading project. Rimbaud the subaltern becomes a human trafficker and arms dealer.",8,N/A
128461,A Season in Hell and The Drunken Boat,Keith [on semi hiatus],136,43,5,"November 15, 2022",Glorious.,4,N/A
