Title,URL
Milk and Honey,https://www.goodreads.com/book/show/23513349-milk-and-honey
Where the Sidewalk Ends,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends
The Sun and Her Flowers,https://www.goodreads.com/book/show/35606560-the-sun-and-her-flowers
"The Princess Saves Herself in This One (Women Are Some Kind of Magic, #1)",https://www.goodreads.com/book/show/30075802-the-princess-saves-herself-in-this-one
Leaves of Grass,https://www.goodreads.com/book/show/27494.Leaves_of_Grass
Ariel,https://www.goodreads.com/book/show/395090.Ariel
A Light in the Attic,https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic
The Complete Poems of Emily Dickinson,https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson
Night Sky with Exit Wounds,https://www.goodreads.com/book/show/23841432-night-sky-with-exit-wounds
Howl and Other Poems,https://www.goodreads.com/book/show/6295.Howl_and_Other_Poems
The Odyssey,https://www.goodreads.com/book/show/1381.The_Odyssey
The Poet X,https://www.goodreads.com/book/show/33294200-the-poet-x
Paradise Lost,https://www.goodreads.com/book/show/15997.Paradise_Lost
Twenty Love Poems and a Song of Despair,https://www.goodreads.com/book/show/5932.Twenty_Love_Poems_and_a_Song_of_Despair
Beowulf,https://www.goodreads.com/book/show/52357.Beowulf
"The Witch Doesn't Burn in This One (Women Are Some Kind of Magic, #2)",https://www.goodreads.com/book/show/35924698-the-witch-doesn-t-burn-in-this-one
Shakespeare's Sonnets,https://www.goodreads.com/book/show/42038.Shakespeare_s_Sonnets
The Iliad,https://www.goodreads.com/book/show/1371.The_Iliad
The Waste Land and Other Poems,https://www.goodreads.com/book/show/400412.The_Waste_Land_and_Other_Poems
Home Body,https://www.goodreads.com/book/show/49656780-home-body
Les Fleurs du Mal,https://www.goodreads.com/book/show/203220.Les_Fleurs_du_Mal
Citizen: An American Lyric,https://www.goodreads.com/book/show/20613761-citizen
The Prophet,https://www.goodreads.com/book/show/2547.The_Prophet
Songs of Innocence and of Experience,https://www.goodreads.com/book/show/171547.Songs_of_Innocence_and_of_Experience
"If Not, Winter: Fragments of Sappho",https://www.goodreads.com/book/show/150253.If_Not_Winter
Salt,https://www.goodreads.com/book/show/18585282-salt
Inferno,https://www.goodreads.com/book/show/15645.Inferno
Falling Up,https://www.goodreads.com/book/show/30120.Falling_Up
The Collected Poems,https://www.goodreads.com/book/show/31426.The_Collected_Poems
A Thousand Mornings: Poems,https://www.goodreads.com/book/show/13588404-a-thousand-mornings
The Waste Land,https://www.goodreads.com/book/show/34080.The_Waste_Land
Teaching My Mother How to Give Birth,https://www.goodreads.com/book/show/13376363-teaching-my-mother-how-to-give-birth
The Complete Stories and Poems,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
Love & Misadventure,https://www.goodreads.com/book/show/18003300-love-misadventure
The Raven,https://www.goodreads.com/book/show/264158.The_Raven
Autobiography of Red,https://www.goodreads.com/book/show/61049.Autobiography_of_Red
The Essential Rumi,https://www.goodreads.com/book/show/304079.The_Essential_Rumi
The Collected Poems of W.B. Yeats,https://www.goodreads.com/book/show/53022.The_Collected_Poems_of_W_B_Yeats
Brown Girl Dreaming,https://www.goodreads.com/book/show/20821284-brown-girl-dreaming
Letters to a Young Poet,https://www.goodreads.com/book/show/46199.Letters_to_a_Young_Poet
The Divine Comedy,https://www.goodreads.com/book/show/6656.The_Divine_Comedy
The Poetry of Robert Frost,https://www.goodreads.com/book/show/95819.The_Poetry_of_Robert_Frost
No Matter the Wreckage,https://www.goodreads.com/book/show/18288210-no-matter-the-wreckage
Pillow Thoughts (Pillow Thoughts #1),https://www.goodreads.com/book/show/32468495-pillow-thoughts
Devotions: The Selected Poems of Mary Oliver,https://www.goodreads.com/book/show/34272476-devotions
The Rime of the Ancient Mariner,https://www.goodreads.com/book/show/732562.The_Rime_of_the_Ancient_Mariner
Old Possum's Book of Practical Cats,https://www.goodreads.com/book/show/402128.Old_Possum_s_Book_of_Practical_Cats
Don't Call Us Dead,https://www.goodreads.com/book/show/33375618-don-t-call-us-dead
Long Way Down,https://www.goodreads.com/book/show/22552026-long-way-down
Time Is a Mother,https://www.goodreads.com/book/show/58582927-time-is-a-mother
Bluets,https://www.goodreads.com/book/show/6798263-bluets
"The Mermaid's Voice Returns in This One (Women Are Some Kind of Magic, #3)",https://www.goodreads.com/book/show/36297088-the-mermaid-s-voice-returns-in-this-one
The Aeneid,https://www.goodreads.com/book/show/12914.The_Aeneid
Bright Dead Things,https://www.goodreads.com/book/show/24945396-bright-dead-things
Love Her Wild,https://www.goodreads.com/book/show/33208115-love-her-wild
100 Selected Poems,https://www.goodreads.com/book/show/76889.100_Selected_Poems
The Complete Poems,https://www.goodreads.com/book/show/47730.The_Complete_Poems
