date,added,ratings,reviews,to-read
2022-08-16,4,1,0,3
2022-08-17,3,-1,0,2
2022-08-18,3,0,0,1
2022-08-19,5,1,1,2
2022-08-20,6,1,0,3
2022-08-21,4,0,0,3
2022-08-22,3,-1,0,1
2022-08-23,4,-1,0,0
2022-08-24,2,2,0,0
2022-08-25,5,1,0,3
2022-08-26,3,-1,0,1
2022-08-27,4,0,0,3
2022-08-28,1,-1,0,0
2022-08-29,4,-10,0,2
2022-08-30,4,1,0,2
2022-08-31,7,-3,-1,3
2022-09-01,3,1,0,0
2022-09-02,7,0,0,2
2022-09-03,2,-2,0,1
2022-09-04,6,1,0,1
2022-09-05,6,1,0,2
2022-09-06,4,-6,1,1
2022-09-07,6,2,0,3
2022-09-08,3,1,0,1
2022-09-09,6,1,0,2
2022-09-10,2,1,0,1
2022-09-11,5,1,0,2
2022-09-12,4,1,0,2
2022-09-13,3,0,1,3
2022-09-14,12,-1,0,8
2022-09-15,4,2,0,1
2022-09-16,4,3,1,1
2022-09-17,3,-1,0,1
2022-09-18,2,0,0,0
2022-09-19,6,2,0,2
2022-09-20,2,-1,0,2
2022-09-21,6,1,0,0
2022-09-22,5,4,0,2
2022-09-23,5,-5,0,2
2022-09-24,4,1,0,3
2022-09-25,5,1,0,2
2022-09-26,4,-4,0,2
2022-09-27,4,-6,0,0
2022-09-28,8,-18,1,3
2022-09-29,5,-26,0,5
2022-09-30,6,1,0,3
2022-10-01,3,1,0,1
2022-10-02,3,-6,0,2
2022-10-03,7,2,0,3
2022-10-04,4,-1,0,2
2022-10-05,3,2,0,0
2022-10-06,4,3,0,0
2022-10-07,2,2,0,2
2022-10-08,5,2,1,1
2022-10-09,5,-6,0,3
2022-10-10,4,1,0,1
2022-10-11,2,-3,0,0
2022-10-12,4,-4,0,0
2022-10-13,4,1,0,2
2022-10-14,5,-18,0,0
2022-10-15,10,-1,1,4
2022-10-16,4,-21,0,0
2022-10-17,2,-25,0,1
2022-10-18,5,-11,0,2
2022-10-19,6,1,0,3
2022-10-20,3,-1,0,0
2022-10-21,2,-5,0,1
2022-10-22,5,-8,0,2
2022-10-23,6,-57,0,3
2022-10-24,4,-54,1,2
2022-10-25,3,-2,0,2
2022-10-26,2,1,0,1
2022-10-27,4,1,0,0
2022-10-28,2,0,1,2
2022-10-29,4,0,0,2
2022-10-30,7,0,0,4
2022-10-31,8,-3,1,3
2022-11-01,6,2,0,1
2022-11-02,4,2,0,2
2022-11-03,4,-13,1,1
2022-11-04,7,0,1,0
2022-11-05,4,2,1,2
2022-11-06,3,2,2,0
2022-11-07,3,1,0,2
2022-11-08,3,1,0,3
2022-11-09,10,0,1,4
2022-11-10,3,2,0,1
2022-11-11,4,1,0,1
2022-11-12,6,0,0,3
2022-11-13,5,0,1,2
2022-11-14,3,2,1,0
2022-11-15,4,2,0,1
2022-11-16,2,0,0,1
2022-11-17,3,0,0,2
2022-11-18,5,1,1,3
2022-11-19,5,0,0,3
2022-11-20,5,0,0,3
2022-11-21,2,3,2,1
2022-11-22,2,0,0,0
2022-11-23,5,1,0,3
2022-11-24,4,2,0,1
2022-11-25,1,0,0,0
2022-11-26,5,1,0,1
2022-11-27,6,2,0,1
2022-11-28,5,4,0,3
2022-11-29,4,-2,0,1
2022-11-30,6,3,0,1
2022-12-01,4,1,0,2
2022-12-02,7,2,0,4
2022-12-03,1,1,0,0
2022-12-04,0,2,0,0
2022-12-05,2,1,0,0
2022-12-06,6,2,0,2
2022-12-07,1,0,0,1
2022-12-08,2,0,0,1
2022-12-09,4,0,0,1
2022-12-10,3,0,0,2
2022-12-11,6,2,0,2
2022-12-12,9,1,1,5
2022-12-13,7,2,1,3
2022-12-14,10,2,0,2
2022-12-15,7,4,0,4
2022-12-16,6,1,0,4
2022-12-17,8,2,0,3
2022-12-18,5,2,0,2
2022-12-19,3,0,0,1
2022-12-20,4,2,1,3
2022-12-21,7,2,0,1
2022-12-22,4,3,1,2
2022-12-23,4,2,0,1
2022-12-24,2,-2,0,2
2022-12-25,4,1,0,1
2022-12-26,5,0,0,0
2022-12-27,10,1,0,6
2022-12-28,9,4,2,1
2022-12-29,5,1,0,2
2022-12-30,5,2,0,2
2022-12-31,9,2,1,2
2023-01-01,9,5,0,4
2023-01-02,10,1,0,6
2023-01-03,10,1,0,2
2023-01-04,7,2,1,6
2023-01-05,6,-1,0,0
2023-01-06,9,5,1,3
2023-01-07,3,0,0,1
2023-01-08,3,-2,0,1
2023-01-09,8,1,0,1
2023-01-10,7,2,0,1
2023-01-11,12,2,0,7
2023-01-12,3,-12,0,2
2023-01-13,6,-19,0,1
2023-01-14,8,2,0,3
2023-01-15,5,2,0,2
2023-01-16,10,0,0,4
2023-01-17,2,1,0,1
2023-01-18,3,0,0,0
2023-01-19,2,2,0,0
2023-01-20,7,1,0,2
2023-01-21,9,3,0,2
2023-01-22,8,0,0,2
2023-01-23,7,4,1,1
2023-01-24,4,0,0,3
2023-01-25,6,2,0,1
2023-01-26,3,0,0,3
2023-01-27,4,1,0,1
2023-01-28,4,0,0,1
2023-01-29,4,1,0,1
2023-01-30,5,1,0,1
2023-01-31,4,9,1,2
2023-02-01,0,4,0,0
