date,added,ratings,reviews,to-read
2022-08-16,5,0,0,3
2022-08-17,7,3,0,4
2022-08-18,4,1,0,3
2022-08-19,6,1,0,4
2022-08-20,12,2,0,6
2022-08-21,10,3,2,8
2022-08-22,5,0,0,3
2022-08-23,12,2,1,8
2022-08-24,8,1,0,3
2022-08-25,12,5,0,6
2022-08-26,5,1,0,2
2022-08-27,6,0,0,5
2022-08-28,12,2,0,5
2022-08-29,7,2,0,4
2022-08-30,9,1,1,5
2022-08-31,7,2,0,3
2022-09-01,9,1,1,4
2022-09-02,13,2,0,5
2022-09-03,8,2,0,2
2022-09-04,8,2,0,3
2022-09-05,4,1,0,1
2022-09-06,9,3,0,7
2022-09-07,8,1,0,2
2022-09-08,6,2,0,3
2022-09-09,4,0,0,4
2022-09-10,16,2,0,9
2022-09-11,15,1,0,10
2022-09-12,14,1,0,8
2022-09-13,14,3,0,9
2022-09-14,6,1,0,2
2022-09-15,6,1,0,3
2022-09-16,10,0,0,6
2022-09-17,2,2,0,2
2022-09-18,10,3,0,7
2022-09-19,4,4,0,2
2022-09-20,7,5,0,3
2022-09-21,4,1,0,2
2022-09-22,8,1,0,5
2022-09-23,12,3,0,5
2022-09-24,5,2,2,3
2022-09-25,8,1,0,5
2022-09-26,5,1,0,3
2022-09-27,4,4,0,1
2022-09-28,4,1,0,2
2022-09-29,8,2,1,6
2022-09-30,6,2,0,2
2022-10-01,6,1,1,5
2022-10-02,5,1,0,3
2022-10-03,12,3,0,5
2022-10-04,6,3,1,3
2022-10-05,4,0,0,3
2022-10-06,4,0,0,3
2022-10-07,9,2,0,2
2022-10-08,9,1,0,3
2022-10-09,7,2,1,3
2022-10-10,14,1,0,8
2022-10-11,9,0,0,4
2022-10-12,5,2,0,1
2022-10-13,5,0,0,4
2022-10-14,4,1,0,1
2022-10-15,9,1,0,2
2022-10-16,8,3,0,2
2022-10-17,4,0,0,3
2022-10-18,8,1,0,3
2022-10-19,6,1,0,2
2022-10-20,12,1,1,4
2022-10-21,4,1,2,3
2022-10-22,8,1,0,6
2022-10-23,7,2,0,3
2022-10-24,7,2,0,2
2022-10-25,4,2,0,2
2022-10-26,6,0,0,5
2022-10-27,10,3,0,5
2022-10-28,5,1,0,2
2022-10-29,7,1,0,6
2022-10-30,9,0,0,4
2022-10-31,15,3,1,9
2022-11-01,6,4,0,1
2022-11-02,11,6,3,3
2022-11-03,13,2,1,8
2022-11-04,8,1,0,6
2022-11-05,14,1,0,7
2022-11-06,13,0,1,7
2022-11-07,12,0,1,6
2022-11-08,4,2,0,2
2022-11-09,6,2,0,3
2022-11-10,9,0,0,4
2022-11-11,9,1,0,5
2022-11-12,15,3,1,9
2022-11-13,9,5,0,6
2022-11-14,12,2,0,8
2022-11-15,19,1,0,11
2022-11-16,16,8,2,7
2022-11-17,2,2,1,1
2022-11-18,8,2,0,2
2022-11-19,9,2,0,6
2022-11-20,12,2,0,5
2022-11-21,13,0,0,7
2022-11-22,8,1,0,6
2022-11-23,3,3,1,2
2022-11-24,4,0,0,3
2022-11-25,2,1,0,1
2022-11-26,9,3,0,5
2022-11-27,15,0,0,8
2022-11-28,7,4,1,3
2022-11-29,5,1,1,2
2022-11-30,9,3,0,6
2022-12-01,5,1,0,4
2022-12-02,9,-1,0,6
2022-12-03,9,4,0,3
2022-12-04,6,2,0,2
2022-12-05,18,2,0,12
2022-12-06,11,4,0,6
2022-12-07,6,1,0,4
2022-12-08,17,2,0,6
2022-12-09,10,5,1,6
2022-12-10,12,1,0,5
2022-12-11,12,1,0,7
2022-12-12,11,3,0,5
2022-12-13,10,4,1,6
2022-12-14,8,-2,0,7
2022-12-15,2,2,0,1
2022-12-16,8,1,0,5
2022-12-17,11,3,0,5
2022-12-18,11,4,1,5
2022-12-19,11,3,1,5
2022-12-20,8,0,0,5
2022-12-21,12,3,0,5
2022-12-22,5,1,0,4
2022-12-23,13,2,0,6
2022-12-24,7,2,0,4
2022-12-25,6,2,0,4
2022-12-26,15,2,1,4
2022-12-27,16,3,0,9
2022-12-28,16,3,0,6
2022-12-29,7,3,0,5
2022-12-30,12,2,2,4
2022-12-31,11,6,0,5
2023-01-01,27,3,1,14
2023-01-02,21,4,0,12
2023-01-03,28,4,0,11
2023-01-04,21,3,0,12
2023-01-05,16,7,0,8
2023-01-06,15,4,0,6
2023-01-07,16,4,0,4
2023-01-08,12,3,1,5
2023-01-09,16,3,0,7
2023-01-10,18,0,0,10
2023-01-11,9,2,1,1
2023-01-12,18,9,2,8
2023-01-13,18,3,0,10
2023-01-14,16,3,0,11
2023-01-15,19,2,0,10
2023-01-16,12,3,0,7
2023-01-17,11,0,0,5
2023-01-18,20,2,0,13
2023-01-19,9,3,1,5
2023-01-20,10,2,0,3
2023-01-21,18,1,0,13
2023-01-22,21,4,0,10
2023-01-23,16,3,0,8
2023-01-24,12,4,0,5
2023-01-25,23,4,0,12
2023-01-26,7,2,0,3
2023-01-27,17,3,1,9
2023-01-28,5,2,0,2
2023-01-29,7,3,0,4
2023-01-30,8,2,0,5
2023-01-31,10,1,0,8
2023-02-01,8,0,0,5
