date,added,ratings,reviews,to-read
2022-08-16,9,1,0,7
2022-08-17,5,-1,0,3
2022-08-18,10,3,0,7
2022-08-19,6,-1,0,4
2022-08-20,8,0,0,6
2022-08-21,3,0,0,3
2022-08-22,11,2,1,7
2022-08-23,7,0,0,6
2022-08-24,6,1,0,4
2022-08-25,4,1,1,3
2022-08-26,8,1,1,6
2022-08-27,2,0,0,1
2022-08-28,8,3,0,4
2022-08-29,7,0,0,5
2022-08-30,2,0,0,0
2022-08-31,6,2,0,4
2022-09-01,2,1,0,1
2022-09-02,5,2,0,4
2022-09-03,5,3,0,2
2022-09-04,6,0,0,5
2022-09-05,7,2,1,5
2022-09-06,4,1,0,2
2022-09-07,6,1,0,3
2022-09-08,8,1,0,6
2022-09-09,4,2,0,2
2022-09-10,6,1,1,5
2022-09-11,4,-1,1,3
2022-09-12,4,1,0,3
2022-09-13,8,0,0,7
2022-09-14,6,1,0,4
2022-09-15,4,0,0,3
2022-09-16,4,1,0,4
2022-09-17,0,0,0,0
2022-09-18,3,0,0,3
2022-09-19,6,2,0,4
2022-09-20,5,1,0,4
2022-09-21,9,2,0,7
2022-09-22,7,0,0,7
2022-09-23,2,0,0,2
2022-09-24,8,0,0,6
2022-09-25,6,1,0,4
2022-09-26,9,0,0,7
2022-09-27,8,1,0,6
2022-09-28,7,2,0,6
2022-09-29,4,0,0,3
2022-09-30,4,0,0,3
2022-10-01,3,0,0,3
2022-10-02,8,2,0,4
2022-10-03,2,0,0,2
2022-10-04,3,0,0,2
2022-10-05,7,2,1,5
2022-10-06,4,1,0,3
2022-10-07,3,1,0,2
2022-10-08,5,1,0,3
2022-10-09,2,0,0,2
2022-10-10,3,1,1,3
2022-10-11,3,0,0,1
2022-10-12,6,0,0,5
2022-10-13,10,1,0,8
2022-10-14,5,0,0,5
2022-10-15,7,2,1,3
2022-10-16,6,0,0,6
2022-10-17,9,0,0,9
2022-10-18,2,0,0,0
2022-10-19,6,1,0,3
2022-10-20,10,0,0,9
2022-10-21,7,1,0,4
2022-10-22,8,0,0,7
2022-10-23,7,3,0,3
2022-10-24,3,-1,0,1
2022-10-25,3,0,0,2
2022-10-26,6,3,0,1
2022-10-27,2,2,1,1
2022-10-28,5,-1,0,4
2022-10-29,4,1,0,2
2022-10-30,4,0,0,3
2022-10-31,4,0,0,4
2022-11-01,9,1,1,4
2022-11-02,6,2,0,4
2022-11-03,3,2,0,2
2022-11-04,2,0,0,2
2022-11-05,2,-1,0,1
2022-11-06,9,2,0,5
2022-11-07,6,3,0,4
2022-11-08,5,1,0,4
2022-11-09,6,1,1,4
2022-11-10,4,1,1,3
2022-11-11,4,1,0,3
2022-11-12,3,0,0,2
2022-11-13,8,0,0,8
2022-11-14,4,1,0,3
2022-11-15,6,1,1,3
2022-11-16,5,1,0,3
2022-11-17,8,3,0,5
2022-11-18,4,1,0,2
2022-11-19,5,0,0,5
2022-11-20,12,0,1,8
2022-11-21,5,1,0,5
2022-11-22,11,2,0,7
2022-11-23,10,1,0,6
2022-11-24,4,1,0,4
2022-11-25,4,0,0,3
2022-11-26,7,-1,0,3
2022-11-27,8,3,0,4
2022-11-28,9,0,0,8
2022-11-29,5,0,0,4
2022-11-30,3,0,0,2
2022-12-01,6,1,0,5
2022-12-02,5,1,0,2
2022-12-03,4,1,0,2
2022-12-04,9,2,0,4
2022-12-05,5,1,0,2
2022-12-06,9,1,0,7
2022-12-07,4,0,0,3
2022-12-08,6,1,0,5
2022-12-09,6,-1,0,6
2022-12-10,10,-1,0,7
2022-12-11,7,3,0,5
2022-12-12,10,2,0,7
2022-12-13,8,-1,0,8
2022-12-14,7,-1,0,6
2022-12-15,6,0,0,5
2022-12-16,6,0,0,5
2022-12-17,11,2,0,7
2022-12-18,9,2,1,4
2022-12-19,9,3,0,5
2022-12-20,6,-1,0,6
2022-12-21,4,0,0,3
2022-12-22,15,0,0,12
2022-12-23,7,0,0,4
2022-12-24,6,2,1,3
2022-12-25,6,1,0,4
2022-12-26,15,2,1,11
2022-12-27,7,2,1,5
2022-12-28,9,1,0,6
2022-12-29,7,3,1,4
2022-12-30,12,3,0,8
2022-12-31,11,2,0,10
2023-01-01,9,0,0,8
2023-01-02,11,1,0,6
2023-01-03,11,2,0,6
2023-01-04,6,3,1,5
2023-01-05,6,2,0,2
2023-01-06,11,0,0,9
2023-01-07,13,3,0,8
2023-01-08,19,1,0,17
2023-01-09,14,4,1,8
2023-01-10,12,4,1,8
2023-01-11,7,2,0,6
2023-01-12,13,-1,0,11
2023-01-13,7,0,0,4
2023-01-14,12,0,0,10
2023-01-15,8,0,0,7
2023-01-16,11,1,0,10
2023-01-17,14,2,0,12
2023-01-18,11,1,0,9
2023-01-19,9,1,0,8
2023-01-20,9,4,1,5
2023-01-21,8,0,0,5
2023-01-22,6,1,0,4
2023-01-23,13,3,0,8
2023-01-24,9,-1,0,6
2023-01-25,3,-1,0,2
2023-01-26,8,1,0,6
2023-01-27,10,-1,0,8
2023-01-28,8,5,1,4
2023-01-29,7,3,0,3
2023-01-30,9,2,0,7
2023-01-31,10,1,1,8
2023-02-01,5,1,1,4
