date,added,ratings,reviews,to-read
2022-08-16,6,3,1,4
2022-08-17,6,2,1,5
2022-08-18,4,1,0,1
2022-08-19,4,3,0,2
2022-08-20,9,0,0,5
2022-08-21,1,2,0,0
2022-08-22,6,3,0,4
2022-08-23,4,0,0,4
2022-08-24,4,1,0,1
2022-08-25,6,3,1,3
2022-08-26,5,2,0,0
2022-08-27,7,0,0,4
2022-08-28,3,2,0,1
2022-08-29,4,1,1,1
2022-08-30,2,1,0,0
2022-08-31,1,1,0,1
2022-09-01,6,1,0,3
2022-09-02,1,0,0,0
2022-09-03,4,1,0,1
2022-09-04,6,1,0,5
2022-09-05,3,1,0,2
2022-09-06,2,2,1,1
2022-09-07,5,1,0,1
2022-09-08,1,0,0,0
2022-09-09,3,1,0,2
2022-09-10,8,2,0,5
2022-09-11,11,3,0,6
2022-09-12,6,0,0,5
2022-09-13,5,2,0,4
2022-09-14,7,1,0,3
2022-09-15,4,1,0,2
2022-09-16,2,0,0,1
2022-09-17,1,0,0,1
2022-09-18,5,1,0,3
2022-09-19,4,3,1,2
2022-09-20,4,1,1,3
2022-09-21,4,0,0,3
2022-09-22,7,2,1,3
2022-09-23,6,1,0,3
2022-09-24,4,1,0,2
2022-09-25,4,1,1,3
2022-09-26,4,3,0,2
2022-09-27,2,3,0,0
2022-09-28,2,1,0,0
2022-09-29,4,0,0,1
2022-09-30,3,1,1,1
2022-10-01,4,2,0,1
2022-10-02,3,0,0,2
2022-10-03,6,1,0,2
2022-10-04,5,2,1,4
2022-10-05,7,2,1,2
2022-10-06,2,4,1,0
2022-10-07,5,1,0,2
2022-10-08,1,1,0,0
2022-10-09,4,1,0,1
2022-10-10,4,1,0,1
2022-10-11,4,1,1,0
2022-10-12,3,2,1,1
2022-10-13,5,1,0,2
2022-10-14,11,2,1,6
2022-10-15,4,1,0,2
2022-10-16,7,1,0,2
2022-10-17,2,0,0,1
2022-10-18,5,1,0,4
2022-10-19,9,1,0,6
2022-10-20,6,2,0,2
2022-10-21,3,0,0,1
2022-10-22,3,0,0,1
2022-10-23,6,2,0,2
2022-10-24,4,2,1,2
2022-10-25,2,0,0,1
2022-10-26,1,1,0,1
2022-10-27,3,0,1,1
2022-10-28,1,1,0,1
2022-10-29,6,1,0,2
2022-10-30,1,3,0,0
2022-10-31,2,1,1,0
2022-11-01,1,0,0,1
2022-11-02,4,1,0,1
2022-11-03,3,2,0,3
2022-11-04,2,2,0,1
2022-11-05,4,0,0,2
2022-11-06,3,0,0,3
2022-11-07,5,0,0,3
2022-11-08,7,1,0,1
2022-11-09,4,3,0,2
2022-11-10,3,1,0,2
2022-11-11,6,1,0,3
2022-11-12,5,1,0,4
2022-11-13,4,2,1,1
2022-11-14,4,1,0,2
2022-11-15,0,1,0,0
2022-11-16,3,0,0,3
2022-11-17,5,1,0,2
2022-11-18,4,3,0,3
2022-11-19,2,0,0,1
2022-11-20,9,3,0,2
2022-11-21,4,2,0,0
2022-11-22,2,2,0,2
2022-11-23,2,2,1,0
2022-11-24,7,2,0,6
2022-11-25,5,2,1,3
2022-11-26,2,1,0,1
2022-11-27,3,1,1,3
2022-11-28,5,0,0,4
2022-11-29,6,1,1,2
2022-11-30,6,0,0,6
2022-12-01,2,0,0,2
2022-12-02,6,2,1,3
2022-12-03,6,1,0,2
2022-12-04,3,1,0,2
2022-12-05,4,2,1,1
2022-12-06,5,1,0,2
2022-12-07,4,1,1,1
2022-12-08,5,3,0,1
2022-12-09,2,2,1,1
2022-12-10,4,1,0,1
2022-12-11,3,1,0,3
2022-12-12,3,0,0,2
2022-12-13,3,1,0,2
2022-12-14,7,1,0,2
2022-12-15,2,1,1,1
2022-12-16,5,2,1,2
2022-12-17,4,3,0,1
2022-12-18,6,0,0,3
2022-12-19,3,1,0,2
2022-12-20,4,0,0,2
2022-12-21,4,1,0,3
2022-12-22,5,2,1,4
2022-12-23,5,2,1,3
2022-12-24,5,1,0,4
2022-12-25,4,3,0,1
2022-12-26,6,0,0,5
2022-12-27,5,1,0,1
2022-12-28,7,1,0,1
2022-12-29,8,4,0,3
2022-12-30,15,6,1,4
2022-12-31,6,6,0,3
2023-01-01,9,2,0,3
2023-01-02,7,4,0,1
2023-01-03,11,-2,0,5
2023-01-04,9,1,0,4
2023-01-05,2,0,1,2
2023-01-06,12,2,1,5
2023-01-07,7,2,1,4
2023-01-08,11,1,0,7
2023-01-09,19,2,0,9
2023-01-10,6,5,0,5
2023-01-11,9,2,0,5
2023-01-12,10,3,0,6
2023-01-13,12,2,1,6
2023-01-14,8,1,0,4
2023-01-15,7,0,0,4
2023-01-16,9,3,1,4
2023-01-17,11,2,0,4
2023-01-18,5,3,0,4
2023-01-19,4,0,0,4
2023-01-20,1,0,0,1
2023-01-21,6,1,0,4
2023-01-22,3,2,0,1
2023-01-23,6,1,0,3
2023-01-24,10,3,0,5
2023-01-25,9,1,0,5
2023-01-26,8,2,0,4
2023-01-27,9,1,0,9
2023-01-28,3,1,0,1
2023-01-29,5,0,0,2
2023-01-30,3,0,0,1
2023-01-31,1,1,1,1
2023-02-01,2,0,0,0
