date,added,ratings,reviews,to-read
2022-08-16,6,5,0,4
2022-08-17,15,5,2,7
2022-08-18,2,2,1,1
2022-08-19,4,3,1,1
2022-08-20,9,4,0,0
2022-08-21,13,3,0,4
2022-08-22,9,3,0,5
2022-08-23,7,1,1,4
2022-08-24,11,4,0,6
2022-08-25,5,1,0,1
2022-08-26,9,2,0,4
2022-08-27,4,1,1,2
2022-08-28,11,3,1,7
2022-08-29,9,3,1,3
2022-08-30,12,2,1,6
2022-08-31,5,3,0,3
2022-09-01,7,2,0,3
2022-09-02,4,0,0,1
2022-09-03,11,3,0,4
2022-09-04,8,2,0,3
2022-09-05,5,1,-1,3
2022-09-06,8,1,0,5
2022-09-07,4,2,0,1
2022-09-08,3,0,0,1
2022-09-09,10,0,0,7
2022-09-10,13,7,1,2
2022-09-11,7,6,0,5
2022-09-12,6,2,1,1
2022-09-13,12,2,1,6
2022-09-14,7,4,1,2
2022-09-15,9,2,0,5
2022-09-16,6,1,0,3
2022-09-17,7,4,2,5
2022-09-18,7,2,0,3
2022-09-19,7,1,0,2
2022-09-20,10,6,1,6
2022-09-21,2,1,0,1
2022-09-22,7,0,0,5
2022-09-23,4,1,0,2
2022-09-24,8,4,0,2
2022-09-25,3,1,0,2
2022-09-26,2,1,0,1
2022-09-27,8,3,0,2
2022-09-28,11,1,0,7
2022-09-29,3,3,0,2
2022-09-30,4,1,1,2
2022-10-01,7,2,0,4
2022-10-02,3,1,0,2
2022-10-03,7,5,0,1
2022-10-04,7,1,0,2
2022-10-05,2,3,2,0
2022-10-06,9,5,0,1
2022-10-07,5,1,0,1
2022-10-08,9,1,0,4
2022-10-09,8,1,0,2
2022-10-10,11,1,0,9
2022-10-11,6,4,2,2
2022-10-12,5,0,0,4
2022-10-13,9,4,1,4
2022-10-14,8,3,0,2
2022-10-15,6,1,1,4
2022-10-16,10,3,0,2
2022-10-17,12,2,2,3
2022-10-18,10,4,0,3
2022-10-19,9,3,0,4
2022-10-20,5,3,0,3
2022-10-21,5,2,0,2
2022-10-22,8,1,0,6
2022-10-23,5,1,0,3
2022-10-24,2,1,1,0
2022-10-25,7,0,0,3
2022-10-26,5,5,0,3
2022-10-27,10,5,0,3
2022-10-28,4,2,0,0
2022-10-29,11,4,1,2
2022-10-30,11,1,1,4
2022-10-31,7,2,0,3
2022-11-01,17,5,1,8
2022-11-02,20,3,1,8
2022-11-03,10,4,0,8
2022-11-04,13,2,0,8
2022-11-05,18,3,0,11
2022-11-06,16,4,0,3
2022-11-07,20,6,0,6
2022-11-08,18,7,0,7
2022-11-09,7,2,0,5
2022-11-10,13,3,0,4
2022-11-11,20,3,0,9
2022-11-12,15,4,1,5
2022-11-13,8,3,0,4
2022-11-14,13,3,2,6
2022-11-15,10,3,1,6
2022-11-16,9,1,0,3
2022-11-17,8,6,0,3
2022-11-18,11,2,0,5
2022-11-19,7,3,2,1
2022-11-20,26,5,1,6
2022-11-21,17,6,0,4
2022-11-22,27,9,2,8
2022-11-23,13,6,0,5
2022-11-24,15,8,3,6
2022-11-25,14,5,0,3
2022-11-26,13,5,0,4
2022-11-27,19,8,1,3
2022-11-28,14,5,1,7
2022-11-29,11,2,0,4
2022-11-30,12,5,0,3
2022-12-01,18,5,0,5
2022-12-02,8,4,0,4
2022-12-03,10,5,1,3
2022-12-04,7,3,0,1
2022-12-05,14,3,0,3
2022-12-06,9,3,0,4
2022-12-07,7,5,0,0
2022-12-08,8,8,1,4
2022-12-09,11,3,0,6
2022-12-10,12,3,0,3
2022-12-11,11,4,0,3
2022-12-12,14,1,1,10
2022-12-13,14,6,2,2
2022-12-14,9,5,1,3
2022-12-15,11,3,-1,5
2022-12-16,10,2,1,3
2022-12-17,11,4,0,3
2022-12-18,13,1,0,5
2022-12-19,5,4,0,2
2022-12-20,14,7,0,6
2022-12-21,13,7,2,6
2022-12-22,4,3,0,1
2022-12-23,16,7,2,4
2022-12-24,11,2,0,7
2022-12-25,10,1,0,6
2022-12-26,11,2,1,3
2022-12-27,26,9,3,12
2022-12-28,12,4,1,3
2022-12-29,11,7,0,3
2022-12-30,21,8,2,8
2022-12-31,36,9,0,8
2023-01-01,25,9,1,11
2023-01-02,21,4,0,14
2023-01-03,22,5,1,10
2023-01-04,14,6,1,9
2023-01-05,15,4,0,5
2023-01-06,14,7,0,7
2023-01-07,12,3,1,5
2023-01-08,16,3,0,8
2023-01-09,14,5,1,5
2023-01-10,17,3,1,10
2023-01-11,13,3,1,5
2023-01-12,11,3,1,3
2023-01-13,11,4,1,4
2023-01-14,13,5,1,5
2023-01-15,18,2,0,7
2023-01-16,11,6,0,6
2023-01-17,9,4,1,5
2023-01-18,13,5,1,3
2023-01-19,7,6,0,4
2023-01-20,12,3,1,5
2023-01-21,8,4,3,5
2023-01-22,10,1,0,2
2023-01-23,14,7,0,6
2023-01-24,9,4,1,6
2023-01-25,10,2,0,4
2023-01-26,12,2,0,5
2023-01-27,5,4,0,2
2023-01-28,15,2,0,5
2023-01-29,18,9,0,7
2023-01-30,7,5,1,5
2023-01-31,11,7,3,2
2023-02-01,10,4,-1,5
