date,added,ratings,reviews,to-read
2022-08-16,6,3,0,2
2022-08-17,7,2,0,2
2022-08-18,6,0,0,5
2022-08-19,9,0,0,8
2022-08-20,11,1,0,7
2022-08-21,11,2,0,5
2022-08-22,6,1,0,1
2022-08-23,9,3,1,8
2022-08-24,10,2,0,6
2022-08-25,7,1,0,4
2022-08-26,11,6,0,6
2022-08-27,6,1,1,5
2022-08-28,7,0,0,6
2022-08-29,7,0,0,7
2022-08-30,8,1,0,6
2022-08-31,9,1,0,3
2022-09-01,8,5,1,3
2022-09-02,10,1,0,5
2022-09-03,11,4,0,4
2022-09-04,7,1,0,4
2022-09-05,12,4,0,9
2022-09-06,9,5,0,4
2022-09-07,12,3,0,8
2022-09-08,8,2,0,5
2022-09-09,10,0,0,6
2022-09-10,13,5,0,5
2022-09-11,11,2,0,6
2022-09-12,7,0,0,2
2022-09-13,11,1,0,5
2022-09-14,10,2,0,2
2022-09-15,6,7,0,3
2022-09-16,3,1,0,1
2022-09-17,6,0,-1,3
2022-09-18,16,4,1,8
2022-09-19,5,4,1,2
2022-09-20,8,1,1,2
2022-09-21,3,0,0,2
2022-09-22,10,4,2,5
2022-09-23,7,1,0,4
2022-09-24,8,5,0,5
2022-09-25,4,0,0,4
2022-09-26,7,3,1,3
2022-09-27,10,3,0,5
2022-09-28,5,2,0,1
2022-09-29,9,3,0,4
2022-09-30,12,3,0,7
2022-10-01,9,2,0,3
2022-10-02,10,3,0,4
2022-10-03,7,4,0,2
2022-10-04,4,1,0,0
2022-10-05,7,0,0,3
2022-10-06,6,1,0,2
2022-10-07,4,1,0,1
2022-10-08,2,1,0,0
2022-10-09,10,4,1,4
2022-10-10,9,2,0,5
2022-10-11,5,3,0,5
2022-10-12,4,1,0,0
2022-10-13,10,2,0,4
2022-10-14,7,1,0,4
2022-10-15,11,2,0,5
2022-10-16,4,2,0,1
2022-10-17,9,3,1,3
2022-10-18,10,4,0,1
2022-10-19,8,1,0,4
2022-10-20,4,2,0,1
2022-10-21,10,3,0,5
2022-10-22,7,1,1,5
2022-10-23,11,6,1,3
2022-10-24,5,3,2,0
2022-10-25,3,2,0,1
2022-10-26,8,5,1,3
2022-10-27,6,0,0,2
2022-10-28,4,2,0,1
2022-10-29,6,1,0,1
2022-10-30,11,1,2,6
2022-10-31,10,4,0,4
2022-11-01,8,4,1,3
2022-11-02,5,1,0,2
2022-11-03,5,2,0,2
2022-11-04,3,0,0,0
2022-11-05,6,1,0,2
2022-11-06,8,2,0,6
2022-11-07,6,1,0,4
2022-11-08,9,1,0,5
2022-11-09,8,2,0,5
2022-11-10,6,4,0,3
2022-11-11,8,1,0,3
2022-11-12,13,3,0,7
2022-11-13,7,2,1,2
2022-11-14,13,4,1,7
2022-11-15,7,1,0,3
2022-11-16,8,4,1,5
2022-11-17,7,5,0,3
2022-11-18,5,2,0,4
2022-11-19,5,-1,0,2
2022-11-20,9,4,0,4
2022-11-21,7,1,0,6
2022-11-22,14,2,0,7
2022-11-23,6,2,0,3
2022-11-24,8,2,0,4
2022-11-25,10,5,2,2
2022-11-26,10,3,1,5
2022-11-27,9,1,1,4
2022-11-28,14,4,0,7
2022-11-29,5,-1,0,5
2022-11-30,13,3,0,3
2022-12-01,15,1,0,5
2022-12-02,11,7,0,4
2022-12-03,12,1,0,3
2022-12-04,6,3,0,2
2022-12-05,11,1,0,7
2022-12-06,12,2,0,8
2022-12-07,15,6,0,9
2022-12-08,9,5,2,6
2022-12-09,6,2,0,3
2022-12-10,10,2,0,4
2022-12-11,14,3,0,9
2022-12-12,11,3,0,7
2022-12-13,15,3,1,10
2022-12-14,15,3,3,6
2022-12-15,12,3,0,5
2022-12-16,14,5,2,6
2022-12-17,12,4,0,4
2022-12-18,8,3,1,4
2022-12-19,9,3,0,5
2022-12-20,10,5,0,4
2022-12-21,15,5,0,9
2022-12-22,10,4,0,5
2022-12-23,16,1,0,9
2022-12-24,11,4,1,3
2022-12-25,12,4,0,6
2022-12-26,26,7,0,13
2022-12-27,15,7,0,12
2022-12-28,16,5,0,8
2022-12-29,18,4,1,9
2022-12-30,31,10,0,11
2022-12-31,29,11,0,9
2023-01-01,30,6,0,11
2023-01-02,34,9,0,17
2023-01-03,25,9,1,16
2023-01-04,23,6,1,12
2023-01-05,32,5,0,17
2023-01-06,15,4,0,5
2023-01-07,27,9,2,15
2023-01-08,26,4,0,13
2023-01-09,16,6,0,9
2023-01-10,27,2,0,22
2023-01-11,14,3,1,8
2023-01-12,17,2,1,12
2023-01-13,18,3,1,8
2023-01-14,15,5,0,10
2023-01-15,19,2,0,15
2023-01-16,11,4,0,4
2023-01-17,19,5,1,10
2023-01-18,10,-2,0,8
2023-01-19,15,5,1,9
2023-01-20,8,3,0,7
2023-01-21,11,3,0,5
2023-01-22,15,4,0,9
2023-01-23,16,2,0,9
2023-01-24,19,2,1,12
2023-01-25,12,2,0,7
2023-01-26,7,1,0,5
2023-01-27,12,1,0,7
2023-01-28,13,6,1,7
2023-01-29,16,4,1,7
2023-01-30,14,6,2,7
2023-01-31,11,8,0,4
2023-02-01,17,4,0,10
