date,added,ratings,reviews,to-read
2022-08-16,6,1,0,4
2022-08-17,9,2,0,4
2022-08-18,4,3,0,1
2022-08-19,5,3,0,3
2022-08-20,9,1,1,7
2022-08-21,4,4,0,2
2022-08-22,4,1,0,1
2022-08-23,6,2,1,3
2022-08-24,9,2,0,6
2022-08-25,5,1,0,2
2022-08-26,9,0,0,6
2022-08-27,9,1,0,4
2022-08-28,15,6,1,6
2022-08-29,5,0,0,5
2022-08-30,5,0,0,2
2022-08-31,4,2,0,0
2022-09-01,6,2,0,4
2022-09-02,6,2,1,3
2022-09-03,3,1,0,1
2022-09-04,6,1,0,4
2022-09-05,8,3,0,3
2022-09-06,6,2,1,2
2022-09-07,12,8,2,1
2022-09-08,8,4,1,2
2022-09-09,11,4,0,5
2022-09-10,6,2,0,3
2022-09-11,8,2,1,5
2022-09-12,5,0,0,4
2022-09-13,3,1,0,3
2022-09-14,3,0,0,3
2022-09-15,2,0,0,1
2022-09-16,4,0,0,1
2022-09-17,5,0,0,2
2022-09-18,3,1,0,1
2022-09-19,2,2,3,2
2022-09-20,3,1,0,0
2022-09-21,2,3,0,1
2022-09-22,3,1,0,1
2022-09-23,2,0,0,1
2022-09-24,3,1,0,2
2022-09-25,5,2,0,1
2022-09-26,6,0,1,4
2022-09-27,8,2,0,4
2022-09-28,5,0,0,4
2022-09-29,5,1,0,1
2022-09-30,5,1,0,4
2022-10-01,3,1,0,1
2022-10-02,5,1,0,3
2022-10-03,4,1,0,1
2022-10-04,8,1,0,4
2022-10-05,2,2,0,1
2022-10-06,4,0,0,3
2022-10-07,5,1,0,0
2022-10-08,5,4,0,3
2022-10-09,4,1,0,0
2022-10-10,2,1,0,0
2022-10-11,10,1,0,6
2022-10-12,7,-2,0,3
2022-10-13,3,0,0,1
2022-10-14,5,1,0,1
2022-10-15,9,1,0,3
2022-10-16,6,1,0,4
2022-10-17,7,-1,0,4
2022-10-18,5,1,0,2
2022-10-19,8,2,0,2
2022-10-20,7,1,0,1
2022-10-21,2,2,0,1
2022-10-22,5,1,0,1
2022-10-23,6,2,0,3
2022-10-24,8,1,0,2
2022-10-25,4,0,1,2
2022-10-26,6,1,0,4
2022-10-27,3,-1,0,3
2022-10-28,8,2,1,1
2022-10-29,2,2,0,0
2022-10-30,6,1,1,2
2022-10-31,4,2,2,0
2022-11-01,2,1,1,1
2022-11-02,5,1,0,2
2022-11-03,3,1,0,2
2022-11-04,8,2,1,5
2022-11-05,4,1,0,1
2022-11-06,5,2,0,2
2022-11-07,4,1,0,1
2022-11-08,3,2,0,1
2022-11-09,6,1,0,4
2022-11-10,7,0,0,2
2022-11-11,6,3,1,4
2022-11-12,9,0,0,4
2022-11-13,10,5,1,3
2022-11-14,8,2,0,3
2022-11-15,2,1,0,0
2022-11-16,4,-1,0,0
2022-11-17,4,0,0,3
2022-11-18,5,3,2,1
2022-11-19,10,1,0,5
2022-11-20,8,2,1,4
2022-11-21,8,2,0,5
2022-11-22,2,2,2,1
2022-11-23,5,2,0,1
2022-11-24,3,1,0,0
2022-11-25,6,1,0,2
2022-11-26,12,1,0,5
2022-11-27,10,5,0,3
2022-11-28,7,3,0,3
2022-11-29,2,-1,0,1
2022-11-30,11,3,1,6
2022-12-01,3,1,0,3
2022-12-02,4,1,1,2
2022-12-03,6,1,0,6
2022-12-04,5,1,0,2
2022-12-05,10,2,0,3
2022-12-06,4,3,1,3
2022-12-07,7,1,0,3
2022-12-08,5,0,0,2
2022-12-09,7,2,0,3
2022-12-10,9,3,0,3
2022-12-11,7,2,1,5
2022-12-12,11,3,0,6
2022-12-13,9,2,0,5
2022-12-14,5,2,1,1
2022-12-15,9,2,0,6
2022-12-16,7,2,0,3
2022-12-17,7,0,0,1
2022-12-18,9,2,0,2
2022-12-19,9,1,0,5
2022-12-20,8,0,1,6
2022-12-21,2,1,0,1
2022-12-22,11,3,0,7
2022-12-23,8,1,1,4
2022-12-24,5,1,0,4
2022-12-25,4,2,1,2
2022-12-26,16,4,0,11
2022-12-27,16,5,1,7
2022-12-28,13,2,0,5
2022-12-29,12,4,1,7
2022-12-30,14,2,0,11
2022-12-31,17,6,3,7
2023-01-01,20,4,1,10
2023-01-02,18,3,0,10
2023-01-03,20,2,0,14
2023-01-04,19,5,0,9
2023-01-05,11,1,2,8
2023-01-06,13,1,0,9
2023-01-07,8,3,0,5
2023-01-08,11,1,1,7
2023-01-09,6,0,0,4
2023-01-10,15,1,0,8
2023-01-11,12,3,1,8
2023-01-12,14,6,2,9
2023-01-13,16,6,0,5
2023-01-14,9,0,0,5
2023-01-15,13,5,1,5
2023-01-16,7,3,0,4
2023-01-17,15,5,0,8
2023-01-18,5,1,0,3
2023-01-19,13,3,0,7
2023-01-20,14,5,0,9
2023-01-21,17,3,1,7
2023-01-22,6,2,1,5
2023-01-23,15,2,0,9
2023-01-24,19,2,0,10
2023-01-25,12,1,1,4
2023-01-26,9,1,0,6
2023-01-27,13,3,0,7
2023-01-28,7,5,0,3
2023-01-29,17,1,-1,10
2023-01-30,13,2,0,9
2023-01-31,11,2,0,8
2023-02-01,8,4,1,3
