Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
174876,A Way of Being,Julia,292,7,4,"August 6, 2011","I stole this book from my little brother, who took a seminar on existential and humanistic psychology during his last semester of college. Lucky duck!Anyway, Carl Rogers is badass. I taught Introduction to Psychology this summer for the third time, and whenever we discuss his person-centered approach, I get bemused questions such as, ""So he just...listened to his clients? Really listened to them? And it worked?"" Well, yes. Essentially, Carl Rogers articulated the idea that what makes a therapist helpful is not how many degrees a therapist has, or how many fancy and completely non-parsimonious theories they espouse, but how well they connect to their clients, and if they can actually provide unconditional positive regard--the idea that a therapist doesn't have to like or condone things that clients do, but does have to accept them as worthwhile human beings, no matter their circumstances or actions. This is not just some warm and fuzzy idea; decades after Rogers first started writing, we now have a strong body of evidence that the type of therapy matters far, far less than how much you like and trust the person you're graciously allowing to help you. This book is a mash-up of memoir, academic writings (one special treat is hearing him get super sassy while addressing his naysayers in the American Psychological Association after receiving some fancy-schmancy award), and philosophical treatises explicating his perspective. It's really fun. Not ""light reading"" fun, but I would definitely recommend it if you're a mental health professional, or if you'd like to read something that's continually optimistic about the potential for growth present in all human beings.Two quick quotes. First, Rogers is all about the freedom that comes from finding and maintaining your own integrity:""To be a person...this would be painful, costly, sometimes even terrifying. But it would be very precious: to be oneself is worth a high price.""Second, this is Rogers' telling therapists that real therapy requires bravery, on the part of the client, but also on the part of the therapist, as well. I hope I eventually get to a place where this is what I consistently do:""We are deeply helpful only when we relate as persons, when we risk ourselves as persons in the relationship, when we experience the other as a person in his own right. Only then is there a meeting at a depth that dissolves the pain of aloneness in both client and therapist.""",48,3
174876,A Way of Being,Giovanni Generoso,163,34,5,"June 9, 2015","Carl Rogers, a giant of psychological history, has here written personal essays - which read almost like a diary - about his way of being which center on authenticity, openness, empathy, gentleness, and love. It is a book about being human, loving oneself, loving others. It was absolutely wonderful and has undoubtedly changed the direction of my studies. Rogers calls his approach a ""home-brewed"" brand of existentialism that follows in the footsteps of Kierkegaard and Martin Buber, two of my philosophical heroes. This book articulates, in intimate language, Roger's search to feel, to truly feel, what it is like to be a human. He wants to open up space for each of us to actually let ourselves feel all of the things that everybody around us - family, friends, society, school, church, state, government, culture, etc. etc. etc. - teach us we need to suppress, ignore, evade. When we make eye-contact with another human, we're not looking at an object of study, a thing to be fixed, a test-subject, we're looking at a human being; a human with feelings, hurts, desires, fears, aspirations, and everything else that we so often overlook about ourselves. Rogers calls for a complete transformation of how we think about ourselves and others - what we truly desire, underneath the surface, who we are, what hurts us, etc.My favorite chapter was entitled ""Do We Really Need 'A' reality?"" In it, Rogers argues that there is no such thing as ""a"" reality - as if ""reality"" was a stable concept, the same for all persons, static. He argues instead that there are as many different ""realities"" as there are humans. We each see and experience things differently. This is a necessary realization we must have in order to think rightly about what's going on in our relationships. People don't see things the same. Things impress themselves upon each person in slightly, often radically, different ways. And this isn't just okay! It's a good thing. It makes life diverse, interesting, risky. We shouldn't force all people to assimilate to one view of things, since that's intellectual dictatorship, but should rather seek to jump into different points of view, growing, changing, learning with one another. Rogers thinks that all we know is what we feel at each moment - and that's the best we can claim. His Pyrrhonian skepticism, and Nietzchean Perspectivism (both of which I've been influenced by, emerge here.Enough philosophy for now... The book ends with a view toward the future: ""The World of Tomorrow and the Person of Tomorrow,"" as the chapter is called. Rogers calls the Persons of Tomorrow those who are open, willing to learn and change, accepting of others, risk-takers, questioners of the status quo and traditional authority, those who make decisions based on their own thought-through convictions and experience and not the authority of persons or books outside of them, individuals who want to be themselves and to help others be who they are too. It's a beautiful picture, and I have unknowingly been moving in these sorts of directions in my own ways over the past couple of years or so.Read this book if you want to become yourself. Like I said before, it's far from scholarly - it read like a diary, like a man who is journaling late at night by himself, feeling, with his whole heart and mind, what it is like to be a human being.",14,N/A
174876,A Way of Being,Oona,214,19,5,"August 29, 2007","i am not sure when i first read this book, but i think it was some time in high school (a book i saw from my dad's large collection of philosophy/psychology/mythology books).as i read this, it inspired me to read more psychology books to motivate me to a better misunderstanding of myself and the world around me.too bad, i am not ""school smart"", or else i would become a psychologist (never a psychiatrist!). although, after meeting a random person (indian with half singaporean blood) who said that gandhi did not school his (four) children. for he did not believe in ""education"" (as a noun), but to be educated (as a verb). with that, i realize i could still be the ""psychologist"" in a non-traditional way. i only need to still want to learn and be educated (and not be stuck in the place, ""education"").",8,N/A
174876,A Way of Being,Shmuli,23,2,1,"May 18, 2020","It looks like I’m an outlier in giving this 1 star, so I might leave a few lines of explanation. If, like me, you have never read anything else by Rogers, don’t start with this book.The book is a collected series of disparate chapters by Rogers on his life, theories and encounter group sessions.The chapters on his life, by and large, didn’t seem to offer much insight and spend a lot of time naming people and places.The chapters on theory have a bit more content, but are limited to, for example, a chapter of short vignettes, which leaves the feeling that the ideas are better explained elsewhere. I also felt that these chapters were generously sprinkled with a feeling of ‘look how neatly my ideas worked’ and ‘if only everybody did this’ at the expense of actual content.Ironically, Rogers says at the beginning of the book that he attributes his success in part to the fact that he made low-level testable claims, yet he repeatedly talks about psychic phenomena, the paranormal, and telepathy. If I didn’t know who the author was, I would say the book often reads like it was written by a self-appointed New Age babble-guru, interspersed with the odd psychology reference to sound legit.There are also multiple chapters on Rogers’ encounter groups. Which is good if you want to read about things like how the workshop staff prepared by ‘letting themselves be’, or how they discussed sexual behaviour before a workshop which then had “an almost telepathic knowledge’ of this. Or you can hear endlessly about how Rogers thinks encounter groups are the key to solving everything from the Israel-Palestine conflict to global hunger.I’m not going to knock Rogers or people-centred therapy based on this book alone, and clearly his ideas have been extremely influential in the psycho-therapy world. There is of course obvious tremendous value in his approach, but this book was a very underwhelming place to start reading about it.",6,1 comment
174876,A Way of Being,Marcus,53,4,4,"February 20, 2021","Towards the end of Carl Rogers' life, when this book was written, he began to move away from one-on-one psychotherapy and focus more on the community and society at large. There was less a focus on the individual isolated from others, but rather incorporating the individual into a larger whole. This isn't a surprising evolution of Rogers' person-centred humanistic style of interpersonal relationships and shows his desire to affect real change on a global level by the end of his life.And that's what this book is: it is the story of Carl Rogers' life and works, including autobiographical chapters focusing on the past and present. Then you have middle sections that expand on some of his previous works, but with surprising personal additions that give insight into Rogers' himself on a more personal level. What significantly added to his own personal growth across his vivid life? The book ends with a final vision of an idyllic future, with the ideal characteristics of 'the person of tomorrow' listed as a precursor to a paradigm shift that, I believe, we are witnessing even more clearly in 2021 than when this was written in the 1980s.Rogers was always an optimistic person. He believed that the individual was good at its core, that one always strove for growth and actualisation of their own self; and I love this about his humanistic approach. This book asks the question: are we capable of bringing a more feeling-centred, authentic, open and real self into our interpersonal relations with others? Are schools, corporations, and governments able to allow more congruence in the way they function? Are we about to witness an era where our false masks are peeled off, ever so slightly? Are we going to allow communities to flourish and slowly edge away from the over-individualised nature of our modern societies—which, as we know, has made loneliness and isolation common modern afflictions that have revealed a mental health crisis that was previous suppressed and hidden?We can only hope that even a slither of Rogers' optimistic future becomes a reality. For now, we can at least focus on become persons in our own right and positively affecting those we meet along our life journey. As you can see from countless examples in this book, one positive interaction can significantly impact another person's life, causing a future ripple effect that can affect countless others. Let's keep throwing pebbles into that pond and keep hoping.",2,N/A
174876,A Way of Being,Shelby M. (Read and Find Out),560,124,4,"August 15, 2017","This was excellent. I started out loving it, though it got a bit dry around the middle. Each chapter is essentially a different essay by Rogers, so my enjoyment varied per chapter. I found the last chapter, The World and the Person of Tomorrow, to be particularly moving. ",2,N/A
174876,A Way of Being,Ella,151,5,4,"January 1, 2018","The book is a collection of Rogers’ papers done on different aspects of his person centred approach, organised into three main sections: personal experiences and perspectives, the person centred approach in psychotherapy, and it’s application in education. The first noticeable quality of his writing is the clarity of it. The wordings are precise, the logic coherent, and even the slightest confusion over what he meant is almost not possible. The clarity is so noticeable that it naturally reminds me of other psychology books I’ve read and how I can not say the same about them. It’s almost as if Rogers knew where ambiguity may take roots and nipped them in the bud before they had a chance. He writes like who he is, a humanistic scientist. To the point and flow of the logical mind. Secondly, I am taken back by his openness and honesty. He talks about parts of his own life - especially how he decided not to dedicate all his time to care for his wife when she was battling with illness at the end of her life, for his own well being, for his survival. He talks about how it has affected their marriage at the end, how she struggled to make peace with it. This wasn’t the only example of his honesty but one of the most outstanding one in my eyes. This was where I started to believe that he really is what he preaches - a believer in the freedom of one’s being, in its congruency and openness, free from judgement and social and cultural pressure of one perceived reality. Then, the thing I love the most about this book is that it opens a new door for me, a door of person centred approach. I completely agree with this philosophy and I am grateful that he points it all out for me, going into practical details like what is real listening, what is real empathy, the elements of modern loneliness, how and what provides for behaviour change and more. I love how he challenges the idea of one reality. I love his analysis on the case of Ellen West. These are precious lessons one can never get enough of. They liberate one from confusion and suffering. They save lives. I gave it 4 rather than 5 star because one, I wasn’t sure why the Brazil encounter group experience was put under the 3rd section of education. Though it involves a big group but it seems more appropriate to me to have it under section 2. Two, for some reason, I was growing restless and found it hard to concentrate in the last chapter where he talks about the future of humanity and his philosophy. Three, which is probably the key reason, I find myself reading too much of the same idea in different chapters. Not to the point that I became impatient, but enough to want to skip it sometimes. ",1 like,N/A
174876,A Way of Being,David,15,3,5,"June 3, 2020","This was hard to put down. Rogers reflects on a life of developing and testing the kinds of hypotheses that one might expect from an INFP - that relationships, therapy, and leadership can be more successful when approached with empathy, warmth, and genuineness. His vision often starts out seeming untenably-vast (such as reciprocal causation in self-actualization), but his conscientiousness and honesty end up making it persuasive.For me, the most interesting issue is congruence. Rogers observes that ""organismic"" drives can sometimes be counterproductive to self-actualization and that ""hard-headed"" science can suffer from inefficiency and theory-induced blindness. But when he argues for a synthesis of the two, there isn't much insight as to how it can be achieved. Yalom, Rosenberg, and others have been more satisfying in that area.",1 like,N/A
174876,A Way of Being,Joe,113,3,4,"September 22, 2009","This book is a collection of speeches and writings from Carl Rogers reflecting on his extensive experience in Psychology. He has had a big influence on the world of psychology in moving away from a prescriptive approach (I know what's best for you) to a non-directive approach (let the patient lead). It's very interesting and has certainly been a model of application in my own pastoral training. He makes reference to eastern philosophies of leadership which I also find fascinating - this sense of leading not through control, rather enabling a person or group to claim their own identity and their own path.",1 like,N/A
174876,A Way of Being,JY Tan ,105,12,4,"July 21, 2019","I hesitant to say that I finished this, because I very clearly skimmed and skipped several chapters due to the repetitive nature of the essays, particularly considering that I have finished On Becoming A Person (which is one of my all time favourite book). In retrospect I am not convinced that this book added any particular depth that was missing from On Becoming A Person, aside from more vignettes about group work and a person centred approach to the classroom. The premise is fundamentally still the same. Maybe I wasn’t reading this at the right time. May revisit in a later stage of life. ",1 like,N/A
