Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,Christina,230,12,4,"March 22, 2016","Agh! I want to give this book five stars soooo badly, but there is one thing holding me back. The book talks in detail about emotionally immature parents, and how to recognize the behaviors. It also talks at length about internalizing and externalizing as responses to those behaviors. What it doesn't talk about is recognizing those same emotionally immature behaviors in yourself, and what you can do to mature in those areas. Of course, we'll have reactions to the behaviors of our parents, but many of us adopted those same behaviors, and would like to avoid making those same mistakes in our relationships now. I would've loved a section just before the end summary of each section that had 2-3 concrete exercises to help not behave in those emotionally immature ways.Why does this seemingly small criticism knock it down a full star? Maybe I'm an extreme internalizer ;-) but I found it sometimes hard to focus on the sections about why I deserved more while I was too busy worrying, ""but I do that. And that! Oh no..."" But, that being said, it's absolutely worth reading, I loved it. It was so helpful and has a really good balance of non-emotionally identifying immature behaviors and offering new attitudes and behaviors. I am so hoping that there's a sequel about not falling into emotionally immature behaviors ourselves. ","1,012",51
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,Thomas,"1,400",8120,5,"August 26, 2018","Hands down one of the best Psychology books I have ever read. I love this book so, so much. As anyone who has read my blog knows, I grew up with pretty awful (i.e., abusive) parents, so this book validated my experiences in such a profound way. I appreciate how Lindsey Gibson honors the emotional experience of growing up with an emotionally immature parent through her immense empathy and compassion. She makes space for the suffering and the painful yet necessary transformation of a helpless child to a self-aware adult. She writes like a warm therapist or friend who stands by your side, as opposed to a cold or detached professional. Throughout the book, she provides a ton of important research-based information too, like the four types of emotionally immature parents and various findings about attachment patterns.I most loved how Gibson provides specific, tangible strategies for improving your ability to handle difficult emotions as well as techniques to develop healthy, reciprocal relationships. I believe that everyone could benefit from reading these sections - and this book as a whole - as Gibson's insights apply to handling all emotionally immature people, not just parents. For example, she provides a thorough list of traits and behaviors of emotionally mature people at the end of the book that amazed me with its accuracy and understanding of humans.Ten out of five stars to this gem. I know I will come back to it both for my personal life and for my work as a mental health professional.",369,16
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,September,700,53,5,"June 1, 2019","Two words: Life altering. It's hard to review such a book without getting personal. I'm not interested in sharing my dirty laundry or my family's, but this book has completely changed my life. I learned I wasn't alone, and I learned many ""whys."" More importantly, beyond explaining the ""hows"" and ""whys,"" the author gave tools for interacting with family, finding and making new emotionally mature relationships, inner change, and more. I would pick up more of Gibson's work in a heartbeat. I'm eternally grateful.",231,6
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,Morgan Blackledge,551,1851,5,"August 5, 2021","I avoided this one for a good minute. For some reason I just ‘wasn’t in the mood’ for it. But I’ll be ding danged if it didn’t hit the bullseye 🎯Sometimes we (I) avoid the the best stuff, and go for the close but not quite thing, or even the wrong thing altogether. Funny how that works.And that’s kind of what this book is about. It’s about how being emotionally neglected in childhood, by an emotionally immature or self absorbed parent, can get you in the habit of ‘putting out fire with gasoline’, and can keep you ‘lookin for love in all the wrong places’ (as an 80’s pop song can attest).How so you ask?Well you have to read the book to find out. But it ‘goes a little something like this, hit it’.Author Lindsay Gibson defines emotionally immature parenting as typified by a pervasive inability to be present and attentive to the child’s emotional experiences.According to Gibson, emotionally immature, or self absorbed parents are blind to their children’s emotional word for a variety of reasons, most commonly due to their own abuse and neglect in childhood, as well as trauma, addiction, mental illness etc. Anyway, for what ever reason, the emotionally immature parent(s) can’t sooth or validate their children’s emotions. Left to fend for themselves, these emotionally neglected children may adopt an internalizing or externalizing coping style.Internalizing: refers to the tendency to seek emotional soothing by becoming self-reliant, and retreating inwardly e.g. utilizing psychological defenses and traits such as dissociation and/or creative fantasy for emotional comfort. Internalizers are vulnerable to trauma depression and anxiety, but are also prone to self awareness, insight and empathy.Externalizing: refers to the tendency to seek emotional soothing externally in relationships, objects and behaviors. Externalizers are vulnerable to substance use, emotional outbursts, vandalism, crime etc. but are also prone to hard driving high achievement.The author reports that internalizers are the ones that typically seek therapy voluntarily, often in their 30’s after a divorce or other relationship problems. But externalizers end up in therapy too, usually due to legal troubles or substance abuse etc. In both cases, children of emotionally immature parents ‘grow up quickly’ out of sheer necessity to take care of them selves, or to take care of their parents.In such cases, childhood offers little advantages and too many restrictions.These ‘little grownups’ speed towards adulthood and independence, but at a very high price that they only become aware of later in life. Growing up fast if exciting, but you miss out on important developmentally appropriate milestones and often find yourself behind your peers in someway or another. Children of emotionally immature parents frequently want to change the way their parents feel. But the author emphatically warns against this claiming “you can’t change someone who doesn’t want to change”.The author observers that children of emotionally immature parents often harbor a fantasy that if they can just engage emotionally with their parent, in just the right way, then they will finally be seen and understood, and the parent will change their emotionally neglectful, self absorbed ways. No!!!That’s never going to happen. Take that fantasy and draw a big barsinister through it 🚫.This fantasy may take the form of endless emotional demonstrations, conversations and confrontations that leave the emotionally immature parents feeing uncomfortable and defensive and leave the adult child feeling wounded and unsupported all over again. This dynamic often gets reenacted in adult relationships with partners, whereby the adult child of emotionally immature parents seeks out partners who are emotionally similar to their problematic parental relationship. You know.That ‘same relationship different person’ cycle. #NightmareThe author posits that if theses dynamics go unidentified, unprocessed and unresolved, than they can dominate and ruin your love, friendship and work relationships, and (perhaps most disturbingly) may be transmitted to your children trans-generationally.The author has TONS of good advice about what can be done. But perhaps most immediately effective are the following. Boundaries: identify how long you can be in contact with your emotionally immature parent, without loosing your objectivity and without becoming emotionally reactive, and limit your contact with the parent, not to exceed that amount. Limit your conversations to non contentious topics. And (warning) be prepared for the subject to almost always come back to them. Accept and Manage: rather than endlessly emotionally engaging with the parent, the author recommends accepting that you can’t change someone else’s emotional reality with yours. In other words, let go of your fantasy that they will finally see understand your perspective and drop the rope on the emotional tug of war that’s exhausting both of you. Surrender. You’ll win by loosing.Trust me on this one. The author instead recommends remaining observational and outcome driven. Observe the parents current level of capacity. Identify achievable, realistic goals you can accomplish together, and stick to those. This book is LOADED to the gills with wisdom, intelligence and excellent advice (a rarity to be sure). If you’re curious. Get it. If this book is your jam, you will know within the first chapter. If it is. Than this book might help you finally find your way home to the sanity and serenity you have been seeking. Awesome Read 😍",160,24
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,Rhea (Rufus Reads),76,113,4,"January 20, 2021","Here is how my reading experience was: - 50% vigorous head nodding and delight to have the right language for my lived experiences- 20% gasping due to incisive and hyper-specific instances that I could relate to clearly- 20% itch to share snippets with certain people in my life who would benefit from this 'enlightenment', and- 10% desire to go back in time, print this out, and chant it like a mantra every year of my adolescent life. Written by a clinical psychologist, this was surprisingly neither too academic nor too 'self-helpy'. A friend on finding out that I am reading this book said to me, ""this is what i have spent the last 2 years in therapy trying to process/unpack, and i am so glad to have found this book.""There is power in this book, and it could be a terrific read - but only if you're the right audience for it. I know I am.",144,3
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,Lisa,971,3331,4,"June 21, 2018","This is a book you pick out for a very specific reason, and it is hardly possible to review it in a neutral way. So I won't.I hope that I don't have to recommend it to anyone, as it means opening up a Pandora's box of unresolved issues with major impact on who you are and how you deal with life.Let's just say this: if you have the feeling that something was missing in your life, and that you were distinctly different from other people with regards to your family relationships, this book may help you to understand your defence mechanisms, your responses and guilt trap feelings. It may show you a way forward to realise your own potential, and a way to accept the limitations of relationships with emotionally immature people in your environment. It may help you develop a stronger sense of self and new confidence in your right to live your life according to your own wishes and dreams. It may cause pain. And it does contain nuts :-) But no worries - if you are a classic internaliser (externalisers usually don't read self-help books), you will have developed a strong sense of humour as a vital survival skill.  This book is the apple Eve ate to gain knowledge of her all-consuming, emotionally immature parent.",123,17
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,Angel,30,11,5,"January 16, 2016","I wish I had read this book sooner! Finally validation that my family's repeated claim that I am ""too sensitive"" is more a reflection of their own emotional deficiencies than my own! Even though I knew my parental relations were not entirely healthy, they were still my primary model for relationships and, consequently, I had unwittingly come to see some dysfunctional behaviors as normal. This book made me realize that much of what I thought was just my personality were really defense mechanisms that commonly develop in response to emotionally immature caregivers. The descriptions were so on point that I teared up a bit reading it, but that's a sensitive internalizer for you! This book filled the much-needed role of clearly and compassionately showing what healthy behaviors I should expect in relationships and what healthy behaviors I need to work on adopting. Some of this I had discovered through life experience. I could have recognized and avoided some emotionally abusive situations if I had read this book earlier.",63,2
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,McKenzie,35,5,3,"July 20, 2016","Good introduction to the concept, helps you see your parents clearly. Not much there, though, on how to overcome the defenses you built in response and change your own thought process/behavior. It's discussed, but it's very high level and not very helpful. ""Do this,"" not ""Here's how you can do this."" This isn't necessarily a book for people who recognize their parents as emotionally immature already and want to know how to overcome that influence in their own lives. If you're already on board with that, this won't be very helpful.",53,2
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,Carrie Poppy,305,1046,5,"August 4, 2020","I’ve read dozens of research-based psychology books, and a large handful of self-help books (way more if you count spiritual texts), and only three stand out as hugely meaningful to my life: Mind Over Mood, Driven to Distraction, and this one.If you were sidelined, neglected, or constantly criticized as a child, this book is for you. My copy is so marked-up, it could be a diary.I’m a little skeptical (perhaps too much) of clinical psychologists. Unfortunately I think it’s a field that has far too much pseudoscience swept up in its mainstream, and I’m far more willing to listen to research psychologists. But Gibson (a PsyD clinical psychologist) is a strong exception. She is clear, nuanced, refers to the research, and doesn’t make sweeping statements or treat the brain as a mystical space hiding trauma in its dark corners. Highly recommend.",49,2
23129659,Adult Children of Emotionally Immature Parents How to Heal from Distant Rejecting or SelfInvolved Parents,lov2laf,714,1033,4,"July 20, 2017","This book has a long enough title as it is but it could also tack on...""How to Heal from Distant, Rejecting, Self-Involved Parents, or Parents Who Never Parented You But You've Always Parented Them and They Expect You To Do So Until the Day They Die...and Is It Me or Are They Getting Even More Infantile in Their Old Age?""I'm guessing anyone that reads this book could slap a picture of one, both, or all of their parents into the book as the very definition of an Emotionally Immature Parent. I could, at least, because this book breaks down that there are actually four types of emotionally immature parents and just nails it: Emotional, Driven, Passive, Rejecting.The book does a great job of distinguishing the difference between what it's like growing up with an emotionally mature vs immature parent (because if we haven't grown up with a mature parent it's hard to know what it's *supposed* to be like), the affect that has on the child and their development, the struggles and hard-wired characteristics that now grown up adult deals with, how to shake up and out of it (as best you can), how to deal with your parents in present day, and how to recognize healthy mature people, in general, so you can have healthier connections in your adult life.It basically reads like a definition and how-to guide and I feel like I'd need to walk around with the book as a reference for the next few years.What I took away from the book was validation of the f'ed-upness of my upbringing, clarity about *how* my parents are emotionally immature, the fact that they have absolutely no ability to be introspective and understand their behavior's impact (that's super enlightening), that your emotionally immature parents will NEVER change so it's important to give up the fantasy of having the parent you want from them, strategies for dealing with parents/emotionally immature people in present day and an understanding of ""Oh crap, I have some of these characteristics myself."" ::face palm::There's a wealth of information here delivered in a well-written, broken into clear sections kind of way that allows for easier digestibility and reference.Very good book. Recommend.",42,10
