date,added,ratings,reviews,to-read
2022-08-16,140,38,1,54
2022-08-17,178,46,2,70
2022-08-18,124,48,0,44
2022-08-19,140,40,0,51
2022-08-20,150,43,2,47
2022-08-21,155,58,2,64
2022-08-22,139,45,4,41
2022-08-23,136,38,3,60
2022-08-24,157,60,2,48
2022-08-25,138,55,3,42
2022-08-26,126,36,2,46
2022-08-27,95,27,0,31
2022-08-28,125,28,2,49
2022-08-29,128,22,-1,47
2022-08-30,131,35,1,31
2022-08-31,123,43,2,47
2022-09-01,137,38,1,37
2022-09-02,117,49,3,37
2022-09-03,131,26,1,41
2022-09-04,143,47,3,47
2022-09-05,129,63,4,40
2022-09-06,147,33,3,35
2022-09-07,172,53,1,52
2022-09-08,133,40,2,47
2022-09-09,111,37,0,46
2022-09-10,121,35,0,37
2022-09-11,133,36,2,55
2022-09-12,130,56,1,42
2022-09-13,135,47,5,48
2022-09-14,131,54,5,37
2022-09-15,104,56,3,29
2022-09-16,117,42,2,34
2022-09-17,103,23,1,40
2022-09-18,169,41,1,79
2022-09-19,152,41,1,56
2022-09-20,152,56,1,61
2022-09-21,130,54,2,46
2022-09-22,116,46,3,38
2022-09-23,128,-3,1,33
2022-09-24,117,41,1,46
2022-09-25,132,32,0,44
2022-09-26,129,19,2,43
2022-09-27,127,-7,2,38
2022-09-28,96,-22,1,30
2022-09-29,107,-67,2,37
2022-09-30,97,35,7,37
2022-10-01,86,25,2,26
2022-10-02,111,12,2,38
2022-10-03,124,26,0,39
2022-10-04,127,50,3,41
2022-10-05,118,49,2,41
2022-10-06,115,36,3,33
2022-10-07,105,28,0,45
2022-10-08,117,26,1,38
2022-10-09,140,23,1,42
2022-10-10,103,47,1,32
2022-10-11,97,27,3,35
2022-10-12,97,12,2,37
2022-10-13,100,27,0,32
2022-10-14,94,-4,1,41
2022-10-15,121,34,1,30
2022-10-16,103,-31,2,34
2022-10-17,125,-16,3,35
2022-10-18,142,14,0,45
2022-10-19,142,43,4,33
2022-10-20,111,37,1,37
2022-10-21,106,14,-1,39
2022-10-22,91,20,0,34
2022-10-23,121,-75,1,40
2022-10-24,115,-51,5,38
2022-10-25,118,-20,2,36
2022-10-26,83,36,0,27
2022-10-27,109,47,3,31
2022-10-28,108,38,3,30
2022-10-29,94,28,1,41
2022-10-30,95,15,1,29
2022-10-31,80,-2,0,40
2022-11-01,110,32,3,26
2022-11-02,97,33,1,29
2022-11-03,124,17,1,44
2022-11-04,100,36,2,39
2022-11-05,110,24,2,43
2022-11-06,106,28,1,40
2022-11-07,106,31,2,26
2022-11-08,103,35,3,32
2022-11-09,96,30,1,41
2022-11-10,90,27,0,28
2022-11-11,88,25,2,32
2022-11-12,108,24,0,40
2022-11-13,105,39,2,27
2022-11-14,91,32,1,28
2022-11-15,107,33,3,36
2022-11-16,127,43,0,37
2022-11-17,86,35,5,23
2022-11-18,103,37,5,25
2022-11-19,79,19,1,26
2022-11-20,91,18,1,32
2022-11-21,68,14,1,27
2022-11-22,88,17,2,19
2022-11-23,82,24,2,22
2022-11-24,69,20,0,31
2022-11-25,94,32,2,30
2022-11-26,99,34,2,34
2022-11-27,107,37,2,26
2022-11-28,110,35,-1,44
2022-11-29,95,43,2,34
2022-11-30,117,43,5,32
2022-12-01,83,33,2,27
2022-12-02,84,23,1,30
2022-12-03,104,38,-1,26
2022-12-04,93,27,1,30
2022-12-05,98,36,3,36
2022-12-06,124,33,0,37
2022-12-07,97,36,1,30
2022-12-08,91,30,1,37
2022-12-09,135,45,2,52
2022-12-10,105,38,2,34
2022-12-11,120,38,2,43
2022-12-12,94,45,4,28
2022-12-13,99,29,1,32
2022-12-14,106,38,1,37
2022-12-15,124,33,2,42
2022-12-16,104,28,1,36
2022-12-17,123,46,3,33
2022-12-18,115,28,1,38
2022-12-19,86,25,6,23
2022-12-20,115,36,3,47
2022-12-21,96,28,2,26
2022-12-22,121,42,2,40
2022-12-23,128,44,2,40
2022-12-24,124,37,0,45
2022-12-25,145,40,1,42
2022-12-26,167,57,2,62
2022-12-27,179,57,1,49
2022-12-28,190,72,3,56
2022-12-29,216,85,4,56
2022-12-30,272,107,1,60
2022-12-31,305,114,1,70
2023-01-01,437,122,1,89
2023-01-02,399,200,8,91
2023-01-03,307,127,6,82
2023-01-04,294,102,1,90
2023-01-05,241,86,5,83
2023-01-06,229,87,5,63
2023-01-07,273,78,3,116
2023-01-08,310,68,2,150
2023-01-09,246,59,2,93
2023-01-10,261,74,3,100
2023-01-11,212,75,5,89
2023-01-12,197,-28,2,70
2023-01-13,208,-29,1,58
2023-01-14,194,67,7,54
2023-01-15,186,64,3,48
2023-01-16,205,70,4,58
2023-01-17,185,44,2,54
2023-01-18,191,65,5,52
2023-01-19,147,65,4,46
2023-01-20,183,64,5,60
2023-01-21,178,56,1,54
2023-01-22,200,72,5,56
2023-01-23,184,59,5,56
2023-01-24,179,59,0,48
2023-01-25,189,60,3,52
2023-01-26,170,60,3,46
2023-01-27,161,58,2,46
2023-01-28,166,51,1,52
2023-01-29,192,59,1,65
2023-01-30,143,52,2,40
2023-01-31,152,48,4,44
2023-02-01,159,68,4,47
