date,added,ratings,reviews,to-read
2022-08-16,5,0,0,4
2022-08-17,6,0,0,3
2022-08-18,3,0,0,3
2022-08-19,5,0,0,3
2022-08-20,6,0,0,3
2022-08-21,2,2,0,1
2022-08-22,0,0,0,0
2022-08-23,3,1,0,2
2022-08-24,5,0,0,4
2022-08-25,5,0,0,5
2022-08-26,3,1,1,2
2022-08-27,5,1,0,2
2022-08-28,5,0,0,4
2022-08-29,6,1,0,4
2022-08-30,6,1,1,6
2022-08-31,2,0,0,2
2022-09-01,8,1,0,8
2022-09-02,8,0,0,6
2022-09-03,6,1,0,2
2022-09-04,6,1,0,4
2022-09-05,2,0,0,0
2022-09-06,3,0,0,3
2022-09-07,4,-2,0,2
2022-09-08,3,0,0,3
2022-09-09,8,1,0,7
2022-09-10,2,1,0,2
2022-09-11,3,0,0,2
2022-09-12,3,1,0,2
2022-09-13,2,0,0,2
2022-09-14,3,1,0,2
2022-09-15,5,2,0,3
2022-09-16,3,0,0,2
2022-09-17,1,0,0,0
2022-09-18,7,2,0,3
2022-09-19,4,-1,0,3
2022-09-20,4,1,0,2
2022-09-21,6,1,1,4
2022-09-22,4,0,0,3
2022-09-23,3,0,0,3
2022-09-24,2,0,0,1
2022-09-25,8,0,0,6
2022-09-26,6,1,1,4
2022-09-27,3,0,0,3
2022-09-28,6,1,0,3
2022-09-29,6,0,0,4
2022-09-30,1,0,0,0
2022-10-01,3,0,0,2
2022-10-02,3,0,0,3
2022-10-03,2,0,0,2
2022-10-04,8,0,0,7
2022-10-05,6,0,0,4
2022-10-06,2,2,0,0
2022-10-07,4,0,-1,2
2022-10-08,6,1,0,5
2022-10-09,7,0,0,7
2022-10-10,6,1,0,5
2022-10-11,2,0,0,2
2022-10-12,2,0,0,2
2022-10-13,5,1,0,1
2022-10-14,3,0,0,2
2022-10-15,6,0,0,4
2022-10-16,4,1,0,2
2022-10-17,4,1,0,3
2022-10-18,2,0,0,0
2022-10-19,4,0,0,3
2022-10-20,2,0,0,2
2022-10-21,8,0,0,7
2022-10-22,7,0,0,5
2022-10-23,5,2,0,2
2022-10-24,7,0,0,2
2022-10-25,1,0,0,0
2022-10-26,3,0,0,3
2022-10-27,2,1,0,1
2022-10-28,6,0,0,6
2022-10-29,1,0,0,1
2022-10-30,2,0,0,2
2022-10-31,1,-1,0,1
2022-11-01,1,0,0,0
2022-11-02,3,0,0,3
2022-11-03,3,1,0,3
2022-11-04,4,2,0,2
2022-11-05,6,0,0,6
2022-11-06,7,2,1,6
2022-11-07,3,0,0,3
2022-11-08,9,0,0,8
2022-11-09,2,0,0,2
2022-11-10,7,0,0,6
2022-11-11,8,0,0,8
2022-11-12,2,2,0,1
2022-11-13,5,1,0,4
2022-11-14,2,1,0,1
2022-11-15,5,2,0,3
2022-11-16,5,-1,0,4
2022-11-17,5,0,0,5
2022-11-18,7,1,0,4
2022-11-19,5,0,0,4
2022-11-20,8,4,0,4
2022-11-21,3,0,0,2
2022-11-22,5,2,0,3
2022-11-23,7,1,0,4
2022-11-24,6,1,0,3
2022-11-25,5,0,0,5
2022-11-26,13,1,0,9
2022-11-27,6,2,1,3
2022-11-28,6,1,0,3
2022-11-29,4,1,0,2
2022-11-30,2,2,0,0
2022-12-01,5,0,0,4
2022-12-02,2,1,0,0
2022-12-03,1,0,0,1
2022-12-04,8,1,0,7
2022-12-05,6,0,0,3
2022-12-06,7,0,0,7
2022-12-07,0,0,0,0
2022-12-08,6,0,0,5
2022-12-09,1,0,0,1
2022-12-10,5,1,0,4
2022-12-11,3,0,0,3
2022-12-12,4,2,0,2
2022-12-13,3,0,0,2
2022-12-14,5,0,0,5
2022-12-15,5,0,0,5
2022-12-16,3,1,0,2
2022-12-17,7,0,0,7
2022-12-18,2,0,0,2
2022-12-19,5,2,0,3
2022-12-20,5,0,0,4
2022-12-21,3,1,1,2
2022-12-22,10,1,0,5
2022-12-23,5,1,0,4
2022-12-24,4,1,0,3
2022-12-25,7,-1,0,5
2022-12-26,10,0,0,4
2022-12-27,7,0,0,3
2022-12-28,11,2,0,11
2022-12-29,5,1,0,4
2022-12-30,9,3,0,5
2022-12-31,8,2,0,5
2023-01-01,9,2,0,7
2023-01-02,6,2,0,4
2023-01-03,5,0,0,4
2023-01-04,5,0,0,5
2023-01-05,4,0,0,4
2023-01-06,5,0,0,2
2023-01-07,16,2,0,14
2023-01-08,16,0,0,14
2023-01-09,10,0,0,10
2023-01-10,11,2,0,7
2023-01-11,5,1,0,5
2023-01-12,5,0,0,4
2023-01-13,8,3,0,4
2023-01-14,10,2,0,6
2023-01-15,7,1,0,7
2023-01-16,8,1,0,6
2023-01-17,6,0,0,5
2023-01-18,0,0,0,0
2023-01-19,7,1,1,7
2023-01-20,4,0,0,4
2023-01-21,2,1,1,2
2023-01-22,0,0,0,0
2023-01-23,6,2,0,3
2023-01-24,3,0,0,3
2023-01-25,5,0,0,5
2023-01-26,4,0,0,4
2023-01-27,5,0,0,5
2023-01-28,4,0,0,4
2023-01-29,5,1,0,4
2023-01-30,7,1,0,5
2023-01-31,8,0,0,8
2023-02-01,7,1,1,5
