date,added,ratings,reviews,to-read
2022-08-16,5,2,-1,4
2022-08-17,8,2,0,4
2022-08-18,3,1,0,1
2022-08-19,11,4,1,6
2022-08-20,12,2,0,4
2022-08-21,12,3,0,7
2022-08-22,16,1,0,9
2022-08-23,9,0,0,7
2022-08-24,12,3,0,9
2022-08-25,12,5,0,9
2022-08-26,13,4,0,7
2022-08-27,8,0,0,5
2022-08-28,15,2,0,10
2022-08-29,20,3,0,15
2022-08-30,18,1,0,15
2022-08-31,12,6,0,8
2022-09-01,15,1,0,12
2022-09-02,11,0,0,9
2022-09-03,12,1,0,10
2022-09-04,12,3,0,9
2022-09-05,6,3,0,5
2022-09-06,8,0,0,6
2022-09-07,9,2,0,5
2022-09-08,10,1,0,6
2022-09-09,9,2,0,4
2022-09-10,4,0,0,3
2022-09-11,9,3,0,4
2022-09-12,10,2,0,5
2022-09-13,8,2,0,5
2022-09-14,8,1,0,6
2022-09-15,10,1,0,6
2022-09-16,10,3,0,6
2022-09-17,10,1,0,5
2022-09-18,9,1,0,6
2022-09-19,6,1,0,3
2022-09-20,4,2,0,2
2022-09-21,6,2,0,4
2022-09-22,12,1,0,7
2022-09-23,5,1,0,5
2022-09-24,7,1,0,5
2022-09-25,6,0,0,4
2022-09-26,6,3,0,3
2022-09-27,5,1,0,3
2022-09-28,11,0,0,7
2022-09-29,9,1,0,5
2022-09-30,11,2,0,8
2022-10-01,6,1,0,3
2022-10-02,10,-1,0,7
2022-10-03,12,2,1,7
2022-10-04,12,1,0,9
2022-10-05,3,1,0,2
2022-10-06,11,3,0,7
2022-10-07,8,1,0,4
2022-10-08,3,2,0,1
2022-10-09,8,-1,0,5
2022-10-10,12,4,0,7
2022-10-11,15,1,0,11
2022-10-12,9,0,0,8
2022-10-13,4,3,0,2
2022-10-14,11,2,0,9
2022-10-15,10,1,0,5
2022-10-16,10,1,1,7
2022-10-17,8,3,1,5
2022-10-18,11,0,0,7
2022-10-19,6,4,0,2
2022-10-20,9,1,0,5
2022-10-21,6,1,0,4
2022-10-22,9,1,1,5
2022-10-23,6,3,0,4
2022-10-24,9,0,0,8
2022-10-25,3,0,0,2
2022-10-26,9,1,0,8
2022-10-27,5,1,0,3
2022-10-28,9,0,0,7
2022-10-29,5,1,0,3
2022-10-30,2,1,0,1
2022-10-31,36,2,1,33
2022-11-01,14,2,0,11
2022-11-02,7,3,0,4
2022-11-03,3,1,0,2
2022-11-04,2,0,0,1
2022-11-05,8,2,0,3
2022-11-06,9,2,0,7
2022-11-07,7,3,0,4
2022-11-08,2,0,0,2
2022-11-09,8,1,0,2
2022-11-10,6,3,0,5
2022-11-11,11,2,0,9
2022-11-12,13,3,0,6
2022-11-13,10,3,0,6
2022-11-14,12,2,1,8
2022-11-15,11,0,1,6
2022-11-16,7,3,0,4
2022-11-17,4,1,0,3
2022-11-18,6,0,1,3
2022-11-19,16,1,0,7
2022-11-20,9,3,0,4
2022-11-21,7,2,0,4
2022-11-22,6,-1,0,6
2022-11-23,3,1,0,1
2022-11-24,10,1,0,7
2022-11-25,10,-1,1,8
2022-11-26,15,1,0,11
2022-11-27,6,3,0,2
2022-11-28,13,1,0,4
2022-11-29,10,3,0,7
2022-11-30,11,2,0,7
2022-12-01,6,3,0,1
2022-12-02,7,0,0,6
2022-12-03,8,1,0,5
2022-12-04,6,2,1,2
2022-12-05,11,2,0,4
2022-12-06,14,1,0,11
2022-12-07,7,4,0,4
2022-12-08,8,3,0,6
2022-12-09,6,0,0,6
2022-12-10,15,-1,0,9
2022-12-11,12,1,1,9
2022-12-12,5,0,0,3
2022-12-13,10,2,0,8
2022-12-14,10,1,1,7
2022-12-15,12,4,0,8
2022-12-16,10,1,0,6
2022-12-17,6,2,0,4
2022-12-18,11,5,0,4
2022-12-19,6,2,0,3
2022-12-20,10,0,0,9
2022-12-21,14,3,1,8
2022-12-22,8,3,1,3
2022-12-23,11,4,2,5
2022-12-24,4,2,0,3
2022-12-25,7,1,0,5
2022-12-26,10,1,0,4
2022-12-27,14,1,0,8
2022-12-28,19,6,0,10
2022-12-29,16,3,1,10
2022-12-30,11,2,0,8
2022-12-31,21,1,1,14
2023-01-01,23,6,0,9
2023-01-02,19,6,1,12
2023-01-03,22,4,0,10
2023-01-04,13,3,0,8
2023-01-05,12,0,0,9
2023-01-06,12,3,0,10
2023-01-07,16,2,3,10
2023-01-08,12,2,1,7
2023-01-09,14,4,0,6
2023-01-10,10,2,0,6
2023-01-11,10,4,1,7
2023-01-12,11,1,0,7
2023-01-13,14,3,0,8
2023-01-14,15,1,0,10
2023-01-15,16,3,2,13
2023-01-16,16,3,1,10
2023-01-17,9,0,0,9
2023-01-18,14,1,0,10
2023-01-19,6,2,0,5
2023-01-20,10,2,1,8
2023-01-21,14,1,1,8
2023-01-22,10,2,0,6
2023-01-23,10,0,0,5
2023-01-24,15,1,0,11
2023-01-25,10,-1,0,9
2023-01-26,13,1,0,9
2023-01-27,9,-1,0,9
2023-01-28,13,2,0,9
2023-01-29,8,2,0,5
2023-01-30,4,1,0,3
2023-01-31,8,1,0,5
2023-02-01,10,1,0,7
