date,added,ratings,reviews,to-read
2022-08-16,14,5,0,8
2022-08-17,20,4,0,10
2022-08-18,15,7,0,9
2022-08-19,17,7,0,7
2022-08-20,17,5,0,9
2022-08-21,24,7,0,11
2022-08-22,20,10,0,11
2022-08-23,8,3,1,7
2022-08-24,19,5,0,10
2022-08-25,20,7,1,12
2022-08-26,20,4,0,10
2022-08-27,24,4,0,15
2022-08-28,14,4,0,9
2022-08-29,24,-3,0,19
2022-08-30,17,1,0,12
2022-08-31,24,3,0,12
2022-09-01,17,3,0,8
2022-09-02,19,2,0,10
2022-09-03,17,6,0,9
2022-09-04,25,8,0,9
2022-09-05,30,20,0,11
2022-09-06,20,-7,0,11
2022-09-07,22,7,0,8
2022-09-08,16,4,1,6
2022-09-09,11,2,1,5
2022-09-10,22,2,1,15
2022-09-11,16,2,0,12
2022-09-12,15,5,0,10
2022-09-13,24,5,1,14
2022-09-14,14,-2,0,8
2022-09-15,23,6,0,11
2022-09-16,22,14,0,7
2022-09-17,13,5,0,7
2022-09-18,31,13,0,5
2022-09-19,27,21,1,9
2022-09-20,26,13,0,11
2022-09-21,24,13,0,9
2022-09-22,32,18,0,12
2022-09-23,21,-34,0,5
2022-09-24,23,14,0,7
2022-09-25,20,11,0,12
2022-09-26,25,-9,0,11
2022-09-27,24,-3,0,7
2022-09-28,26,-8,0,15
2022-09-29,14,-26,0,7
2022-09-30,18,4,0,11
2022-10-01,16,5,0,10
2022-10-02,19,-8,0,10
2022-10-03,18,1,0,10
2022-10-04,12,4,0,6
2022-10-05,6,2,0,3
2022-10-06,12,3,0,8
2022-10-07,13,3,0,10
2022-10-08,18,3,1,10
2022-10-09,18,0,0,4
2022-10-10,7,4,1,5
2022-10-11,20,2,0,15
2022-10-12,24,-4,0,15
2022-10-13,13,5,2,12
2022-10-14,13,-13,0,8
2022-10-15,24,2,0,12
2022-10-16,18,-27,0,12
2022-10-17,14,-16,0,5
2022-10-18,15,-1,0,8
2022-10-19,17,3,0,13
2022-10-20,20,2,0,10
2022-10-21,12,-2,0,7
2022-10-22,14,-1,0,6
2022-10-23,10,-43,0,5
2022-10-24,12,-23,1,6
2022-10-25,16,-7,0,9
2022-10-26,11,5,0,7
2022-10-27,10,2,0,6
2022-10-28,8,6,0,3
2022-10-29,14,0,0,11
2022-10-30,17,3,0,12
2022-10-31,14,-4,0,11
2022-11-01,16,6,0,7
2022-11-02,7,2,0,3
2022-11-03,7,-10,0,5
2022-11-04,9,2,0,5
2022-11-05,17,1,0,13
2022-11-06,19,3,0,11
2022-11-07,14,1,0,10
2022-11-08,17,4,1,9
2022-11-09,18,5,0,9
2022-11-10,16,2,0,9
2022-11-11,27,1,0,22
2022-11-12,15,4,1,7
2022-11-13,19,3,0,15
2022-11-14,21,2,0,11
2022-11-15,18,3,0,13
2022-11-16,21,4,0,13
2022-11-17,8,3,1,8
2022-11-18,18,1,0,14
2022-11-19,27,2,0,16
2022-11-20,15,4,1,6
2022-11-21,16,2,0,12
2022-11-22,16,2,0,10
2022-11-23,16,3,0,10
2022-11-24,12,1,0,8
2022-11-25,18,0,0,12
2022-11-26,22,3,0,11
2022-11-27,27,7,1,15
2022-11-28,14,4,1,11
2022-11-29,16,1,0,10
2022-11-30,17,2,0,12
2022-12-01,13,0,0,11
2022-12-02,9,0,0,4
2022-12-03,12,1,0,8
2022-12-04,11,2,0,6
2022-12-05,21,5,1,13
2022-12-06,11,4,1,5
2022-12-07,13,5,0,6
2022-12-08,13,7,2,9
2022-12-09,11,1,0,8
2022-12-10,16,2,0,9
2022-12-11,15,2,0,13
2022-12-12,18,2,0,14
2022-12-13,17,2,0,11
2022-12-14,20,3,1,13
2022-12-15,8,3,1,4
2022-12-16,12,3,0,8
2022-12-17,14,1,0,8
2022-12-18,14,0,0,12
2022-12-19,15,4,0,8
2022-12-20,14,2,0,7
2022-12-21,21,5,0,9
2022-12-22,12,10,0,4
2022-12-23,22,3,0,10
2022-12-24,14,1,0,12
2022-12-25,15,3,0,6
2022-12-26,28,1,0,21
2022-12-27,20,5,0,13
2022-12-28,22,3,1,15
2022-12-29,21,5,0,12
2022-12-30,22,1,0,14
2022-12-31,27,3,0,11
2023-01-01,38,5,0,18
2023-01-02,28,4,0,20
2023-01-03,41,8,0,28
2023-01-04,45,5,0,32
2023-01-05,25,9,2,15
2023-01-06,23,4,0,14
2023-01-07,21,-2,0,15
2023-01-08,24,10,0,13
2023-01-09,24,6,1,14
2023-01-10,26,1,0,19
2023-01-11,20,6,0,14
2023-01-12,44,-41,0,41
2023-01-13,27,-44,0,19
2023-01-14,27,2,0,16
2023-01-15,32,4,0,23
2023-01-16,25,5,1,14
2023-01-17,23,4,0,19
2023-01-18,16,2,0,13
2023-01-19,16,4,0,10
2023-01-20,15,2,0,10
2023-01-21,18,3,0,10
2023-01-22,37,1,0,30
2023-01-23,21,7,0,13
2023-01-24,22,3,1,17
2023-01-25,26,0,0,17
2023-01-26,17,2,0,11
2023-01-27,20,1,0,14
2023-01-28,23,6,0,15
2023-01-29,32,4,1,19
2023-01-30,11,-1,0,9
2023-01-31,26,2,0,18
2023-02-01,12,3,1,7
