date,added,ratings,reviews,to-read
2022-08-16,52,10,2,34
2022-08-17,59,7,0,39
2022-08-18,55,16,0,31
2022-08-19,43,9,2,32
2022-08-20,50,15,0,30
2022-08-21,42,10,1,27
2022-08-22,43,13,1,20
2022-08-23,35,9,1,23
2022-08-24,56,13,0,29
2022-08-25,42,14,0,25
2022-08-26,56,13,0,31
2022-08-27,33,21,1,14
2022-08-28,89,17,2,64
2022-08-29,269,-2,2,242
2022-08-30,172,8,0,139
2022-08-31,128,23,0,91
2022-09-01,79,13,4,57
2022-09-02,63,5,1,49
2022-09-03,73,10,2,51
2022-09-04,88,18,1,49
2022-09-05,72,34,0,28
2022-09-06,65,10,1,36
2022-09-07,62,23,1,29
2022-09-08,39,16,2,18
2022-09-09,47,8,1,31
2022-09-10,43,10,1,27
2022-09-11,44,8,1,31
2022-09-12,40,8,2,26
2022-09-13,50,9,0,31
2022-09-14,44,11,1,28
2022-09-15,38,15,0,19
2022-09-16,58,12,1,29
2022-09-17,51,19,1,24
2022-09-18,57,15,0,28
2022-09-19,38,12,0,22
2022-09-20,52,23,2,29
2022-09-21,67,26,1,34
2022-09-22,61,28,3,29
2022-09-23,46,-41,1,18
2022-09-24,61,23,1,25
2022-09-25,58,17,0,32
2022-09-26,57,-18,4,38
2022-09-27,61,-46,1,29
2022-09-28,59,-60,0,36
2022-09-29,47,-107,0,32
2022-09-30,51,18,1,26
2022-10-01,32,8,0,21
2022-10-02,50,-5,1,28
2022-10-03,54,2,0,26
2022-10-04,53,7,0,36
2022-10-05,28,4,0,23
2022-10-06,37,9,0,23
2022-10-07,45,11,0,25
2022-10-08,52,17,1,29
2022-10-09,46,1,1,21
2022-10-10,70,15,2,48
2022-10-11,47,2,0,24
2022-10-12,47,-1,0,26
2022-10-13,43,11,1,31
2022-10-14,41,-14,1,26
2022-10-15,39,7,0,21
2022-10-16,51,-39,-1,35
2022-10-17,44,-53,1,26
2022-10-18,56,-1,0,33
2022-10-19,52,7,1,37
2022-10-20,47,10,1,31
2022-10-21,29,-10,1,20
2022-10-22,36,-15,1,19
2022-10-23,46,-96,0,28
2022-10-24,40,-90,0,23
2022-10-25,41,-62,0,25
2022-10-26,46,4,1,32
2022-10-27,86,12,2,65
2022-10-28,229,11,0,205
2022-10-29,129,10,0,112
2022-10-30,113,1,2,90
2022-10-31,53,-34,2,35
2022-11-01,59,7,0,46
2022-11-02,51,8,0,35
2022-11-03,50,-15,1,39
2022-11-04,55,12,0,30
2022-11-05,68,15,0,44
2022-11-06,62,12,1,45
2022-11-07,48,11,1,32
2022-11-08,62,11,0,39
2022-11-09,46,12,2,23
2022-11-10,47,15,0,31
2022-11-11,43,9,1,29
2022-11-12,44,6,0,33
2022-11-13,59,14,2,31
2022-11-14,55,13,1,34
2022-11-15,51,11,1,28
2022-11-16,52,14,0,30
2022-11-17,39,8,1,27
2022-11-18,48,6,0,33
2022-11-19,39,8,1,23
2022-11-20,44,10,2,28
2022-11-21,42,11,1,30
2022-11-22,42,8,0,21
2022-11-23,44,9,2,22
2022-11-24,40,6,1,26
2022-11-25,49,12,1,28
2022-11-26,53,15,0,30
2022-11-27,49,10,1,26
2022-11-28,56,16,2,27
2022-11-29,43,14,1,24
2022-11-30,52,12,1,31
2022-12-01,50,12,0,27
2022-12-02,47,11,0,32
2022-12-03,37,13,2,17
2022-12-04,46,17,0,26
2022-12-05,45,11,0,27
2022-12-06,69,6,0,40
2022-12-07,49,13,1,32
2022-12-08,40,8,1,26
2022-12-09,49,10,1,26
2022-12-10,49,6,1,29
2022-12-11,47,9,0,26
2022-12-12,52,10,0,26
2022-12-13,49,12,1,33
2022-12-14,32,8,0,21
2022-12-15,61,13,1,39
2022-12-16,50,8,0,35
2022-12-17,58,7,0,38
2022-12-18,56,15,1,35
2022-12-19,46,8,0,40
2022-12-20,49,5,0,34
2022-12-21,53,11,1,27
2022-12-22,63,26,2,33
2022-12-23,65,9,1,40
2022-12-24,53,13,0,29
2022-12-25,61,10,1,39
2022-12-26,189,15,2,151
2022-12-27,755,20,1,680
2022-12-28,458,26,1,383
2022-12-29,326,26,1,276
2022-12-30,223,32,0,165
2022-12-31,178,28,6,121
2023-01-01,232,29,3,159
2023-01-02,209,51,2,134
2023-01-03,139,36,2,89
2023-01-04,110,22,2,81
2023-01-05,117,23,1,84
2023-01-06,94,11,1,53
2023-01-07,100,21,1,56
2023-01-08,97,26,1,51
2023-01-09,90,16,1,53
2023-01-10,114,21,2,80
2023-01-11,77,19,0,48
2023-01-12,72,-80,3,45
2023-01-13,73,-97,0,42
2023-01-14,80,17,1,49
2023-01-15,80,17,0,50
2023-01-16,105,10,1,66
2023-01-17,84,19,2,50
2023-01-18,82,20,1,45
2023-01-19,68,16,0,42
2023-01-20,56,7,0,41
2023-01-21,62,10,0,33
2023-01-22,75,16,1,46
2023-01-23,76,13,0,44
2023-01-24,64,16,2,37
2023-01-25,65,10,0,40
2023-01-26,74,20,1,45
2023-01-27,68,16,2,40
2023-01-28,66,18,1,29
2023-01-29,84,20,0,53
2023-01-30,59,18,1,42
2023-01-31,65,8,0,37
2023-02-01,63,16,0,44
