date,added,ratings,reviews,to-read
2022-08-16,73,12,2,55
2022-08-17,75,19,1,48
2022-08-18,67,27,1,38
2022-08-19,63,21,2,38
2022-08-20,78,24,1,41
2022-08-21,83,24,0,55
2022-08-22,89,31,1,49
2022-08-23,77,19,0,57
2022-08-24,74,14,0,39
2022-08-25,69,22,0,36
2022-08-26,87,25,0,52
2022-08-27,68,17,1,38
2022-08-28,103,19,0,58
2022-08-29,66,2,0,44
2022-08-30,88,30,2,47
2022-08-31,77,24,1,40
2022-09-01,59,16,0,36
2022-09-02,54,15,1,29
2022-09-03,48,8,1,25
2022-09-04,78,29,1,37
2022-09-05,67,32,0,32
2022-09-06,71,-2,1,46
2022-09-07,79,16,3,44
2022-09-08,49,10,0,32
2022-09-09,53,12,0,32
2022-09-10,58,6,1,37
2022-09-11,59,10,1,41
2022-09-12,55,10,0,43
2022-09-13,75,12,4,54
2022-09-14,46,2,1,33
2022-09-15,61,15,0,40
2022-09-16,57,15,0,35
2022-09-17,56,8,0,38
2022-09-18,83,23,1,37
2022-09-19,79,22,0,47
2022-09-20,70,18,1,46
2022-09-21,68,26,2,39
2022-09-22,57,24,1,31
2022-09-23,58,-41,3,28
2022-09-24,68,25,2,33
2022-09-25,82,23,3,48
2022-09-26,61,-3,0,44
2022-09-27,67,-27,0,33
2022-09-28,58,-39,1,30
2022-09-29,62,-48,1,36
2022-09-30,60,13,0,37
2022-10-01,57,8,0,39
2022-10-02,54,-2,1,35
2022-10-03,60,4,2,38
2022-10-04,65,15,0,30
2022-10-05,45,9,1,32
2022-10-06,55,13,0,31
2022-10-07,56,13,0,31
2022-10-08,66,18,3,38
2022-10-09,65,6,2,39
2022-10-10,43,5,3,26
2022-10-11,67,7,0,46
2022-10-12,67,4,1,41
2022-10-13,36,4,0,30
2022-10-14,51,-7,3,34
2022-10-15,59,11,3,37
2022-10-16,66,-8,0,45
2022-10-17,75,-16,1,51
2022-10-18,58,-5,0,43
2022-10-19,53,6,0,34
2022-10-20,50,10,0,33
2022-10-21,42,7,4,20
2022-10-22,57,1,2,40
2022-10-23,59,-32,2,36
2022-10-24,50,-19,1,32
2022-10-25,89,-30,1,77
2022-10-26,58,14,1,42
2022-10-27,54,7,2,37
2022-10-28,46,8,1,30
2022-10-29,58,10,0,37
2022-10-30,56,1,0,38
2022-10-31,60,-5,1,39
2022-11-01,66,12,1,38
2022-11-02,54,8,0,35
2022-11-03,49,-2,1,34
2022-11-04,57,7,0,47
2022-11-05,59,4,0,44
2022-11-06,75,16,1,45
2022-11-07,47,11,1,33
2022-11-08,77,12,0,44
2022-11-09,57,7,2,38
2022-11-10,38,11,0,22
2022-11-11,58,6,0,37
2022-11-12,65,14,1,41
2022-11-13,59,12,0,38
2022-11-14,76,14,2,44
2022-11-15,69,13,0,44
2022-11-16,76,12,0,50
2022-11-17,42,9,1,36
2022-11-18,50,8,0,34
2022-11-19,45,10,0,31
2022-11-20,71,17,0,37
2022-11-21,68,20,0,45
2022-11-22,63,14,1,32
2022-11-23,49,9,1,29
2022-11-24,47,14,0,28
2022-11-25,56,11,1,35
2022-11-26,70,9,0,38
2022-11-27,57,13,0,37
2022-11-28,59,13,3,37
2022-11-29,49,8,1,34
2022-11-30,70,18,0,35
2022-12-01,58,8,2,39
2022-12-02,46,7,2,38
2022-12-03,56,10,2,42
2022-12-04,67,4,0,44
2022-12-05,51,13,0,33
2022-12-06,49,11,0,32
2022-12-07,55,11,1,29
2022-12-08,50,7,1,36
2022-12-09,36,4,0,24
2022-12-10,54,11,1,39
2022-12-11,66,12,0,38
2022-12-12,79,17,2,47
2022-12-13,77,7,0,51
2022-12-14,51,10,2,35
2022-12-15,71,15,2,45
2022-12-16,57,3,0,41
2022-12-17,71,11,2,45
2022-12-18,67,11,0,47
2022-12-19,39,11,1,24
2022-12-20,71,10,1,52
2022-12-21,76,15,0,49
2022-12-22,77,15,1,44
2022-12-23,71,12,1,43
2022-12-24,59,15,1,32
2022-12-25,89,16,1,57
2022-12-26,84,16,2,50
2022-12-27,90,15,0,51
2022-12-28,100,18,1,63
2022-12-29,86,20,3,56
2022-12-30,98,16,1,62
2022-12-31,120,20,1,68
2023-01-01,159,20,0,102
2023-01-02,196,25,3,138
2023-01-03,133,21,0,87
2023-01-04,150,23,2,100
2023-01-05,101,20,2,65
2023-01-06,116,18,0,67
2023-01-07,100,19,0,62
2023-01-08,115,15,2,83
2023-01-09,94,19,0,56
2023-01-10,90,14,1,60
2023-01-11,88,20,1,64
2023-01-12,104,-86,1,66
2023-01-13,100,-108,0,69
2023-01-14,108,15,1,68
2023-01-15,81,25,2,53
2023-01-16,92,9,0,54
2023-01-17,76,21,3,41
2023-01-18,92,8,0,58
2023-01-19,74,19,1,42
2023-01-20,61,9,3,44
2023-01-21,67,10,1,43
2023-01-22,83,18,2,51
2023-01-23,81,9,1,51
2023-01-24,71,24,2,45
2023-01-25,77,14,1,46
2023-01-26,73,9,1,42
2023-01-27,64,7,1,45
2023-01-28,90,13,1,52
2023-01-29,92,16,1,64
2023-01-30,186,13,1,167
2023-01-31,172,16,1,145
2023-02-01,78,14,0,63
