Title,URL
The God Delusion,https://www.goodreads.com/book/show/14743.The_God_Delusion
Mere Christianity,https://www.goodreads.com/book/show/40792344-mere-christianity
God Is Not Great: How Religion Poisons Everything,https://www.goodreads.com/book/show/43369.God_Is_Not_Great
The Screwtape Letters,https://www.goodreads.com/book/show/8130077-the-screwtape-letters
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",https://www.goodreads.com/book/show/3873.A_History_of_God
The Holy Bible: King James Version,https://www.goodreads.com/book/show/1923820.The_Holy_Bible
Under the Banner of Heaven: A Story of Violent Faith,https://www.goodreads.com/book/show/10847.Under_the_Banner_of_Heaven
القرآن الكريم,https://www.goodreads.com/book/show/646462._
ZEALOT: The Life and Times of Jesus of Nazareth,https://www.goodreads.com/book/show/17568801-zealot
Siddhartha,https://www.goodreads.com/book/show/52036.Siddhartha
The Bhagavad Gita,https://www.goodreads.com/book/show/99944.The_Bhagavad_Gita
Tao Te Ching,https://www.goodreads.com/book/show/67896.Tao_Te_Ching
Confessions,https://www.goodreads.com/book/show/27037.Confessions
Misquoting Jesus: The Story Behind Who Changed the Bible and Why,https://www.goodreads.com/book/show/51364.Misquoting_Jesus
"The End of Faith: Religion, Terror, and the Future of Reason",https://www.goodreads.com/book/show/29501.The_End_of_Faith
Letter to a Christian Nation,https://www.goodreads.com/book/show/51299.Letter_to_a_Christian_Nation
The Book of Mormon: Another Testament of Jesus Christ,https://www.goodreads.com/book/show/323355.The_Book_of_Mormon
The Great Divorce,https://www.goodreads.com/book/show/25845273-the-great-divorce
"No God but God: The Origins, Evolution and Future of Islam",https://www.goodreads.com/book/show/40411388-no-god-but-god
The Shack,https://www.goodreads.com/book/show/40874325-the-shack
"Going Clear: Scientology, Hollywood, and the Prison of Belief",https://www.goodreads.com/book/show/16142053-going-clear
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,https://www.goodreads.com/book/show/495395.The_Year_of_Living_Biblically
Educated,https://www.goodreads.com/book/show/35133922-educated
"The Da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
Why I Am Not a Christian and Other Essays on Religion and Related Subjects,https://www.goodreads.com/book/show/472025.Why_I_Am_Not_a_Christian_and_Other_Essays_on_Religion_and_Related_Subjects
