date,added,ratings,reviews,to-read
2022-08-16,77,22,2,45
2022-08-17,76,18,2,45
2022-08-18,52,25,0,24
2022-08-19,61,23,0,29
2022-08-20,73,21,1,36
2022-08-21,67,28,2,24
2022-08-22,67,18,2,26
2022-08-23,64,23,0,29
2022-08-24,69,30,0,25
2022-08-25,65,43,1,20
2022-08-26,80,35,1,34
2022-08-27,67,36,2,22
2022-08-28,92,24,1,31
2022-08-29,56,-15,1,30
2022-08-30,54,16,2,21
2022-08-31,77,11,2,39
2022-09-01,69,47,2,27
2022-09-02,64,21,1,26
2022-09-03,99,12,0,78
2022-09-04,96,16,4,62
2022-09-05,39,22,5,18
2022-09-06,91,-8,2,41
2022-09-07,84,27,0,45
2022-09-08,71,16,1,47
2022-09-09,72,27,0,36
2022-09-10,74,23,2,38
2022-09-11,50,21,2,22
2022-09-12,57,30,1,21
2022-09-13,64,19,1,42
2022-09-14,43,8,1,26
2022-09-15,43,11,0,21
2022-09-16,32,15,1,8
2022-09-17,35,7,2,25
2022-09-18,70,18,0,36
2022-09-19,44,13,1,27
2022-09-20,35,7,1,21
2022-09-21,37,19,4,21
2022-09-22,33,14,3,19
2022-09-23,43,-5,4,22
2022-09-24,59,17,1,29
2022-09-25,39,9,0,22
2022-09-26,46,-33,0,23
2022-09-27,50,-56,0,27
2022-09-28,48,-117,0,24
2022-09-29,43,-69,2,20
2022-09-30,48,11,-1,19
2022-10-01,52,16,3,25
2022-10-02,39,-43,1,13
2022-10-03,46,-348,2,19
2022-10-04,57,18,1,29
2022-10-05,34,9,2,23
2022-10-06,50,17,1,24
2022-10-07,43,10,1,23
2022-10-08,43,8,1,27
2022-10-09,48,-20,3,27
2022-10-10,50,11,0,24
2022-10-11,53,5,0,23
2022-10-12,57,-28,1,28
2022-10-13,49,13,0,32
2022-10-14,47,-62,0,23
2022-10-15,44,11,0,27
2022-10-16,42,-57,1,16
2022-10-17,45,-33,2,19
2022-10-18,50,2,3,25
2022-10-19,46,12,0,20
2022-10-20,52,12,0,28
2022-10-21,45,11,2,18
2022-10-22,47,-4,2,21
2022-10-23,51,-80,3,20
2022-10-24,46,-40,2,27
2022-10-25,42,-32,1,18
2022-10-26,36,15,0,14
2022-10-27,53,14,1,25
2022-10-28,51,23,3,21
2022-10-29,61,20,4,27
2022-10-30,50,13,1,23
2022-10-31,48,4,2,24
2022-11-01,44,12,2,23
2022-11-02,38,14,1,14
2022-11-03,31,-4,1,15
2022-11-04,34,16,3,15
2022-11-05,47,14,1,21
2022-11-06,60,13,1,35
2022-11-07,53,11,2,33
2022-11-08,50,19,2,22
2022-11-09,49,16,1,19
2022-11-10,37,15,1,19
2022-11-11,49,18,0,23
2022-11-12,58,14,0,28
2022-11-13,62,15,0,29
2022-11-14,43,15,2,25
2022-11-15,64,22,3,24
2022-11-16,50,18,1,26
2022-11-17,50,15,0,26
2022-11-18,86,14,0,68
2022-11-19,127,8,1,106
2022-11-20,73,15,1,53
2022-11-21,73,8,2,45
2022-11-22,59,22,0,39
2022-11-23,58,8,0,37
2022-11-24,42,12,0,31
2022-11-25,55,9,2,39
2022-11-26,47,9,3,26
2022-11-27,56,9,0,36
2022-11-28,46,14,1,27
2022-11-29,53,7,0,37
2022-11-30,68,8,1,45
2022-12-01,44,11,0,29
2022-12-02,44,10,1,24
2022-12-03,44,12,1,24
2022-12-04,51,13,0,26
2022-12-05,59,19,2,25
2022-12-06,64,18,2,40
2022-12-07,157,13,0,138
2022-12-08,119,12,1,107
2022-12-09,52,11,3,43
2022-12-10,38,8,1,19
2022-12-11,73,10,2,53
2022-12-12,68,9,0,48
2022-12-13,61,11,1,38
2022-12-14,61,13,0,43
2022-12-15,70,14,0,44
2022-12-16,40,12,1,23
2022-12-17,45,14,1,25
2022-12-18,57,10,0,42
2022-12-19,46,22,0,17
2022-12-20,49,15,1,31
2022-12-21,63,18,2,30
2022-12-22,46,14,0,26
2022-12-23,55,11,0,26
2022-12-24,42,14,3,22
2022-12-25,69,10,0,46
2022-12-26,66,17,1,42
2022-12-27,102,19,4,60
2022-12-28,98,23,2,69
2022-12-29,67,23,3,34
2022-12-30,70,21,0,37
2022-12-31,81,20,1,43
2023-01-01,103,8,1,58
2023-01-02,114,32,2,67
2023-01-03,95,24,1,42
2023-01-04,73,34,2,34
2023-01-05,78,23,-1,39
2023-01-06,67,25,1,30
2023-01-07,102,23,0,49
2023-01-08,79,26,2,50
2023-01-09,67,12,0,35
2023-01-10,72,16,3,43
2023-01-11,50,19,3,25
2023-01-12,84,-16,4,50
2023-01-13,59,-33,2,28
2023-01-14,69,24,2,34
2023-01-15,76,19,2,41
2023-01-16,81,17,3,41
2023-01-17,58,17,2,27
2023-01-18,55,15,0,30
2023-01-19,60,15,1,36
2023-01-20,47,17,1,30
2023-01-21,74,19,3,42
2023-01-22,62,20,2,34
2023-01-23,60,18,1,27
2023-01-24,66,15,0,35
2023-01-25,61,18,2,31
2023-01-26,52,18,0,27
2023-01-27,52,19,1,32
2023-01-28,59,16,0,35
2023-01-29,71,17,4,37
2023-01-30,44,9,1,32
2023-01-31,51,11,3,39
2023-02-01,42,12,2,24
