date,added,ratings,reviews,to-read
2022-08-16,18,5,0,8
2022-08-17,29,8,1,15
2022-08-18,20,4,2,14
2022-08-19,18,4,0,7
2022-08-20,23,9,2,10
2022-08-21,23,10,1,8
2022-08-22,17,5,0,8
2022-08-23,10,4,0,5
2022-08-24,13,3,1,5
2022-08-25,27,5,0,16
2022-08-26,18,6,0,9
2022-08-27,17,4,1,13
2022-08-28,23,3,0,12
2022-08-29,16,3,0,10
2022-08-30,21,5,0,11
2022-08-31,19,6,1,10
2022-09-01,17,3,2,11
2022-09-02,19,-1,0,11
2022-09-03,18,4,0,8
2022-09-04,18,4,1,8
2022-09-05,13,2,0,12
2022-09-06,15,4,0,8
2022-09-07,14,2,0,9
2022-09-08,14,6,0,5
2022-09-09,12,1,0,5
2022-09-10,15,2,0,5
2022-09-11,13,4,1,6
2022-09-12,15,6,1,7
2022-09-13,20,1,1,14
2022-09-14,19,3,0,15
2022-09-15,13,8,2,7
2022-09-16,12,1,0,6
2022-09-17,12,3,0,8
2022-09-18,23,7,2,10
2022-09-19,14,4,0,8
2022-09-20,15,4,0,8
2022-09-21,13,8,1,9
2022-09-22,11,2,1,6
2022-09-23,19,-1,0,16
2022-09-24,19,3,0,13
2022-09-25,11,4,1,5
2022-09-26,16,2,0,10
2022-09-27,19,5,0,11
2022-09-28,14,3,1,11
2022-09-29,15,4,0,7
2022-09-30,16,5,0,7
2022-10-01,20,8,0,6
2022-10-02,20,8,1,10
2022-10-03,18,5,1,9
2022-10-04,25,7,1,14
2022-10-05,12,5,0,4
2022-10-06,24,3,0,12
2022-10-07,17,8,1,7
2022-10-08,17,5,1,8
2022-10-09,20,2,1,12
2022-10-10,14,4,1,8
2022-10-11,22,7,1,6
2022-10-12,12,2,2,8
2022-10-13,14,0,0,11
2022-10-14,17,5,0,6
2022-10-15,16,1,0,12
2022-10-16,21,6,2,10
2022-10-17,13,3,2,5
2022-10-18,11,3,0,4
2022-10-19,14,2,0,7
2022-10-20,16,3,0,6
2022-10-21,14,4,0,6
2022-10-22,14,3,1,11
2022-10-23,10,5,0,4
2022-10-24,19,1,1,12
2022-10-25,14,5,1,7
2022-10-26,12,1,0,6
2022-10-27,15,4,0,8
2022-10-28,18,5,0,12
2022-10-29,18,5,0,9
2022-10-30,21,6,1,14
2022-10-31,17,8,2,7
2022-11-01,15,2,1,6
2022-11-02,13,8,0,5
2022-11-03,11,2,1,7
2022-11-04,14,1,0,7
2022-11-05,15,2,1,9
2022-11-06,17,7,1,11
2022-11-07,18,5,1,7
2022-11-08,13,2,1,9
2022-11-09,13,4,1,4
2022-11-10,15,5,1,8
2022-11-11,12,2,0,9
2022-11-12,9,1,0,4
2022-11-13,23,5,3,8
2022-11-14,21,2,0,13
2022-11-15,14,3,0,7
2022-11-16,22,4,1,13
2022-11-17,12,2,0,9
2022-11-18,17,9,0,10
2022-11-19,20,5,0,11
2022-11-20,19,4,1,13
2022-11-21,10,2,0,6
2022-11-22,15,1,0,9
2022-11-23,16,4,1,11
2022-11-24,19,7,4,6
2022-11-25,14,5,1,6
2022-11-26,25,5,0,10
2022-11-27,17,7,0,7
2022-11-28,18,2,1,9
2022-11-29,15,2,0,9
2022-11-30,20,2,0,9
2022-12-01,19,9,0,11
2022-12-02,22,9,3,8
2022-12-03,29,8,3,11
2022-12-04,30,5,0,17
2022-12-05,18,6,1,10
2022-12-06,16,5,1,5
2022-12-07,16,9,1,7
2022-12-08,17,5,1,11
2022-12-09,13,5,1,6
2022-12-10,15,3,0,6
2022-12-11,21,6,1,12
2022-12-12,20,8,1,13
2022-12-13,23,2,1,15
2022-12-14,16,2,1,6
2022-12-15,21,6,1,5
2022-12-16,18,5,0,9
2022-12-17,25,9,1,11
2022-12-18,22,5,0,8
2022-12-19,14,4,1,7
2022-12-20,15,2,0,9
2022-12-21,23,4,0,11
2022-12-22,8,6,1,5
2022-12-23,13,4,0,3
2022-12-24,16,9,1,8
2022-12-25,27,6,1,14
2022-12-26,23,2,0,13
2022-12-27,33,5,0,16
2022-12-28,23,3,0,11
2022-12-29,24,6,2,12
2022-12-30,32,7,4,13
2022-12-31,29,13,0,7
2023-01-01,31,7,-1,15
2023-01-02,36,12,1,18
2023-01-03,32,7,1,16
2023-01-04,24,4,1,16
2023-01-05,25,5,1,13
2023-01-06,41,13,1,18
2023-01-07,28,8,0,12
2023-01-08,32,8,2,15
2023-01-09,30,9,2,11
2023-01-10,27,4,1,12
2023-01-11,19,6,2,13
2023-01-12,23,4,0,8
2023-01-13,19,8,1,7
2023-01-14,32,6,1,20
2023-01-15,28,7,2,15
2023-01-16,23,5,1,15
2023-01-17,24,7,1,7
2023-01-18,26,8,3,11
2023-01-19,13,4,0,10
2023-01-20,17,2,0,11
2023-01-21,16,5,1,9
2023-01-22,27,5,0,14
2023-01-23,23,11,1,12
2023-01-24,20,11,0,8
2023-01-25,23,5,2,8
2023-01-26,32,11,0,19
2023-01-27,19,2,1,9
2023-01-28,18,4,1,10
2023-01-29,21,3,1,13
2023-01-30,14,7,0,8
2023-01-31,20,9,0,9
2023-02-01,20,3,0,12
