date,added,ratings,reviews,to-read
2022-08-16,5,1,1,3
2022-08-17,8,1,0,3
2022-08-18,6,2,1,4
2022-08-19,13,1,0,11
2022-08-20,7,2,0,5
2022-08-21,4,2,0,2
2022-08-22,7,2,0,6
2022-08-23,8,1,0,6
2022-08-24,5,1,0,2
2022-08-25,4,0,0,3
2022-08-26,5,-1,0,2
2022-08-27,8,1,0,6
2022-08-28,4,1,0,4
2022-08-29,2,1,0,1
2022-08-30,5,0,0,3
2022-08-31,5,3,0,2
2022-09-01,6,0,0,2
2022-09-02,4,1,0,2
2022-09-03,4,-1,0,3
2022-09-04,5,1,0,3
2022-09-05,6,0,0,3
2022-09-06,9,2,1,6
2022-09-07,8,0,0,6
2022-09-08,3,0,0,1
2022-09-09,3,1,0,1
2022-09-10,0,1,0,0
2022-09-11,6,1,0,2
2022-09-12,10,2,0,7
2022-09-13,3,0,0,3
2022-09-14,6,1,0,1
2022-09-15,7,0,0,3
2022-09-16,7,0,0,2
2022-09-17,12,2,0,8
2022-09-18,8,1,0,5
2022-09-19,9,1,0,7
2022-09-20,8,0,0,7
2022-09-21,8,0,0,6
2022-09-22,4,0,0,3
2022-09-23,4,1,0,2
2022-09-24,8,1,0,6
2022-09-25,6,1,0,3
2022-09-26,5,2,1,2
2022-09-27,11,-1,0,7
2022-09-28,7,0,0,4
2022-09-29,6,1,0,5
2022-09-30,7,0,0,3
2022-10-01,6,0,0,6
2022-10-02,5,-1,0,3
2022-10-03,6,1,0,4
2022-10-04,7,2,0,3
2022-10-05,5,0,0,4
2022-10-06,5,1,0,2
2022-10-07,9,0,0,6
2022-10-08,5,0,0,3
2022-10-09,5,1,0,5
2022-10-10,10,5,2,2
2022-10-11,10,0,0,7
2022-10-12,6,0,0,2
2022-10-13,4,0,0,2
2022-10-14,2,0,0,2
2022-10-15,4,2,0,1
2022-10-16,9,2,0,5
2022-10-17,4,2,0,3
2022-10-18,6,1,1,4
2022-10-19,2,-2,0,1
2022-10-20,6,0,0,3
2022-10-21,4,1,0,3
2022-10-22,5,0,0,3
2022-10-23,4,0,0,2
2022-10-24,2,0,0,2
2022-10-25,6,1,0,2
2022-10-26,4,2,0,1
2022-10-27,4,2,0,3
2022-10-28,8,1,0,5
2022-10-29,1,0,0,1
2022-10-30,0,0,0,0
2022-10-31,7,2,0,5
2022-11-01,3,-1,0,3
2022-11-02,3,0,1,2
2022-11-03,5,0,0,2
2022-11-04,1,-1,0,1
2022-11-05,4,1,0,1
2022-11-06,3,1,0,3
2022-11-07,3,0,0,1
2022-11-08,6,1,0,2
2022-11-09,7,2,0,4
2022-11-10,3,2,1,1
2022-11-11,5,0,0,2
2022-11-12,8,1,0,4
2022-11-13,6,1,0,5
2022-11-14,2,-1,0,0
2022-11-15,3,-1,0,2
2022-11-16,5,0,0,4
2022-11-17,1,0,0,1
2022-11-18,2,0,0,1
2022-11-19,4,0,0,4
2022-11-20,7,1,0,5
2022-11-21,5,2,0,4
2022-11-22,3,0,0,3
2022-11-23,3,0,0,3
2022-11-24,6,1,0,4
2022-11-25,3,0,0,2
2022-11-26,5,0,0,2
2022-11-27,5,0,0,5
2022-11-28,10,-1,0,8
2022-11-29,5,0,0,3
2022-11-30,5,0,0,4
2022-12-01,2,0,0,1
2022-12-02,4,1,0,3
2022-12-03,4,0,-1,4
2022-12-04,6,1,0,2
2022-12-05,5,1,0,2
2022-12-06,8,1,0,6
2022-12-07,3,1,0,2
2022-12-08,3,0,0,3
2022-12-09,1,1,0,0
2022-12-10,3,-1,0,2
2022-12-11,8,1,1,5
2022-12-12,7,0,0,7
2022-12-13,3,0,0,2
2022-12-14,6,1,1,2
2022-12-15,4,0,0,3
2022-12-16,3,0,0,1
2022-12-17,6,0,0,3
2022-12-18,9,0,0,7
2022-12-19,5,1,0,4
2022-12-20,5,1,0,4
2022-12-21,8,2,0,4
2022-12-22,4,1,0,2
2022-12-23,3,0,0,2
2022-12-24,15,2,0,11
2022-12-25,11,0,0,9
2022-12-26,13,1,0,11
2022-12-27,15,3,2,11
2022-12-28,11,0,0,8
2022-12-29,11,0,0,9
2022-12-30,8,0,0,6
2022-12-31,12,2,0,6
2023-01-01,14,5,0,11
2023-01-02,12,1,0,9
2023-01-03,11,1,0,7
2023-01-04,9,2,0,5
2023-01-05,8,1,0,5
2023-01-06,6,0,0,5
2023-01-07,4,-1,0,4
2023-01-08,6,0,0,4
2023-01-09,9,1,0,7
2023-01-10,11,2,0,7
2023-01-11,3,2,0,2
2023-01-12,3,1,1,2
2023-01-13,2,0,0,2
2023-01-14,4,0,0,4
2023-01-15,7,0,0,3
2023-01-16,6,1,0,1
2023-01-17,7,0,0,4
2023-01-18,6,0,0,3
2023-01-19,5,0,0,5
2023-01-20,6,0,0,5
2023-01-21,7,1,0,6
2023-01-22,8,-1,0,5
2023-01-23,8,0,0,8
2023-01-24,5,0,0,4
2023-01-25,8,0,0,5
2023-01-26,6,0,0,6
2023-01-27,5,0,0,5
2023-01-28,6,1,0,2
2023-01-29,8,0,0,3
2023-01-30,8,0,0,6
2023-01-31,9,0,0,5
2023-02-01,8,0,0,6
