date,added,ratings,reviews,to-read
2022-08-16,6,3,0,3
2022-08-17,9,2,0,3
2022-08-18,9,4,1,3
2022-08-19,5,0,0,5
2022-08-20,9,2,0,4
2022-08-21,5,3,1,3
2022-08-22,10,2,1,9
2022-08-23,8,1,0,5
2022-08-24,9,4,1,5
2022-08-25,6,2,0,4
2022-08-26,9,1,0,5
2022-08-27,6,1,0,4
2022-08-28,6,3,0,3
2022-08-29,8,1,0,6
2022-08-30,9,3,0,2
2022-08-31,8,1,0,6
2022-09-01,5,3,0,3
2022-09-02,12,3,1,5
2022-09-03,8,2,1,5
2022-09-04,8,4,0,3
2022-09-05,9,2,0,5
2022-09-06,9,1,1,3
2022-09-07,6,3,0,2
2022-09-08,7,1,0,4
2022-09-09,2,3,0,0
2022-09-10,7,2,0,3
2022-09-11,10,2,0,5
2022-09-12,2,2,0,0
2022-09-13,5,2,0,3
2022-09-14,4,2,0,4
2022-09-15,2,1,0,2
2022-09-16,4,2,0,1
2022-09-17,6,2,1,4
2022-09-18,11,6,0,3
2022-09-19,7,4,0,3
2022-09-20,7,2,0,5
2022-09-21,5,1,0,4
2022-09-22,2,-1,0,0
2022-09-23,4,1,0,2
2022-09-24,8,1,0,5
2022-09-25,9,0,0,6
2022-09-26,3,2,0,0
2022-09-27,6,2,0,1
2022-09-28,7,0,0,4
2022-09-29,3,2,0,1
2022-09-30,5,0,0,4
2022-10-01,7,0,0,5
2022-10-02,15,2,0,7
2022-10-03,4,4,0,1
2022-10-04,3,2,0,1
2022-10-05,5,2,0,4
2022-10-06,2,1,0,1
2022-10-07,5,3,0,2
2022-10-08,11,1,1,6
2022-10-09,7,1,0,4
2022-10-10,6,1,0,4
2022-10-11,7,1,0,3
2022-10-12,10,2,0,7
2022-10-13,4,3,0,3
2022-10-14,13,0,1,7
2022-10-15,7,2,1,4
2022-10-16,10,-1,0,6
2022-10-17,8,1,0,7
2022-10-18,9,1,0,5
2022-10-19,3,1,0,2
2022-10-20,4,-1,0,1
2022-10-21,5,1,0,3
2022-10-22,4,1,0,2
2022-10-23,8,3,0,3
2022-10-24,3,-1,0,2
2022-10-25,6,2,0,0
2022-10-26,5,0,0,4
2022-10-27,8,3,1,2
2022-10-28,7,1,1,4
2022-10-29,8,1,0,3
2022-10-30,11,5,0,4
2022-10-31,4,1,0,2
2022-11-01,5,1,1,1
2022-11-02,6,-1,0,6
2022-11-03,3,1,0,1
2022-11-04,10,3,0,7
2022-11-05,7,2,0,4
2022-11-06,5,1,0,2
2022-11-07,2,1,0,0
2022-11-08,8,1,1,4
2022-11-09,7,1,0,6
2022-11-10,6,3,0,3
2022-11-11,5,1,0,2
2022-11-12,11,4,0,4
2022-11-13,7,1,0,6
2022-11-14,6,1,1,2
2022-11-15,5,0,0,2
2022-11-16,5,0,0,4
2022-11-17,10,4,0,9
2022-11-18,6,1,0,3
2022-11-19,6,0,0,5
2022-11-20,5,2,0,3
2022-11-21,8,1,0,6
2022-11-22,2,1,0,1
2022-11-23,4,1,0,1
2022-11-24,10,4,0,5
2022-11-25,3,0,1,1
2022-11-26,9,3,0,3
2022-11-27,4,0,0,3
2022-11-28,9,2,0,3
2022-11-29,7,3,3,5
2022-11-30,2,2,1,1
2022-12-01,5,0,0,4
2022-12-02,1,0,0,0
2022-12-03,7,1,0,4
2022-12-04,13,1,0,6
2022-12-05,5,1,0,3
2022-12-06,6,2,0,5
2022-12-07,10,3,0,8
2022-12-08,4,2,0,4
2022-12-09,8,0,0,6
2022-12-10,6,1,0,2
2022-12-11,11,5,3,4
2022-12-12,7,4,0,3
2022-12-13,10,-1,0,6
2022-12-14,9,3,0,4
2022-12-15,11,1,0,8
2022-12-16,2,1,0,2
2022-12-17,6,1,1,4
2022-12-18,5,2,0,1
2022-12-19,5,4,0,2
2022-12-20,5,1,0,3
2022-12-21,9,3,1,3
2022-12-22,7,3,1,5
2022-12-23,5,0,0,4
2022-12-24,7,2,0,5
2022-12-25,6,1,0,4
2022-12-26,8,0,0,6
2022-12-27,6,2,0,3
2022-12-28,9,0,1,7
2022-12-29,6,3,1,5
2022-12-30,13,0,0,8
2022-12-31,13,3,0,6
2023-01-01,22,4,0,13
2023-01-02,25,4,0,15
2023-01-03,16,2,1,9
2023-01-04,8,-1,0,5
2023-01-05,18,6,1,9
2023-01-06,10,1,0,6
2023-01-07,14,1,0,8
2023-01-08,12,1,1,8
2023-01-09,13,4,0,7
2023-01-10,8,6,1,4
2023-01-11,6,2,0,4
2023-01-12,7,3,0,5
2023-01-13,7,2,2,4
2023-01-14,9,3,1,5
2023-01-15,6,1,0,2
2023-01-16,10,2,0,4
2023-01-17,10,1,0,6
2023-01-18,7,1,0,4
2023-01-19,6,1,0,5
2023-01-20,9,2,0,5
2023-01-21,11,3,0,7
2023-01-22,8,1,0,6
2023-01-23,6,2,0,4
2023-01-24,12,2,0,8
2023-01-25,10,1,0,6
2023-01-26,11,3,0,8
2023-01-27,6,0,0,3
2023-01-28,16,1,0,7
2023-01-29,11,2,0,5
2023-01-30,5,2,0,3
2023-01-31,3,1,0,1
2023-02-01,11,2,1,7
