date,added,ratings,reviews,to-read
2022-08-16,4,0,0,3
2022-08-17,11,0,-1,8
2022-08-18,6,2,0,3
2022-08-19,5,1,0,3
2022-08-20,11,4,0,7
2022-08-21,6,3,1,6
2022-08-22,3,1,0,2
2022-08-23,5,2,0,4
2022-08-24,9,3,0,3
2022-08-25,7,1,0,6
2022-08-26,3,-3,0,3
2022-08-27,6,0,0,3
2022-08-28,5,2,0,3
2022-08-29,7,3,0,6
2022-08-30,6,2,0,2
2022-08-31,7,1,0,7
2022-09-01,4,0,0,3
2022-09-02,5,-1,0,3
2022-09-03,3,1,0,2
2022-09-04,5,1,0,3
2022-09-05,12,3,0,7
2022-09-06,6,3,0,4
2022-09-07,5,2,0,1
2022-09-08,5,1,0,3
2022-09-09,3,0,0,3
2022-09-10,7,4,0,4
2022-09-11,6,0,0,5
2022-09-12,4,1,0,1
2022-09-13,6,0,0,3
2022-09-14,7,2,0,2
2022-09-15,3,2,0,1
2022-09-16,3,1,1,3
2022-09-17,1,0,0,0
2022-09-18,5,0,0,3
2022-09-19,4,1,0,3
2022-09-20,10,0,0,6
2022-09-21,1,1,0,0
2022-09-22,4,2,1,2
2022-09-23,4,1,0,2
2022-09-24,4,-1,0,2
2022-09-25,4,1,0,3
2022-09-26,4,4,0,4
2022-09-27,1,0,0,0
2022-09-28,4,0,0,1
2022-09-29,11,3,0,8
2022-09-30,1,0,0,1
2022-10-01,6,0,0,4
2022-10-02,8,1,0,3
2022-10-03,3,1,0,2
2022-10-04,3,2,0,1
2022-10-05,3,1,0,2
2022-10-06,9,3,0,3
2022-10-07,1,3,0,0
2022-10-08,8,1,0,3
2022-10-09,7,2,0,5
2022-10-10,6,3,1,2
2022-10-11,5,1,0,3
2022-10-12,2,2,0,1
2022-10-13,5,1,0,3
2022-10-14,8,4,1,3
2022-10-15,1,0,0,0
2022-10-16,5,0,0,2
2022-10-17,4,0,0,2
2022-10-18,3,1,0,2
2022-10-19,8,1,0,4
2022-10-20,6,1,0,4
2022-10-21,6,1,0,4
2022-10-22,5,0,0,3
2022-10-23,7,1,0,5
2022-10-24,4,1,0,2
2022-10-25,4,2,0,2
2022-10-26,4,1,0,2
2022-10-27,6,3,0,2
2022-10-28,7,1,0,6
2022-10-29,3,1,0,1
2022-10-30,6,0,0,4
2022-10-31,3,1,0,1
2022-11-01,4,1,0,1
2022-11-02,8,1,0,7
2022-11-03,2,1,0,0
2022-11-04,6,0,0,4
2022-11-05,7,1,0,6
2022-11-06,4,0,0,1
2022-11-07,5,0,0,5
2022-11-08,1,0,0,1
2022-11-09,5,1,0,1
2022-11-10,7,2,0,5
2022-11-11,7,1,0,2
2022-11-12,13,3,1,4
2022-11-13,6,1,2,4
2022-11-14,3,1,0,1
2022-11-15,5,1,1,3
2022-11-16,3,1,1,2
2022-11-17,3,1,0,1
2022-11-18,1,2,0,0
2022-11-19,2,-1,0,2
2022-11-20,4,0,0,2
2022-11-21,6,1,0,4
2022-11-22,4,0,0,3
2022-11-23,7,1,0,3
2022-11-24,7,3,1,3
2022-11-25,8,2,0,4
2022-11-26,6,1,0,4
2022-11-27,6,1,0,3
2022-11-28,4,1,0,2
2022-11-29,6,3,0,3
2022-11-30,11,1,0,6
2022-12-01,6,1,0,5
2022-12-02,5,1,1,2
2022-12-03,8,1,1,6
2022-12-04,3,2,0,2
2022-12-05,5,0,0,2
2022-12-06,4,0,0,2
2022-12-07,3,1,0,2
2022-12-08,1,2,0,1
2022-12-09,5,2,0,2
2022-12-10,3,1,0,2
2022-12-11,5,2,0,2
2022-12-12,6,2,0,4
2022-12-13,2,1,0,1
2022-12-14,3,0,0,2
2022-12-15,3,2,1,1
2022-12-16,2,2,0,0
2022-12-17,8,2,0,1
2022-12-18,2,1,0,1
2022-12-19,6,1,0,4
2022-12-20,1,1,0,1
2022-12-21,5,-1,0,3
2022-12-22,4,1,0,3
2022-12-23,4,2,1,2
2022-12-24,2,2,0,1
2022-12-25,4,1,0,0
2022-12-26,10,1,0,4
2022-12-27,1,1,0,0
2022-12-28,2,1,1,1
2022-12-29,3,1,0,1
2022-12-30,6,2,1,4
2022-12-31,5,2,0,3
2023-01-01,9,0,0,4
2023-01-02,10,4,1,6
2023-01-03,6,1,0,5
2023-01-04,4,0,0,4
2023-01-05,5,1,0,4
2023-01-06,3,1,0,0
2023-01-07,5,0,0,3
2023-01-08,6,2,0,5
2023-01-09,8,1,0,4
2023-01-10,7,2,0,6
2023-01-11,6,0,1,3
2023-01-12,5,2,0,2
2023-01-13,6,1,0,3
2023-01-14,3,0,0,1
2023-01-15,10,1,0,4
2023-01-16,6,1,0,4
2023-01-17,9,4,0,4
2023-01-18,5,3,0,2
2023-01-19,5,2,0,2
2023-01-20,5,2,1,3
2023-01-21,4,1,1,2
2023-01-22,3,0,0,2
2023-01-23,2,2,0,1
2023-01-24,3,1,0,1
2023-01-25,5,0,0,2
2023-01-26,2,1,0,1
2023-01-27,8,1,0,4
2023-01-28,7,0,0,5
2023-01-29,5,2,1,2
2023-01-30,4,-1,0,3
2023-01-31,4,0,0,2
2023-02-01,7,3,1,3
