date,added,ratings,reviews,to-read
2022-08-16,8,2,1,6
2022-08-17,9,2,1,4
2022-08-18,4,2,0,3
2022-08-19,10,1,1,4
2022-08-20,5,2,0,2
2022-08-21,11,4,1,5
2022-08-22,9,0,0,5
2022-08-23,11,1,0,8
2022-08-24,5,1,0,0
2022-08-25,9,3,1,3
2022-08-26,3,2,1,0
2022-08-27,5,3,2,4
2022-08-28,10,3,0,4
2022-08-29,3,3,1,2
2022-08-30,9,2,1,5
2022-08-31,3,-1,0,3
2022-09-01,5,0,0,0
2022-09-02,7,1,0,4
2022-09-03,3,2,0,2
2022-09-04,12,2,0,7
2022-09-05,19,7,1,9
2022-09-06,11,2,0,4
2022-09-07,7,3,0,5
2022-09-08,5,2,0,2
2022-09-09,6,1,0,2
2022-09-10,5,-1,0,2
2022-09-11,10,3,0,2
2022-09-12,4,1,0,1
2022-09-13,4,3,0,2
2022-09-14,10,0,0,4
2022-09-15,3,3,0,3
2022-09-16,5,2,0,1
2022-09-17,7,1,0,2
2022-09-18,4,2,0,3
2022-09-19,7,1,1,3
2022-09-20,4,1,1,3
2022-09-21,8,2,0,7
2022-09-22,7,1,0,3
2022-09-23,5,-10,1,2
2022-09-24,7,1,0,7
2022-09-25,8,1,0,3
2022-09-26,3,-11,0,3
2022-09-27,6,-20,0,5
2022-09-28,8,-25,0,3
2022-09-29,4,-39,0,2
2022-09-30,9,2,0,5
2022-10-01,1,1,0,1
2022-10-02,4,-1,0,1
2022-10-03,6,-3,0,3
2022-10-04,8,1,0,4
2022-10-05,4,5,0,2
2022-10-06,6,1,0,5
2022-10-07,5,0,0,3
2022-10-08,9,4,0,4
2022-10-09,8,-1,1,1
2022-10-10,9,3,0,3
2022-10-11,3,1,0,3
2022-10-12,6,-1,0,1
2022-10-13,1,3,2,1
2022-10-14,10,-2,0,4
2022-10-15,10,5,1,4
2022-10-16,10,-15,0,5
2022-10-17,12,-28,0,6
2022-10-18,6,-3,0,5
2022-10-19,6,4,1,1
2022-10-20,7,2,0,3
2022-10-21,6,-1,0,3
2022-10-22,6,-1,0,4
2022-10-23,9,-31,1,3
2022-10-24,10,-25,1,4
2022-10-25,4,0,0,4
2022-10-26,7,2,1,2
2022-10-27,2,0,0,2
2022-10-28,3,3,0,2
2022-10-29,4,1,0,1
2022-10-30,9,-5,0,4
2022-10-31,5,-4,0,0
2022-11-01,5,1,0,2
2022-11-02,6,2,0,1
2022-11-03,7,-5,0,4
2022-11-04,4,0,0,1
2022-11-05,5,3,0,1
2022-11-06,6,2,0,1
2022-11-07,7,1,0,3
2022-11-08,3,1,0,2
2022-11-09,3,1,0,2
2022-11-10,6,4,0,4
2022-11-11,9,1,0,4
2022-11-12,7,2,0,5
2022-11-13,4,4,1,0
2022-11-14,10,1,1,4
2022-11-15,9,0,0,4
2022-11-16,6,3,2,1
2022-11-17,1,0,1,0
2022-11-18,4,2,0,2
2022-11-19,10,4,1,1
2022-11-20,9,5,2,2
2022-11-21,4,2,0,0
2022-11-22,4,0,0,4
2022-11-23,4,1,0,2
2022-11-24,6,1,0,3
2022-11-25,3,0,0,1
2022-11-26,6,1,0,3
2022-11-27,11,1,0,4
2022-11-28,10,5,0,2
2022-11-29,8,2,0,4
2022-11-30,2,0,1,1
2022-12-01,7,1,0,3
2022-12-02,11,0,0,4
2022-12-03,9,4,1,2
2022-12-04,6,3,0,3
2022-12-05,6,1,0,4
2022-12-06,8,3,0,2
2022-12-07,5,2,0,1
2022-12-08,17,3,0,11
2022-12-09,10,5,2,2
2022-12-10,6,1,0,4
2022-12-11,4,0,0,2
2022-12-12,2,0,0,2
2022-12-13,8,4,1,2
2022-12-14,7,1,0,5
2022-12-15,11,5,0,5
2022-12-16,8,6,0,2
2022-12-17,8,3,1,1
2022-12-18,10,3,0,7
2022-12-19,3,2,1,0
2022-12-20,16,3,0,8
2022-12-21,7,4,0,3
2022-12-22,8,2,0,4
2022-12-23,7,4,1,2
2022-12-24,8,4,0,3
2022-12-25,5,4,1,3
2022-12-26,9,4,0,4
2022-12-27,9,3,0,7
2022-12-28,10,-2,0,5
2022-12-29,14,5,1,6
2022-12-30,22,6,0,10
2022-12-31,27,3,0,13
2023-01-01,37,9,1,8
2023-01-02,39,24,3,11
2023-01-03,21,6,0,13
2023-01-04,19,7,0,6
2023-01-05,16,6,0,6
2023-01-06,3,2,0,1
2023-01-07,15,5,1,5
2023-01-08,24,1,0,8
2023-01-09,24,7,1,7
2023-01-10,12,7,1,4
2023-01-11,7,1,0,2
2023-01-12,10,-24,1,6
2023-01-13,14,-22,2,5
2023-01-14,7,1,0,3
2023-01-15,9,3,0,5
2023-01-16,13,5,0,5
2023-01-17,6,1,0,2
2023-01-18,18,1,0,8
2023-01-19,17,5,1,9
2023-01-20,9,5,0,6
2023-01-21,13,2,0,4
2023-01-22,15,6,0,9
2023-01-23,14,3,0,6
2023-01-24,9,1,0,6
2023-01-25,13,3,0,9
2023-01-26,9,5,1,1
2023-01-27,6,3,0,1
2023-01-28,8,0,0,3
2023-01-29,8,2,1,2
2023-01-30,8,4,0,1
2023-01-31,7,3,0,4
2023-02-01,8,4,1,5
