date,added,ratings,reviews,to-read
2022-08-16,5,0,1,3
2022-08-17,9,1,0,6
2022-08-18,5,3,0,3
2022-08-19,5,1,0,2
2022-08-20,7,1,0,3
2022-08-21,13,1,0,8
2022-08-22,9,5,1,3
2022-08-23,6,1,0,3
2022-08-24,5,0,0,0
2022-08-25,4,-3,0,4
2022-08-26,7,2,0,2
2022-08-27,5,1,0,1
2022-08-28,9,2,0,1
2022-08-29,4,3,0,0
2022-08-30,4,0,0,2
2022-08-31,6,4,0,3
2022-09-01,4,2,0,3
2022-09-02,5,2,0,1
2022-09-03,8,1,0,4
2022-09-04,10,3,0,6
2022-09-05,12,1,0,5
2022-09-06,7,1,0,3
2022-09-07,3,1,0,1
2022-09-08,3,1,0,1
2022-09-09,5,-1,0,1
2022-09-10,6,0,0,1
2022-09-11,7,2,0,2
2022-09-12,8,1,0,5
2022-09-13,4,1,0,3
2022-09-14,3,1,0,2
2022-09-15,5,4,0,2
2022-09-16,3,0,0,1
2022-09-17,8,1,0,4
2022-09-18,6,3,0,2
2022-09-19,1,4,1,0
2022-09-20,3,2,0,1
2022-09-21,7,1,0,5
2022-09-22,5,2,0,3
2022-09-23,5,-1,0,1
2022-09-24,8,1,0,5
2022-09-25,3,1,0,0
2022-09-26,5,-8,0,2
2022-09-27,6,-17,0,3
2022-09-28,4,-18,0,1
2022-09-29,3,-35,0,3
2022-09-30,8,1,0,4
2022-10-01,7,2,0,5
2022-10-02,4,1,0,1
2022-10-03,0,-2,0,0
2022-10-04,6,2,0,2
2022-10-05,6,5,0,1
2022-10-06,3,1,0,1
2022-10-07,6,1,0,2
2022-10-08,6,1,0,2
2022-10-09,7,-5,0,2
2022-10-10,5,2,0,2
2022-10-11,6,0,0,3
2022-10-12,7,3,1,3
2022-10-13,0,0,0,0
2022-10-14,10,-5,0,0
2022-10-15,5,1,0,3
2022-10-16,7,-17,0,1
2022-10-17,7,-14,0,4
2022-10-18,3,-9,0,0
2022-10-19,7,1,0,0
2022-10-20,9,3,0,3
2022-10-21,3,-8,0,2
2022-10-22,8,-1,0,1
2022-10-23,8,-29,0,0
2022-10-24,7,-23,0,1
2022-10-25,5,-1,0,3
2022-10-26,7,2,0,3
2022-10-27,5,1,0,1
2022-10-28,3,4,0,1
2022-10-29,4,1,0,1
2022-10-30,5,1,0,2
2022-10-31,8,-8,0,2
2022-11-01,2,0,1,1
2022-11-02,12,6,0,2
2022-11-03,3,-6,0,1
2022-11-04,3,1,0,1
2022-11-05,4,2,0,2
2022-11-06,2,1,0,1
2022-11-07,5,4,0,1
2022-11-08,4,2,1,4
2022-11-09,4,0,0,2
2022-11-10,0,2,1,0
2022-11-11,8,4,0,2
2022-11-12,11,1,0,7
2022-11-13,5,1,1,2
2022-11-14,5,2,0,2
2022-11-15,5,1,0,1
2022-11-16,8,4,0,3
2022-11-17,9,-1,0,3
2022-11-18,5,3,0,2
2022-11-19,6,4,1,1
2022-11-20,10,4,0,2
2022-11-21,7,2,1,3
2022-11-22,2,1,0,0
2022-11-23,9,5,2,3
2022-11-24,1,0,0,0
2022-11-25,4,1,0,3
2022-11-26,8,2,1,3
2022-11-27,8,2,0,2
2022-11-28,0,3,0,0
2022-11-29,7,4,2,3
2022-11-30,5,2,0,0
2022-12-01,2,1,0,0
2022-12-02,6,2,0,0
2022-12-03,8,0,0,5
2022-12-04,3,3,0,2
2022-12-05,4,1,1,3
2022-12-06,4,1,0,1
2022-12-07,4,2,0,0
2022-12-08,6,1,0,3
2022-12-09,9,6,1,4
2022-12-10,3,0,0,1
2022-12-11,10,-2,0,6
2022-12-12,7,2,0,3
2022-12-13,3,2,0,2
2022-12-14,4,2,0,2
2022-12-15,2,3,0,1
2022-12-16,9,2,0,4
2022-12-17,5,-1,0,2
2022-12-18,13,5,0,4
2022-12-19,3,1,0,2
2022-12-20,4,3,0,0
2022-12-21,4,2,1,2
2022-12-22,7,1,0,4
2022-12-23,6,1,0,4
2022-12-24,5,1,0,4
2022-12-25,4,2,1,2
2022-12-26,6,2,0,2
2022-12-27,11,1,0,6
2022-12-28,9,5,0,3
2022-12-29,11,5,0,5
2022-12-30,15,2,0,9
2022-12-31,17,8,0,8
2023-01-01,22,3,0,7
2023-01-02,24,10,0,7
2023-01-03,15,6,0,8
2023-01-04,20,4,0,7
2023-01-05,11,9,0,6
2023-01-06,5,5,0,4
2023-01-07,8,0,0,2
2023-01-08,12,4,0,6
2023-01-09,4,-1,1,2
2023-01-10,13,2,1,7
2023-01-11,8,1,0,4
2023-01-12,11,-5,0,2
2023-01-13,8,-8,0,1
2023-01-14,12,3,0,5
2023-01-15,17,2,1,8
2023-01-16,5,2,0,3
2023-01-17,7,2,1,1
2023-01-18,7,5,0,5
2023-01-19,7,2,0,4
2023-01-20,6,2,0,3
2023-01-21,6,5,0,1
2023-01-22,9,3,0,6
2023-01-23,9,1,0,4
2023-01-24,15,3,0,9
2023-01-25,17,2,0,13
2023-01-26,9,3,0,2
2023-01-27,9,3,0,4
2023-01-28,6,3,0,2
2023-01-29,8,3,0,2
2023-01-30,7,3,0,3
2023-01-31,10,4,0,2
2023-02-01,9,6,0,7
