Title,URL
Pride and Prejudice,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
The Love Hypothesis,https://www.goodreads.com/book/show/56732449-the-love-hypothesis
The Fault in Our Stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
Beach Read,https://www.goodreads.com/book/show/52867387-beach-read
"Red, White & Royal Blue",https://www.goodreads.com/book/show/41150487-red-white-royal-blue
"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight
The Hating Game,https://www.goodreads.com/book/show/27213238-the-hating-game
"It Ends with Us (It Ends with Us, #1)",https://www.goodreads.com/book/show/27362503-it-ends-with-us
"The Kiss Quotient (The Kiss Quotient, #1)",https://www.goodreads.com/book/show/36199084-the-kiss-quotient
People We Meet on Vacation,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation
The Unhoneymooners,https://www.goodreads.com/book/show/42201431-the-unhoneymooners
Book Lovers,https://www.goodreads.com/book/show/58690308-book-lovers
"Fifty Shades of Grey (Fifty Shades, #1)",https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey
"Me Before You (Me Before You, #1)",https://www.goodreads.com/book/show/17347634-me-before-you
"New Moon (The Twilight Saga, #2)",https://www.goodreads.com/book/show/49041.New_Moon
Ugly Love,https://www.goodreads.com/book/show/17788401-ugly-love
Eleanor & Park,https://www.goodreads.com/book/show/15745753-eleanor-park
"The Selection (The Selection, #1)",https://www.goodreads.com/book/show/10507293-the-selection
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses
"Breaking Dawn (The Twilight Saga, #4)",https://www.goodreads.com/book/show/1162543.Breaking_Dawn
"Outlander (Outlander, #1)",https://www.goodreads.com/book/show/10964.Outlander
The Seven Husbands of Evelyn Hugo,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo
"The Notebook (The Notebook, #1)",https://www.goodreads.com/book/show/33648131-the-notebook
"Get a Life, Chloe Brown (The Brown Sisters, #1)",https://www.goodreads.com/book/show/43884209-get-a-life-chloe-brown
"The Deal (Off-Campus, #1)",https://www.goodreads.com/book/show/24920901-the-deal
Jane Eyre,https://www.goodreads.com/book/show/10210.Jane_Eyre
"The Spanish Love Deception (Spanish Love Deception, #1)",https://www.goodreads.com/book/show/54189398-the-spanish-love-deception
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",https://www.goodreads.com/book/show/15749186-to-all-the-boys-i-ve-loved-before
"The Duke and I (Bridgertons, #1)",https://www.goodreads.com/book/show/110391.The_Duke_and_I
"The Flatshare (The Flatshare, #1)",https://www.goodreads.com/book/show/36478784-the-flatshare
The Song of Achilles,https://www.goodreads.com/book/show/13623848-the-song-of-achilles
"Fifty Shades Darker (Fifty Shades, #2)",https://www.goodreads.com/book/show/11857408-fifty-shades-darker
Fangirl,https://www.goodreads.com/book/show/16068905-fangirl
"Anna and the French Kiss (Anna and the French Kiss, #1)",https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss
The Time Traveler's Wife,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
"Heartstopper: Volume One (Heartstopper, #1)",https://www.goodreads.com/book/show/40495957-heartstopper
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury
One Last Stop,https://www.goodreads.com/book/show/54860443-one-last-stop
"The Bride Test (The Kiss Quotient, #2)",https://www.goodreads.com/book/show/39338454-the-bride-test
"Beautiful Disaster (Beautiful, #1)",https://www.goodreads.com/book/show/11505797-beautiful-disaster
"The Viscount Who Loved Me (Bridgertons, #2)",https://www.goodreads.com/book/show/861326.The_Viscount_Who_Loved_Me
"The Elite (The Selection, #2)",https://www.goodreads.com/book/show/16248068-the-elite
Romeo and Juliet,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
"Fifty Shades Freed (Fifty Shades, #3)",https://www.goodreads.com/book/show/13536860-fifty-shades-freed
Wuthering Heights,https://www.goodreads.com/book/show/6185.Wuthering_Heights
November 9,https://www.goodreads.com/book/show/25111004-november-9
Sense and Sensibility,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
"The One (The Selection, #3)",https://www.goodreads.com/book/show/18635016-the-one
A Walk to Remember,https://www.goodreads.com/book/show/35545737-a-walk-to-remember
Love and Other Words,https://www.goodreads.com/book/show/36206591-love-and-other-words
Emma,https://www.goodreads.com/book/show/6969.Emma
Persuasion,https://www.goodreads.com/book/show/2156.Persuasion
"It Happened One Summer (Bellinger Sisters, #1)",https://www.goodreads.com/book/show/55659629-it-happened-one-summer
"Take a Hint, Dani Brown (The Brown Sisters, #2)",https://www.goodreads.com/book/show/49976087-take-a-hint-dani-brown
"An Offer From a Gentleman (Bridgertons, #3)",https://www.goodreads.com/book/show/9408584-an-offer-from-a-gentleman
"Romancing Mister Bridgerton (Bridgertons, #4)",https://www.goodreads.com/book/show/110384.Romancing_Mister_Bridgerton
Love on the Brain,https://www.goodreads.com/book/show/59571699-love-on-the-brain
The Night Circus,https://www.goodreads.com/book/show/9361589-the-night-circus
L'infinito tra me e te,https://www.goodreads.com/book/show/82368880-l-infinito-tra-me-e-te
"Everything, Everything",https://www.goodreads.com/book/show/18692431-everything-everything
"Hopeless (Hopeless, #1)",https://www.goodreads.com/book/show/62967897-hopeless
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin
"Heartstopper: Volume Two (Heartstopper, #2)",https://www.goodreads.com/book/show/43307358-heartstopper
The Soulmate Equation,https://www.goodreads.com/book/show/58438593-the-soulmate-equation
Archer's Voice,https://www.goodreads.com/book/show/32822135-archer-s-voice
"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",https://www.goodreads.com/book/show/20698530-p-s-i-still-love-you
From Lukov with Love,https://www.goodreads.com/book/show/37683751-from-lukov-with-love
"Bared to You (Crossfire, #1)",https://www.goodreads.com/book/show/20448515-bared-to-you
Josh and Hazel's Guide to Not Dating,https://www.goodreads.com/book/show/40189670-josh-and-hazel-s-guide-to-not-dating
"Boyfriend Material (London Calling, #1)",https://www.goodreads.com/book/show/50225678-boyfriend-material
"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com/book/show/256683.City_of_Bones
"The Bromance Book Club (Bromance Book Club, #1)",https://www.goodreads.com/book/show/44019067-the-bromance-book-club
"The Wedding Date (The Wedding Date, #1)",https://www.goodreads.com/book/show/33815781-the-wedding-date
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",https://www.goodreads.com/book/show/19547856-simon-vs-the-homo-sapiens-agenda
"Maybe Someday (Maybe, #1)",https://www.goodreads.com/book/show/62967882-maybe-someday
"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games
"Divergent (Divergent, #1)",https://www.goodreads.com/book/show/13335037-divergent
"The Summer I Turned Pretty (Summer, #1)",https://www.goodreads.com/book/show/5821978-the-summer-i-turned-pretty
"Dark Lover (Black Dagger Brotherhood, #1)",https://www.goodreads.com/book/show/42899.Dark_Lover
"Act Your Age, Eve Brown (The Brown Sisters, #3)",https://www.goodreads.com/book/show/51824384-act-your-age-eve-brown
Verity,https://www.goodreads.com/book/show/59344312-verity
"Heartstopper: Volume Three (Heartstopper, #3)",https://www.goodreads.com/book/show/43449920-heartstopper
"The Heart Principle (The Kiss Quotient, #3)",https://www.goodreads.com/book/show/50056075-the-heart-principle
Punk 57,https://www.goodreads.com/book/show/41021967-punk-57
The Sun Is Also a Star,https://www.goodreads.com/book/show/28763485-the-sun-is-also-a-star
"The Rosie Project (Don Tillman, #1)",https://www.goodreads.com/book/show/16181775-the-rosie-project
"The Mistake (Off-Campus, #2)",https://www.goodreads.com/book/show/25564665-the-mistake
The Invisible Life of Addie LaRue,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue
"To Sir Phillip, With Love (Bridgertons, #5)",https://www.goodreads.com/book/show/110386.To_Sir_Phillip_With_Love
"Wallbanger (Cocktail, #1)",https://www.goodreads.com/book/show/15858248-wallbanger
You Deserve Each Other,https://www.goodreads.com/book/show/50027029-you-deserve-each-other
Confess,https://www.goodreads.com/book/show/34324605-confess
"Cinder (The Lunar Chronicles, #1)",https://www.goodreads.com/book/show/36381037-cinder
Reminders of Him,https://www.goodreads.com/book/show/58341222-reminders-of-him
"Shatter Me (Shatter Me, #1)",https://www.goodreads.com/book/show/10429045-shatter-me
"Throne of Glass (Throne of Glass, #1)",https://www.goodreads.com/book/show/76703559-throne-of-glass
"If I Stay (If I Stay, #1)",https://www.goodreads.com/book/show/4374400-if-i-stay
"From Blood and Ash (Blood and Ash, #1)",https://www.goodreads.com/book/show/52831200-from-blood-and-ash
"Well Met (Well Met, #1)",https://www.goodreads.com/book/show/43189874-well-met
"Bringing Down the Duke (A League of Extraordinary Women, #1)",https://www.goodreads.com/book/show/43521785-bringing-down-the-duke
One Day in December,https://www.goodreads.com/book/show/38255337-one-day-in-december
"Fix Her Up (Hot & Hammered, #1)",https://www.goodreads.com/book/show/39854434-fix-her-up
The Princess Bride,https://www.goodreads.com/book/show/21787.The_Princess_Bride
"Call Me By Your Name (Call Me By Your Name, #1)",https://www.goodreads.com/book/show/36336078-call-me-by-your-name
Dear John,https://www.goodreads.com/book/show/5526.Dear_John
"When He Was Wicked (Bridgertons, #6)",https://www.goodreads.com/book/show/110396.When_He_Was_Wicked
Attachments,https://www.goodreads.com/book/show/8909152-attachments
"The Score (Off-Campus, #3)",https://www.goodreads.com/book/show/27252717-the-score
"Dragonfly in Amber (Outlander, #2)",https://www.goodreads.com/book/show/5364.Dragonfly_in_Amber
All Your Perfects,https://www.goodreads.com/book/show/38926487-all-your-perfects
"Slammed (Slammed, #1)",https://www.goodreads.com/book/show/30333938-slammed
All the Bright Places,https://www.goodreads.com/book/show/18460392-all-the-bright-places
Normal People,https://www.goodreads.com/book/show/41057294-normal-people
"On Dublin Street (On Dublin Street, #1)",https://www.goodreads.com/book/show/15760001-on-dublin-street
"Perfect Chemistry (Perfect Chemistry, #1)",https://www.goodreads.com/book/show/4268157-perfect-chemistry
"Easy (Contours of the Heart, #1)",https://www.goodreads.com/book/show/16056408-easy
"Heartstopper: Volume Four (Heartstopper, #4)",https://www.goodreads.com/book/show/56060300-heartstopper
"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com/book/show/6148028-catching-fire
"Matched (Matched, #1)",https://www.goodreads.com/book/show/7735333-matched
The Last Song,https://www.goodreads.com/book/show/6400090-the-last-song
"Twisted Love (Twisted, #1)",https://www.goodreads.com/book/show/55817097-twisted-love
"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",https://www.goodreads.com/book/show/35247769-always-and-forever-lara-jean
"The Ex Hex (The Ex Hex, #1)",https://www.goodreads.com/book/show/56554626-the-ex-hex
In a Holidaze,https://www.goodreads.com/book/show/50892287-in-a-holidaze
"Crazy Rich Asians (Crazy Rich Asians, #1)",https://www.goodreads.com/book/show/16085481-crazy-rich-asians
"Hush, Hush (Hush, Hush, #1)",https://www.goodreads.com/book/show/6339664-hush-hush
"Devil in Winter (Wallflowers, #3)",https://www.goodreads.com/book/show/114166.Devil_in_Winter
Looking for Alaska,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
Gone with the Wind,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
"A Discovery of Witches (All Souls, #1)",https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
"The Duchess Deal (Girl Meets Duke, #1)",https://www.goodreads.com/book/show/33259027-the-duchess-deal
The Great Gatsby,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
"City of Ashes (The Mortal Instruments, #2)",https://www.goodreads.com/book/show/1582996.City_of_Ashes
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",https://www.goodreads.com/book/show/10194157-shadow-and-bone
"It's in His Kiss (Bridgertons, #7)",https://www.goodreads.com/book/show/110393.It_s_in_His_Kiss
"Beautiful Bastard (Beautiful Bastard, #1)",https://www.goodreads.com/book/show/16102004-beautiful-bastard
