date,added,ratings,reviews,to-read
2022-08-16,19,9,0,8
2022-08-17,40,13,2,14
2022-08-18,22,8,0,8
2022-08-19,29,16,1,5
2022-08-20,28,15,0,9
2022-08-21,21,13,1,8
2022-08-22,29,7,0,16
2022-08-23,22,6,1,6
2022-08-24,34,16,1,12
2022-08-25,29,10,0,15
2022-08-26,36,17,0,14
2022-08-27,28,14,2,11
2022-08-28,32,8,0,9
2022-08-29,19,2,0,12
2022-08-30,30,15,1,18
2022-08-31,13,5,1,7
2022-09-01,24,10,0,14
2022-09-02,20,8,1,8
2022-09-03,20,7,1,3
2022-09-04,27,9,2,6
2022-09-05,28,12,0,11
2022-09-06,22,-2,0,13
2022-09-07,22,8,1,6
2022-09-08,32,5,2,12
2022-09-09,22,6,1,6
2022-09-10,28,9,0,14
2022-09-11,21,11,0,11
2022-09-12,28,11,0,11
2022-09-13,28,6,0,11
2022-09-14,20,6,3,9
2022-09-15,13,10,1,6
2022-09-16,21,11,1,4
2022-09-17,26,8,2,7
2022-09-18,34,20,0,7
2022-09-19,26,8,1,7
2022-09-20,16,3,1,3
2022-09-21,15,7,1,6
2022-09-22,27,9,0,6
2022-09-23,21,5,1,7
2022-09-24,23,3,1,9
2022-09-25,25,8,2,4
2022-09-26,23,1,1,12
2022-09-27,26,-5,1,13
2022-09-28,23,-21,1,10
2022-09-29,23,-20,0,10
2022-09-30,14,8,0,8
2022-10-01,25,4,1,9
2022-10-02,23,7,2,6
2022-10-03,27,4,0,13
2022-10-04,26,11,0,3
2022-10-05,14,1,0,7
2022-10-06,23,7,1,9
2022-10-07,18,9,0,6
2022-10-08,16,10,0,2
2022-10-09,23,7,1,5
2022-10-10,23,3,1,7
2022-10-11,18,7,0,5
2022-10-12,21,4,0,10
2022-10-13,10,8,1,5
2022-10-14,20,2,0,6
2022-10-15,18,5,0,6
2022-10-16,20,-12,0,7
2022-10-17,27,-5,2,7
2022-10-18,31,-4,0,13
2022-10-19,21,11,1,6
2022-10-20,33,11,2,13
2022-10-21,18,1,0,7
2022-10-22,23,5,0,12
2022-10-23,22,-8,1,9
2022-10-24,14,3,1,3
2022-10-25,20,7,2,8
2022-10-26,16,5,2,8
2022-10-27,17,4,1,4
2022-10-28,26,6,1,8
2022-10-29,16,9,1,2
2022-10-30,19,3,0,7
2022-10-31,22,6,1,7
2022-11-01,18,1,0,11
2022-11-02,20,7,0,5
2022-11-03,12,4,0,9
2022-11-04,20,2,0,10
2022-11-05,22,5,0,6
2022-11-06,17,5,0,5
2022-11-07,18,1,0,5
2022-11-08,26,4,0,13
2022-11-09,26,5,1,14
2022-11-10,24,3,0,9
2022-11-11,17,10,2,7
2022-11-12,17,3,0,4
2022-11-13,21,10,2,9
2022-11-14,16,7,1,7
2022-11-15,27,7,0,11
2022-11-16,27,12,3,4
2022-11-17,16,3,0,7
2022-11-18,15,6,0,4
2022-11-19,20,6,0,7
2022-11-20,29,10,1,10
2022-11-21,23,5,1,10
2022-11-22,34,12,2,11
2022-11-23,20,5,2,9
2022-11-24,11,4,1,4
2022-11-25,21,4,1,7
2022-11-26,23,5,1,7
2022-11-27,19,5,-1,6
2022-11-28,30,4,0,8
2022-11-29,22,9,1,10
2022-11-30,18,10,3,8
2022-12-01,18,5,0,7
2022-12-02,18,3,0,8
2022-12-03,21,8,0,7
2022-12-04,30,11,1,8
2022-12-05,26,8,1,6
2022-12-06,20,7,0,10
2022-12-07,13,10,0,5
2022-12-08,20,5,0,8
2022-12-09,16,9,2,4
2022-12-10,24,10,2,3
2022-12-11,15,12,1,5
2022-12-12,19,4,1,8
2022-12-13,18,3,1,9
2022-12-14,15,4,0,5
2022-12-15,24,6,0,9
2022-12-16,23,4,0,10
2022-12-17,25,7,0,10
2022-12-18,24,3,0,10
2022-12-19,22,7,0,8
2022-12-20,15,6,0,8
2022-12-21,27,8,1,11
2022-12-22,13,7,1,4
2022-12-23,16,7,2,6
2022-12-24,11,3,0,6
2022-12-25,18,4,0,7
2022-12-26,31,4,2,10
2022-12-27,21,12,0,9
2022-12-28,25,6,1,7
2022-12-29,24,4,1,12
2022-12-30,35,11,3,13
2022-12-31,48,13,1,12
2023-01-01,48,16,1,11
2023-01-02,43,18,3,12
2023-01-03,36,5,1,17
2023-01-04,29,13,2,15
2023-01-05,19,2,0,7
2023-01-06,26,7,0,10
2023-01-07,27,9,0,7
2023-01-08,20,10,1,10
2023-01-09,21,5,0,1
2023-01-10,43,14,1,11
2023-01-11,20,7,0,12
2023-01-12,18,-18,0,6
2023-01-13,26,-2,0,11
2023-01-14,27,7,0,13
2023-01-15,32,8,1,7
2023-01-16,35,13,1,15
2023-01-17,22,10,2,7
2023-01-18,28,6,3,8
2023-01-19,11,8,1,4
2023-01-20,22,7,0,9
2023-01-21,37,8,0,16
2023-01-22,25,6,0,10
2023-01-23,31,14,0,13
2023-01-24,23,4,1,6
2023-01-25,26,10,1,7
2023-01-26,23,5,1,6
2023-01-27,24,11,-1,9
2023-01-28,22,10,0,3
2023-01-29,27,8,1,13
2023-01-30,12,3,0,8
2023-01-31,30,10,0,13
2023-02-01,26,7,1,12
