date,added,ratings,reviews,to-read
2022-08-16,762,141,23,487
2022-08-17,759,148,18,479
2022-08-18,514,147,18,399
2022-08-19,621,139,16,387
2022-08-20,653,138,17,395
2022-08-21,814,156,19,519
2022-08-22,693,154,19,440
2022-08-23,679,161,27,384
2022-08-24,689,168,29,420
2022-08-25,456,148,25,343
2022-08-26,578,115,11,348
2022-08-27,634,147,24,397
2022-08-28,827,130,22,561
2022-08-29,708,134,16,440
2022-08-30,664,142,19,402
2022-08-31,629,164,15,382
2022-09-01,593,135,18,367
2022-09-02,533,127,20,295
2022-09-03,591,130,17,362
2022-09-04,624,128,15,387
2022-09-05,628,144,14,370
2022-09-06,572,119,11,324
2022-09-07,537,129,11,308
2022-09-08,531,119,20,316
2022-09-09,473,115,15,271
2022-09-10,505,103,10,285
2022-09-11,443,127,16,333
2022-09-12,495,128,15,274
2022-09-13,496,91,9,294
2022-09-14,524,109,14,310
2022-09-15,384,96,15,306
2022-09-16,417,104,13,263
2022-09-17,442,89,16,272
2022-09-18,528,119,10,324
2022-09-19,460,101,8,285
2022-09-20,359,98,14,278
2022-09-21,316,109,10,221
2022-09-22,390,105,17,219
2022-09-23,404,91,10,246
2022-09-24,474,89,10,291
2022-09-25,547,126,5,306
2022-09-26,348,95,19,265
2022-09-27,487,115,12,287
2022-09-28,450,110,11,267
2022-09-29,396,103,9,241
2022-09-30,420,111,8,248
2022-10-01,434,97,15,258
2022-10-02,540,105,10,329
2022-10-03,441,111,12,265
2022-10-04,454,107,25,249
2022-10-05,314,119,11,227
2022-10-06,422,98,9,249
2022-10-07,406,90,8,247
2022-10-08,430,87,11,272
2022-10-09,533,111,17,336
2022-10-10,510,108,19,289
2022-10-11,444,112,9,253
2022-10-12,430,107,10,241
2022-10-13,327,84,3,234
2022-10-14,414,91,9,256
2022-10-15,488,97,9,304
2022-10-16,600,133,5,363
2022-10-17,476,112,15,282
2022-10-18,493,122,16,290
2022-10-19,505,101,11,296
2022-10-20,430,90,7,263
2022-10-21,410,99,11,230
2022-10-22,466,81,13,282
2022-10-23,543,120,9,320
2022-10-24,472,116,8,285
2022-10-25,364,113,12,263
2022-10-26,460,103,15,262
2022-10-27,437,99,8,257
2022-10-28,371,95,17,193
2022-10-29,408,93,10,232
2022-10-30,492,102,11,290
2022-10-31,459,111,13,270
2022-11-01,575,111,10,346
2022-11-02,528,95,14,307
2022-11-03,504,137,13,263
2022-11-04,484,130,16,280
2022-11-05,568,116,9,333
2022-11-06,639,127,18,382
2022-11-07,501,132,17,270
2022-11-08,525,133,18,295
2022-11-09,520,105,12,323
2022-11-10,497,124,23,306
2022-11-11,485,122,14,283
2022-11-12,476,97,9,280
2022-11-13,548,108,13,313
2022-11-14,503,110,15,301
2022-11-15,546,150,11,316
2022-11-16,484,110,10,277
2022-11-17,356,105,8,262
2022-11-18,421,114,12,242
2022-11-19,467,87,7,275
2022-11-20,544,115,14,314
2022-11-21,517,113,15,330
2022-11-22,468,129,20,271
2022-11-23,468,89,10,289
2022-11-24,409,96,7,255
2022-11-25,478,103,10,294
2022-11-26,481,117,10,290
2022-11-27,604,129,11,349
2022-11-28,514,118,20,330
2022-11-29,489,110,5,285
2022-11-30,474,102,9,287
2022-12-01,403,106,13,228
2022-12-02,415,96,8,249
2022-12-03,482,98,15,290
2022-12-04,531,129,23,297
2022-12-05,451,92,17,264
2022-12-06,451,124,16,255
2022-12-07,300,97,13,228
2022-12-08,409,104,8,210
2022-12-09,354,89,11,207
2022-12-10,431,87,9,243
2022-12-11,488,140,11,275
2022-12-12,533,118,9,325
2022-12-13,480,126,16,291
2022-12-14,494,108,13,274
2022-12-15,514,153,18,282
2022-12-16,485,101,9,269
2022-12-17,504,131,12,310
2022-12-18,590,124,16,342
2022-12-19,541,143,11,309
2022-12-20,433,135,17,337
2022-12-21,589,129,17,354
2022-12-22,588,154,22,344
2022-12-23,576,142,12,334
2022-12-24,456,112,9,276
2022-12-25,705,121,14,458
2022-12-26,832,154,14,520
2022-12-27,900,191,23,568
2022-12-28,933,196,18,580
2022-12-29,751,209,29,551
2022-12-30,1051,251,22,660
2022-12-31,1075,226,19,661
2023-01-01,1791,204,22,1179
2023-01-02,1822,378,34,1215
2023-01-03,1401,307,32,876
2023-01-04,925,284,29,672
2023-01-05,1001,239,36,614
2023-01-06,859,208,35,540
2023-01-07,878,203,14,540
2023-01-08,922,186,23,564
2023-01-09,827,188,25,496
2023-01-10,951,201,32,513
2023-01-11,629,222,19,465
2023-01-12,764,170,15,480
2023-01-13,696,171,24,421
2023-01-14,814,160,25,508
2023-01-15,893,193,27,518
2023-01-16,834,204,11,507
2023-01-17,754,181,26,453
2023-01-18,746,184,23,440
2023-01-19,626,150,13,353
2023-01-20,444,143,12,331
2023-01-21,660,134,12,428
2023-01-22,812,180,18,472
2023-01-23,698,162,17,429
2023-01-24,708,135,22,450
2023-01-25,667,133,22,401
2023-01-26,615,122,16,382
2023-01-27,593,150,15,341
2023-01-28,688,133,12,425
2023-01-29,794,156,26,494
2023-01-30,496,149,28,364
2023-01-31,675,158,22,391
2023-02-01,469,153,18,346
