date,added,ratings,reviews,to-read
2022-08-16,514,240,9,134
2022-08-17,555,231,19,144
2022-08-18,438,227,10,119
2022-08-19,471,174,13,118
2022-08-20,451,185,11,106
2022-08-21,526,175,12,144
2022-08-22,524,191,10,143
2022-08-23,427,204,5,139
2022-08-24,518,202,3,142
2022-08-25,423,168,13,128
2022-08-26,444,189,7,121
2022-08-27,471,179,6,161
2022-08-28,589,202,13,162
2022-08-29,458,198,14,124
2022-08-30,515,181,5,128
2022-08-31,713,273,7,197
2022-09-01,585,267,4,130
2022-09-02,463,185,7,125
2022-09-03,457,152,6,113
2022-09-04,464,141,12,139
2022-09-05,493,168,3,129
2022-09-06,454,174,7,117
2022-09-07,469,198,15,116
2022-09-08,432,170,5,128
2022-09-09,360,142,14,107
2022-09-10,396,155,10,119
2022-09-11,458,191,4,189
2022-09-12,406,148,11,120
2022-09-13,421,169,11,110
2022-09-14,327,161,5,122
2022-09-15,291,134,2,100
2022-09-16,337,102,12,94
2022-09-17,329,112,5,122
2022-09-18,416,156,7,111
2022-09-19,340,109,7,103
2022-09-20,338,148,5,106
2022-09-21,280,137,9,81
2022-09-22,355,111,4,117
2022-09-23,333,114,4,106
2022-09-24,377,131,8,123
2022-09-25,447,144,10,146
2022-09-26,341,133,13,109
2022-09-27,411,153,14,102
2022-09-28,402,151,12,120
2022-09-29,372,111,2,131
2022-09-30,363,136,6,107
2022-10-01,368,126,7,124
2022-10-02,504,182,11,152
2022-10-03,407,148,9,114
2022-10-04,370,148,6,102
2022-10-05,263,139,2,84
2022-10-06,372,139,6,90
2022-10-07,325,134,2,86
2022-10-08,345,117,5,101
2022-10-09,396,152,16,109
2022-10-10,372,138,12,94
2022-10-11,390,150,10,103
2022-10-12,322,127,7,71
2022-10-13,258,113,2,85
2022-10-14,288,95,7,82
2022-10-15,289,87,5,77
2022-10-16,344,124,4,74
2022-10-17,336,116,7,76
2022-10-18,353,121,5,111
2022-10-19,334,140,7,88
2022-10-20,303,111,14,77
2022-10-21,275,112,2,76
2022-10-22,314,112,8,89
2022-10-23,356,129,9,82
2022-10-24,335,148,9,81
2022-10-25,281,145,13,68
2022-10-26,296,107,6,88
2022-10-27,321,123,7,81
2022-10-28,264,113,3,73
2022-10-29,257,85,4,70
2022-10-30,324,111,1,87
2022-10-31,256,98,8,60
2022-11-01,327,103,2,75
2022-11-02,320,123,8,92
2022-11-03,353,132,4,94
2022-11-04,317,118,4,88
2022-11-05,314,122,7,84
2022-11-06,365,129,7,101
2022-11-07,329,117,3,92
2022-11-08,331,129,3,104
2022-11-09,335,107,2,99
2022-11-10,299,120,8,83
2022-11-11,291,107,4,84
2022-11-12,299,115,8,76
2022-11-13,363,108,8,114
2022-11-14,317,127,14,69
2022-11-15,354,120,5,91
2022-11-16,337,140,4,85
2022-11-17,218,113,5,55
2022-11-18,283,154,11,86
2022-11-19,301,112,4,81
2022-11-20,313,142,3,71
2022-11-21,323,128,6,82
2022-11-22,294,107,6,89
2022-11-23,293,122,9,61
2022-11-24,281,113,5,81
2022-11-25,266,91,2,74
2022-11-26,278,93,8,74
2022-11-27,328,125,9,80
2022-11-28,316,106,6,80
2022-11-29,290,117,3,67
2022-11-30,339,117,9,88
2022-12-01,275,95,1,79
2022-12-02,261,83,8,74
2022-12-03,303,105,6,90
2022-12-04,304,128,2,65
2022-12-05,286,87,4,90
2022-12-06,302,137,12,77
2022-12-07,224,119,7,59
2022-12-08,215,97,3,59
2022-12-09,253,105,6,55
2022-12-10,260,95,5,80
2022-12-11,332,119,3,85
2022-12-12,316,114,8,96
2022-12-13,359,158,7,85
2022-12-14,281,114,9,62
2022-12-15,322,116,6,78
2022-12-16,319,126,6,70
2022-12-17,334,132,3,95
2022-12-18,411,153,4,83
2022-12-19,345,156,5,75
2022-12-20,303,159,4,71
2022-12-21,363,165,2,78
2022-12-22,397,154,7,98
2022-12-23,351,135,4,78
2022-12-24,330,107,7,96
2022-12-25,495,147,4,159
2022-12-26,643,192,5,237
2022-12-27,733,221,7,238
2022-12-28,781,258,12,211
2022-12-29,727,294,14,241
2022-12-30,977,320,14,316
2022-12-31,940,325,12,265
2023-01-01,1744,461,9,491
2023-01-02,1688,819,32,417
2023-01-03,1274,541,26,323
2023-01-04,903,413,24,275
2023-01-05,833,353,21,202
2023-01-06,701,292,7,182
2023-01-07,676,226,4,181
2023-01-08,738,279,14,175
2023-01-09,688,261,6,180
2023-01-10,755,264,9,185
2023-01-11,566,316,19,164
2023-01-12,598,231,15,160
2023-01-13,521,211,6,144
2023-01-14,578,203,10,168
2023-01-15,607,248,16,136
2023-01-16,636,266,10,157
2023-01-17,507,218,18,127
2023-01-18,496,202,5,114
2023-01-19,482,182,15,123
2023-01-20,352,173,13,116
2023-01-21,453,147,12,133
2023-01-22,530,172,5,147
2023-01-23,474,197,5,113
2023-01-24,516,222,15,139
2023-01-25,506,187,6,115
2023-01-26,440,182,5,114
2023-01-27,439,160,10,134
2023-01-28,462,180,9,116
2023-01-29,553,191,6,142
2023-01-30,334,160,7,107
2023-01-31,479,182,12,133
2023-02-01,379,182,10,107
