date,added,ratings,reviews,to-read
2022-08-16,450,242,20,148
2022-08-17,636,238,23,126
2022-08-18,411,242,15,121
2022-08-19,543,245,24,121
2022-08-20,557,216,18,130
2022-08-21,565,218,16,116
2022-08-22,583,217,21,131
2022-08-23,530,204,19,130
2022-08-24,530,196,15,112
2022-08-25,371,231,21,108
2022-08-26,465,199,13,108
2022-08-27,525,187,15,99
2022-08-28,540,189,10,116
2022-08-29,408,210,12,106
2022-08-30,539,195,13,118
2022-08-31,564,215,22,136
2022-09-01,491,205,14,113
2022-09-02,437,174,16,87
2022-09-03,456,150,16,115
2022-09-04,540,193,15,104
2022-09-05,569,206,11,109
2022-09-06,483,195,15,108
2022-09-07,495,185,14,97
2022-09-08,402,174,13,87
2022-09-09,392,147,11,73
2022-09-10,408,159,7,91
2022-09-11,317,169,15,81
2022-09-12,442,190,18,98
2022-09-13,449,153,13,104
2022-09-14,445,188,16,83
2022-09-15,262,137,5,80
2022-09-16,345,138,7,80
2022-09-17,337,119,9,70
2022-09-18,408,169,15,83
2022-09-19,411,145,5,98
2022-09-20,283,159,6,87
2022-09-21,247,150,17,55
2022-09-22,352,137,14,66
2022-09-23,295,93,7,76
2022-09-24,361,145,9,83
2022-09-25,442,144,9,101
2022-09-26,258,146,11,74
2022-09-27,406,146,9,102
2022-09-28,400,131,9,80
2022-09-29,330,126,7,72
2022-09-30,329,140,8,60
2022-10-01,325,124,7,73
2022-10-02,439,148,15,89
2022-10-03,371,141,8,71
2022-10-04,376,151,8,74
2022-10-05,260,148,15,62
2022-10-06,318,134,8,73
2022-10-07,328,131,13,73
2022-10-08,327,115,7,80
2022-10-09,441,138,11,92
2022-10-10,381,147,11,80
2022-10-11,355,127,8,71
2022-10-12,337,126,7,71
2022-10-13,222,110,5,59
2022-10-14,314,115,8,78
2022-10-15,314,112,2,81
2022-10-16,380,105,8,68
2022-10-17,379,105,7,85
2022-10-18,365,136,11,75
2022-10-19,355,156,9,73
2022-10-20,331,134,9,57
2022-10-21,273,117,3,61
2022-10-22,315,110,8,67
2022-10-23,347,138,7,77
2022-10-24,345,122,12,72
2022-10-25,245,132,5,66
2022-10-26,329,125,6,75
2022-10-27,310,128,4,67
2022-10-28,251,98,7,53
2022-10-29,296,105,8,71
2022-10-30,339,117,8,71
2022-10-31,334,140,12,65
2022-11-01,345,124,6,74
2022-11-02,331,129,9,69
2022-11-03,296,120,5,66
2022-11-04,311,108,8,56
2022-11-05,300,119,8,72
2022-11-06,416,131,11,100
2022-11-07,344,125,9,81
2022-11-08,307,125,6,67
2022-11-09,324,134,8,70
2022-11-10,323,116,12,76
2022-11-11,297,119,13,53
2022-11-12,295,123,11,57
2022-11-13,355,135,6,86
2022-11-14,291,117,7,61
2022-11-15,319,108,3,71
2022-11-16,328,132,5,75
2022-11-17,225,121,14,64
2022-11-18,256,98,6,56
2022-11-19,291,109,7,73
2022-11-20,332,124,15,70
2022-11-21,303,117,5,58
2022-11-22,298,114,7,71
2022-11-23,262,95,7,56
2022-11-24,256,94,8,64
2022-11-25,297,107,2,71
2022-11-26,300,111,5,64
2022-11-27,365,142,12,78
2022-11-28,327,116,7,67
2022-11-29,301,116,8,52
2022-11-30,316,135,9,63
2022-12-01,305,105,6,71
2022-12-02,285,109,5,69
2022-12-03,315,139,7,58
2022-12-04,309,128,17,62
2022-12-05,326,139,6,60
2022-12-06,305,112,10,64
2022-12-07,215,107,12,60
2022-12-08,271,114,7,51
2022-12-09,264,111,10,50
2022-12-10,271,102,10,51
2022-12-11,293,111,11,70
2022-12-12,295,124,7,58
2022-12-13,295,127,7,67
2022-12-14,303,114,10,54
2022-12-15,333,120,13,67
2022-12-16,339,126,7,62
2022-12-17,318,132,6,51
2022-12-18,420,160,4,76
2022-12-19,370,149,10,86
2022-12-20,295,158,13,73
2022-12-21,358,137,16,70
2022-12-22,352,140,12,74
2022-12-23,356,133,11,72
2022-12-24,285,136,4,59
2022-12-25,408,115,5,128
2022-12-26,573,190,10,153
2022-12-27,630,227,7,160
2022-12-28,746,287,18,190
2022-12-29,531,249,8,163
2022-12-30,886,300,20,182
2022-12-31,1057,379,24,236
2023-01-01,1577,374,16,456
2023-01-02,1402,623,33,397
2023-01-03,1142,404,17,359
2023-01-04,797,362,15,238
2023-01-05,822,295,23,240
2023-01-06,654,266,16,161
2023-01-07,700,233,16,203
2023-01-08,742,245,10,170
2023-01-09,663,281,25,164
2023-01-10,692,235,25,184
2023-01-11,447,219,16,159
2023-01-12,556,181,17,142
2023-01-13,490,152,11,132
2023-01-14,535,189,13,159
2023-01-15,624,196,9,157
2023-01-16,564,218,17,147
2023-01-17,534,203,12,122
2023-01-18,557,189,22,145
2023-01-19,535,230,18,123
2023-01-20,317,194,17,96
2023-01-21,505,188,11,130
2023-01-22,559,205,10,124
2023-01-23,558,199,14,131
2023-01-24,557,211,17,129
2023-01-25,557,220,11,140
2023-01-26,496,199,21,114
2023-01-27,463,171,15,113
2023-01-28,501,187,13,111
2023-01-29,588,198,12,166
2023-01-30,377,170,21,123
2023-01-31,576,193,21,133
2023-02-01,395,189,13,126
