date,added,ratings,reviews,to-read
2022-08-16,852,152,7,526
2022-08-17,874,148,10,554
2022-08-18,678,171,11,455
2022-08-19,767,149,7,486
2022-08-20,765,143,14,448
2022-08-21,872,198,14,517
2022-08-22,841,157,10,499
2022-08-23,865,161,7,558
2022-08-24,755,142,8,470
2022-08-25,666,136,8,449
2022-08-26,703,122,11,427
2022-08-27,701,135,13,410
2022-08-28,804,154,16,473
2022-08-29,763,111,7,461
2022-08-30,800,172,10,457
2022-08-31,805,147,9,484
2022-09-01,739,152,8,461
2022-09-02,665,128,11,407
2022-09-03,685,129,3,431
2022-09-04,758,131,11,440
2022-09-05,779,170,8,453
2022-09-06,755,124,7,466
2022-09-07,719,151,12,441
2022-09-08,707,105,6,465
2022-09-09,630,123,8,392
2022-09-10,655,118,7,397
2022-09-11,682,118,11,477
2022-09-12,647,131,5,389
2022-09-13,661,126,3,401
2022-09-14,705,112,13,450
2022-09-15,574,140,10,390
2022-09-16,574,109,15,346
2022-09-17,652,121,3,385
2022-09-18,743,130,3,472
2022-09-19,646,118,5,398
2022-09-20,611,148,3,410
2022-09-21,568,145,4,350
2022-09-22,615,136,5,369
2022-09-23,598,78,10,371
2022-09-24,641,117,10,394
2022-09-25,742,118,11,474
2022-09-26,621,46,8,433
2022-09-27,662,22,5,407
2022-09-28,614,-7,3,370
2022-09-29,616,-16,7,379
2022-09-30,571,125,5,365
2022-10-01,608,103,6,376
2022-10-02,691,50,4,422
2022-10-03,628,77,6,404
2022-10-04,681,129,3,410
2022-10-05,486,122,13,314
2022-10-06,631,94,8,394
2022-10-07,553,53,2,327
2022-10-08,623,124,3,400
2022-10-09,685,69,5,433
2022-10-10,659,119,12,404
2022-10-11,623,106,10,372
2022-10-12,602,65,9,357
2022-10-13,524,118,11,349
2022-10-14,539,14,7,340
2022-10-15,584,125,6,344
2022-10-16,731,24,12,440
2022-10-17,625,69,6,364
2022-10-18,627,119,10,370
2022-10-19,592,106,5,347
2022-10-20,588,116,11,351
2022-10-21,577,101,5,366
2022-10-22,556,87,6,335
2022-10-23,678,24,10,403
2022-10-24,618,49,7,366
2022-10-25,561,95,11,368
2022-10-26,627,109,6,389
2022-10-27,573,105,4,357
2022-10-28,477,101,5,270
2022-10-29,562,103,3,341
2022-10-30,614,114,5,334
2022-10-31,576,97,3,339
2022-11-01,648,125,7,375
2022-11-02,623,107,2,396
2022-11-03,614,103,9,382
2022-11-04,623,116,-1,404
2022-11-05,661,110,7,421
2022-11-06,838,127,7,498
2022-11-07,628,113,4,385
2022-11-08,625,113,5,382
2022-11-09,622,119,4,388
2022-11-10,572,106,5,357
2022-11-11,553,100,2,326
2022-11-12,616,99,8,369
2022-11-13,717,124,7,438
2022-11-14,676,105,4,436
2022-11-15,777,153,13,476
2022-11-16,680,131,7,412
2022-11-17,499,115,9,317
2022-11-18,577,118,5,362
2022-11-19,570,116,9,340
2022-11-20,654,128,7,383
2022-11-21,649,131,9,398
2022-11-22,614,122,3,383
2022-11-23,603,116,7,362
2022-11-24,615,119,8,387
2022-11-25,602,116,4,372
2022-11-26,609,115,4,383
2022-11-27,766,136,8,451
2022-11-28,752,145,4,451
2022-11-29,740,135,10,457
2022-11-30,737,63,9,454
2022-12-01,631,116,10,412
2022-12-02,628,114,8,373
2022-12-03,719,147,4,404
2022-12-04,799,158,15,513
2022-12-05,755,120,6,487
2022-12-06,744,126,8,461
2022-12-07,634,134,7,430
2022-12-08,541,147,13,355
2022-12-09,596,87,3,374
2022-12-10,687,95,6,424
2022-12-11,795,151,12,471
2022-12-12,732,141,8,455
2022-12-13,729,94,19,426
2022-12-14,664,110,11,413
2022-12-15,715,123,13,438
2022-12-16,732,146,11,435
2022-12-17,775,137,9,499
2022-12-18,860,146,10,530
2022-12-19,851,162,7,539
2022-12-20,748,153,7,501
2022-12-21,775,140,8,486
2022-12-22,771,154,6,495
2022-12-23,780,141,5,477
2022-12-24,754,122,11,454
2022-12-25,1018,183,10,626
2022-12-26,1103,205,17,670
2022-12-27,1236,221,12,781
2022-12-28,1312,240,18,841
2022-12-29,1183,222,13,821
2022-12-30,1418,286,13,880
2022-12-31,1526,341,24,894
2023-01-01,2804,433,22,1791
2023-01-02,2672,568,13,1723
2023-01-03,2077,416,17,1305
2023-01-04,1529,304,9,1034
2023-01-05,1598,291,17,977
2023-01-06,1378,244,13,831
2023-01-07,1387,254,14,823
2023-01-08,1426,222,13,829
2023-01-09,1296,251,18,720
2023-01-10,1312,245,13,780
2023-01-11,1106,242,19,722
2023-01-12,1059,153,8,624
2023-01-13,974,105,9,564
2023-01-14,1075,188,4,642
2023-01-15,1129,206,15,637
2023-01-16,1158,193,16,706
2023-01-17,1024,176,13,601
2023-01-18,1006,180,17,591
2023-01-19,959,191,18,575
2023-01-20,759,184,19,491
2023-01-21,903,141,7,552
2023-01-22,1046,208,15,621
2023-01-23,980,176,13,594
2023-01-24,1064,158,8,688
2023-01-25,1141,196,14,721
2023-01-26,941,157,11,555
2023-01-27,873,178,9,504
2023-01-28,960,154,11,580
2023-01-29,1127,168,13,683
2023-01-30,774,194,12,511
2023-01-31,944,144,9,531
2023-02-01,787,158,11,513
