date,added,ratings,reviews,to-read
2022-08-16,256,91,14,138
2022-08-17,303,80,5,145
2022-08-18,227,77,7,128
2022-08-19,226,74,3,95
2022-08-20,250,58,5,127
2022-08-21,288,74,8,149
2022-08-22,266,64,7,141
2022-08-23,190,66,7,108
2022-08-24,274,73,7,125
2022-08-25,214,58,11,121
2022-08-26,201,67,5,101
2022-08-27,240,66,3,119
2022-08-28,235,46,6,111
2022-08-29,244,48,4,119
2022-08-30,199,47,4,93
2022-08-31,240,63,8,123
2022-09-01,229,55,7,113
2022-09-02,183,54,7,95
2022-09-03,202,56,0,103
2022-09-04,250,48,6,130
2022-09-05,226,69,4,103
2022-09-06,511,51,4,347
2022-09-07,543,91,5,357
2022-09-08,409,78,5,256
2022-09-09,283,61,11,155
2022-09-10,244,57,8,157
2022-09-11,215,58,4,136
2022-09-12,230,56,5,123
2022-09-13,194,57,3,107
2022-09-14,182,34,0,91
2022-09-15,119,51,0,63
2022-09-16,148,33,3,75
2022-09-17,161,44,5,73
2022-09-18,179,35,2,100
2022-09-19,193,52,3,95
2022-09-20,132,50,4,76
2022-09-21,149,36,4,90
2022-09-22,165,41,4,101
2022-09-23,159,-6,5,87
2022-09-24,177,49,3,88
2022-09-25,201,57,9,108
2022-09-26,155,15,5,83
2022-09-27,186,20,5,81
2022-09-28,159,-45,2,69
2022-09-29,185,-45,6,98
2022-09-30,132,46,4,55
2022-10-01,187,53,4,100
2022-10-02,193,23,4,104
2022-10-03,160,40,4,78
2022-10-04,157,32,0,84
2022-10-05,130,46,0,78
2022-10-06,161,53,4,77
2022-10-07,121,49,3,59
2022-10-08,147,31,5,88
2022-10-09,216,47,-1,123
2022-10-10,178,50,2,84
2022-10-11,185,50,4,78
2022-10-12,149,30,3,69
2022-10-13,119,41,4,64
2022-10-14,134,-12,3,77
2022-10-15,169,43,3,102
2022-10-16,166,-36,2,88
2022-10-17,178,-8,2,87
2022-10-18,153,27,5,80
2022-10-19,150,34,2,75
2022-10-20,142,31,1,84
2022-10-21,120,20,3,65
2022-10-22,161,26,5,88
2022-10-23,202,-35,1,113
2022-10-24,147,-1,1,65
2022-10-25,119,-17,2,59
2022-10-26,155,47,3,74
2022-10-27,142,45,4,70
2022-10-28,143,43,7,64
2022-10-29,135,41,5,62
2022-10-30,182,51,2,84
2022-10-31,148,5,10,63
2022-11-01,136,32,4,55
2022-11-02,143,50,8,70
2022-11-03,150,40,5,75
2022-11-04,140,44,4,71
2022-11-05,161,35,5,79
2022-11-06,536,79,4,369
2022-11-07,406,60,5,275
2022-11-08,290,59,3,188
2022-11-09,212,49,5,124
2022-11-10,200,34,3,122
2022-11-11,174,30,0,111
2022-11-12,192,50,5,108
2022-11-13,219,61,9,128
2022-11-14,192,52,5,100
2022-11-15,181,41,2,84
2022-11-16,163,38,7,89
2022-11-17,124,39,3,73
2022-11-18,131,37,1,63
2022-11-19,161,43,0,76
2022-11-20,181,45,1,94
2022-11-21,156,47,4,71
2022-11-22,171,52,5,85
2022-11-23,155,42,9,74
2022-11-24,142,41,2,61
2022-11-25,142,47,3,78
2022-11-26,167,33,4,80
2022-11-27,195,51,3,97
2022-11-28,180,71,4,91
2022-11-29,171,34,3,93
2022-11-30,173,23,6,78
2022-12-01,144,44,0,75
2022-12-02,118,39,5,52
2022-12-03,175,41,4,93
2022-12-04,150,45,4,79
2022-12-05,161,50,6,69
2022-12-06,173,48,1,85
2022-12-07,140,46,2,74
2022-12-08,138,37,2,83
2022-12-09,137,43,2,74
2022-12-10,150,43,5,80
2022-12-11,192,43,4,90
2022-12-12,174,38,3,82
2022-12-13,170,51,2,93
2022-12-14,161,36,5,79
2022-12-15,168,40,1,75
2022-12-16,147,54,3,72
2022-12-17,177,35,4,80
2022-12-18,193,60,1,90
2022-12-19,179,55,1,81
2022-12-20,149,54,1,84
2022-12-21,197,55,5,95
2022-12-22,204,55,2,83
2022-12-23,171,61,6,73
2022-12-24,168,40,5,78
2022-12-25,290,79,8,158
2022-12-26,276,90,2,129
2022-12-27,329,79,5,161
2022-12-28,305,99,10,150
2022-12-29,272,99,11,134
2022-12-30,365,86,11,169
2022-12-31,398,119,10,188
2023-01-01,810,136,-5,397
2023-01-02,741,291,14,322
2023-01-03,547,190,8,256
2023-01-04,413,139,4,199
2023-01-05,390,119,8,186
2023-01-06,311,73,6,155
2023-01-07,310,90,9,146
2023-01-08,306,93,5,166
2023-01-09,388,79,4,189
2023-01-10,349,124,12,162
2023-01-11,800,118,2,596
2023-01-12,703,66,8,457
2023-01-13,445,39,11,275
2023-01-14,426,54,4,260
2023-01-15,360,72,5,219
2023-01-16,307,65,8,161
2023-01-17,255,87,4,131
2023-01-18,252,75,8,107
2023-01-19,249,70,3,122
2023-01-20,184,54,5,99
2023-01-21,258,67,9,120
2023-01-22,233,60,5,113
2023-01-23,257,70,3,140
2023-01-24,229,62,6,105
2023-01-25,238,80,10,108
2023-01-26,188,64,9,84
2023-01-27,177,32,3,89
2023-01-28,223,57,1,112
2023-01-29,232,64,6,126
2023-01-30,183,52,3,111
2023-01-31,216,54,4,98
2023-02-01,185,59,6,109
