date,added,ratings,reviews,to-read
2022-08-16,1393,445,45,679
2022-08-17,1216,438,45,593
2022-08-18,879,404,45,523
2022-08-19,992,379,35,455
2022-08-20,1008,353,47,482
2022-08-21,1173,389,33,596
2022-08-22,1170,368,44,609
2022-08-23,1190,371,41,635
2022-08-24,1093,327,27,543
2022-08-25,818,370,31,484
2022-08-26,1114,301,36,620
2022-08-27,1020,292,37,555
2022-08-28,1133,328,39,609
2022-08-29,1013,218,29,536
2022-08-30,962,300,29,468
2022-08-31,1210,387,35,614
2022-09-01,1098,385,40,536
2022-09-02,862,253,19,443
2022-09-03,1065,270,33,616
2022-09-04,1232,311,29,739
2022-09-05,921,283,36,452
2022-09-06,912,256,31,463
2022-09-07,899,261,33,429
2022-09-08,894,257,17,471
2022-09-09,1489,270,32,1012
2022-09-10,1187,261,21,736
2022-09-11,1078,303,27,721
2022-09-12,1020,342,47,505
2022-09-13,1005,315,41,500
2022-09-14,980,334,34,451
2022-09-15,622,255,31,403
2022-09-16,822,248,29,401
2022-09-17,879,295,36,430
2022-09-18,967,299,36,491
2022-09-19,899,314,37,435
2022-09-20,620,285,40,370
2022-09-21,580,266,27,342
2022-09-22,754,242,29,354
2022-09-23,687,177,29,346
2022-09-24,765,230,20,381
2022-09-25,898,269,47,453
2022-09-26,608,187,26,385
2022-09-27,862,185,33,431
2022-09-28,784,99,27,386
2022-09-29,743,299,37,350
2022-09-30,765,254,43,381
2022-10-01,787,245,30,385
2022-10-02,905,206,26,456
2022-10-03,748,168,25,371
2022-10-04,775,245,29,361
2022-10-05,529,229,21,319
2022-10-06,640,175,22,342
2022-10-07,626,199,19,311
2022-10-08,776,228,25,390
2022-10-09,915,217,31,455
2022-10-10,744,300,41,369
2022-10-11,751,216,24,376
2022-10-12,682,180,27,328
2022-10-13,560,247,25,313
2022-10-14,627,109,25,298
2022-10-15,701,219,22,362
2022-10-16,785,97,28,370
2022-10-17,659,84,20,344
2022-10-18,692,164,24,356
2022-10-19,675,207,25,324
2022-10-20,689,203,29,344
2022-10-21,646,185,26,307
2022-10-22,599,172,21,310
2022-10-23,776,57,28,377
2022-10-24,686,101,27,335
2022-10-25,550,129,20,329
2022-10-26,717,230,22,322
2022-10-27,631,224,21,269
2022-10-28,608,208,22,287
2022-10-29,596,194,25,258
2022-10-30,658,219,23,304
2022-10-31,565,150,19,278
2022-11-01,653,202,35,289
2022-11-02,700,202,19,314
2022-11-03,684,194,26,338
2022-11-04,722,222,20,357
2022-11-05,754,222,18,381
2022-11-06,894,253,26,445
2022-11-07,693,234,28,330
2022-11-08,707,225,22,341
2022-11-09,720,242,31,331
2022-11-10,622,225,28,309
2022-11-11,645,179,20,332
2022-11-12,669,210,31,318
2022-11-13,795,253,26,381
2022-11-14,778,258,35,368
2022-11-15,728,257,28,358
2022-11-16,798,271,13,395
2022-11-17,514,203,22,299
2022-11-18,573,208,21,279
2022-11-19,657,216,20,326
2022-11-20,741,247,29,380
2022-11-21,674,232,15,323
2022-11-22,624,217,14,306
2022-11-23,620,196,14,311
2022-11-24,558,190,14,266
2022-11-25,566,171,12,288
2022-11-26,668,210,29,333
2022-11-27,778,274,33,368
2022-11-28,665,240,23,326
2022-11-29,646,204,17,309
2022-11-30,661,173,20,323
2022-12-01,632,209,18,311
2022-12-02,595,197,25,277
2022-12-03,722,215,33,349
2022-12-04,755,258,24,358
2022-12-05,676,272,31,322
2022-12-06,657,213,30,294
2022-12-07,503,209,19,297
2022-12-08,650,212,12,330
2022-12-09,659,189,21,327
2022-12-10,685,210,18,352
2022-12-11,810,221,20,431
2022-12-12,706,233,26,381
2022-12-13,717,235,31,381
2022-12-14,757,238,25,383
2022-12-15,764,238,23,387
2022-12-16,738,240,18,376
2022-12-17,780,269,23,391
2022-12-18,953,299,24,475
2022-12-19,782,243,26,385
2022-12-20,640,253,18,365
2022-12-21,871,298,27,426
2022-12-22,898,299,24,421
2022-12-23,904,310,31,471
2022-12-24,818,252,31,415
2022-12-25,1207,336,26,619
2022-12-26,1408,430,43,712
2022-12-27,1543,485,37,804
2022-12-28,1548,515,44,778
2022-12-29,1288,507,44,762
2022-12-30,1645,557,52,822
2022-12-31,1826,541,45,952
2023-01-01,4389,925,27,2419
2023-01-02,4094,1489,79,2322
2023-01-03,2809,908,47,1540
2023-01-04,1855,708,50,1111
2023-01-05,1831,568,51,996
2023-01-06,1545,503,49,792
2023-01-07,1483,448,56,750
2023-01-08,1626,456,49,836
2023-01-09,1737,546,62,901
2023-01-10,1652,467,43,887
2023-01-11,1395,470,45,898
2023-01-12,1392,318,47,745
2023-01-13,1159,260,43,603
2023-01-14,1290,385,46,671
2023-01-15,1453,443,52,736
2023-01-16,1256,348,45,643
2023-01-17,1145,352,41,573
2023-01-18,1216,375,45,574
2023-01-19,1056,342,45,545
2023-01-20,772,317,31,483
2023-01-21,1070,322,41,537
2023-01-22,1243,372,42,623
2023-01-23,1088,350,51,526
2023-01-24,1067,344,28,525
2023-01-25,1119,307,29,581
2023-01-26,1022,326,34,505
2023-01-27,902,298,36,465
2023-01-28,1022,290,39,512
2023-01-29,1104,366,55,549
2023-01-30,790,307,32,476
2023-01-31,985,354,43,471
2023-02-01,733,278,22,449
