Title,URL
"Dune (Dune, #1)",https://www.goodreads.com/book/show/44767458-dune
"Ender’s Game (Ender's Saga, #1)",https://www.goodreads.com/book/show/375802.Ender_s_Game
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
The Martian,https://www.goodreads.com/book/show/18007564-the-martian
"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/book/show/9969571-ready-player-one
Fahrenheit 451,https://www.goodreads.com/book/show/13079982-fahrenheit-451
1984,https://www.goodreads.com/book/show/61439040-1984
"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games
Brave New World,https://www.goodreads.com/book/show/5129.Brave_New_World
"Foundation (Foundation, #1)",https://www.goodreads.com/book/show/29579.Foundation
Do Androids Dream of Electric Sheep?,https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep
"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com/book/show/6148028-catching-fire
"Mockingjay (The Hunger Games, #3)",https://www.goodreads.com/book/show/7260188-mockingjay
The Time Machine,https://www.goodreads.com/book/show/2493.The_Time_Machine
"Neuromancer (Sprawl, #1)",https://www.goodreads.com/book/show/6088007-neuromancer
"I, Robot (Robot, #0.1)",https://www.goodreads.com/book/show/41804.I_Robot
"Leviathan Wakes (The Expanse, #1)",https://www.goodreads.com/book/show/8855321-leviathan-wakes
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",https://www.goodreads.com/book/show/20518872-the-three-body-problem
"Jurassic Park (Jurassic Park, #1)",https://www.goodreads.com/book/show/40604658-jurassic-park
"Divergent (Divergent, #1)",https://www.goodreads.com/book/show/13335037-divergent
2001: A Space Odyssey,https://www.goodreads.com/book/show/70535.2001
"The Handmaid’s Tale (The Handmaid's Tale, #1)",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The War of the Worlds,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
Project Hail Mary,https://www.goodreads.com/book/show/54493401-project-hail-mary
"All Systems Red (The Murderbot Diaries, #1)",https://www.goodreads.com/book/show/32758901-all-systems-red
"Hyperion (Hyperion Cantos, #1)",https://www.goodreads.com/book/show/77566.Hyperion
Stranger in a Strange Land,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe
The Left Hand of Darkness,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
"Cinder (The Lunar Chronicles, #1)",https://www.goodreads.com/book/show/36381037-cinder
The Martian Chronicles,https://www.goodreads.com/book/show/76778.The_Martian_Chronicles
Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
"Red Rising (Red Rising Saga, #1)",https://www.goodreads.com/book/show/15839976-red-rising
"Dune Messiah (Dune, #2)",https://www.goodreads.com/book/show/44492285-dune-messiah
Frankenstein: The 1818 Text,https://www.goodreads.com/book/show/35031085-frankenstein
Snow Crash,https://www.goodreads.com/book/show/40651883-snow-crash
"Speaker for the Dead (Ender's Saga, #2)",https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead
"Speaker for the Dead (Ender's Saga, #2)",https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead
"The Giver (The Giver, #1)",https://www.goodreads.com/book/show/3636.The_Giver
"Foundation and Empire (Foundation, #2)",https://www.goodreads.com/book/show/29581.Foundation_and_Empire
"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
"The Long Way to a Small, Angry Planet (Wayfarers, #1)",https://www.goodreads.com/book/show/22733729-the-long-way-to-a-small-angry-planet
"Second Foundation (Foundation, #3)",https://www.goodreads.com/book/show/29580.Second_Foundation
"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",https://www.goodreads.com/book/show/8694.Life_the_Universe_and_Everything
Starship Troopers,https://www.goodreads.com/book/show/17214.Starship_Troopers
Artemis,https://www.goodreads.com/book/show/34928122-artemis
Annihilation,https://www.goodreads.com/book/show/17934530-annihilation
"The Forever War (The Forever War, #1)",https://www.goodreads.com/book/show/21611.The_Forever_War
"The Maze Runner (The Maze Runner, #1)",https://www.goodreads.com/book/show/6186357-the-maze-runner
Childhood's End,https://www.goodreads.com/book/show/414999.Childhood_s_End
Flowers for Algernon,https://www.goodreads.com/book/show/36576608-flowers-for-algernon
"Ancillary Justice (Imperial Radch, #1)",https://www.goodreads.com/book/show/17333324-ancillary-justice
The Man in the High Castle,https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle
"Rendezvous with Rama (Rama, #1)",https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama
"Children of Dune (Dune, #3)",https://www.goodreads.com/book/show/44492286-children-of-dune
Station Eleven,https://www.goodreads.com/book/show/20170404-station-eleven
"The Host (The Host, #1)",https://www.goodreads.com/book/show/1656001.The_Host
Never Let Me Go,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go
"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",https://www.goodreads.com/book/show/6091075-so-long-and-thanks-for-all-the-fish
The Dispossessed: An Ambiguous Utopia,https://www.goodreads.com/book/show/13651.The_Dispossessed
"Insurgent (Divergent, #2)",https://www.goodreads.com/book/show/11735983-insurgent
The Moon Is a Harsh Mistress,https://www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress
"Scarlet (The Lunar Chronicles, #2)",https://www.goodreads.com/book/show/13206760-scarlet
Redshirts,https://www.goodreads.com/book/show/13055592-redshirts
"Caliban's War (The Expanse, #2)",https://www.goodreads.com/book/show/12591698-caliban-s-war
"Illuminae (The Illuminae Files, #1)",https://www.goodreads.com/book/show/23395680-illuminae
"Xenocide (Ender's Saga, #3)",https://www.goodreads.com/book/show/8648.Xenocide
"Ringworld (Ringworld, #1)",https://www.goodreads.com/book/show/61179.Ringworld
Recursion,https://www.goodreads.com/book/show/42046112-recursion
"Artificial Condition (The Murderbot Diaries, #2)",https://www.goodreads.com/book/show/36223860-artificial-condition
"Oryx and Crake (MaddAddam, #1)",https://www.goodreads.com/book/show/46756.Oryx_and_Crake
"A Canticle for Leibowitz (St. Leibowitz, #1)",https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz
"Ender's Shadow (The Shadow Series, #1)",https://www.goodreads.com/book/show/9532.Ender_s_Shadow
The Invisible Man,https://www.goodreads.com/book/show/17184.The_Invisible_Man
"Altered Carbon (Takeshi Kovacs, #1)",https://www.goodreads.com/book/show/40792913-altered-carbon
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
This is How You Lose the Time War,https://www.goodreads.com/book/show/43352954-this-is-how-you-lose-the-time-war
"The Caves of Steel (Robot, #1)",https://www.goodreads.com/book/show/41811.The_Caves_of_Steel
"Cress (The Lunar Chronicles, #3)",https://www.goodreads.com/book/show/13206828-cress
"Children of Time (Children of Time, #1)",https://www.goodreads.com/book/show/25499718-children-of-time
"Wool Omnibus (Silo, #1)",https://www.goodreads.com/book/show/13453029-wool-omnibus
"The 5th Wave (The 5th Wave, #1)",https://www.goodreads.com/book/show/16101128-the-5th-wave
"Consider Phlebas (Culture, #1)",https://www.goodreads.com/book/show/8935689-consider-phlebas
"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea
"Sleeping Giants (Themis Files, #1)",https://www.goodreads.com/book/show/25733990-sleeping-giants
"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",https://www.goodreads.com/book/show/569429.Mostly_Harmless
"Allegiant (Divergent, #3)",https://www.goodreads.com/book/show/18710190-allegiant
Cat's Cradle,https://www.goodreads.com/book/show/135479.Cat_s_Cradle
"The Andromeda Strain (Andromeda, #1)",https://www.goodreads.com/book/show/7670.The_Andromeda_Strain
"Abaddon's Gate (The Expanse, #3)",https://www.goodreads.com/book/show/16131032-abaddon-s-gate
Solaris,https://www.goodreads.com/book/show/95558.Solaris
Contact,https://www.goodreads.com/book/show/61666.Contact
Kindred,https://www.goodreads.com/book/show/60931.Kindred
"Binti (Binti, #1)",https://www.goodreads.com/book/show/25667918-binti
"Red Mars (Mars Trilogy, #1)",https://www.goodreads.com/book/show/77507.Red_Mars
Stories of Your Life and Others,https://www.goodreads.com/book/show/223380.Stories_of_Your_Life_and_Others
"Uglies (Uglies, #1)",https://www.goodreads.com/book/show/24770.Uglies
The Road,https://www.goodreads.com/book/show/6288.The_Road
"Foundation's Edge (Foundation, #4)",https://www.goodreads.com/book/show/76683.Foundation_s_Edge
"Golden Son (Red Rising Saga, #2)",https://www.goodreads.com/book/show/18966819-golden-son
Seveneves,https://www.goodreads.com/book/show/22816087-seveneves
"God Emperor of Dune (Dune, #4)",https://www.goodreads.com/book/show/44439415-god-emperor-of-dune
"The Fall of Hyperion (Hyperion Cantos, #2)",https://www.goodreads.com/book/show/77565.The_Fall_of_Hyperion
"Rogue Protocol (The Murderbot Diaries, #3)",https://www.goodreads.com/book/show/35519101-rogue-protocol
A Clockwork Orange,https://www.goodreads.com/book/show/41817486-a-clockwork-orange
Ubik,https://www.goodreads.com/book/show/22590.Ubik
"Parable of the Sower (Earthseed, #1)",https://www.goodreads.com/book/show/52397.Parable_of_the_Sower
Journey to the Center of the Earth,https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth
The Windup Girl,https://www.goodreads.com/book/show/6597651-the-windup-girl
"Skyward (Skyward, #1)",https://www.goodreads.com/book/show/36642458-skyward
The Island of Dr. Moreau,https://www.goodreads.com/book/show/29981.The_Island_of_Dr_Moreau
World War Z: An Oral History of the Zombie War,https://www.goodreads.com/book/show/8908.World_War_Z
"Children of the Mind (Ender's Saga, #4)",https://www.goodreads.com/book/show/31360.Children_of_the_Mind
"Exit Strategy (The Murderbot Diaries, #4)",https://www.goodreads.com/book/show/35519109-exit-strategy
"Winter (The Lunar Chronicles, #4)",https://www.goodreads.com/book/show/13206900-winter
The Day of the Triffids,https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids
Cloud Atlas,https://www.goodreads.com/book/show/49628.Cloud_Atlas
The Lathe of Heaven,https://www.goodreads.com/book/show/59924.The_Lathe_of_Heaven
The Time Traveler's Wife,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
"Cibola Burn (The Expanse, #4)",https://www.goodreads.com/book/show/18656030-cibola-burn
"The Fifth Season (The Broken Earth, #1)",https://www.goodreads.com/book/show/19161852-the-fifth-season
"Foundation and Earth (Foundation, #5)",https://www.goodreads.com/book/show/29582.Foundation_and_Earth
"The Dark Forest (Remembrance of Earth’s Past, #2)",https://www.goodreads.com/book/show/23168817-the-dark-forest
"The Scorch Trials (The Maze Runner, #2)",https://www.goodreads.com/book/show/7631105-the-scorch-trials
Sphere,https://www.goodreads.com/book/show/455373.Sphere
Prelude to Foundation,https://www.goodreads.com/book/show/30013.Prelude_to_Foundation
11/22/63,https://www.goodreads.com/book/show/10644930-11-22-63
"The Diamond Age: Or, a Young Lady's Illustrated Primer",https://www.goodreads.com/book/show/827.The_Diamond_Age
"Doomsday Book (Oxford Time Travel, #1)",https://www.goodreads.com/book/show/24983.Doomsday_Book
"The Sparrow (The Sparrow, #1)",https://www.goodreads.com/book/show/334176.The_Sparrow
"Morning Star (Red Rising Saga, #3)",https://www.goodreads.com/book/show/18966806-morning-star
A Scanner Darkly,https://www.goodreads.com/book/show/14817.A_Scanner_Darkly
"Saga, Volume 1",https://www.goodreads.com/book/show/15704307-saga-volume-1
"The Ghost Brigades (Old Man's War, #2)",https://www.goodreads.com/book/show/239399.The_Ghost_Brigades
The Stars My Destination,https://www.goodreads.com/book/show/333867.The_Stars_My_Destination
"A Memory Called Empire (Teixcalaan, #1)",https://www.goodreads.com/book/show/37794149-a-memory-called-empire
Ogień nad otchłanią,https://www.goodreads.com/book/show/75275383-ogie-nad-otch-ani
"Scythe (Arc of a Scythe, #1)",https://www.goodreads.com/book/show/28954189-scythe
Armada,https://www.goodreads.com/book/show/16278318-armada
"Lock In (Lock In, #1)",https://www.goodreads.com/book/show/21418013-lock-in
Timeline,https://www.goodreads.com/book/show/7669.Timeline
The Illustrated Man,https://www.goodreads.com/book/show/24830.The_Illustrated_Man
"The Knife of Never Letting Go (Chaos Walking, #1)",https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go
The Sirens of Titan,https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan
"The Lost World (Jurassic Park, #2)",https://www.goodreads.com/book/show/8650.The_Lost_World
"The Naked Sun (Robot, #2)",https://www.goodreads.com/book/show/30016.The_Naked_Sun
"The Player of Games (Culture, #2)",https://www.goodreads.com/book/show/18630.The_Player_of_Games
"Heretics of Dune (Dune, #5)",https://www.goodreads.com/book/show/44492287-heretics-of-dune
Klara and the Sun,https://www.goodreads.com/book/show/54120408-klara-and-the-sun
"Nemesis Games (The Expanse, #5)",https://www.goodreads.com/book/show/22886612-nemesis-games
"Steelheart (The Reckoners, #1)",https://www.goodreads.com/book/show/17182126-steelheart
"Blindsight (Firefall, #1)",https://www.goodreads.com/book/show/48484.Blindsight
"To Be Taught, If Fortunate",https://www.goodreads.com/book/show/43190272-to-be-taught-if-fortunate
"Saga, Volume 2",https://www.goodreads.com/book/show/17131869-saga-volume-2
"The Long Earth (The Long Earth, #1)",https://www.goodreads.com/book/show/13147230-the-long-earth
"Endymion (Hyperion Cantos, #3)",https://www.goodreads.com/book/show/3977.Endymion
