date,added,ratings,reviews,to-read
2022-08-16,45,19,2,23
2022-08-17,60,16,0,22
2022-08-18,54,29,2,23
2022-08-19,51,23,0,24
2022-08-20,59,29,2,23
2022-08-21,51,29,0,27
2022-08-22,39,20,0,19
2022-08-23,46,15,0,19
2022-08-24,79,-5,2,25
2022-08-25,51,37,3,20
2022-08-26,71,22,1,39
2022-08-27,44,29,1,18
2022-08-28,54,-105,2,22
2022-08-29,50,-187,1,24
2022-08-30,60,19,1,20
2022-08-31,60,-21,0,13
2022-09-01,35,20,0,16
2022-09-02,41,6,1,25
2022-09-03,41,6,0,21
2022-09-04,41,20,2,12
2022-09-05,53,29,1,22
2022-09-06,55,-40,0,21
2022-09-07,41,17,1,21
2022-09-08,37,5,1,19
2022-09-09,40,14,0,22
2022-09-10,38,14,2,20
2022-09-11,35,5,1,27
2022-09-12,37,15,2,18
2022-09-13,48,4,1,23
2022-09-14,31,-9,0,16
2022-09-15,34,24,0,12
2022-09-16,30,7,1,17
2022-09-17,36,6,0,21
2022-09-18,46,12,1,21
2022-09-19,56,10,1,27
2022-09-20,52,19,1,22
2022-09-21,37,21,0,16
2022-09-22,30,16,2,17
2022-09-23,43,-22,1,12
2022-09-24,63,21,2,19
2022-09-25,53,22,2,22
2022-09-26,58,-46,5,28
2022-09-27,104,-96,1,76
2022-09-28,46,-151,1,22
2022-09-29,37,-137,1,20
2022-09-30,51,18,2,26
2022-10-01,44,10,0,27
2022-10-02,49,-74,1,22
2022-10-03,53,-45,1,24
2022-10-04,46,15,0,24
2022-10-05,35,7,1,20
2022-10-06,44,15,3,22
2022-10-07,38,11,0,14
2022-10-08,42,11,0,17
2022-10-09,51,-40,3,24
2022-10-10,47,17,2,18
2022-10-11,35,-10,2,19
2022-10-12,33,-54,2,17
2022-10-13,34,-1,0,26
2022-10-14,33,-157,1,16
2022-10-15,43,0,1,25
2022-10-16,41,-331,1,19
2022-10-17,51,-296,0,28
2022-10-18,33,-110,1,16
2022-10-19,54,9,1,24
2022-10-20,37,10,0,23
2022-10-21,37,-51,2,18
2022-10-22,47,-82,1,24
2022-10-23,33,-636,0,14
2022-10-24,34,-451,1,16
2022-10-25,29,-73,2,14
2022-10-26,148,12,0,129
2022-10-27,136,12,1,113
2022-10-28,54,12,1,30
2022-10-29,42,13,1,19
2022-10-30,51,-6,0,26
2022-10-31,65,-90,1,34
2022-11-01,38,12,0,17
2022-11-02,44,17,0,21
2022-11-03,40,-131,0,21
2022-11-04,54,5,1,34
2022-11-05,38,14,1,19
2022-11-06,165,5,0,139
2022-11-07,47,11,1,27
2022-11-08,41,13,0,17
2022-11-09,41,9,1,16
2022-11-10,39,5,0,19
2022-11-11,44,15,1,21
2022-11-12,52,14,0,24
2022-11-13,47,11,2,22
2022-11-14,57,10,0,38
2022-11-15,56,7,0,33
2022-11-16,35,6,0,14
2022-11-17,34,8,0,20
2022-11-18,42,5,0,27
2022-11-19,42,11,2,21
2022-11-20,47,11,4,28
2022-11-21,43,11,0,19
2022-11-22,48,10,2,20
2022-11-23,38,13,1,21
2022-11-24,41,7,1,22
2022-11-25,43,11,2,28
2022-11-26,50,14,0,21
2022-11-27,56,12,0,37
2022-11-28,45,8,1,26
2022-11-29,39,10,2,22
2022-11-30,33,3,1,18
2022-12-01,44,15,0,19
2022-12-02,39,5,1,18
2022-12-03,38,9,0,19
2022-12-04,64,10,0,35
2022-12-05,40,12,0,22
2022-12-06,55,12,1,27
2022-12-07,44,15,1,25
2022-12-08,24,13,3,13
2022-12-09,33,10,1,16
2022-12-10,41,10,1,19
2022-12-11,43,11,1,20
2022-12-12,49,2,0,21
2022-12-13,56,9,0,37
2022-12-14,38,10,0,21
2022-12-15,44,11,2,19
2022-12-16,30,9,1,16
2022-12-17,46,9,1,29
2022-12-18,43,13,0,18
2022-12-19,33,17,3,18
2022-12-20,42,13,1,23
2022-12-21,40,17,2,18
2022-12-22,39,9,0,19
2022-12-23,42,7,1,17
2022-12-24,41,10,0,20
2022-12-25,50,20,0,22
2022-12-26,64,14,0,33
2022-12-27,59,9,0,29
2022-12-28,66,18,1,38
2022-12-29,53,26,3,28
2022-12-30,73,17,-1,37
2022-12-31,53,17,1,24
2023-01-01,92,15,1,52
2023-01-02,92,19,1,56
2023-01-03,95,26,1,41
2023-01-04,62,22,1,27
2023-01-05,69,12,1,39
2023-01-06,63,25,1,32
2023-01-07,78,23,1,37
2023-01-08,74,17,1,27
2023-01-09,75,18,1,33
2023-01-10,53,9,2,30
2023-01-11,60,18,3,32
2023-01-12,78,-27,1,37
2023-01-13,58,-74,2,28
2023-01-14,58,12,0,27
2023-01-15,61,10,1,35
2023-01-16,67,10,1,38
2023-01-17,54,15,1,32
2023-01-18,60,18,1,29
2023-01-19,37,10,1,22
2023-01-20,34,8,0,19
2023-01-21,53,16,1,24
2023-01-22,65,18,1,33
2023-01-23,60,19,2,30
2023-01-24,71,17,2,31
2023-01-25,59,24,2,28
2023-01-26,65,16,0,28
2023-01-27,45,13,0,23
2023-01-28,50,14,1,22
2023-01-29,61,15,2,29
2023-01-30,39,14,1,20
2023-01-31,65,16,1,34
2023-02-01,33,10,1,20
