date,added,ratings,reviews,to-read
2022-08-16,377,125,2,154
2022-08-17,397,92,4,143
2022-08-18,342,127,5,130
2022-08-19,384,107,11,125
2022-08-20,359,90,10,128
2022-08-21,412,115,-1,145
2022-08-22,407,98,4,157
2022-08-23,359,134,2,140
2022-08-24,378,95,-1,126
2022-08-25,306,95,2,122
2022-08-26,376,86,4,120
2022-08-27,357,110,1,132
2022-08-28,352,77,5,116
2022-08-29,337,-9,10,137
2022-08-30,399,109,9,136
2022-08-31,365,113,1,107
2022-09-01,324,123,3,108
2022-09-02,299,87,2,114
2022-09-03,332,59,4,134
2022-09-04,378,94,2,139
2022-09-05,398,113,6,127
2022-09-06,394,47,6,127
2022-09-07,362,137,2,93
2022-09-08,313,109,7,103
2022-09-09,280,89,4,105
2022-09-10,345,88,1,118
2022-09-11,304,103,3,119
2022-09-12,287,94,2,88
2022-09-13,345,104,5,111
2022-09-14,305,67,2,115
2022-09-15,236,82,2,104
2022-09-16,266,77,2,84
2022-09-17,277,76,3,115
2022-09-18,351,94,3,118
2022-09-19,296,105,5,115
2022-09-20,284,94,2,102
2022-09-21,265,91,2,95
2022-09-22,304,119,8,95
2022-09-23,297,15,2,109
2022-09-24,317,80,4,118
2022-09-25,311,74,5,120
2022-09-26,286,-48,1,111
2022-09-27,291,-97,5,92
2022-09-28,290,-201,4,93
2022-09-29,286,-215,5,94
2022-09-30,235,81,3,79
2022-10-01,327,94,4,111
2022-10-02,337,-5,6,123
2022-10-03,277,-6,4,94
2022-10-04,342,101,3,125
2022-10-05,276,81,4,113
2022-10-06,292,78,2,99
2022-10-07,292,88,4,103
2022-10-08,266,85,3,94
2022-10-09,313,12,3,127
2022-10-10,318,95,4,107
2022-10-11,341,59,8,125
2022-10-12,300,15,1,88
2022-10-13,265,97,6,94
2022-10-14,272,-67,5,94
2022-10-15,298,82,4,107
2022-10-16,320,-119,3,106
2022-10-17,290,-127,8,93
2022-10-18,318,39,1,100
2022-10-19,317,69,3,111
2022-10-20,263,81,2,81
2022-10-21,259,24,6,90
2022-10-22,274,26,2,93
2022-10-23,308,-236,3,112
2022-10-24,324,-176,4,114
2022-10-25,278,-48,4,93
2022-10-26,262,91,4,82
2022-10-27,268,98,3,88
2022-10-28,242,73,4,80
2022-10-29,261,77,6,79
2022-10-30,307,55,8,107
2022-10-31,244,26,1,87
2022-11-01,268,63,8,93
2022-11-02,291,87,2,92
2022-11-03,312,24,6,115
2022-11-04,280,104,5,97
2022-11-05,300,73,3,131
2022-11-06,351,90,2,129
2022-11-07,284,100,3,81
2022-11-08,296,69,2,107
2022-11-09,269,87,3,99
2022-11-10,229,70,4,85
2022-11-11,304,94,2,106
2022-11-12,245,90,3,72
2022-11-13,285,80,3,96
2022-11-14,311,92,3,109
2022-11-15,300,79,3,97
2022-11-16,322,101,5,91
2022-11-17,248,76,5,87
2022-11-18,284,112,1,92
2022-11-19,295,83,3,111
2022-11-20,312,78,4,105
2022-11-21,301,95,9,103
2022-11-22,296,98,2,105
2022-11-23,287,88,4,90
2022-11-24,286,76,2,101
2022-11-25,295,87,5,99
2022-11-26,366,92,2,115
2022-11-27,331,95,2,123
2022-11-28,331,110,5,110
2022-11-29,359,106,0,113
2022-11-30,351,72,1,120
2022-12-01,342,104,3,104
2022-12-02,321,104,6,114
2022-12-03,343,93,7,123
2022-12-04,327,93,6,104
2022-12-05,313,115,1,93
2022-12-06,325,95,2,107
2022-12-07,302,110,4,102
2022-12-08,265,116,8,87
2022-12-09,282,90,5,111
2022-12-10,352,89,3,107
2022-12-11,352,80,8,122
2022-12-12,306,85,3,83
2022-12-13,307,100,4,86
2022-12-14,316,99,1,105
2022-12-15,331,115,8,87
2022-12-16,336,103,7,109
2022-12-17,318,113,5,98
2022-12-18,367,91,4,112
2022-12-19,358,118,5,108
2022-12-20,328,125,3,108
2022-12-21,342,99,4,110
2022-12-22,362,132,4,104
2022-12-23,332,89,3,103
2022-12-24,338,106,3,112
2022-12-25,546,148,0,218
2022-12-26,559,172,3,203
2022-12-27,560,156,5,196
2022-12-28,564,169,7,192
2022-12-29,520,181,9,181
2022-12-30,627,206,12,179
2022-12-31,798,222,6,217
2023-01-01,1072,264,6,299
2023-01-02,893,333,5,264
2023-01-03,796,279,2,236
2023-01-04,647,223,3,180
2023-01-05,651,198,5,197
2023-01-06,541,158,7,155
2023-01-07,566,172,7,175
2023-01-08,561,160,6,190
2023-01-09,527,144,8,168
2023-01-10,521,170,9,165
2023-01-11,415,133,4,148
2023-01-12,508,21,6,161
2023-01-13,457,23,9,136
2023-01-14,475,140,14,153
2023-01-15,504,145,7,169
2023-01-16,525,144,6,161
2023-01-17,442,128,10,145
2023-01-18,464,125,4,147
2023-01-19,405,108,10,133
2023-01-20,349,126,7,120
2023-01-21,429,113,3,123
2023-01-22,500,134,4,136
2023-01-23,454,121,3,160
2023-01-24,436,126,7,139
2023-01-25,490,151,6,149
2023-01-26,444,134,2,146
2023-01-27,385,100,5,141
2023-01-28,438,112,11,132
2023-01-29,457,118,3,149
2023-01-30,333,121,9,109
2023-01-31,438,101,6,142
2023-02-01,345,133,11,118
