date,added,ratings,reviews,to-read
2022-08-16,58,20,2,29
2022-08-17,54,24,1,14
2022-08-18,37,25,1,10
2022-08-19,63,23,3,13
2022-08-20,48,16,1,20
2022-08-21,49,27,0,18
2022-08-22,47,32,2,12
2022-08-23,49,27,2,20
2022-08-24,68,32,0,24
2022-08-25,44,34,3,14
2022-08-26,53,23,2,14
2022-08-27,75,36,1,22
2022-08-28,70,34,3,21
2022-08-29,43,26,2,20
2022-08-30,58,12,1,21
2022-08-31,32,22,2,13
2022-09-01,42,11,3,9
2022-09-02,35,17,0,11
2022-09-03,47,12,1,14
2022-09-04,62,19,1,17
2022-09-05,39,22,3,16
2022-09-06,54,17,1,16
2022-09-07,40,13,1,13
2022-09-08,34,6,1,8
2022-09-09,27,11,1,12
2022-09-10,32,12,0,14
2022-09-11,32,10,1,17
2022-09-12,41,10,2,17
2022-09-13,48,13,1,18
2022-09-14,27,11,2,9
2022-09-15,20,20,2,11
2022-09-16,36,11,0,13
2022-09-17,39,17,0,11
2022-09-18,33,3,0,13
2022-09-19,44,11,3,17
2022-09-20,30,22,1,14
2022-09-21,33,19,2,11
2022-09-22,29,9,1,8
2022-09-23,37,-1,2,15
2022-09-24,34,16,1,13
2022-09-25,28,16,2,11
2022-09-26,25,-4,1,7
2022-09-27,36,-50,1,11
2022-09-28,32,-63,2,12
2022-09-29,38,-79,0,17
2022-09-30,29,10,0,11
2022-10-01,43,9,1,15
2022-10-02,53,12,0,15
2022-10-03,43,16,1,14
2022-10-04,36,17,1,13
2022-10-05,22,7,-1,11
2022-10-06,32,12,1,6
2022-10-07,37,13,1,14
2022-10-08,29,8,1,16
2022-10-09,39,4,1,17
2022-10-10,48,13,0,16
2022-10-11,38,9,-1,11
2022-10-12,42,6,0,17
2022-10-13,27,15,3,15
2022-10-14,34,-1,1,15
2022-10-15,46,16,2,21
2022-10-16,32,2,3,14
2022-10-17,38,-6,1,14
2022-10-18,37,10,0,12
2022-10-19,42,8,1,14
2022-10-20,45,13,0,21
2022-10-21,30,10,1,12
2022-10-22,35,7,3,11
2022-10-23,40,7,2,17
2022-10-24,37,-1,1,13
2022-10-25,32,0,1,17
2022-10-26,38,16,2,17
2022-10-27,32,13,2,11
2022-10-28,35,8,2,16
2022-10-29,34,12,1,12
2022-10-30,38,-2,1,15
2022-10-31,38,7,1,11
2022-11-01,44,11,1,15
2022-11-02,45,16,3,13
2022-11-03,26,4,1,10
2022-11-04,43,18,0,13
2022-11-05,31,11,0,12
2022-11-06,38,13,1,10
2022-11-07,43,10,0,17
2022-11-08,46,20,2,18
2022-11-09,23,10,0,11
2022-11-10,29,10,2,11
2022-11-11,28,10,1,12
2022-11-12,38,10,0,12
2022-11-13,31,10,1,5
2022-11-14,39,12,1,17
2022-11-15,40,7,1,17
2022-11-16,38,15,2,13
2022-11-17,22,13,0,10
2022-11-18,24,7,1,10
2022-11-19,31,12,2,11
2022-11-20,40,13,1,11
2022-11-21,18,14,1,8
2022-11-22,40,9,1,18
2022-11-23,45,12,3,14
2022-11-24,18,8,0,6
2022-11-25,34,9,0,17
2022-11-26,33,9,0,8
2022-11-27,47,13,1,14
2022-11-28,43,16,3,16
2022-11-29,46,14,1,16
2022-11-30,37,12,1,19
2022-12-01,34,12,0,8
2022-12-02,33,15,0,12
2022-12-03,39,11,0,16
2022-12-04,47,12,0,22
2022-12-05,50,15,4,18
2022-12-06,47,24,3,15
2022-12-07,22,11,0,12
2022-12-08,29,5,1,11
2022-12-09,32,10,2,13
2022-12-10,59,10,2,21
2022-12-11,54,22,1,20
2022-12-12,43,11,1,21
2022-12-13,40,7,0,19
2022-12-14,34,14,0,10
2022-12-15,42,16,1,13
2022-12-16,44,12,1,15
2022-12-17,40,20,2,11
2022-12-18,45,10,2,21
2022-12-19,36,24,2,22
2022-12-20,31,19,1,13
2022-12-21,46,11,1,16
2022-12-22,55,16,1,18
2022-12-23,53,20,0,23
2022-12-24,32,22,2,9
2022-12-25,53,16,1,23
2022-12-26,84,27,2,40
2022-12-27,75,17,0,29
2022-12-28,67,20,1,27
2022-12-29,52,24,2,24
2022-12-30,80,33,6,29
2022-12-31,74,19,1,22
2023-01-01,120,12,1,57
2023-01-02,101,37,4,44
2023-01-03,82,18,0,35
2023-01-04,78,35,1,42
2023-01-05,69,27,1,27
2023-01-06,52,20,0,21
2023-01-07,68,19,1,28
2023-01-08,87,32,0,33
2023-01-09,77,16,3,35
2023-01-10,74,23,2,34
2023-01-11,50,16,2,31
2023-01-12,59,12,3,21
2023-01-13,64,-8,0,20
2023-01-14,63,22,4,27
2023-01-15,62,13,1,26
2023-01-16,67,11,0,33
2023-01-17,63,12,1,32
2023-01-18,68,20,2,25
2023-01-19,47,17,1,21
2023-01-20,41,16,1,20
2023-01-21,56,22,2,27
2023-01-22,63,24,2,23
2023-01-23,81,24,3,28
2023-01-24,64,18,1,28
2023-01-25,56,27,1,16
2023-01-26,66,14,2,23
2023-01-27,56,24,2,24
2023-01-28,54,9,0,16
2023-01-29,67,19,2,31
2023-01-30,40,10,3,21
2023-01-31,45,20,1,25
2023-02-01,52,18,2,30
