date,added,ratings,reviews,to-read
2022-08-16,56,22,0,24
2022-08-17,43,14,0,17
2022-08-18,52,11,0,26
2022-08-19,50,24,0,18
2022-08-20,72,15,0,43
2022-08-21,41,17,0,16
2022-08-22,63,24,1,21
2022-08-23,72,20,2,29
2022-08-24,46,23,0,16
2022-08-25,47,22,0,24
2022-08-26,61,26,2,19
2022-08-27,40,26,0,11
2022-08-28,56,26,1,15
2022-08-29,58,18,2,32
2022-08-30,36,10,1,18
2022-08-31,64,15,1,36
2022-09-01,55,15,1,32
2022-09-02,44,14,0,29
2022-09-03,54,8,2,24
2022-09-04,53,16,2,26
2022-09-05,55,26,-1,25
2022-09-06,37,14,1,15
2022-09-07,37,10,1,18
2022-09-08,44,12,1,25
2022-09-09,45,14,1,20
2022-09-10,55,11,0,28
2022-09-11,37,9,1,23
2022-09-12,30,13,1,8
2022-09-13,36,14,0,13
2022-09-14,46,7,2,22
2022-09-15,31,8,0,22
2022-09-16,38,9,1,20
2022-09-17,47,15,0,29
2022-09-18,50,7,0,27
2022-09-19,43,14,2,31
2022-09-20,27,16,0,11
2022-09-21,36,16,0,20
2022-09-22,52,13,1,25
2022-09-23,30,-11,0,14
2022-09-24,40,15,-1,21
2022-09-25,45,10,0,24
2022-09-26,28,-16,0,19
2022-09-27,51,-34,1,25
2022-09-28,40,-33,1,15
2022-09-29,33,-84,-2,20
2022-09-30,35,12,4,18
2022-10-01,43,11,0,26
2022-10-02,45,8,0,17
2022-10-03,49,6,0,29
2022-10-04,52,17,3,26
2022-10-05,34,11,0,21
2022-10-06,57,12,0,27
2022-10-07,47,10,0,23
2022-10-08,51,11,0,21
2022-10-09,45,7,1,19
2022-10-10,46,2,0,24
2022-10-11,41,4,0,21
2022-10-12,33,13,1,21
2022-10-13,38,9,0,15
2022-10-14,45,9,1,22
2022-10-15,42,11,2,20
2022-10-16,54,12,0,18
2022-10-17,41,3,2,15
2022-10-18,49,9,3,23
2022-10-19,25,7,0,11
2022-10-20,49,6,2,25
2022-10-21,35,8,0,18
2022-10-22,47,7,0,31
2022-10-23,51,6,0,23
2022-10-24,50,5,0,20
2022-10-25,45,-2,0,21
2022-10-26,43,18,0,20
2022-10-27,38,10,0,18
2022-10-28,39,10,1,18
2022-10-29,45,16,0,26
2022-10-30,45,3,2,25
2022-10-31,48,13,3,24
2022-11-01,37,16,2,17
2022-11-02,38,10,4,17
2022-11-03,50,13,1,32
2022-11-04,35,5,2,23
2022-11-05,42,14,1,19
2022-11-06,47,8,0,22
2022-11-07,34,15,2,13
2022-11-08,44,15,3,23
2022-11-09,40,15,2,16
2022-11-10,32,12,3,16
2022-11-11,35,12,2,18
2022-11-12,48,14,2,23
2022-11-13,37,7,1,18
2022-11-14,57,20,4,25
2022-11-15,44,12,1,21
2022-11-16,48,14,3,18
2022-11-17,31,7,2,17
2022-11-18,32,13,2,16
2022-11-19,51,13,1,29
2022-11-20,39,7,2,17
2022-11-21,46,18,1,24
2022-11-22,44,9,2,20
2022-11-23,51,14,0,27
2022-11-24,40,15,1,21
2022-11-25,48,7,0,27
2022-11-26,35,16,0,14
2022-11-27,66,14,2,28
2022-11-28,49,12,0,27
2022-11-29,54,18,2,25
2022-11-30,45,11,1,14
2022-12-01,47,17,1,17
2022-12-02,46,23,0,27
2022-12-03,47,8,3,22
2022-12-04,25,12,0,14
2022-12-05,58,4,1,31
2022-12-06,90,21,3,58
2022-12-07,73,10,-1,56
2022-12-08,63,7,0,43
2022-12-09,48,11,1,31
2022-12-10,54,16,1,31
2022-12-11,62,13,1,32
2022-12-12,49,11,1,25
2022-12-13,38,15,1,19
2022-12-14,51,10,0,29
2022-12-15,47,13,2,27
2022-12-16,39,15,0,19
2022-12-17,50,13,0,27
2022-12-18,66,16,1,37
2022-12-19,39,13,0,14
2022-12-20,39,19,3,22
2022-12-21,63,12,1,31
2022-12-22,44,19,1,23
2022-12-23,54,15,0,32
2022-12-24,35,12,3,20
2022-12-25,68,15,1,33
2022-12-26,67,11,2,43
2022-12-27,89,22,1,49
2022-12-28,77,17,0,43
2022-12-29,67,31,1,32
2022-12-30,62,14,1,34
2022-12-31,95,18,1,48
2023-01-01,96,18,0,44
2023-01-02,112,45,4,49
2023-01-03,99,17,0,48
2023-01-04,54,27,2,25
2023-01-05,123,19,2,79
2023-01-06,83,28,0,39
2023-01-07,71,11,0,34
2023-01-08,75,20,1,39
2023-01-09,83,20,1,33
2023-01-10,82,29,3,42
2023-01-11,59,21,2,33
2023-01-12,67,3,0,32
2023-01-13,68,-11,3,37
2023-01-14,71,13,0,38
2023-01-15,80,17,2,44
2023-01-16,73,13,1,41
2023-01-17,61,12,2,30
2023-01-18,70,22,1,36
2023-01-19,80,17,3,38
2023-01-20,57,17,2,38
2023-01-21,67,16,2,40
2023-01-22,82,20,1,45
2023-01-23,62,17,1,26
2023-01-24,62,15,0,33
2023-01-25,65,10,0,38
2023-01-26,61,17,1,26
2023-01-27,41,9,0,20
2023-01-28,60,10,0,32
2023-01-29,79,21,1,32
2023-01-30,51,18,2,29
2023-01-31,58,9,0,29
2023-02-01,43,19,0,25
