date,added,ratings,reviews,to-read
2022-08-16,11,9,1,3
2022-08-17,18,9,0,3
2022-08-18,17,15,1,4
2022-08-19,20,15,0,3
2022-08-20,22,12,0,5
2022-08-21,12,10,0,1
2022-08-22,19,8,1,5
2022-08-23,18,18,0,1
2022-08-24,27,13,2,2
2022-08-25,21,17,0,2
2022-08-26,19,14,0,3
2022-08-27,16,16,0,0
2022-08-28,21,11,0,4
2022-08-29,14,7,0,1
2022-08-30,10,5,1,3
2022-08-31,16,6,0,3
2022-09-01,9,6,0,2
2022-09-02,10,5,0,4
2022-09-03,5,2,1,2
2022-09-04,12,2,0,2
2022-09-05,10,5,1,2
2022-09-06,15,2,0,1
2022-09-07,12,6,1,3
2022-09-08,7,5,0,1
2022-09-09,5,4,0,1
2022-09-10,8,2,0,1
2022-09-11,6,1,1,2
2022-09-12,12,5,1,2
2022-09-13,13,3,0,1
2022-09-14,5,6,1,0
2022-09-15,11,3,0,2
2022-09-16,3,8,1,1
2022-09-17,3,2,0,0
2022-09-18,4,5,0,0
2022-09-19,9,6,0,2
2022-09-20,7,1,0,3
2022-09-21,6,4,0,1
2022-09-22,14,4,0,4
2022-09-23,5,-11,0,1
2022-09-24,10,6,1,2
2022-09-25,9,6,1,1
2022-09-26,10,-13,0,2
2022-09-27,5,-38,0,1
2022-09-28,9,-74,0,2
2022-09-29,3,-66,0,0
2022-09-30,3,0,0,0
2022-10-01,5,4,1,1
2022-10-02,13,3,0,5
2022-10-03,10,-1,0,1
2022-10-04,10,5,0,2
2022-10-05,4,3,0,1
2022-10-06,12,2,0,4
2022-10-07,6,2,0,1
2022-10-08,8,4,0,0
2022-10-09,7,-5,0,2
2022-10-10,12,3,0,2
2022-10-11,11,4,1,1
2022-10-12,9,2,0,2
2022-10-13,6,4,0,1
2022-10-14,11,1,3,3
2022-10-15,6,3,0,2
2022-10-16,7,-5,0,0
2022-10-17,7,-7,0,4
2022-10-18,2,-5,0,0
2022-10-19,5,2,0,0
2022-10-20,10,4,0,3
2022-10-21,3,1,0,1
2022-10-22,3,-3,0,0
2022-10-23,6,-9,0,1
2022-10-24,12,-5,0,3
2022-10-25,4,-18,1,2
2022-10-26,7,3,0,3
2022-10-27,2,2,0,0
2022-10-28,4,1,0,3
2022-10-29,8,4,0,1
2022-10-30,8,2,0,2
2022-10-31,5,-3,0,0
2022-11-01,5,2,0,3
2022-11-02,7,3,0,2
2022-11-03,6,3,0,0
2022-11-04,8,3,0,3
2022-11-05,12,6,0,1
2022-11-06,1,-1,0,0
2022-11-07,4,0,0,0
2022-11-08,2,1,0,1
2022-11-09,11,2,0,2
2022-11-10,7,5,0,0
2022-11-11,6,4,0,1
2022-11-12,4,2,0,0
2022-11-13,5,3,0,1
2022-11-14,8,1,0,3
2022-11-15,6,2,0,1
2022-11-16,4,3,1,1
2022-11-17,4,-1,0,2
2022-11-18,9,2,0,2
2022-11-19,5,1,0,2
2022-11-20,6,2,0,2
2022-11-21,12,4,1,4
2022-11-22,6,1,0,0
2022-11-23,8,3,0,2
2022-11-24,4,5,0,0
2022-11-25,6,1,0,0
2022-11-26,3,1,1,1
2022-11-27,4,1,0,1
2022-11-28,5,1,0,1
2022-11-29,3,0,0,1
2022-11-30,8,4,0,4
2022-12-01,4,4,0,1
2022-12-02,8,3,0,3
2022-12-03,6,5,0,1
2022-12-04,7,2,0,1
2022-12-05,10,5,0,5
2022-12-06,8,3,0,2
2022-12-07,10,6,1,4
2022-12-08,5,-1,0,2
2022-12-09,9,1,0,3
2022-12-10,2,0,0,1
2022-12-11,1,1,0,0
2022-12-12,9,4,0,2
2022-12-13,7,1,0,3
2022-12-14,6,4,0,1
2022-12-15,6,1,0,1
2022-12-16,6,4,0,0
2022-12-17,6,2,0,1
2022-12-18,14,5,0,3
2022-12-19,3,4,0,1
2022-12-20,8,4,1,3
2022-12-21,11,4,0,2
2022-12-22,7,3,0,0
2022-12-23,11,8,1,3
2022-12-24,6,2,2,2
2022-12-25,4,5,0,0
2022-12-26,11,2,0,4
2022-12-27,10,2,0,1
2022-12-28,14,7,0,4
2022-12-29,6,5,0,2
2022-12-30,11,12,1,0
2022-12-31,14,7,0,3
2023-01-01,14,3,0,6
2023-01-02,11,5,0,4
2023-01-03,12,0,0,3
2023-01-04,8,2,0,3
2023-01-05,9,0,0,2
2023-01-06,14,6,0,5
2023-01-07,12,2,0,4
2023-01-08,13,6,0,3
2023-01-09,16,4,0,5
2023-01-10,8,2,0,2
2023-01-11,5,-1,0,1
2023-01-12,9,-11,0,1
2023-01-13,12,-10,1,3
2023-01-14,12,4,0,5
2023-01-15,14,1,1,5
2023-01-16,8,6,1,1
2023-01-17,10,3,0,2
2023-01-18,6,3,0,2
2023-01-19,11,5,0,3
2023-01-20,8,4,0,4
2023-01-21,6,1,1,2
2023-01-22,7,3,0,4
2023-01-23,16,4,1,4
2023-01-24,11,7,0,1
2023-01-25,11,6,2,0
2023-01-26,13,6,0,4
2023-01-27,14,3,0,5
2023-01-28,14,2,0,5
2023-01-29,6,5,0,1
2023-01-30,7,2,0,2
2023-01-31,8,3,0,0
2023-02-01,8,5,0,2
