date,added,ratings,reviews,to-read
2022-08-16,79,19,1,49
2022-08-17,80,27,3,34
2022-08-18,55,31,3,28
2022-08-19,86,33,2,30
2022-08-20,46,26,0,14
2022-08-21,70,33,4,32
2022-08-22,63,31,6,23
2022-08-23,79,20,3,31
2022-08-24,60,26,0,30
2022-08-25,42,24,0,21
2022-08-26,57,21,1,24
2022-08-27,51,32,4,22
2022-08-28,60,24,2,24
2022-08-29,43,22,3,21
2022-08-30,52,22,3,24
2022-08-31,50,14,1,23
2022-09-01,49,15,2,23
2022-09-02,46,15,0,15
2022-09-03,42,14,2,14
2022-09-04,46,16,2,22
2022-09-05,41,13,1,22
2022-09-06,49,16,3,26
2022-09-07,56,16,0,28
2022-09-08,38,10,1,19
2022-09-09,49,11,1,26
2022-09-10,40,13,3,19
2022-09-11,31,9,2,20
2022-09-12,45,19,2,12
2022-09-13,52,12,0,22
2022-09-14,34,12,1,15
2022-09-15,26,16,2,19
2022-09-16,35,8,0,16
2022-09-17,40,15,2,21
2022-09-18,43,8,1,20
2022-09-19,29,20,2,14
2022-09-20,47,15,3,23
2022-09-21,26,14,2,18
2022-09-22,28,14,0,16
2022-09-23,27,-6,1,8
2022-09-24,40,17,1,16
2022-09-25,49,15,0,25
2022-09-26,39,1,2,26
2022-09-27,40,-26,2,11
2022-09-28,41,-63,1,24
2022-09-29,38,-61,3,11
2022-09-30,42,17,0,19
2022-10-01,34,16,4,19
2022-10-02,38,12,4,16
2022-10-03,34,7,2,11
2022-10-04,40,15,1,16
2022-10-05,33,18,2,11
2022-10-06,44,13,3,19
2022-10-07,41,16,1,23
2022-10-08,41,19,2,18
2022-10-09,34,15,3,15
2022-10-10,49,13,1,20
2022-10-11,32,12,3,15
2022-10-12,44,2,4,24
2022-10-13,32,17,2,16
2022-10-14,39,18,0,13
2022-10-15,47,11,0,25
2022-10-16,43,5,1,21
2022-10-17,50,11,1,23
2022-10-18,41,7,0,21
2022-10-19,35,12,0,16
2022-10-20,35,12,3,17
2022-10-21,33,16,0,13
2022-10-22,39,11,2,16
2022-10-23,31,-2,3,14
2022-10-24,41,4,1,12
2022-10-25,35,2,2,21
2022-10-26,38,9,0,20
2022-10-27,44,16,5,19
2022-10-28,34,13,2,20
2022-10-29,32,13,0,11
2022-10-30,41,9,2,18
2022-10-31,33,14,1,10
2022-11-01,37,14,1,10
2022-11-02,53,14,1,23
2022-11-03,34,8,1,16
2022-11-04,40,10,2,18
2022-11-05,43,11,2,23
2022-11-06,66,22,3,36
2022-11-07,52,17,5,16
2022-11-08,45,22,2,19
2022-11-09,45,11,2,28
2022-11-10,32,15,1,14
2022-11-11,42,14,3,12
2022-11-12,48,26,5,19
2022-11-13,47,13,2,22
2022-11-14,35,11,2,17
2022-11-15,40,16,2,14
2022-11-16,47,10,0,24
2022-11-17,33,17,2,20
2022-11-18,40,13,2,17
2022-11-19,50,19,2,20
2022-11-20,47,10,1,20
2022-11-21,30,19,2,16
2022-11-22,40,11,1,12
2022-11-23,42,13,1,19
2022-11-24,43,14,0,20
2022-11-25,45,17,2,21
2022-11-26,42,18,5,18
2022-11-27,51,20,1,18
2022-11-28,66,11,1,31
2022-11-29,48,19,3,23
2022-11-30,58,25,2,23
2022-12-01,43,13,2,16
2022-12-02,42,15,2,16
2022-12-03,59,15,3,32
2022-12-04,58,14,2,32
2022-12-05,62,21,2,26
2022-12-06,63,27,7,37
2022-12-07,50,22,1,13
2022-12-08,42,26,4,18
2022-12-09,47,19,0,18
2022-12-10,52,23,2,21
2022-12-11,49,26,2,23
2022-12-12,60,11,3,22
2022-12-13,48,12,1,26
2022-12-14,48,15,4,28
2022-12-15,46,11,1,15
2022-12-16,57,18,2,26
2022-12-17,49,20,3,23
2022-12-18,71,14,1,36
2022-12-19,45,26,5,22
2022-12-20,59,24,3,30
2022-12-21,86,35,4,30
2022-12-22,68,23,2,25
2022-12-23,41,12,1,19
2022-12-24,76,25,4,27
2022-12-25,48,15,2,22
2022-12-26,93,29,0,43
2022-12-27,100,25,-1,47
2022-12-28,109,42,5,46
2022-12-29,56,38,7,33
2022-12-30,106,37,4,42
2022-12-31,128,40,3,44
2023-01-01,106,43,4,40
2023-01-02,105,46,6,38
2023-01-03,101,43,5,42
2023-01-04,108,33,6,71
2023-01-05,59,26,2,28
2023-01-06,61,29,7,25
2023-01-07,85,25,4,32
2023-01-08,48,27,3,26
2023-01-09,78,24,5,38
2023-01-10,70,15,4,34
2023-01-11,56,14,1,33
2023-01-12,63,2,1,24
2023-01-13,47,-5,7,22
2023-01-14,94,19,4,60
2023-01-15,72,15,3,41
2023-01-16,62,14,3,34
2023-01-17,56,12,3,30
2023-01-18,63,20,2,32
2023-01-19,67,17,3,30
2023-01-20,35,23,3,17
2023-01-21,52,12,1,26
2023-01-22,62,21,7,29
2023-01-23,67,20,1,36
2023-01-24,64,30,6,31
2023-01-25,64,14,3,33
2023-01-26,75,14,2,45
2023-01-27,74,13,1,42
2023-01-28,69,17,4,38
2023-01-29,115,16,2,79
2023-01-30,60,15,3,42
2023-01-31,58,23,2,36
2023-02-01,59,19,1,35
