date,added,ratings,reviews,to-read
2022-08-16,35,17,3,16
2022-08-17,44,20,2,22
2022-08-18,38,13,2,21
2022-08-19,42,18,0,13
2022-08-20,50,25,1,21
2022-08-21,40,21,2,22
2022-08-22,64,17,1,31
2022-08-23,36,17,0,18
2022-08-24,43,25,3,18
2022-08-25,46,22,0,21
2022-08-26,43,15,1,16
2022-08-27,43,26,2,18
2022-08-28,61,17,1,28
2022-08-29,56,22,2,41
2022-08-30,37,11,2,22
2022-08-31,40,10,0,27
2022-09-01,96,13,2,82
2022-09-02,69,12,1,48
2022-09-03,102,5,-1,87
2022-09-04,72,12,1,45
2022-09-05,86,26,4,58
2022-09-06,76,16,1,51
2022-09-07,66,8,0,45
2022-09-08,58,11,2,32
2022-09-09,72,12,0,45
2022-09-10,51,9,1,32
2022-09-11,50,9,1,39
2022-09-12,55,7,2,33
2022-09-13,57,13,3,35
2022-09-14,52,14,1,40
2022-09-15,58,16,1,42
2022-09-16,80,7,0,61
2022-09-17,92,16,2,61
2022-09-18,114,17,3,83
2022-09-19,127,15,1,90
2022-09-20,131,19,2,103
2022-09-21,119,13,1,103
2022-09-22,118,9,2,95
2022-09-23,94,-8,0,73
2022-09-24,102,18,0,67
2022-09-25,136,14,3,96
2022-09-26,92,-16,1,72
2022-09-27,102,-49,1,75
2022-09-28,82,-52,2,54
2022-09-29,85,-66,1,52
2022-09-30,66,16,2,46
2022-10-01,74,10,1,44
2022-10-02,93,16,1,52
2022-10-03,68,-1,3,37
2022-10-04,56,11,2,33
2022-10-05,54,12,2,37
2022-10-06,85,17,3,54
2022-10-07,66,19,1,39
2022-10-08,64,15,2,38
2022-10-09,70,15,1,42
2022-10-10,53,10,2,40
2022-10-11,100,10,0,74
2022-10-12,70,11,1,39
2022-10-13,55,15,1,38
2022-10-14,67,7,1,38
2022-10-15,82,19,3,46
2022-10-16,76,-1,1,47
2022-10-17,83,11,5,54
2022-10-18,58,8,0,39
2022-10-19,57,7,2,32
2022-10-20,53,11,0,32
2022-10-21,55,12,1,31
2022-10-22,60,8,1,35
2022-10-23,82,10,1,46
2022-10-24,60,1,2,37
2022-10-25,47,0,4,31
2022-10-26,92,8,1,73
2022-10-27,61,9,3,49
2022-10-28,49,8,-1,34
2022-10-29,63,14,2,46
2022-10-30,69,12,0,36
2022-10-31,59,7,0,40
2022-11-01,54,17,0,22
2022-11-02,73,16,1,41
2022-11-03,44,6,1,32
2022-11-04,66,12,3,48
2022-11-05,58,11,1,32
2022-11-06,67,12,1,40
2022-11-07,46,9,2,32
2022-11-08,66,14,3,40
2022-11-09,63,19,1,33
2022-11-10,70,19,2,39
2022-11-11,57,11,0,31
2022-11-12,45,13,0,25
2022-11-13,67,12,1,37
2022-11-14,63,15,2,33
2022-11-15,59,13,2,26
2022-11-16,40,15,1,26
2022-11-17,49,9,2,36
2022-11-18,37,14,0,20
2022-11-19,50,11,2,26
2022-11-20,56,15,1,29
2022-11-21,31,15,1,18
2022-11-22,49,6,0,31
2022-11-23,62,15,2,32
2022-11-24,46,15,1,21
2022-11-25,40,15,1,24
2022-11-26,42,9,2,20
2022-11-27,71,18,2,33
2022-11-28,54,21,1,29
2022-11-29,44,14,0,21
2022-11-30,56,6,1,33
2022-12-01,39,15,3,22
2022-12-02,53,15,1,34
2022-12-03,56,10,2,34
2022-12-04,83,11,2,60
2022-12-05,65,16,3,37
2022-12-06,64,9,1,40
2022-12-07,45,12,0,37
2022-12-08,54,7,4,41
2022-12-09,41,8,2,28
2022-12-10,39,10,1,25
2022-12-11,62,14,2,36
2022-12-12,42,14,1,35
2022-12-13,48,9,0,30
2022-12-14,56,8,1,37
2022-12-15,47,10,2,28
2022-12-16,54,10,0,34
2022-12-17,47,7,0,30
2022-12-18,55,16,1,25
2022-12-19,61,27,0,25
2022-12-20,49,12,1,36
2022-12-21,88,14,2,40
2022-12-22,64,29,2,38
2022-12-23,66,8,0,43
2022-12-24,45,14,3,23
2022-12-25,63,16,1,38
2022-12-26,68,12,-1,46
2022-12-27,58,14,2,31
2022-12-28,111,19,0,74
2022-12-29,78,20,2,57
2022-12-30,70,15,3,46
2022-12-31,102,17,1,67
2023-01-01,87,19,0,41
2023-01-02,102,24,4,55
2023-01-03,91,14,1,59
2023-01-04,102,24,3,78
2023-01-05,52,15,0,39
2023-01-06,76,17,1,48
2023-01-07,98,13,0,68
2023-01-08,134,14,2,84
2023-01-09,100,7,2,80
2023-01-10,140,15,4,92
2023-01-11,116,14,1,96
2023-01-12,90,-5,0,63
2023-01-13,105,-12,2,83
2023-01-14,151,21,0,110
2023-01-15,143,23,3,102
2023-01-16,96,13,4,52
2023-01-17,91,18,1,67
2023-01-18,83,13,1,51
2023-01-19,81,13,0,50
2023-01-20,89,19,2,67
2023-01-21,64,19,1,43
2023-01-22,85,10,2,56
2023-01-23,82,15,1,46
2023-01-24,67,13,3,34
2023-01-25,75,12,2,48
2023-01-26,73,15,3,35
2023-01-27,64,17,7,39
2023-01-28,64,13,1,42
2023-01-29,83,16,4,41
2023-01-30,72,21,6,47
2023-01-31,50,12,1,35
2023-02-01,59,14,4,40
