date,added,ratings,reviews,to-read
2022-08-16,12,0,0,9
2022-08-17,14,5,0,6
2022-08-18,9,4,0,5
2022-08-19,10,2,0,6
2022-08-20,14,2,0,7
2022-08-21,14,2,0,8
2022-08-22,24,2,0,12
2022-08-23,10,2,0,7
2022-08-24,20,3,0,10
2022-08-25,14,1,0,7
2022-08-26,15,4,1,8
2022-08-27,13,0,0,10
2022-08-28,18,5,0,8
2022-08-29,18,8,1,7
2022-08-30,15,2,0,13
2022-08-31,16,5,0,11
2022-09-01,15,7,1,9
2022-09-02,15,2,0,7
2022-09-03,8,1,1,6
2022-09-04,17,1,0,13
2022-09-05,13,5,0,9
2022-09-06,11,1,0,3
2022-09-07,10,1,0,4
2022-09-08,12,4,2,8
2022-09-09,8,3,1,3
2022-09-10,10,1,0,5
2022-09-11,16,5,2,8
2022-09-12,12,4,0,6
2022-09-13,17,-1,0,7
2022-09-14,16,5,0,10
2022-09-15,4,0,0,3
2022-09-16,6,1,0,4
2022-09-17,9,2,0,5
2022-09-18,15,5,0,8
2022-09-19,11,1,0,4
2022-09-20,13,5,0,10
2022-09-21,14,4,1,10
2022-09-22,14,1,0,8
2022-09-23,13,3,0,5
2022-09-24,9,3,0,3
2022-09-25,13,2,0,6
2022-09-26,7,1,0,4
2022-09-27,11,4,0,8
2022-09-28,13,4,0,5
2022-09-29,5,2,0,1
2022-09-30,9,1,0,3
2022-10-01,16,1,0,12
2022-10-02,8,4,0,2
2022-10-03,12,1,0,8
2022-10-04,11,2,0,3
2022-10-05,8,7,0,5
2022-10-06,8,0,0,6
2022-10-07,14,0,0,11
2022-10-08,16,1,0,9
2022-10-09,14,2,0,8
2022-10-10,9,3,0,7
2022-10-11,15,3,0,8
2022-10-12,18,6,1,10
2022-10-13,8,3,0,7
2022-10-14,14,2,0,9
2022-10-15,14,4,0,6
2022-10-16,12,2,1,9
2022-10-17,7,0,0,6
2022-10-18,26,0,0,20
2022-10-19,21,1,0,12
2022-10-20,10,5,0,3
2022-10-21,16,3,0,8
2022-10-22,14,3,1,6
2022-10-23,13,2,0,10
2022-10-24,14,2,0,7
2022-10-25,12,1,0,11
2022-10-26,8,2,0,6
2022-10-27,15,2,0,9
2022-10-28,12,4,0,8
2022-10-29,16,4,0,9
2022-10-30,13,5,0,6
2022-10-31,9,1,0,6
2022-11-01,11,3,1,4
2022-11-02,11,3,0,7
2022-11-03,10,1,0,5
2022-11-04,13,2,0,6
2022-11-05,14,5,1,7
2022-11-06,15,4,0,9
2022-11-07,14,5,1,6
2022-11-08,13,2,0,8
2022-11-09,11,2,0,8
2022-11-10,16,2,1,8
2022-11-11,14,5,0,10
2022-11-12,16,3,0,9
2022-11-13,10,4,1,7
2022-11-14,19,1,2,8
2022-11-15,16,2,0,11
2022-11-16,12,2,0,6
2022-11-17,12,3,0,9
2022-11-18,16,3,0,9
2022-11-19,17,4,0,11
2022-11-20,21,4,1,13
2022-11-21,13,1,0,10
2022-11-22,21,4,0,14
2022-11-23,15,1,0,11
2022-11-24,10,1,0,7
2022-11-25,10,0,0,5
2022-11-26,14,1,1,10
2022-11-27,21,7,1,11
2022-11-28,16,5,0,10
2022-11-29,17,1,1,14
2022-11-30,18,1,0,11
2022-12-01,16,2,0,9
2022-12-02,12,1,1,6
2022-12-03,14,5,0,8
2022-12-04,15,-1,0,9
2022-12-05,23,4,0,13
2022-12-06,17,7,0,6
2022-12-07,15,3,0,12
2022-12-08,12,1,0,8
2022-12-09,13,2,0,8
2022-12-10,17,1,0,12
2022-12-11,17,3,0,10
2022-12-12,8,1,0,7
2022-12-13,15,1,0,9
2022-12-14,10,0,0,9
2022-12-15,26,1,0,20
2022-12-16,23,3,0,14
2022-12-17,21,2,1,15
2022-12-18,19,5,0,10
2022-12-19,10,3,0,8
2022-12-20,22,5,2,16
2022-12-21,12,5,2,6
2022-12-22,18,5,1,8
2022-12-23,29,3,1,22
2022-12-24,14,5,1,8
2022-12-25,19,3,0,12
2022-12-26,24,7,-1,14
2022-12-27,21,2,0,10
2022-12-28,23,8,0,16
2022-12-29,15,1,0,11
2022-12-30,23,4,0,13
2022-12-31,23,4,1,15
2023-01-01,61,9,1,36
2023-01-02,45,4,0,30
2023-01-03,44,8,0,27
2023-01-04,28,5,0,20
2023-01-05,27,5,0,11
2023-01-06,22,6,0,10
2023-01-07,37,3,0,23
2023-01-08,34,9,2,20
2023-01-09,29,6,0,13
2023-01-10,22,6,0,13
2023-01-11,23,3,1,16
2023-01-12,25,2,0,15
2023-01-13,28,6,0,14
2023-01-14,31,10,0,15
2023-01-15,18,2,0,9
2023-01-16,19,1,0,7
2023-01-17,21,6,0,11
2023-01-18,20,7,1,9
2023-01-19,21,5,0,15
2023-01-20,17,4,0,13
2023-01-21,12,3,2,6
2023-01-22,20,1,0,9
2023-01-23,21,6,0,15
2023-01-24,18,3,0,9
2023-01-25,16,3,0,9
2023-01-26,19,4,0,12
2023-01-27,19,5,0,7
2023-01-28,12,5,0,8
2023-01-29,33,5,1,20
2023-01-30,13,5,0,8
2023-01-31,14,-1,0,6
2023-02-01,17,5,1,11
