date,added,ratings,reviews,to-read
2022-08-16,371,130,2,216
2022-08-17,362,105,5,184
2022-08-18,314,109,5,185
2022-08-19,319,98,3,163
2022-08-20,334,101,2,191
2022-08-21,376,111,5,206
2022-08-22,394,114,2,233
2022-08-23,344,102,4,210
2022-08-24,371,114,3,183
2022-08-25,340,111,2,183
2022-08-26,343,112,3,185
2022-08-27,317,98,2,166
2022-08-28,356,116,1,171
2022-08-29,364,73,1,202
2022-08-30,382,94,3,211
2022-08-31,353,98,4,192
2022-09-01,329,100,5,199
2022-09-02,295,79,4,176
2022-09-03,299,82,4,166
2022-09-04,405,108,1,206
2022-09-05,400,132,0,213
2022-09-06,328,67,2,176
2022-09-07,378,109,2,209
2022-09-08,293,105,5,147
2022-09-09,280,71,1,158
2022-09-10,290,85,1,149
2022-09-11,327,88,3,204
2022-09-12,294,88,6,157
2022-09-13,336,112,3,174
2022-09-14,329,98,1,180
2022-09-15,281,98,2,156
2022-09-16,285,100,3,137
2022-09-17,312,92,2,187
2022-09-18,346,109,4,193
2022-09-19,314,103,4,161
2022-09-20,300,115,0,145
2022-09-21,249,98,3,146
2022-09-22,265,83,1,141
2022-09-23,283,40,7,164
2022-09-24,298,91,2,153
2022-09-25,315,94,2,173
2022-09-26,272,58,1,148
2022-09-27,276,45,2,139
2022-09-28,283,20,2,146
2022-09-29,275,9,3,138
2022-09-30,247,91,2,123
2022-10-01,288,83,3,168
2022-10-02,342,36,1,184
2022-10-03,294,35,1,164
2022-10-04,302,98,4,166
2022-10-05,266,76,2,140
2022-10-06,313,79,2,164
2022-10-07,233,86,5,117
2022-10-08,312,85,0,162
2022-10-09,297,51,1,165
2022-10-10,286,87,1,165
2022-10-11,264,66,3,133
2022-10-12,280,36,1,153
2022-10-13,237,83,5,137
2022-10-14,270,-6,2,156
2022-10-15,266,74,1,142
2022-10-16,326,-13,3,185
2022-10-17,283,27,1,150
2022-10-18,304,79,2,156
2022-10-19,277,104,1,150
2022-10-20,254,90,3,135
2022-10-21,227,51,4,117
2022-10-22,244,42,0,137
2022-10-23,305,-41,3,168
2022-10-24,282,-8,0,150
2022-10-25,255,52,3,153
2022-10-26,248,75,2,125
2022-10-27,283,81,4,154
2022-10-28,229,68,3,133
2022-10-29,248,68,3,133
2022-10-30,288,90,6,148
2022-10-31,279,84,4,143
2022-11-01,270,98,5,147
2022-11-02,266,81,4,130
2022-11-03,265,53,2,145
2022-11-04,255,80,3,134
2022-11-05,301,88,2,181
2022-11-06,297,135,4,147
2022-11-07,197,64,-1,107
2022-11-08,185,49,-1,94
2022-11-09,195,63,3,92
2022-11-10,165,44,0,88
2022-11-11,157,44,0,80
2022-11-12,210,36,3,108
2022-11-13,226,67,1,97
2022-11-14,180,45,3,87
2022-11-15,187,39,2,82
2022-11-16,221,62,3,86
2022-11-17,171,155,13,95
2022-11-18,247,72,2,135
2022-11-19,290,97,2,148
2022-11-20,293,85,1,152
2022-11-21,264,83,3,146
2022-11-22,257,74,1,139
2022-11-23,275,78,2,152
2022-11-24,257,73,2,144
2022-11-25,228,85,4,127
2022-11-26,286,52,5,168
2022-11-27,341,108,3,189
2022-11-28,282,80,5,158
2022-11-29,353,93,4,195
2022-11-30,306,88,3,159
2022-12-01,290,94,3,162
2022-12-02,276,86,1,149
2022-12-03,275,59,3,154
2022-12-04,365,89,1,208
2022-12-05,337,100,0,181
2022-12-06,304,111,5,148
2022-12-07,240,80,0,147
2022-12-08,273,63,3,149
2022-12-09,262,87,3,129
2022-12-10,282,70,3,160
2022-12-11,326,93,3,171
2022-12-12,327,101,1,177
2022-12-13,290,107,4,158
2022-12-14,270,79,1,156
2022-12-15,284,81,0,164
2022-12-16,285,89,1,154
2022-12-17,297,79,3,162
2022-12-18,354,91,5,181
2022-12-19,339,96,2,188
2022-12-20,338,104,3,199
2022-12-21,335,102,2,181
2022-12-22,340,104,3,188
2022-12-23,346,81,2,204
2022-12-24,302,100,3,161
2022-12-25,435,108,2,254
2022-12-26,494,130,3,277
2022-12-27,484,139,3,268
2022-12-28,519,163,3,290
2022-12-29,490,168,4,287
2022-12-30,510,137,4,301
2022-12-31,580,175,8,322
2023-01-01,1092,225,6,627
2023-01-02,1023,343,5,600
2023-01-03,863,233,2,492
2023-01-04,649,222,4,395
2023-01-05,654,165,3,379
2023-01-06,561,195,9,322
2023-01-07,550,184,4,286
2023-01-08,678,184,1,381
2023-01-09,555,149,4,322
2023-01-10,510,127,4,302
2023-01-11,431,102,3,264
2023-01-12,468,61,0,282
2023-01-13,444,50,3,249
2023-01-14,471,103,5,286
2023-01-15,491,140,3,259
2023-01-16,485,142,3,249
2023-01-17,445,144,4,258
2023-01-18,401,90,2,233
2023-01-19,385,91,4,242
2023-01-20,320,110,2,196
2023-01-21,394,105,4,215
2023-01-22,474,118,2,278
2023-01-23,416,110,4,231
2023-01-24,427,123,6,232
2023-01-25,435,110,3,255
2023-01-26,380,121,2,210
2023-01-27,323,88,1,181
2023-01-28,392,84,1,238
2023-01-29,480,122,4,266
2023-01-30,377,115,3,223
2023-01-31,335,125,0,202
2023-02-01,314,73,7,202
