date,added,ratings,reviews,to-read
2022-08-16,26,10,1,13
2022-08-17,27,10,1,15
2022-08-18,25,6,0,14
2022-08-19,29,9,0,13
2022-08-20,22,9,0,9
2022-08-21,19,7,0,9
2022-08-22,22,4,0,14
2022-08-23,17,9,0,6
2022-08-24,24,10,0,12
2022-08-25,21,10,0,10
2022-08-26,16,5,1,6
2022-08-27,28,13,1,14
2022-08-28,29,11,1,13
2022-08-29,32,11,0,22
2022-08-30,29,10,0,16
2022-08-31,16,7,0,7
2022-09-01,27,10,0,17
2022-09-02,26,2,0,15
2022-09-03,35,8,1,17
2022-09-04,27,7,0,16
2022-09-05,25,9,0,12
2022-09-06,21,11,2,10
2022-09-07,33,10,0,17
2022-09-08,17,5,0,10
2022-09-09,17,5,0,10
2022-09-10,26,10,0,13
2022-09-11,24,9,0,12
2022-09-12,24,6,0,12
2022-09-13,20,6,0,8
2022-09-14,16,8,1,5
2022-09-15,29,10,0,13
2022-09-16,15,5,0,10
2022-09-17,23,3,0,14
2022-09-18,29,7,2,13
2022-09-19,17,6,2,13
2022-09-20,25,7,1,9
2022-09-21,15,9,0,3
2022-09-22,14,7,0,3
2022-09-23,13,4,0,4
2022-09-24,24,9,0,14
2022-09-25,19,5,0,11
2022-09-26,25,12,0,11
2022-09-27,26,4,0,18
2022-09-28,19,12,0,6
2022-09-29,22,3,0,12
2022-09-30,18,4,0,7
2022-10-01,17,10,0,7
2022-10-02,20,7,0,8
2022-10-03,17,6,0,9
2022-10-04,25,12,1,12
2022-10-05,22,9,0,8
2022-10-06,22,7,0,8
2022-10-07,20,8,1,10
2022-10-08,20,9,0,9
2022-10-09,32,11,0,15
2022-10-10,16,7,0,5
2022-10-11,18,10,0,9
2022-10-12,21,7,0,11
2022-10-13,10,3,0,3
2022-10-14,26,11,0,9
2022-10-15,23,12,0,9
2022-10-16,21,5,0,14
2022-10-17,26,13,0,13
2022-10-18,27,10,0,12
2022-10-19,19,7,0,13
2022-10-20,25,9,0,13
2022-10-21,22,8,1,14
2022-10-22,18,5,0,10
2022-10-23,31,7,0,20
2022-10-24,21,3,0,14
2022-10-25,8,2,0,5
2022-10-26,18,5,0,11
2022-10-27,19,7,0,5
2022-10-28,19,7,0,9
2022-10-29,19,7,1,9
2022-10-30,22,9,0,11
2022-10-31,20,3,0,12
2022-11-01,18,9,0,6
2022-11-02,23,9,0,10
2022-11-03,10,8,0,3
2022-11-04,16,2,0,7
2022-11-05,24,8,0,12
2022-11-06,29,4,0,21
2022-11-07,24,6,0,17
2022-11-08,26,10,1,11
2022-11-09,21,5,0,10
2022-11-10,15,6,0,8
2022-11-11,16,-1,0,8
2022-11-12,18,3,0,14
2022-11-13,18,2,0,13
2022-11-14,22,3,0,12
2022-11-15,20,7,0,6
2022-11-16,15,10,1,6
2022-11-17,22,5,0,15
2022-11-18,23,11,1,6
2022-11-19,17,8,0,8
2022-11-20,20,7,0,9
2022-11-21,22,6,0,16
2022-11-22,16,5,0,10
2022-11-23,16,4,0,10
2022-11-24,22,3,0,13
2022-11-25,17,4,0,9
2022-11-26,29,10,0,12
2022-11-27,20,10,1,11
2022-11-28,12,2,0,9
2022-11-29,19,7,0,7
2022-11-30,27,12,0,10
2022-12-01,22,7,1,10
2022-12-02,14,8,0,6
2022-12-03,22,6,0,6
2022-12-04,35,15,0,21
2022-12-05,24,12,0,8
2022-12-06,26,10,0,13
2022-12-07,7,6,0,3
2022-12-08,24,5,0,15
2022-12-09,24,7,0,13
2022-12-10,22,2,1,13
2022-12-11,31,4,1,17
2022-12-12,18,8,0,7
2022-12-13,27,6,0,12
2022-12-14,15,7,0,8
2022-12-15,18,4,0,10
2022-12-16,18,4,0,9
2022-12-17,19,5,0,10
2022-12-18,28,10,3,11
2022-12-19,28,10,0,14
2022-12-20,27,7,0,14
2022-12-21,32,16,1,10
2022-12-22,27,10,0,12
2022-12-23,24,6,1,11
2022-12-24,21,11,0,10
2022-12-25,41,12,0,14
2022-12-26,55,18,1,31
2022-12-27,33,19,0,14
2022-12-28,42,6,0,22
2022-12-29,33,16,1,13
2022-12-30,46,14,0,27
2022-12-31,46,12,0,28
2023-01-01,63,18,1,32
2023-01-02,68,12,0,47
2023-01-03,61,17,0,36
2023-01-04,48,13,1,30
2023-01-05,53,10,0,29
2023-01-06,49,-24,-4,31
2023-01-07,50,16,1,28
2023-01-08,49,7,1,28
2023-01-09,31,4,0,14
2023-01-10,37,14,0,21
2023-01-11,37,7,0,21
2023-01-12,35,11,0,20
2023-01-13,32,12,0,17
2023-01-14,33,12,0,15
2023-01-15,44,12,0,20
2023-01-16,31,6,1,17
2023-01-17,33,12,0,13
2023-01-18,43,10,0,22
2023-01-19,24,8,0,13
2023-01-20,22,11,1,10
2023-01-21,25,12,1,12
2023-01-22,36,12,0,15
2023-01-23,39,6,0,22
2023-01-24,36,11,0,14
2023-01-25,37,12,0,17
2023-01-26,35,19,0,13
2023-01-27,20,3,0,8
2023-01-28,34,12,0,15
2023-01-29,36,5,1,22
2023-01-30,27,8,0,17
2023-01-31,31,13,1,14
2023-02-01,24,6,1,19
