date,added,ratings,reviews,to-read
2022-08-16,18,11,0,9
2022-08-17,44,10,1,24
2022-08-18,35,12,0,20
2022-08-19,28,12,0,15
2022-08-20,38,13,0,16
2022-08-21,30,21,1,16
2022-08-22,51,14,1,21
2022-08-23,30,13,0,15
2022-08-24,31,8,1,16
2022-08-25,33,15,0,18
2022-08-26,34,12,0,18
2022-08-27,34,11,0,20
2022-08-28,43,12,0,21
2022-08-29,35,12,1,18
2022-08-30,40,18,2,22
2022-08-31,39,12,0,24
2022-09-01,22,6,0,11
2022-09-02,21,4,0,12
2022-09-03,27,1,0,17
2022-09-04,28,1,0,20
2022-09-05,27,4,0,18
2022-09-06,23,8,1,13
2022-09-07,23,5,0,14
2022-09-08,28,6,0,17
2022-09-09,18,2,0,10
2022-09-10,29,4,0,21
2022-09-11,27,5,2,18
2022-09-12,28,2,0,15
2022-09-13,25,1,0,14
2022-09-14,23,8,1,16
2022-09-15,23,5,0,17
2022-09-16,20,1,0,9
2022-09-17,22,6,0,13
2022-09-18,24,4,0,14
2022-09-19,26,4,0,16
2022-09-20,24,2,0,20
2022-09-21,18,6,0,13
2022-09-22,20,5,1,11
2022-09-23,19,-7,0,15
2022-09-24,28,4,1,15
2022-09-25,20,5,0,15
2022-09-26,19,-12,1,12
2022-09-27,25,-8,2,16
2022-09-28,21,-12,0,12
2022-09-29,19,-25,1,14
2022-09-30,18,5,3,10
2022-10-01,25,7,0,18
2022-10-02,24,3,0,17
2022-10-03,23,2,0,13
2022-10-04,25,6,0,18
2022-10-05,18,0,0,15
2022-10-06,26,3,0,15
2022-10-07,24,3,1,15
2022-10-08,21,1,0,13
2022-10-09,29,4,0,19
2022-10-10,24,3,0,13
2022-10-11,21,3,0,15
2022-10-12,27,2,1,17
2022-10-13,21,4,0,15
2022-10-14,24,5,0,16
2022-10-15,27,1,0,18
2022-10-16,34,1,0,17
2022-10-17,21,0,0,14
2022-10-18,24,4,1,13
2022-10-19,21,4,0,11
2022-10-20,19,7,0,12
2022-10-21,20,2,0,11
2022-10-22,20,2,3,10
2022-10-23,24,-9,0,11
2022-10-24,22,-6,0,14
2022-10-25,25,-12,0,14
2022-10-26,26,3,1,19
2022-10-27,27,1,-2,12
2022-10-28,34,8,1,18
2022-10-29,36,1,0,28
2022-10-30,30,-1,1,18
2022-10-31,32,-3,0,18
2022-11-01,30,4,0,17
2022-11-02,28,5,0,10
2022-11-03,11,1,0,8
2022-11-04,22,3,0,13
2022-11-05,23,6,0,11
2022-11-06,40,7,2,25
2022-11-07,25,1,2,17
2022-11-08,30,6,0,20
2022-11-09,30,5,0,17
2022-11-10,12,2,0,7
2022-11-11,35,3,0,27
2022-11-12,28,5,1,20
2022-11-13,30,11,1,16
2022-11-14,23,5,0,14
2022-11-15,27,6,2,20
2022-11-16,25,2,1,15
2022-11-17,15,4,0,6
2022-11-18,27,5,1,14
2022-11-19,17,3,0,7
2022-11-20,31,3,1,21
2022-11-21,26,4,0,18
2022-11-22,37,3,0,30
2022-11-23,21,4,2,13
2022-11-24,27,3,0,15
2022-11-25,28,3,0,19
2022-11-26,30,1,0,24
2022-11-27,35,3,1,26
2022-11-28,29,1,1,22
2022-11-29,43,2,0,38
2022-11-30,38,6,0,26
2022-12-01,25,6,0,16
2022-12-02,24,1,0,16
2022-12-03,23,5,0,16
2022-12-04,37,3,1,25
2022-12-05,28,3,0,21
2022-12-06,24,5,0,16
2022-12-07,25,3,0,17
2022-12-08,14,4,0,13
2022-12-09,36,1,0,23
2022-12-10,41,6,0,23
2022-12-11,29,6,0,15
2022-12-12,19,6,0,15
2022-12-13,30,5,0,21
2022-12-14,31,5,0,19
2022-12-15,23,1,0,12
2022-12-16,27,6,0,19
2022-12-17,34,8,2,20
2022-12-18,46,6,0,25
2022-12-19,27,7,0,14
2022-12-20,31,3,0,27
2022-12-21,26,0,0,17
2022-12-22,21,6,0,16
2022-12-23,20,2,0,12
2022-12-24,28,6,0,17
2022-12-25,16,4,1,10
2022-12-26,38,5,0,30
2022-12-27,35,6,0,22
2022-12-28,39,7,1,21
2022-12-29,19,2,0,12
2022-12-30,23,4,0,13
2022-12-31,36,4,0,22
2023-01-01,53,5,0,30
2023-01-02,42,7,1,25
2023-01-03,56,4,0,37
2023-01-04,35,3,-1,22
2023-01-05,35,10,0,22
2023-01-06,34,1,0,21
2023-01-07,35,6,1,21
2023-01-08,44,5,2,27
2023-01-09,34,8,1,21
2023-01-10,43,6,0,24
2023-01-11,24,11,3,13
2023-01-12,32,-28,0,23
2023-01-13,37,-51,2,24
2023-01-14,36,8,0,22
2023-01-15,35,5,1,17
2023-01-16,44,1,0,33
2023-01-17,41,6,0,24
2023-01-18,27,1,0,16
2023-01-19,26,5,1,21
2023-01-20,27,6,0,20
2023-01-21,29,1,0,20
2023-01-22,42,5,0,26
2023-01-23,25,5,0,17
2023-01-24,27,8,0,12
2023-01-25,39,3,0,23
2023-01-26,31,4,0,16
2023-01-27,31,2,0,19
2023-01-28,17,3,0,9
2023-01-29,49,8,1,34
2023-01-30,13,4,0,12
2023-01-31,24,0,0,16
2023-02-01,14,5,1,9
