date,added,ratings,reviews,to-read
2022-08-16,24,6,1,20
2022-08-17,30,10,1,18
2022-08-18,38,9,1,25
2022-08-19,22,8,1,9
2022-08-20,30,11,0,14
2022-08-21,41,13,2,13
2022-08-22,76,17,0,55
2022-08-23,39,10,1,30
2022-08-24,42,6,0,21
2022-08-25,44,13,0,26
2022-08-26,30,14,1,14
2022-08-27,32,9,2,16
2022-08-28,38,6,1,19
2022-08-29,22,-13,0,14
2022-08-30,35,6,1,21
2022-08-31,39,10,1,20
2022-09-01,26,7,0,14
2022-09-02,21,9,1,11
2022-09-03,33,6,1,21
2022-09-04,53,17,0,19
2022-09-05,63,36,0,17
2022-09-06,44,5,1,22
2022-09-07,30,6,2,17
2022-09-08,30,8,1,20
2022-09-09,37,4,0,22
2022-09-10,26,10,1,8
2022-09-11,23,4,0,11
2022-09-12,38,10,0,21
2022-09-13,21,8,2,11
2022-09-14,32,5,-1,10
2022-09-15,23,12,2,12
2022-09-16,39,17,0,21
2022-09-17,35,7,0,21
2022-09-18,52,22,0,20
2022-09-19,39,22,1,16
2022-09-20,28,18,0,10
2022-09-21,31,22,2,13
2022-09-22,34,20,0,11
2022-09-23,51,-30,0,14
2022-09-24,32,20,0,12
2022-09-25,50,19,1,14
2022-09-26,41,-8,1,20
2022-09-27,38,-28,0,18
2022-09-28,32,-35,1,14
2022-09-29,35,-52,1,14
2022-09-30,20,15,0,8
2022-10-01,38,9,0,24
2022-10-02,29,-8,0,13
2022-10-03,37,1,0,20
2022-10-04,27,9,0,10
2022-10-05,17,5,0,11
2022-10-06,14,4,1,9
2022-10-07,16,5,-1,8
2022-10-08,27,8,0,12
2022-10-09,35,-4,1,12
2022-10-10,33,12,1,17
2022-10-11,12,1,0,7
2022-10-12,28,-8,0,14
2022-10-13,16,5,1,7
2022-10-14,12,-25,0,7
2022-10-15,23,4,0,12
2022-10-16,23,-47,0,10
2022-10-17,30,-40,2,15
2022-10-18,21,-18,0,13
2022-10-19,24,5,2,14
2022-10-20,27,7,1,16
2022-10-21,20,-9,0,10
2022-10-22,30,-5,1,13
2022-10-23,25,-99,0,11
2022-10-24,30,-77,1,13
2022-10-25,22,-53,0,16
2022-10-26,36,13,0,14
2022-10-27,25,8,1,16
2022-10-28,10,2,0,5
2022-10-29,25,11,0,7
2022-10-30,23,2,0,12
2022-10-31,28,-15,0,11
2022-11-01,25,6,1,12
2022-11-02,27,7,1,14
2022-11-03,24,-17,1,13
2022-11-04,28,12,0,13
2022-11-05,25,7,0,14
2022-11-06,34,4,1,18
2022-11-07,26,3,2,16
2022-11-08,29,8,0,18
2022-11-09,18,7,2,9
2022-11-10,19,2,0,10
2022-11-11,28,7,1,16
2022-11-12,28,8,2,16
2022-11-13,31,12,0,18
2022-11-14,28,5,1,10
2022-11-15,29,11,2,9
2022-11-16,26,6,0,17
2022-11-17,14,9,1,6
2022-11-18,33,12,1,19
2022-11-19,24,9,1,10
2022-11-20,18,7,1,7
2022-11-21,18,2,0,12
2022-11-22,19,8,0,10
2022-11-23,17,5,0,5
2022-11-24,17,8,0,6
2022-11-25,21,0,0,14
2022-11-26,29,4,0,21
2022-11-27,28,4,0,11
2022-11-28,25,5,0,15
2022-11-29,12,7,0,5
2022-11-30,29,7,0,12
2022-12-01,22,1,0,15
2022-12-02,29,11,1,16
2022-12-03,37,7,1,26
2022-12-04,27,7,1,12
2022-12-05,23,5,0,12
2022-12-06,33,3,0,27
2022-12-07,22,7,0,10
2022-12-08,22,10,0,15
2022-12-09,21,3,0,12
2022-12-10,26,1,0,13
2022-12-11,31,13,0,14
2022-12-12,24,7,2,17
2022-12-13,41,13,4,30
2022-12-14,22,6,0,10
2022-12-15,37,11,0,19
2022-12-16,23,1,0,16
2022-12-17,26,5,0,15
2022-12-18,29,6,0,16
2022-12-19,17,8,0,10
2022-12-20,19,6,1,11
2022-12-21,34,8,1,17
2022-12-22,26,5,2,12
2022-12-23,24,7,2,8
2022-12-24,19,13,0,9
2022-12-25,35,11,0,13
2022-12-26,38,9,0,20
2022-12-27,32,10,1,13
2022-12-28,39,15,2,23
2022-12-29,38,5,3,17
2022-12-30,59,18,2,26
2022-12-31,56,26,1,22
2023-01-01,76,11,1,40
2023-01-02,80,22,2,36
2023-01-03,70,25,1,33
2023-01-04,60,15,1,34
2023-01-05,44,19,0,18
2023-01-06,45,9,1,24
2023-01-07,41,6,1,17
2023-01-08,54,10,0,23
2023-01-09,51,15,2,24
2023-01-10,38,12,2,24
2023-01-11,43,16,2,24
2023-01-12,35,-52,0,17
2023-01-13,66,-67,1,38
2023-01-14,42,16,0,23
2023-01-15,58,16,1,27
2023-01-16,44,7,0,18
2023-01-17,45,13,0,23
2023-01-18,69,14,1,48
2023-01-19,45,19,2,31
2023-01-20,27,12,1,15
2023-01-21,46,12,0,21
2023-01-22,37,13,2,18
2023-01-23,36,3,0,17
2023-01-24,49,15,3,19
2023-01-25,38,14,1,21
2023-01-26,35,9,0,15
2023-01-27,29,11,1,15
2023-01-28,37,4,0,22
2023-01-29,40,7,0,22
2023-01-30,33,8,1,16
2023-01-31,40,14,1,16
2023-02-01,32,8,2,15
