date,added,ratings,reviews,to-read
2022-08-16,8,2,0,5
2022-08-17,19,1,0,13
2022-08-18,15,1,0,10
2022-08-19,11,0,0,9
2022-08-20,10,0,0,8
2022-08-21,13,1,0,10
2022-08-22,40,3,0,32
2022-08-23,30,1,0,25
2022-08-24,23,2,1,16
2022-08-25,17,0,0,12
2022-08-26,15,2,2,8
2022-08-27,23,2,0,18
2022-08-28,13,0,0,10
2022-08-29,16,2,0,12
2022-08-30,7,3,0,4
2022-08-31,11,1,0,5
2022-09-01,15,2,0,10
2022-09-02,22,3,1,14
2022-09-03,7,3,1,6
2022-09-04,15,1,0,10
2022-09-05,8,2,0,8
2022-09-06,18,2,0,15
2022-09-07,13,1,0,9
2022-09-08,14,1,0,10
2022-09-09,9,2,0,5
2022-09-10,10,2,1,8
2022-09-11,15,1,1,13
2022-09-12,10,1,0,7
2022-09-13,18,2,1,9
2022-09-14,11,4,0,4
2022-09-15,12,6,1,8
2022-09-16,14,3,0,7
2022-09-17,20,4,0,14
2022-09-18,14,3,0,8
2022-09-19,9,-1,0,7
2022-09-20,6,1,0,2
2022-09-21,19,2,0,14
2022-09-22,10,1,0,7
2022-09-23,7,0,0,7
2022-09-24,14,1,0,9
2022-09-25,11,2,1,8
2022-09-26,11,2,0,8
2022-09-27,14,1,0,11
2022-09-28,16,2,1,10
2022-09-29,13,2,0,11
2022-09-30,6,2,0,6
2022-10-01,5,1,0,5
2022-10-02,17,2,0,13
2022-10-03,8,2,0,2
2022-10-04,15,0,0,13
2022-10-05,10,2,0,9
2022-10-06,9,0,0,8
2022-10-07,9,1,0,7
2022-10-08,18,3,0,6
2022-10-09,11,4,1,6
2022-10-10,10,0,0,8
2022-10-11,12,3,0,9
2022-10-12,11,3,0,6
2022-10-13,15,1,0,11
2022-10-14,7,0,0,6
2022-10-15,12,0,0,8
2022-10-16,10,1,0,8
2022-10-17,9,3,1,4
2022-10-18,10,2,0,7
2022-10-19,8,2,0,5
2022-10-20,16,0,1,13
2022-10-21,10,0,1,8
2022-10-22,11,2,0,7
2022-10-23,13,1,0,9
2022-10-24,13,3,0,7
2022-10-25,12,2,0,11
2022-10-26,10,0,0,7
2022-10-27,10,1,0,6
2022-10-28,4,0,0,3
2022-10-29,10,1,0,5
2022-10-30,11,2,0,8
2022-10-31,12,2,1,9
2022-11-01,6,0,0,6
2022-11-02,10,0,0,8
2022-11-03,8,1,0,6
2022-11-04,19,0,0,14
2022-11-05,15,0,0,12
2022-11-06,14,4,0,6
2022-11-07,11,2,1,4
2022-11-08,9,4,0,4
2022-11-09,20,3,0,11
2022-11-10,9,2,0,7
2022-11-11,7,0,0,5
2022-11-12,9,1,0,6
2022-11-13,10,2,0,9
2022-11-14,9,0,0,8
2022-11-15,13,5,0,7
2022-11-16,8,2,1,5
2022-11-17,8,3,1,5
2022-11-18,8,-1,0,6
2022-11-19,5,-1,0,3
2022-11-20,13,3,0,6
2022-11-21,11,3,0,10
2022-11-22,10,1,0,6
2022-11-23,11,2,0,9
2022-11-24,5,0,0,3
2022-11-25,9,1,0,4
2022-11-26,23,0,0,19
2022-11-27,21,2,0,16
2022-11-28,15,2,0,8
2022-11-29,13,6,1,8
2022-11-30,15,1,1,8
2022-12-01,9,1,0,8
2022-12-02,10,5,0,5
2022-12-03,14,0,0,7
2022-12-04,11,2,0,7
2022-12-05,15,1,0,11
2022-12-06,16,2,0,9
2022-12-07,13,3,1,7
2022-12-08,14,1,0,11
2022-12-09,10,1,0,7
2022-12-10,10,4,0,7
2022-12-11,11,1,0,7
2022-12-12,15,2,0,10
2022-12-13,15,1,0,13
2022-12-14,18,1,0,13
2022-12-15,14,1,1,10
2022-12-16,8,3,0,5
2022-12-17,24,1,1,14
2022-12-18,6,0,0,3
2022-12-19,16,4,0,10
2022-12-20,8,0,0,7
2022-12-21,13,3,0,8
2022-12-22,16,0,0,13
2022-12-23,6,1,0,2
2022-12-24,7,2,0,5
2022-12-25,11,4,0,6
2022-12-26,25,5,0,16
2022-12-27,13,4,0,8
2022-12-28,21,4,0,13
2022-12-29,12,0,0,10
2022-12-30,16,2,0,13
2022-12-31,24,1,0,16
2023-01-01,20,1,0,12
2023-01-02,37,6,0,23
2023-01-03,24,6,1,18
2023-01-04,20,5,0,11
2023-01-05,15,2,0,10
2023-01-06,22,1,0,16
2023-01-07,26,3,1,17
2023-01-08,19,2,0,10
2023-01-09,18,7,0,10
2023-01-10,24,2,0,16
2023-01-11,11,3,1,10
2023-01-12,20,2,1,11
2023-01-13,18,3,0,14
2023-01-14,22,0,0,15
2023-01-15,19,2,0,12
2023-01-16,15,1,0,10
2023-01-17,10,2,0,8
2023-01-18,12,1,0,8
2023-01-19,15,4,1,10
2023-01-20,17,1,0,13
2023-01-21,19,2,0,11
2023-01-22,25,6,0,21
2023-01-23,20,2,0,15
2023-01-24,16,3,0,11
2023-01-25,16,0,0,12
2023-01-26,12,0,0,10
2023-01-27,15,1,0,11
2023-01-28,14,0,0,11
2023-01-29,22,2,0,12
2023-01-30,13,1,-1,9
2023-01-31,7,3,0,4
2023-02-01,13,2,0,11
