date,added,ratings,reviews,to-read
2022-08-16,6,1,0,4
2022-08-17,10,0,0,10
2022-08-18,5,0,0,3
2022-08-19,4,2,0,3
2022-08-20,6,0,0,5
2022-08-21,6,0,0,6
2022-08-22,8,1,0,7
2022-08-23,8,0,0,7
2022-08-24,14,0,0,11
2022-08-25,4,1,0,4
2022-08-26,9,1,0,7
2022-08-27,4,1,0,3
2022-08-28,4,1,1,2
2022-08-29,7,1,0,4
2022-08-30,10,2,0,6
2022-08-31,8,0,0,6
2022-09-01,9,1,1,7
2022-09-02,9,0,0,6
2022-09-03,13,0,0,9
2022-09-04,5,1,0,4
2022-09-05,6,0,1,2
2022-09-06,4,0,0,2
2022-09-07,5,1,0,1
2022-09-08,3,1,0,3
2022-09-09,5,1,0,3
2022-09-10,3,1,1,1
2022-09-11,4,1,1,2
2022-09-12,4,0,0,3
2022-09-13,6,1,0,2
2022-09-14,4,1,0,4
2022-09-15,8,0,0,5
2022-09-16,7,1,1,3
2022-09-17,11,2,1,7
2022-09-18,11,1,0,10
2022-09-19,6,0,0,6
2022-09-20,11,0,0,10
2022-09-21,8,1,0,5
2022-09-22,7,2,0,6
2022-09-23,6,1,0,3
2022-09-24,8,1,0,6
2022-09-25,8,-2,0,8
2022-09-26,7,2,0,4
2022-09-27,7,0,0,5
2022-09-28,0,0,0,0
2022-09-29,9,2,0,5
2022-09-30,8,1,0,7
2022-10-01,9,0,0,7
2022-10-02,8,0,0,5
2022-10-03,8,2,0,6
2022-10-04,5,2,0,3
2022-10-05,4,0,0,4
2022-10-06,4,-2,0,4
2022-10-07,4,0,0,3
2022-10-08,6,0,0,5
2022-10-09,7,1,1,6
2022-10-10,7,2,1,4
2022-10-11,4,2,0,2
2022-10-12,11,0,0,9
2022-10-13,4,0,0,3
2022-10-14,11,2,0,8
2022-10-15,10,2,0,7
2022-10-16,5,-2,0,4
2022-10-17,4,0,0,3
2022-10-18,5,1,0,3
2022-10-19,6,4,0,2
2022-10-20,1,0,0,1
2022-10-21,11,0,0,7
2022-10-22,8,1,0,5
2022-10-23,12,1,1,10
2022-10-24,9,2,0,9
2022-10-25,7,3,0,6
2022-10-26,7,2,0,5
2022-10-27,2,1,0,1
2022-10-28,6,1,1,4
2022-10-29,7,1,0,5
2022-10-30,3,0,0,1
2022-10-31,3,1,0,1
2022-11-01,10,1,0,7
2022-11-02,9,1,0,6
2022-11-03,4,2,0,3
2022-11-04,6,1,1,4
2022-11-05,2,2,1,1
2022-11-06,6,3,1,5
2022-11-07,3,-1,0,3
2022-11-08,3,0,0,2
2022-11-09,7,0,0,7
2022-11-10,10,2,1,9
2022-11-11,4,-1,0,4
2022-11-12,5,0,0,4
2022-11-13,7,2,0,3
2022-11-14,6,0,0,6
2022-11-15,3,2,0,2
2022-11-16,9,2,0,6
2022-11-17,7,1,0,4
2022-11-18,7,0,0,7
2022-11-19,6,2,0,4
2022-11-20,3,0,0,3
2022-11-21,7,0,0,6
2022-11-22,4,0,0,2
2022-11-23,5,0,0,4
2022-11-24,5,1,0,4
2022-11-25,6,2,0,4
2022-11-26,10,0,0,8
2022-11-27,10,1,0,4
2022-11-28,4,1,0,2
2022-11-29,6,2,1,6
2022-11-30,4,-1,0,3
2022-12-01,8,1,0,7
2022-12-02,12,0,0,6
2022-12-03,5,4,0,2
2022-12-04,8,3,1,3
2022-12-05,4,0,0,4
2022-12-06,11,1,0,9
2022-12-07,7,0,0,7
2022-12-08,7,1,0,5
2022-12-09,5,1,0,4
2022-12-10,6,1,0,4
2022-12-11,11,0,0,10
2022-12-12,5,-1,0,5
2022-12-13,8,0,0,6
2022-12-14,7,1,0,6
2022-12-15,7,1,0,4
2022-12-16,7,0,0,7
2022-12-17,4,0,0,4
2022-12-18,7,1,0,5
2022-12-19,6,0,0,4
2022-12-20,2,0,0,2
2022-12-21,3,2,1,1
2022-12-22,5,0,0,3
2022-12-23,8,1,0,5
2022-12-24,1,0,0,1
2022-12-25,7,1,0,4
2022-12-26,12,1,1,9
2022-12-27,17,0,0,12
2022-12-28,7,2,0,4
2022-12-29,13,3,0,12
2022-12-30,8,0,0,7
2022-12-31,9,2,0,7
2023-01-01,29,1,0,21
2023-01-02,14,1,1,8
2023-01-03,12,3,0,9
2023-01-04,10,3,0,9
2023-01-05,11,4,0,9
2023-01-06,14,3,1,9
2023-01-07,10,1,1,3
2023-01-08,11,2,0,9
2023-01-09,14,4,0,10
2023-01-10,8,2,0,6
2023-01-11,8,2,0,7
2023-01-12,12,0,0,11
2023-01-13,5,0,0,4
2023-01-14,6,0,0,5
2023-01-15,12,3,0,6
2023-01-16,3,2,0,2
2023-01-17,8,0,0,7
2023-01-18,9,0,0,6
2023-01-19,10,1,0,8
2023-01-20,4,0,0,4
2023-01-21,11,2,0,6
2023-01-22,3,2,0,2
2023-01-23,14,2,0,11
2023-01-24,4,0,0,3
2023-01-25,10,1,1,6
2023-01-26,10,2,1,8
2023-01-27,9,1,0,7
2023-01-28,7,1,0,6
2023-01-29,14,-1,0,10
2023-01-30,9,2,1,6
2023-01-31,1,1,0,1
2023-02-01,4,0,0,3
