date,added,ratings,reviews,to-read
2022-08-16,42,15,2,20
2022-08-17,38,10,0,19
2022-08-18,33,17,1,16
2022-08-19,43,12,2,19
2022-08-20,51,21,1,23
2022-08-21,38,7,1,26
2022-08-22,43,25,0,16
2022-08-23,36,18,1,15
2022-08-24,48,18,0,22
2022-08-25,36,22,1,18
2022-08-26,26,9,0,12
2022-08-27,40,15,0,18
2022-08-28,48,19,1,18
2022-08-29,28,14,1,16
2022-08-30,42,18,0,13
2022-08-31,32,9,1,11
2022-09-01,26,5,0,18
2022-09-02,28,5,1,17
2022-09-03,30,2,0,16
2022-09-04,30,7,0,17
2022-09-05,23,9,2,19
2022-09-06,34,4,1,18
2022-09-07,27,9,0,10
2022-09-08,23,5,0,13
2022-09-09,23,6,2,11
2022-09-10,19,3,0,10
2022-09-11,30,8,2,17
2022-09-12,25,2,0,14
2022-09-13,27,6,1,14
2022-09-14,17,1,0,14
2022-09-15,25,9,1,15
2022-09-16,24,6,0,12
2022-09-17,32,11,2,14
2022-09-18,19,5,0,12
2022-09-19,16,6,1,9
2022-09-20,28,10,3,16
2022-09-21,22,5,-1,14
2022-09-22,19,7,2,13
2022-09-23,22,-6,1,16
2022-09-24,24,5,0,11
2022-09-25,35,6,0,17
2022-09-26,14,-10,1,11
2022-09-27,32,-12,2,16
2022-09-28,35,-10,1,19
2022-09-29,31,-19,1,22
2022-09-30,28,6,0,12
2022-10-01,24,12,0,11
2022-10-02,24,5,0,16
2022-10-03,17,6,0,12
2022-10-04,28,4,0,18
2022-10-05,18,3,0,14
2022-10-06,27,6,0,14
2022-10-07,25,9,-1,13
2022-10-08,33,4,1,20
2022-10-09,41,6,0,23
2022-10-10,39,7,1,22
2022-10-11,36,6,1,22
2022-10-12,25,2,0,17
2022-10-13,28,4,0,19
2022-10-14,25,5,0,12
2022-10-15,24,3,0,14
2022-10-16,46,2,1,25
2022-10-17,27,4,1,14
2022-10-18,22,1,0,14
2022-10-19,31,4,1,14
2022-10-20,22,15,3,13
2022-10-21,19,2,0,12
2022-10-22,29,3,1,17
2022-10-23,37,-8,0,27
2022-10-24,39,0,0,15
2022-10-25,23,-12,1,14
2022-10-26,21,5,0,17
2022-10-27,26,4,1,14
2022-10-28,22,11,2,11
2022-10-29,24,7,0,10
2022-10-30,28,1,2,18
2022-10-31,27,-5,2,14
2022-11-01,31,6,0,20
2022-11-02,38,5,0,27
2022-11-03,26,3,0,10
2022-11-04,22,2,0,12
2022-11-05,35,9,0,23
2022-11-06,33,9,2,17
2022-11-07,36,9,1,19
2022-11-08,27,4,0,16
2022-11-09,27,3,0,14
2022-11-10,25,5,1,19
2022-11-11,26,1,0,18
2022-11-12,36,9,2,21
2022-11-13,42,11,1,22
2022-11-14,35,8,1,17
2022-11-15,28,7,0,18
2022-11-16,15,4,0,10
2022-11-17,20,6,1,16
2022-11-18,26,3,1,15
2022-11-19,35,9,2,22
2022-11-20,33,10,2,17
2022-11-21,16,2,0,10
2022-11-22,41,8,0,31
2022-11-23,28,8,0,16
2022-11-24,29,4,1,23
2022-11-25,24,2,0,18
2022-11-26,31,3,0,21
2022-11-27,41,6,1,27
2022-11-28,33,7,0,17
2022-11-29,29,7,2,20
2022-11-30,29,6,0,18
2022-12-01,28,9,1,12
2022-12-02,28,4,0,17
2022-12-03,36,4,0,26
2022-12-04,41,4,0,30
2022-12-05,32,7,1,20
2022-12-06,23,1,0,15
2022-12-07,25,1,-1,16
2022-12-08,35,10,1,18
2022-12-09,33,10,0,20
2022-12-10,37,4,1,20
2022-12-11,27,10,0,16
2022-12-12,31,6,1,19
2022-12-13,32,7,2,19
2022-12-14,16,4,1,10
2022-12-15,29,5,0,14
2022-12-16,26,5,0,19
2022-12-17,41,4,0,22
2022-12-18,29,5,0,13
2022-12-19,25,6,1,19
2022-12-20,39,6,1,26
2022-12-21,32,4,0,22
2022-12-22,24,5,0,17
2022-12-23,42,9,2,23
2022-12-24,27,5,0,17
2022-12-25,32,14,1,16
2022-12-26,42,8,0,26
2022-12-27,33,2,0,23
2022-12-28,50,8,1,30
2022-12-29,38,10,0,26
2022-12-30,46,15,1,23
2022-12-31,45,8,0,27
2023-01-01,78,5,1,49
2023-01-02,89,8,0,59
2023-01-03,75,8,1,50
2023-01-04,45,10,1,27
2023-01-05,65,13,2,42
2023-01-06,60,16,3,28
2023-01-07,53,6,0,39
2023-01-08,63,12,1,38
2023-01-09,55,8,1,32
2023-01-10,50,11,1,35
2023-01-11,39,5,0,31
2023-01-12,40,-22,1,25
2023-01-13,46,-64,2,28
2023-01-14,35,5,0,17
2023-01-15,44,12,0,28
2023-01-16,37,4,1,23
2023-01-17,39,1,2,26
2023-01-18,32,10,0,16
2023-01-19,48,6,0,39
2023-01-20,19,4,1,11
2023-01-21,38,9,1,21
2023-01-22,39,8,1,28
2023-01-23,41,4,0,23
2023-01-24,33,6,1,21
2023-01-25,42,8,0,25
2023-01-26,28,6,0,13
2023-01-27,30,3,0,18
2023-01-28,39,8,1,27
2023-01-29,57,14,0,31
2023-01-30,28,7,0,21
2023-01-31,32,5,0,22
2023-02-01,38,8,1,16
