date,added,ratings,reviews,to-read
2022-08-16,29,4,0,18
2022-08-17,36,15,1,13
2022-08-18,31,17,1,9
2022-08-19,36,19,2,9
2022-08-20,39,17,0,15
2022-08-21,20,10,0,6
2022-08-22,32,13,0,10
2022-08-23,35,16,3,13
2022-08-24,23,12,0,6
2022-08-25,26,14,0,8
2022-08-26,35,8,2,16
2022-08-27,22,9,1,7
2022-08-28,40,15,2,15
2022-08-29,34,15,4,17
2022-08-30,21,14,0,6
2022-08-31,25,8,0,7
2022-09-01,26,8,0,15
2022-09-02,18,5,1,10
2022-09-03,16,2,0,7
2022-09-04,29,7,0,15
2022-09-05,19,4,0,6
2022-09-06,12,4,0,5
2022-09-07,22,1,1,10
2022-09-08,24,7,1,11
2022-09-09,15,2,0,5
2022-09-10,22,3,0,10
2022-09-11,17,3,0,12
2022-09-12,25,4,0,13
2022-09-13,20,10,1,6
2022-09-14,17,6,0,9
2022-09-15,21,2,0,11
2022-09-16,27,9,1,13
2022-09-17,24,4,0,14
2022-09-18,17,4,1,9
2022-09-19,25,3,1,11
2022-09-20,24,7,2,13
2022-09-21,14,4,1,4
2022-09-22,14,3,1,9
2022-09-23,17,-15,-1,7
2022-09-24,17,4,1,9
2022-09-25,22,2,0,9
2022-09-26,15,2,0,7
2022-09-27,21,-14,0,8
2022-09-28,24,-13,0,14
2022-09-29,21,-24,0,14
2022-09-30,19,0,0,9
2022-10-01,25,6,1,9
2022-10-02,31,5,0,14
2022-10-03,19,8,1,8
2022-10-04,24,4,1,8
2022-10-05,14,7,0,7
2022-10-06,29,7,0,16
2022-10-07,22,7,1,8
2022-10-08,20,3,0,10
2022-10-09,27,3,1,11
2022-10-10,21,8,1,11
2022-10-11,18,4,1,12
2022-10-12,18,2,0,4
2022-10-13,14,3,1,9
2022-10-14,16,-1,0,10
2022-10-15,27,6,0,11
2022-10-16,18,1,2,10
2022-10-17,22,-4,1,13
2022-10-18,24,4,0,11
2022-10-19,17,6,0,5
2022-10-20,18,4,0,7
2022-10-21,17,5,1,8
2022-10-22,14,2,0,8
2022-10-23,17,-1,0,7
2022-10-24,15,-4,0,7
2022-10-25,18,-15,0,9
2022-10-26,14,2,0,8
2022-10-27,17,8,1,4
2022-10-28,18,6,1,10
2022-10-29,18,0,0,11
2022-10-30,30,3,0,15
2022-10-31,19,-5,1,9
2022-11-01,14,3,0,8
2022-11-02,22,5,-1,9
2022-11-03,16,3,1,7
2022-11-04,19,6,0,7
2022-11-05,23,6,1,12
2022-11-06,36,4,1,18
2022-11-07,29,6,2,8
2022-11-08,25,6,0,12
2022-11-09,20,2,1,15
2022-11-10,19,5,1,12
2022-11-11,26,6,1,13
2022-11-12,20,2,0,14
2022-11-13,25,3,0,15
2022-11-14,25,4,1,15
2022-11-15,26,5,1,14
2022-11-16,13,4,0,7
2022-11-17,18,5,0,12
2022-11-18,22,8,0,9
2022-11-19,18,3,0,11
2022-11-20,23,8,0,8
2022-11-21,11,3,0,5
2022-11-22,22,3,1,12
2022-11-23,17,2,0,7
2022-11-24,18,4,1,10
2022-11-25,15,7,0,7
2022-11-26,21,2,0,12
2022-11-27,22,4,0,12
2022-11-28,17,-1,1,7
2022-11-29,16,4,0,6
2022-11-30,17,9,1,7
2022-12-01,18,5,0,6
2022-12-02,23,5,0,8
2022-12-03,19,8,1,9
2022-12-04,23,7,0,9
2022-12-05,22,1,0,12
2022-12-06,13,3,0,4
2022-12-07,11,3,0,6
2022-12-08,16,4,0,7
2022-12-09,22,3,1,7
2022-12-10,28,7,0,19
2022-12-11,38,0,-1,27
2022-12-12,26,6,0,18
2022-12-13,15,1,0,8
2022-12-14,27,5,0,12
2022-12-15,27,9,0,13
2022-12-16,20,10,1,9
2022-12-17,22,7,-1,11
2022-12-18,20,3,0,10
2022-12-19,16,5,0,6
2022-12-20,21,2,0,15
2022-12-21,35,5,1,17
2022-12-22,17,7,1,3
2022-12-23,23,6,0,6
2022-12-24,30,3,1,18
2022-12-25,34,5,2,15
2022-12-26,42,8,0,17
2022-12-27,35,12,0,21
2022-12-28,39,15,1,12
2022-12-29,38,18,1,10
2022-12-30,52,10,0,23
2022-12-31,36,9,0,20
2023-01-01,51,7,-1,25
2023-01-02,56,16,1,24
2023-01-03,54,17,2,23
2023-01-04,44,4,0,20
2023-01-05,41,13,1,19
2023-01-06,38,14,2,12
2023-01-07,41,14,0,13
2023-01-08,34,11,1,16
2023-01-09,44,4,1,22
2023-01-10,48,13,0,15
2023-01-11,29,9,1,11
2023-01-12,39,-25,0,14
2023-01-13,43,-56,2,18
2023-01-14,42,9,1,15
2023-01-15,40,14,1,18
2023-01-16,45,10,0,20
2023-01-17,37,12,1,18
2023-01-18,33,5,1,15
2023-01-19,29,6,1,14
2023-01-20,23,7,0,17
2023-01-21,31,4,0,9
2023-01-22,46,13,1,15
2023-01-23,34,11,1,14
2023-01-24,43,14,2,21
2023-01-25,31,8,0,11
2023-01-26,29,6,0,14
2023-01-27,17,5,0,7
2023-01-28,33,5,0,12
2023-01-29,40,7,2,16
2023-01-30,25,11,1,11
2023-01-31,23,4,0,10
2023-02-01,36,3,0,14
