date,added,ratings,reviews,to-read
2022-08-16,54,23,2,23
2022-08-17,68,23,0,26
2022-08-18,65,23,1,33
2022-08-19,111,15,2,74
2022-08-20,63,21,1,24
2022-08-21,84,23,2,39
2022-08-22,64,11,-1,34
2022-08-23,68,25,2,25
2022-08-24,74,23,0,14
2022-08-25,55,29,2,27
2022-08-26,53,17,0,23
2022-08-27,61,26,1,23
2022-08-28,67,17,1,27
2022-08-29,54,27,1,17
2022-08-30,58,26,3,25
2022-08-31,56,27,2,26
2022-09-01,49,8,0,27
2022-09-02,40,9,2,13
2022-09-03,49,15,1,27
2022-09-04,60,13,1,35
2022-09-05,50,17,0,22
2022-09-06,41,12,1,10
2022-09-07,51,17,1,25
2022-09-08,40,13,3,18
2022-09-09,35,15,1,17
2022-09-10,49,15,0,20
2022-09-11,48,16,0,26
2022-09-12,52,18,0,25
2022-09-13,47,16,1,20
2022-09-14,27,7,0,16
2022-09-15,42,10,0,26
2022-09-16,46,11,2,20
2022-09-17,48,16,3,19
2022-09-18,63,11,3,35
2022-09-19,56,15,2,23
2022-09-20,34,10,1,19
2022-09-21,39,10,0,21
2022-09-22,46,10,1,21
2022-09-23,42,-9,1,17
2022-09-24,49,10,2,24
2022-09-25,46,17,2,23
2022-09-26,46,3,1,21
2022-09-27,42,-14,1,15
2022-09-28,58,-30,3,25
2022-09-29,31,-38,0,21
2022-09-30,46,9,0,28
2022-10-01,34,8,0,12
2022-10-02,60,17,2,28
2022-10-03,52,8,1,24
2022-10-04,57,20,1,18
2022-10-05,32,18,0,9
2022-10-06,53,15,1,25
2022-10-07,44,13,0,24
2022-10-08,43,14,0,13
2022-10-09,55,19,1,22
2022-10-10,45,11,1,27
2022-10-11,43,11,0,23
2022-10-12,37,10,0,17
2022-10-13,35,8,1,23
2022-10-14,49,5,1,28
2022-10-15,56,12,0,25
2022-10-16,47,-9,1,24
2022-10-17,36,-9,2,13
2022-10-18,53,8,1,27
2022-10-19,68,15,3,30
2022-10-20,32,10,1,14
2022-10-21,43,6,1,20
2022-10-22,38,7,0,14
2022-10-23,56,-18,0,19
2022-10-24,40,-15,1,15
2022-10-25,42,-20,3,22
2022-10-26,35,17,0,16
2022-10-27,48,15,1,25
2022-10-28,51,11,0,21
2022-10-29,45,12,0,18
2022-10-30,44,3,2,17
2022-10-31,47,-1,1,24
2022-11-01,58,15,1,30
2022-11-02,50,9,4,25
2022-11-03,43,1,1,21
2022-11-04,39,8,1,21
2022-11-05,43,9,2,16
2022-11-06,57,16,2,27
2022-11-07,55,20,1,25
2022-11-08,48,15,2,22
2022-11-09,68,19,1,36
2022-11-10,38,14,1,20
2022-11-11,37,7,0,12
2022-11-12,41,16,0,18
2022-11-13,52,10,0,24
2022-11-14,68,19,3,28
2022-11-15,41,15,2,21
2022-11-16,61,21,3,22
2022-11-17,42,76,6,22
2022-11-18,48,12,0,19
2022-11-19,65,14,3,34
2022-11-20,62,22,2,21
2022-11-21,47,20,1,26
2022-11-22,38,14,3,19
2022-11-23,47,14,2,22
2022-11-24,37,8,0,15
2022-11-25,40,30,5,13
2022-11-26,43,9,0,21
2022-11-27,69,36,4,19
2022-11-28,44,16,2,25
2022-11-29,71,12,0,35
2022-11-30,60,17,3,34
2022-12-01,54,13,1,22
2022-12-02,60,13,0,35
2022-12-03,64,21,8,26
2022-12-04,57,16,2,25
2022-12-05,51,20,2,22
2022-12-06,61,12,4,29
2022-12-07,38,16,2,18
2022-12-08,49,10,2,26
2022-12-09,51,12,0,23
2022-12-10,38,22,1,17
2022-12-11,73,16,1,32
2022-12-12,42,21,2,24
2022-12-13,60,17,1,27
2022-12-14,48,22,0,20
2022-12-15,47,10,1,22
2022-12-16,50,11,2,20
2022-12-17,58,13,1,25
2022-12-18,47,12,3,22
2022-12-19,59,24,0,30
2022-12-20,66,24,2,27
2022-12-21,58,29,5,23
2022-12-22,44,10,1,27
2022-12-23,57,17,0,28
2022-12-24,55,9,3,31
2022-12-25,100,15,0,64
2022-12-26,110,18,1,74
2022-12-27,112,20,1,61
2022-12-28,203,31,1,138
2022-12-29,185,27,6,139
2022-12-30,197,38,3,123
2022-12-31,170,48,7,90
2023-01-01,227,30,3,152
2023-01-02,259,35,4,170
2023-01-03,176,45,3,102
2023-01-04,138,37,3,79
2023-01-05,155,41,4,90
2023-01-06,118,23,-1,69
2023-01-07,123,27,1,60
2023-01-08,148,39,5,82
2023-01-09,105,24,3,56
2023-01-10,109,30,2,50
2023-01-11,78,31,1,44
2023-01-12,115,-8,3,69
2023-01-13,87,-45,2,45
2023-01-14,111,21,3,66
2023-01-15,126,19,2,80
2023-01-16,134,17,1,83
2023-01-17,123,32,2,72
2023-01-18,113,23,2,72
2023-01-19,117,27,4,59
2023-01-20,97,25,1,67
2023-01-21,89,21,2,50
2023-01-22,113,22,1,56
2023-01-23,113,29,1,61
2023-01-24,94,28,0,51
2023-01-25,80,23,2,37
2023-01-26,99,30,2,48
2023-01-27,73,16,2,36
2023-01-28,91,15,4,44
2023-01-29,92,18,0,56
2023-01-30,126,23,1,83
2023-01-31,153,24,3,97
2023-02-01,135,25,0,90
