date,added,ratings,reviews,to-read
2022-08-16,38,26,1,16
2022-08-17,49,19,0,16
2022-08-18,17,14,0,4
2022-08-19,30,8,0,15
2022-08-20,30,8,0,18
2022-08-21,22,13,0,6
2022-08-22,30,12,0,14
2022-08-23,34,15,1,17
2022-08-24,31,9,0,10
2022-08-25,34,17,1,18
2022-08-26,33,13,1,10
2022-08-27,27,15,0,8
2022-08-28,40,13,0,12
2022-08-29,31,7,0,11
2022-08-30,44,21,0,16
2022-08-31,24,11,0,10
2022-09-01,16,3,1,8
2022-09-02,13,6,0,4
2022-09-03,25,4,0,12
2022-09-04,22,4,0,11
2022-09-05,24,6,0,10
2022-09-06,28,4,0,17
2022-09-07,35,4,0,21
2022-09-08,18,0,0,8
2022-09-09,18,3,0,8
2022-09-10,11,1,0,7
2022-09-11,21,4,0,13
2022-09-12,37,7,0,21
2022-09-13,17,3,0,9
2022-09-14,17,7,0,10
2022-09-15,17,4,0,8
2022-09-16,24,8,2,15
2022-09-17,20,5,0,9
2022-09-18,9,5,0,7
2022-09-19,20,6,0,7
2022-09-20,13,6,0,7
2022-09-21,18,3,1,15
2022-09-22,17,4,0,12
2022-09-23,15,-33,0,10
2022-09-24,26,6,0,12
2022-09-25,25,6,0,15
2022-09-26,22,-34,1,12
2022-09-27,25,-40,0,15
2022-09-28,30,-50,0,17
2022-09-29,16,-102,0,8
2022-09-30,17,7,3,8
2022-10-01,21,3,0,13
2022-10-02,26,-3,0,16
2022-10-03,19,-3,0,8
2022-10-04,32,6,0,17
2022-10-05,16,6,0,7
2022-10-06,21,0,0,15
2022-10-07,20,4,0,11
2022-10-08,17,9,1,8
2022-10-09,30,-1,1,18
2022-10-10,24,6,0,17
2022-10-11,19,2,1,8
2022-10-12,22,1,0,11
2022-10-13,15,7,0,8
2022-10-14,16,-1,0,10
2022-10-15,18,0,0,11
2022-10-16,20,-11,0,9
2022-10-17,30,-21,0,11
2022-10-18,25,-9,0,13
2022-10-19,24,3,1,13
2022-10-20,24,3,0,12
2022-10-21,17,0,0,10
2022-10-22,19,0,0,10
2022-10-23,23,-35,0,12
2022-10-24,23,-60,0,11
2022-10-25,12,-153,0,4
2022-10-26,20,8,0,7
2022-10-27,20,4,0,5
2022-10-28,13,3,0,8
2022-10-29,21,-1,0,15
2022-10-30,16,-11,1,8
2022-10-31,15,-29,0,10
2022-11-01,18,-1,0,9
2022-11-02,35,10,0,19
2022-11-03,19,0,0,14
2022-11-04,18,4,1,8
2022-11-05,29,8,1,15
2022-11-06,34,8,2,15
2022-11-07,19,6,0,11
2022-11-08,24,5,0,11
2022-11-09,18,-203,-12,11
2022-11-10,17,7,0,5
2022-11-11,22,5,0,10
2022-11-12,24,3,1,15
2022-11-13,20,4,0,11
2022-11-14,20,6,0,9
2022-11-15,19,7,1,13
2022-11-16,25,5,0,14
2022-11-17,17,5,0,7
2022-11-18,19,2,0,9
2022-11-19,22,5,0,11
2022-11-20,24,10,0,13
2022-11-21,17,5,0,10
2022-11-22,21,0,0,10
2022-11-23,14,6,0,4
2022-11-24,17,3,0,10
2022-11-25,25,5,0,13
2022-11-26,23,5,0,12
2022-11-27,23,6,1,11
2022-11-28,21,4,0,7
2022-11-29,17,3,0,9
2022-11-30,29,4,1,12
2022-12-01,17,8,0,9
2022-12-02,26,5,0,20
2022-12-03,18,6,1,3
2022-12-04,18,2,0,6
2022-12-05,22,5,0,9
2022-12-06,14,6,0,8
2022-12-07,20,6,0,10
2022-12-08,17,2,1,11
2022-12-09,18,7,0,8
2022-12-10,26,6,0,13
2022-12-11,24,6,0,13
2022-12-12,22,5,1,13
2022-12-13,25,3,0,13
2022-12-14,17,6,0,9
2022-12-15,24,4,0,16
2022-12-16,22,2,0,9
2022-12-17,25,5,0,17
2022-12-18,26,3,1,16
2022-12-19,14,3,0,5
2022-12-20,20,10,1,16
2022-12-21,14,0,1,10
2022-12-22,22,3,0,13
2022-12-23,27,10,0,9
2022-12-24,17,3,0,7
2022-12-25,27,8,0,13
2022-12-26,31,7,2,18
2022-12-27,29,6,0,18
2022-12-28,35,8,1,20
2022-12-29,41,3,1,21
2022-12-30,40,12,0,20
2022-12-31,37,16,2,14
2023-01-01,62,9,0,25
2023-01-02,65,17,0,30
2023-01-03,52,8,0,31
2023-01-04,52,7,1,33
2023-01-05,53,12,1,26
2023-01-06,38,8,1,17
2023-01-07,45,9,1,25
2023-01-08,49,13,0,31
2023-01-09,49,8,1,27
2023-01-10,34,6,0,21
2023-01-11,33,11,0,15
2023-01-12,32,-101,0,19
2023-01-13,32,-132,0,19
2023-01-14,27,4,0,16
2023-01-15,44,6,0,21
2023-01-16,34,4,0,17
2023-01-17,40,11,0,19
2023-01-18,25,6,1,16
2023-01-19,34,12,0,23
2023-01-20,25,9,1,17
2023-01-21,39,5,1,26
2023-01-22,32,3,0,17
2023-01-23,43,3,0,28
2023-01-24,31,8,1,12
2023-01-25,43,10,2,25
2023-01-26,31,9,0,16
2023-01-27,31,6,1,13
2023-01-28,31,4,0,18
2023-01-29,30,8,1,15
2023-01-30,32,9,1,18
2023-01-31,26,7,1,16
2023-02-01,31,5,1,16
