date,added,ratings,reviews,to-read
2022-08-16,319,84,4,173
2022-08-17,293,62,4,135
2022-08-18,208,56,4,127
2022-08-19,215,38,1,111
2022-08-20,232,60,4,118
2022-08-21,290,62,4,140
2022-08-22,264,64,3,120
2022-08-23,268,67,3,135
2022-08-24,248,55,4,125
2022-08-25,191,78,3,116
2022-08-26,179,48,4,88
2022-08-27,209,46,5,94
2022-08-28,232,62,5,100
2022-08-29,243,61,2,92
2022-08-30,300,89,5,132
2022-08-31,249,68,9,118
2022-09-01,230,36,4,120
2022-09-02,196,52,4,98
2022-09-03,200,53,4,98
2022-09-04,231,57,1,111
2022-09-05,212,79,8,114
2022-09-06,272,53,8,135
2022-09-07,231,50,4,113
2022-09-08,211,51,7,95
2022-09-09,178,48,2,85
2022-09-10,227,42,4,117
2022-09-11,197,65,3,117
2022-09-12,218,62,6,93
2022-09-13,265,60,9,132
2022-09-14,247,59,9,118
2022-09-15,171,55,4,94
2022-09-16,155,50,7,72
2022-09-17,195,34,2,100
2022-09-18,257,58,3,119
2022-09-19,234,72,4,89
2022-09-20,167,66,8,92
2022-09-21,185,58,6,104
2022-09-22,183,39,4,86
2022-09-23,190,24,4,106
2022-09-24,199,36,6,104
2022-09-25,246,49,6,128
2022-09-26,231,41,7,138
2022-09-27,212,23,7,99
2022-09-28,192,-9,4,91
2022-09-29,177,-32,5,91
2022-09-30,165,43,3,77
2022-10-01,170,43,2,77
2022-10-02,205,51,6,100
2022-10-03,252,49,1,119
2022-10-04,220,58,2,108
2022-10-05,168,50,4,95
2022-10-06,208,42,1,99
2022-10-07,165,45,3,72
2022-10-08,182,50,1,85
2022-10-09,193,46,8,95
2022-10-10,236,57,9,117
2022-10-11,200,58,4,90
2022-10-12,224,58,4,112
2022-10-13,169,47,7,103
2022-10-14,173,48,3,86
2022-10-15,169,42,2,72
2022-10-16,234,40,3,111
2022-10-17,219,34,5,106
2022-10-18,239,45,8,112
2022-10-19,236,47,5,115
2022-10-20,222,53,2,105
2022-10-21,152,40,3,68
2022-10-22,172,29,2,74
2022-10-23,209,46,5,99
2022-10-24,205,43,5,97
2022-10-25,189,40,10,109
2022-10-26,219,40,3,106
2022-10-27,167,41,4,75
2022-10-28,152,39,4,74
2022-10-29,131,36,3,62
2022-10-30,248,41,2,136
2022-10-31,194,49,7,103
2022-11-01,193,43,5,78
2022-11-02,207,55,4,111
2022-11-03,195,41,2,85
2022-11-04,151,35,1,79
2022-11-05,200,53,3,99
2022-11-06,233,59,3,105
2022-11-07,221,61,7,100
2022-11-08,214,47,2,94
2022-11-09,180,57,7,87
2022-11-10,183,46,3,82
2022-11-11,172,34,6,85
2022-11-12,185,53,7,91
2022-11-13,229,49,4,111
2022-11-14,241,58,3,111
2022-11-15,185,59,6,78
2022-11-16,197,49,2,89
2022-11-17,133,53,5,75
2022-11-18,149,35,3,75
2022-11-19,168,52,2,83
2022-11-20,232,59,6,102
2022-11-21,172,45,2,86
2022-11-22,176,58,4,81
2022-11-23,209,42,2,107
2022-11-24,143,40,4,62
2022-11-25,181,43,3,92
2022-11-26,187,38,2,81
2022-11-27,240,71,7,105
2022-11-28,255,65,1,115
2022-11-29,195,60,3,112
2022-11-30,246,64,6,126
2022-12-01,211,51,7,105
2022-12-02,185,60,8,90
2022-12-03,215,42,2,96
2022-12-04,250,69,5,113
2022-12-05,237,45,2,123
2022-12-06,240,59,5,127
2022-12-07,177,58,7,115
2022-12-08,225,46,6,101
2022-12-09,188,48,6,94
2022-12-10,161,35,2,74
2022-12-11,227,53,5,101
2022-12-12,257,68,8,113
2022-12-13,236,67,9,117
2022-12-14,235,70,6,104
2022-12-15,214,69,6,94
2022-12-16,187,51,3,86
2022-12-17,230,56,4,111
2022-12-18,244,69,9,105
2022-12-19,222,60,7,98
2022-12-20,228,76,6,130
2022-12-21,244,63,6,106
2022-12-22,256,64,4,122
2022-12-23,245,65,5,110
2022-12-24,203,67,5,90
2022-12-25,266,59,2,124
2022-12-26,354,89,9,175
2022-12-27,354,97,9,170
2022-12-28,381,101,3,187
2022-12-29,271,97,6,154
2022-12-30,417,110,2,187
2022-12-31,376,129,12,156
2023-01-01,642,81,4,331
2023-01-02,734,176,8,376
2023-01-03,569,126,7,298
2023-01-04,417,130,13,237
2023-01-05,459,110,6,226
2023-01-06,347,84,11,200
2023-01-07,380,88,7,175
2023-01-08,487,119,10,243
2023-01-09,386,107,9,184
2023-01-10,452,84,7,218
2023-01-11,304,77,7,173
2023-01-12,329,5,10,164
2023-01-13,295,-29,6,144
2023-01-14,320,81,7,156
2023-01-15,344,76,7,171
2023-01-16,448,91,8,224
2023-01-17,333,111,14,150
2023-01-18,348,86,7,189
2023-01-19,304,68,8,162
2023-01-20,221,62,9,141
2023-01-21,309,70,6,158
2023-01-22,388,89,10,183
2023-01-23,361,87,6,177
2023-01-24,349,86,6,169
2023-01-25,353,90,9,167
2023-01-26,293,75,9,151
2023-01-27,234,51,4,115
2023-01-28,289,58,4,153
2023-01-29,369,87,6,176
2023-01-30,261,86,7,151
2023-01-31,248,96,10,156
2023-02-01,236,75,8,138
