Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
51660,Food of the Gods The Search for the Original Tree of Knowledge,Andy,32,32,1,"February 3, 2019","This book is trash.I picked up this book because of an interest in drug culture and history. The premise sounds interesting enough: we stopped doing shrooms and got worse as a society.I'll summarize the book in case the premise sounds interesting to you, so you can get the gist without reading it: - Some ancient cultures used mushrooms. - Lots of cultures MAY have used mushrooms but we'll never know - Mushrooms may have helped the human brain evolve and help us evolve language - Ancient orgies on mushrooms are good for society because they dissolve social boundaries - He goes into a history of sugar and says it's just as addictive as heroin.  - He goes into a history of lsd, cocaine, dmt, heroin, tea. - He suggests we have become male dominated, loss of feminine societies because we removed drugs from everyday societyThe wikipedia article on shrooms is far more interesting than this book, and better written. That's right, a wikipedia article is more coherent than this book. That should send you running.Terence will present a pseudo idea, and then ramble off into barely related topics until you want to die. It is a chore to read. Instead of any kind of solid research, he glues together tangents into a a rickety web of boredom.Let's look at an example gem from Terence's writing:""The drive for unitary wholeness within the psyche, which is to a degree instinctual, can nevertheless become pathological if pursued in a context in which dissolution of boundaries and rediscovery of the ground of being has been made impossible.""Did you zone out while reading that sentence? Imagine 300 pages of that. He has a remarkable way of presenting ideas in a fog of poor writing. It's the same style of writing as a highschooler with a thin grasp of an essay topic and too much access to a thesaurus. It's as if Terence knows his ideas don't hold much water, so he throws in as many slightly related things as possible to make it look like he has a solid theory. The worst is when he gets into his own head without relying on any external sources. When that happens, expect to be liberally skipping paragraphs.This book suffers terribly from not having an editor. Easily 90% could be cut out and not lose any substance. And once you realize that Terence can't even provide interesting accounts of drug trips, you start to think very hard about your life and why you're 200 pages deep in hell.Some of his theories, like mushrooms helping our brains evolve language, are completely unfounded, and he has no research to back it up. This would be fine if he didn't devote dozens of rambling pages to them.You should also probably know that Terence McKenna stopped doing mushrooms in 1998 after a bad trip.To get a full understand of how poor of a communicator Terence is, listen to him speak. Some of his lectures are online. If you can suffer through it, I dare you to try to come up with one thing you learned from hearing him speak. Anyone who claims he is an eloquent speaker, or that the audio book is better, has been tricked by Terence's ability to ramble for hours, and isn't aware they aren't learning anything and that he has no coherent ideas.I don't think ideas about mushrooms and societal integration are bad. I started reading to become more familiar with drug culture and history and potential good uses of psychedelics. But 10 pages in I regretted it. If you think you enjoyed the book then you haven't read any good nonfiction. Compared to persuasive, organized, well researched, non fiction books, Food of the Gods is a pile of trash.",169,54
51660,Food of the Gods The Search for the Original Tree of Knowledge,Mario the lone bookwolf,733,3391,5,"February 14, 2020","The book covers a very wide range of topics, from the description of legal and illegal synthesized drugs, natural drugs, history of drug use, and it´s influence on human evolution and history. Alternative ideas of how something might have developed are always interesting and in this case, two interesting questions come to mind. First how the whole human and before primate evolution, biochemistry, neurological functions, brain development, etc., might have been shaped by coincidence or by consciously consuming certain herbs, plants, berries, mushrooms, etc and second, how this might have influenced the development of all kind of faiths and beliefs. You are what you eat, even if you are just a tiny rodent. That gets more interesting with bigger mammals and very exciting with primates, because a few hundred or thousands of years of consuming, especially during pregnancy, might have some impact. Much fresh seafood mixed with some vegetables and barely any red meat is something different than much carbohydrates, etc. That´s just the normal food and as everyone interested in what is the best fuel for ones´ engine knows, much depends on it. And now take ten thousand or even more years in which apes and human ancestors consume certain mushrooms, herbs, fruits, weed, etc., just because of its effects on the mood or the hallucinations or, most probably, as many animals do, instinctively with a not understood sense or if certain health problems occur and they have memorized the cure. Or just because they wanna get high, probably it´s one of the many reasons why we are so weird.A key element of faith might be that both, drugged shaman, witch doctor, god-emperor, whatever, and the believers experience real hallucinations, highs or, in the case of not so hard stuff, euphory and extreme happiness. No matter if they get secretly drugged by the shamans before a session or the witch doctor floats the room with psychoactive smoke, if they take it together in a ritual, they get welded together by this experience. Founders of sects could find many inspirations by getting high and getting in contact with whatever their already damaged, possibly already mentally ill and sober voice-hearing and vision seeing, minds wanted to imagine. This was often combined with climbing very high mountains, which gives extra weakening to the brain by a lack of oxygen so that the sh** can kick in like hell.The future development can be used for boosting health and longevity by improving the nourishment of the body with as much precious and not hallucinogenic elements of all holy and healthy herbs from around the world, a kind of organic wonder powder from dozens or even hundreds of everything the planet can provide. The options for pimping epigenetics and brain development are the bigger topic, because they may lead to different brain evolutions, depending on what a culture, nation or government prefers to feed to its citizens. Of course, that´s already happening with each traditional diet.Some questions kept rotating in my drug hating mind (works best when sober, although the brain is a vicious traitor who intrigues against us, look, a beer commercial, damn it ):Did some civilizations destroy themselves by overuse of drugs?How do natural substances and all those new food chemicals react with each other, let´s say a dietary mix of natural food with many ingredients, pure industry food with many additives and chemicals and some psychoactive substances out of both categories?What could genetic engineering make possible, like combining the positive or mind-altering aspects in one single plant? A cancer-preventing superweed that makes the memory better, helps to stay slim, growing muscles without exercising, hulking out,…What surprising results may the interdisciplinary field of ethnobiology find in the future both about our past development and the coming influences of what we are consuming right now, looking at you, eating or high reader. What about medical and therapeutical applications?A wiki walk can be as refreshing to the mind as a walk through nature in this completely overrated real life outside books: https://en.wikipedia.org/wiki/Medicin...https://en.wikipedia.org/wiki/List_of...",120,N/A
51660,Food of the Gods The Search for the Original Tree of Knowledge,Adam,2,1 follower,5,"February 25, 2008"," I'm not going to spend a lot of time trying to convince you why this book is FUCKING AMAZING - so you'll just have to trust me. This guy is an ethno-biologist, meaning he studies the interactions of ""substances"" and world cultures (past and present), and how the two have influenced each other; both biologically, mentally, spiritually, and culturally. This is truly a mind-fuck for those in search of knowledge; even making the (well supported) case that the original ""fruit of Eden"" was something a bit more taboo than an apple. This book includes, in one capacity or another, almost every drug known to mankind around the world - its bio-cultural effects, origin, history, chemistry, psychedelic nature, spiritual implications, and its candidacy for consideration as; what he calls: The Original Tree of Knowledge. This book goes from primate-substance relationships, through the VERY first recorded religious-substance relationships (they were mushroom worshippers), to modern-day substance relationships. FUCKING FASCINATING. I can't tell you enough. Read it if you aren't scared of knowing.",54,1 comment
51660,Food of the Gods The Search for the Original Tree of Knowledge,Nick Stibbs,21,6,4,"November 23, 2020","I first encountered McKenna in a New Age bookshop in Brighton, whilst perusing for material to flesh out an essay on Shamanism I was writing. I came home with 'The Archaic Revival', which introduced me to ideas such as the Logos (a rather more funky formulation than the Christian use of the word), the Mayan Calendar and prophecies about 2012. My humanistic psychology professor, Brian Bates, suggested that McKenna was rather difficult to deal with academically, but nevertheless I proceeded to give a talk on how I was starting to perceive that The Logos was gleaming out of the faces of the homeless on the streets of Brighton (in my case, my visionary awakening was due to rather large amounts of skunkweed being consumed). I later read 'The Invisible Landscape' on a Buddhist retreat (inventing my own programme which supplemented meditation with copious amounts of time spent reading other people's books in the dormitory).I had been aware of 'The Food of the Gods' for many, many years, but had avoided this book due to its explicit dealing with drugs (I had rather gone off them), though had lodged in my head a recommendation by a poetry teacher (Tom Sherrin) to give it a go, so a month or two ago I ordered the book, basically to get it out of the way. I must say my perception of McKenna has changed now, and although the subject material covers all kinds of substances (most of which I abstain from now ((or use very infrequently)), but most of which I have experimented with to various degrees), the writing style pleasingly mixes academic knowledge and language with a technicolour vision and writing style. I am very happy to engage with this kind of writer, who steers a multidimensional route between the dangers of a too dry, arid manner, and completely losing himself in gushy poetry. McKenna traces the evolution of humanity's relationship with drugs, according to his own historical understanding, from our early 'archaic' roots, where he posits a polyamorous, tribal, cattle-rearing psychedelic culture, which was supplanted by a more patriarchal, horse-riding, dominator society. The history of the world becomes one not of class struggle, but of substance use and repression. He is clearly down on our present-day reliance on alcohol, tobacco and TV and looks forward to a revival of the archaic period, where people, embracing a pluralistic, democratic spirit, will break through into a wider, better, more exciting and celebratory culture, in communion with a re-sacralised nature and awakened to buried dimensions of spiritual intelligence, whether in our own being, or that of elves, angels and so forth. He ends the book with a manifesto and political blueprint for how to get there, which surprisingly, from my perspective, relies on taxation in large part. He would have alcohol and tobacco taxed at 200%, with more warning of their dangers, cannabis legalised, and the rest legalised a year later. McKenna thinks popular fears of the consequences of the legalisation of drugs are analogous to Establishment fears of the eradication of slavery or emancipation of women in the past. On a philosophical note, one of my criticisms of the book is his insistence that the modern belief in the meaninglessness of the world, and also the belief that meaning is context-dependent, are both wrong. He posits God as a Wholly Other and presumably bearer of a fixed, pre-given Meaning, as revealed perhaps in psychedelic experience. I would suggest, that on analysis, it is hard to argue that meaning is not, to some degree, context-dependent, but I certainly have experienced an archetypal substratum to existence, that he may be hinting at, in which certain patterns seem to be playing out, behind the surface veil of people's lives. This would suggest that there is a structure that is pre-given, but the meaning attributed to that structure would presumably be constructed through an interactive process between the perceiver and the perceived. So, for example, a tree has a structure and pattern behind it, but different people might interpret the meaning of it, in stories or art, depending on their own perspective and the context in which the tree was presented. The World Tree or Axis Mundi is a common motif in mythological sequences, from Norse tales of Odin, to the awakening of the Buddha at the foot of the Bodhi tree, to the crucifixion of Christ which takes him down into hell and then up into heaven, spanning a vertical spectrum of consciousness - all use a similar metaphor to describe dramatic transformations and a vertical wooden presence, but framed in different ways according to the culture. My feeling is that McKenna has been so seduced by the beauty of his own psychedelic experience and the rush of information received through sometimes overwhelming revelation (see 'The Invisible Landscape') that he let his own academic rigour be swayed by the poetry of the vision. What we see, how we interpret what we see, and then how we present what we see, are three different things (and tricky, if not impossible, to tease apart the three). Brian Bates may have been correct in his warnings of McKenna's visionary glow obscuring a paucity of analytical thinking.I would also query the pre-history that he talks about, as being a rough sketch of something much more complex and varied. These things are hard to prove, but no doubt, some of early humanity liked to get high, just as many animals do, whether by accident or intention. It must be a temptation though, to project experiences of post-modern psychedelic culture and aspirations, onto a pre-modern template. On his treatment of more recent history, he doesn't really do justice to the dangers of psychedelic use, though he does recommend the establishment of a contemporary (neo-)shamanism which would guide people through their experimentation, and I wonder if his inference that intelligence services were hand in glove with criminal drug distribution cartels is quite as black and white as he states. Something I would like to research myself - I've often heard this accusation, and don't know to what extent it is true. Finally, McKenna does not talk of other methods, some explicitly shamanic/religious, such as trance-dance, fasting or meditation; others perceived as more universal, such as art and exercise, to achieve 'altered' states of consciousness. These things may be used in an ascetic culture or as compliments to drug experience. We are clearly moving into a more visual culture, a shift which has its roots in the development of photography and then film and TV, which has happened, as far as I know, independently of, or at least in parallel to, psychedelic use. The explosion in the 1960s of psychedelic use will have certainly fueled a momentum which was already happening, which has always been latent in the human psyche, and will have had periods of flourish (cave-painting, Dionysian celebration, Renaissance art), and then repression (Protestant smashing of the stained glass windows and insistence on scripture over sacraments, Taliban destruction of Buddhist statues, ISIL destruction of Palmyra, and the rest). But I think McKenna makes too strict an association between the use of drugs and visionary experience. There are more ways to crack open the egg of consciousness than he gives credit to in his book, and I wonder if he is leading people down a hippy cul de sac/dead-head end, rather than relativising drug use into just one possibility for entrance into the Age of Imagination which he prophecises.McKenna does deserve applause for his positive vision and affirmation of the value of expansion of consciousness. He is a pleasure to read and preferable to the YouTube videos which filter his rather nasal, monotonous psychedelic guru voice into your living room. A book which I imagine will be read for a long time henceforth, as different cultures work out their own balance on intoxicating substances.",35,2
51660,Food of the Gods The Search for the Original Tree of Knowledge,Hooper,48,5,4,"June 23, 2008","This book is great-much more than a treatise on ""shrooms"" and dope. Have you ever thought about the mind altering power of purified sugar, the politics of coffee, and the parallels between these and what we consider to be more dangerous drugs like cocaine?",14,N/A
51660,Food of the Gods The Search for the Original Tree of Knowledge,Marshall,403,66,1,"February 19, 2017","This guy really likes drugs. A lot. He mostly just alternates between talking about how great drugs are, giving an overview of historic cultures and people who thought drugs were great, and developing an ideology around how great drugs are.Before I rip it to shreds, I'll talk about the good points this book makes. For a society so scientifically advanced, which is devoted to objective research to understand our world and ourselves, it is strange how little we understand drugs, its effects on human beings, or why they have those effects. There is very little substantive basis for determining which specific drugs are dangerous and should be outlawed, and which are harmless or even beneficial in certain conditions. We tend to rely on public ignorance and fears to drive the drug laws, which would be funny if it wasn't for all the people in jail for no reason or dying in drug wars.Our relationship with drugs is almost one of paranoia and superstition. We outlaw things more out of fear than a clear understanding of the actual dangers. It does seem like we can learn something about human psychology and physiology by understanding drugs better, their effects, and their actual dangers. Maybe they're a portal into another dimension, contact with alien lifeforms, contact with God. And that's where this book starts to get silly. It practically turns drugs into a new religion.I recently finished a book, called  Seat of the Soul, that amazed me in how people will just dream up new ideologies based on the stuff they think is cool, and then try to rope in popular politics and modern science (especially physics and biology) to support it. This book does the same thing. These new ideologies take the generic form of: we as a species used to be awesome. But we're starting to suck because we lost our way (e.g. no longer close to the Earth or no longer spiritual). This was the fault of insert enemy group here. If we want to be really awesome and reach our true potential, then we need to follow this new ideology I just pulled out of my ass. We need to completely restructure all of society around my radical politics. If we don't, then we're doomed.It's common for them to misunderstand evolution. When you don't know what the hell you're talking about, but you want to sound like modern biology is on your side, and you want to develop a transcendent philosophy, it's tempting to assume that evolution means progress. The name evolution might sound like it implies a kind of biological progress, but that's not what it is. Darwin himself regretted the name evolution for that reason. Evolution is about being well-suited to your environment, not better or more advanced. It's not possible to be ""more"" or ""less"" evolved. Humans are not ""more"" evolved, and we certainly are not on some cosmic path of spiritual enlightenment through evolution.McKenna's philosophy is basically that human beings have evolved into a higher species because they discovered psychotropic plants and ingested a lot of them. He think drugs are great. They allowed human beings to leap ahead of other species, and it was mostly women, the plant gatherers of society, who did this. They discovered the plants, created agriculture, and developed language. But then the aggressive men got jealous of how awesome women were, and they created a patriarchal, dominator culture. Thus started a centuries-long conspiracy to suppress consciousness that continues to this day through corporate advertising and television. Because of men's bullying, we as a species suck now too. If we want to be awesome again, we need to put women in charge and take lots of drugs. Then we'll start evolving again, into something truly awesome, called the archaic revival. ""Go green or die,"" he declares.Does this line of reasoning sound familiar? Try nearly every religion every created. The fall of mankind, heaven to entice you, hell to threaten you. All of it centered around the particular values of the religion's creator(s). Do what I say, and you will be enlightened, society will be saved, etc. Defy me, and you will suffer the consequences. You can do this pretty much with anything, including taking drugs.",12,N/A
51660,Food of the Gods The Search for the Original Tree of Knowledge,Mitch Lindgren,14,1 follower,1,"February 26, 2019","I did not care for this book.There were a few parts I did like, including a wealth of historical information about the use of psychedelics in various cultures throughout history, and some interesting theories about their role in the development of both ancient and modern religions. In fact, there are many interesting theories throughout the book, the most famous of these being the ""stoned ape"" theory. Unfortunately, that theory, and likely many of the others McKenna presents, is nothing more than speculation unsupported by any real scientific evidence. (In fact, part of his argument for the stoned ape theory is based on misrepresentation of one particular study.)I can handle crackpot theories if they're interesting enough to contemplate, which McKenna's are. But what I can't handle is his constant, tiresome moralizing. I support the legalization of all drugs, and especially cannabis and psychedelics, but those of us who oppose prohibition have to be realistic about the likely benefits and drawbacks of such a policy change. McKenna is anything but; he literally believes that widespread use of psychedelics is the only thing that can save the planet from imminent apocalypse caused by human greed and egoism.And yet, for someone who almost literally worships psychedelics, he actually is actually highly judgmental of the use of drugs other than marijuana and psychedelics. In fact, he seems to imply some distinction between plant-based hallucinogens and other drugs (a category in which he also includes TV, caffeine and sugar). Having thus redefined ""drugs"" to mean things that he thinks have a negative cultural influence, he is more or less flatly anti-drug.In building a case for the harms of ""drugs,"" he propagates the same kind of misinformation that he decries when government agencies employ it against his preferred substances. For instance, he repeatedly claims that crack cocaine is more addictive and therefore more dangerous than powder cocaine, but as Dr. Carl Hart demonstrates in his book, this is not true. Maybe it's unfair to judge McKenna on this point, as this book is more than 20 years old, so he didn't have access to the same information we do today. But his distaste of drugs such as caffeine and sugar is partly a consequence of his condemnation of ""patriarchal dominator culture,"" in favor of ""partnership"" cultures. This divide, which McKenna also represents as being entirely black and white, is yet more baseless idealism, and a clear example of the ""noble savage"" trope. Although McKenna explicitly acknowledges that trope as something to be avoided, he continually represents modern civilization as corrupted if not outright evil, while literally referring to archaic societies as ""paradise.""There are numerous individual paragraphs that could be excerpted from this book and would be good reading on their own, but the work as a whole is deeply flawed, and ultimately I felt like reading it was a waste of my time.",11,N/A
51660,Food of the Gods The Search for the Original Tree of Knowledge,David,227,29,4,"December 31, 2008","What a great book! The decision to close out 2008 with this book was made easier by my last McKenna review. In Food of the Gods, McKenna takes a historical look at the relationship between plants and human beings. This relationship is described in four parts: I. Paradise II. Paradise Lost III. Hell IV. Paradise Regained?The first part of the book explains the conditions in place that forced human evolution. Namely, psylocybin mushrooms. Soma, a conscious-expanding, ecstacy-inducing drug of prehistory, is said to have played an important part in the establishment of consciousness. Although the exact definition of Soma has never been found, McKenna has certainly done his homework and presents all sides of the research surrounding this elusive compound. In addition, McKenna’s description of the environment that early humans thrived in is truly one-of-a-kind.The second and third parts of the book focus on the restriction of psychedelic medicines, which is then followed by these plants being ignored and forgotten. I found McKenna’s explanation of sugar (found in a chapter also dealing with coffee, tea and chocolate) to be enlightening. Here is one of his passages:Sugar is culturally defined by us as a food. This definition denies that sugar can act as a highly addictive drug, yet the evidence is all around us. Many children and compulsive eaters live in a motivational environment primarily rule by mood swings resulting from cravings for sugar.The final part of the book holds McKenna’s advice to society. In short, he says that we should reexamine our relationships with nature and truly ask ourselves which plants have proven more beneficial to our understanding of The Other, and which plants have been symbiotic with what he calls the dominator society. The end of Food of the Gods contained many innovative and honest passages. I have selected the following passage as a summation of McKenna’s aim in writing this book:I have attempted here to examine our biological history and our more recent cultural history with an eye to something that may have been missed. My theme was human arrangements with plants, made and broken over the millennia. These relationships have shaped every aspect of our identities as self-reflecting beings--our languages, our cultural values, our sexual behavior, what we remember and what we forget about our own past. Plants are the missing link in the search to understand the human mind and its place in nature.Overall, this book comes highly recommended. I liked it even more than the last McKenna book, The Archaic Revival, which I recently reviewed.4/5 stars. 311 pages. Published in 1992.",10,N/A
51660,Food of the Gods The Search for the Original Tree of Knowledge,Lou,26,19,5,"June 27, 2020","The greatest books I’ve ever read on the subject of drugs, evolution and culture. I’ve thought a a lot about some of the ideas McKenna shares in this book, but this book brought it all together.McKenna was way ahead of his time as he anticipated modern developments and provides the only real solution to our modern problems. This solution involves returning to a partnership culture by rekindling our relationship with nature and ourselves with psychedelics, putting an end to the dominator culture which controls our politics and governments. Here are 3 great quotes from the text:“It cannot be said too often: the psychedelic issue is a civil rights and civil liberties issue. It is an issue concerned with the most basic of human freedoms: religious practice and the privacy of the individual mind.”‪”The enhanced capacity for cognitive experience made possible by psychedelics is as basic a part of our humanness as is our sexuality. The question of how quickly we develop into a mature community able to address these issues lies entirely with us.‬”“At the foundation of the American theory of social polity is the notion that our inalienable rights include “life, liberty, and the pursuit of happiness."" To pretend that the right to the pursuit of happiness does not include the right to experiment with psychoactive plants and substances is to make an argument that is at best narrow and at worst ignorant and primitive. The only religions that are more than the traditionally sanctioned moral codes are trance, dance ecstasy, and intoxication by hallucinogens. The living fact of the mystery of being is there, and it is an inalienable religiouS right to be able to approach it on one's own terms. A civilized society would enshrine that principle in law.”",9,1 comment
51660,Food of the Gods The Search for the Original Tree of Knowledge,Павел Степанов,3,17,5,"January 20, 2014","This one is no doubt one of my personal favourites, and i recomend it to every open-minded person. I sincerely hope, that every reader will understand it correctly, yet i understand that this is impossible. Whenever you would like to discuss the book, i would like to join the discussion.",8,N/A
