Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Tharindu Dissanayake,275,458,4,"July 24, 2021","""What Is It Like To Die?""Usually, I like to do my research thoroughly, prior to buying/ reading a book, for I like to spend the little time I have for reading as effectively as possible. However, when I saw Life After Life in a bookshelf, the title was sufficient enough to make me grab a copy immediately. I'm really glad I did so. ""All the great religions of man have many truths to tell us.""""There was more we needed to know about life that I hadn't ever thought about.""As the author himself quite eloquently express during introductory chapter, the subject of Death is not the most popular subject one out there, and it's understandable why most would stay away for a myriad of reasons. But this is not a book on death. Rather, it's a book to change one's views and opinions on death and what comes after.""Human language is inadequate to express the ultimate realities directly.""I knew I would love this book right from the start, for the author had this amazing way of presenting everything using a lot of facts (as much as possible) without any conjecture. This allows readers of diverse religious/ cultural beliefs to understand the contents without feeling any discomforts. Though the book might not present a large amount of research matter, or complex theories, the examples selected by Dr. Moody are well capable of driving home the key takeaways.""The being seems to stress the importance of two things in life: Learning to love other people and acquiring knowledge.""If you ever get a change to read this book, don't miss the opportunity. Whatever your present view of Life and Death is, Life After Life will give you a lot to think about and might be able to change your life profoundly. At the risk of repeating myself - which I do each time I read a great non-fiction book - I will say, everybody should read this book, at least once.""No matter how old you are, don't stop learning. For this is a process, I gather, that goes on for eternity.""",374,32
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Mohamad Jaber,175,14,4,"March 4, 2018","I had just started my first work, I was going to continue a phD and start my own business and then it hit me, we're all going to die.I was plundering into a state of paramount depression, I found out what I was experiencing was called an existential crisis and after a week of staying at home sleeping I decided to seek truth, I prayed more sincerely than I have ever done, I prayed God (which I was questioning his existence) helps me understand and then somehow instantaneously I stumbled upon this book.I figured out there are things beyond human understanding and there are phenomena you can't explain, the signs are there you just have to search, knock and the doors will open, ask and you will be answered, but whatever you do weather you're an atheist or devoutly religious, LOVE! not just your wife/husband or girlfriend/boyfriend, love your friends your neighbours your family...In short love humanity because this is the true meaning of this life and the one after, God exists because love exists.",68,2
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Amber,101,71,5,"June 27, 2014","I first saw this book sitting on top of my apartment complex mail boxes as I was taking out the trash. the book sat there for 2 months when I finally just picked it up to investigate and as you guessed, it was Life After Life. I began reading it and within the 1st chapter was surprised how interesting it was because I do not usually read these types of books. I was 18 and called myself an athiest. Really I think I was just mad at god at the time but by the end of this book I admitted to myself I did believe in some kind higher power. This book really effected me. Now I do not go to church or read the bible but there is meaning in living and I do believe in a life after this one. Anyhoo. Great book. Even if you do not believe in this stuff, its interesting.",37,2
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Susan's Reviews,"1,039",461,5,"June 9, 2021","This was an eye-opener for me. I was exploring different belief systems at the time that I came across  Life After Life . I had been reading accounts of Edgar Cayce's life and his predictions, and I was open to the possibility of NDE's and the notion of reincarnation. I like the idea that everything has some sort of energy or spirit or personality that is not totally extinguished on the death of the vessel encapsulating it for the time being.As children, we chant the nursery rhyme: Life is but a dream... And we are told to row our boats gently but merrily down the stream of life.We may never have all the answers to the eternal question of ""why"" or ""how"" of existence. And don't worry, I don't accept everything I read as ""gospel"" truth! I study both sides of an issue, and I prefer to remain open - to everything. Life is more ""wonder-ful"" that way!",34,6
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Renee Amberg,102,6640,5,"June 27, 2018","Moody does an excellent job at explaining his research on life after life. This book was the most fascinating book I've ever read. I've watched a lot of videos on peoples experience with the after life and seeing all of them draw similar stories and experiences blew my mind. I definitely have a completely different view on death, a calm and accepting view. I highly recommend reading this book at least once in your life. There is no bias, Moody does an excellent job at sharing the stories of others as well as making solid points from a scientific stand point. 5/5",17,N/A
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Tara,31,4,4,"June 23, 2011","This is my first book that I've read about people's life after death experiences. I knew that many people had such experiences and so I looked on amazon to see if any books had been written. I was surprised to see just how many books have been written. I chose to read Life after Life because it ""investigates more than one hundred case studies of people who experienced ""clinical death"" and were subsequently revived,"" and then categorizes these people's experiences into events that the people experienced in common. I was pleasantly surprised to see that most people experience very similar events, no matter what their background. I especially enjoyed reading about ""the personage of light"" that many people encounter and the feeling of love that they feel in this person's presence. Although I've always had hope and faith in life after death, this book has increased that conviction and has taken away any fear of death that resided within my darker corners. Although the author is a professor at the University of Nevada, which should say something about his credibility, unfortunately, at the end of the book he wrote about things that lessened his credibility in my mind, such as that he has developed techniques for people to contact the dead and visit the other side, etc. I don't believe that such things can occur by man's will, only by God's. Nevertheless, I still think the book is worth reading. I look forward to comparing this to other books on life after death.",15,N/A
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Book2Dragon,330,136,4,"February 14, 2020","I read this book some time ago. I remember it as a positive early look at what happens when a person dies. Having been a nurse, the stories resonated with me. I would say Elisabeth Kubler-Ross does a more thorough job of exploring this topic, as now it is a topic that is being discussed. I think you could call Moody's work pioneering, because Death was a forbidden topic when it was published (1975)",13,2
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Edwina Callan,"1,579",47,4,"April 19, 2022","A doctor in search of an answer to the age old question - Is there life after death? - interviews numerous people whom have died and been brought back. I, personally, will be forever thankful to the nurse who refused to give up on my Momma 45 years ago, while the doctor was telling my Dad that he was sorry and they did all they could to save her, the nurse (a family friend) had stayed in the room, climbed up on the bed, straddled Momma's waist, hooked her hands together and brought them down on Momma's chest with ""everything in me"". The paddles hadn't worked but the sheer determination and love of this little nurse started her heart and brought Momma back.Of course, Momma was furious because she said ""I was in Heaven, why didn't y'all just leave me alone.""Ah, Momma, you're there now and I miss you ... every minute of every day.",9,1 comment
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Cheryl,954,99,5,"March 25, 2009","I read this book a looooooong time ago. It's been updated since then. It is absorbing, extremely interesting, and ultimately hopeful. I would highly recommend it.",8,6
59598,Life After Life The Investigation of a Phenomenon  Survival of Bodily Death,Nick Imrie,284,122,3,"January 10, 2021","I should've read this book - the first serious book on 'Near Death Experiences'; the book which coined the term - before I read all those wacky kindle unlimited books on people's fabulous adventures on the other side.First published way back in the 20th century, this book is full of extra-ordinary revelations that the author expects you to find dubious like: 'Did you know that a surprisingly large number of people have had an NDE and - get this - they all have similar experiences, like they all have the experience of travelling down a tunnel towards a white light. Isn't that crazy?'So strange to read now that 'go into the light' is a cliché.Which is to say that this is an interesting, serious, and even-handed book, but everything in it has now passed into pop culture, so there's not much new.",7,N/A
