date,added,ratings,reviews,to-read
2022-08-16,3,1,0,3
2022-08-17,10,2,0,2
2022-08-18,5,3,0,3
2022-08-19,2,0,0,1
2022-08-20,7,1,0,2
2022-08-21,5,2,0,3
2022-08-22,2,3,0,0
2022-08-23,4,1,0,1
2022-08-24,4,0,0,2
2022-08-25,5,1,0,2
2022-08-26,4,2,0,1
2022-08-27,1,3,0,0
2022-08-28,3,0,0,2
2022-08-29,2,-2,0,2
2022-08-30,7,3,0,4
2022-08-31,6,3,0,2
2022-09-01,5,-1,0,1
2022-09-02,2,0,0,1
2022-09-03,8,0,0,6
2022-09-04,3,1,0,1
2022-09-05,3,1,0,2
2022-09-06,6,-1,0,2
2022-09-07,5,1,0,2
2022-09-08,3,3,0,1
2022-09-09,9,3,1,3
2022-09-10,5,0,0,2
2022-09-11,2,1,0,1
2022-09-12,4,1,0,3
2022-09-13,3,1,1,2
2022-09-14,6,1,0,5
2022-09-15,3,1,0,1
2022-09-16,2,1,0,0
2022-09-17,3,2,0,1
2022-09-18,5,2,0,1
2022-09-19,5,-1,0,2
2022-09-20,4,0,0,2
2022-09-21,3,2,1,1
2022-09-22,3,1,0,2
2022-09-23,4,-10,0,0
2022-09-24,0,-1,0,0
2022-09-25,0,0,0,0
2022-09-26,2,-4,0,1
2022-09-27,2,-14,0,0
2022-09-28,7,-15,0,6
2022-09-29,6,-24,0,1
2022-09-30,7,1,0,5
2022-10-01,3,1,0,0
2022-10-02,10,2,0,6
2022-10-03,5,1,0,1
2022-10-04,2,0,0,2
2022-10-05,8,2,0,4
2022-10-06,5,1,0,3
2022-10-07,2,1,0,0
2022-10-08,3,3,1,1
2022-10-09,5,-3,0,3
2022-10-10,8,0,0,3
2022-10-11,5,2,0,2
2022-10-12,2,-3,1,2
2022-10-13,4,1,0,2
2022-10-14,6,-2,1,3
2022-10-15,3,3,0,1
2022-10-16,9,-18,0,4
2022-10-17,4,-16,0,2
2022-10-18,6,-2,0,2
2022-10-19,3,0,-1,1
2022-10-20,5,4,1,2
2022-10-21,8,-1,0,4
2022-10-22,9,2,0,3
2022-10-23,5,-26,0,3
2022-10-24,4,-27,0,1
2022-10-25,2,-1,0,1
2022-10-26,1,2,0,0
2022-10-27,5,0,0,2
2022-10-28,2,2,0,0
2022-10-29,2,0,0,2
2022-10-30,2,-9,0,1
2022-10-31,4,-13,0,3
2022-11-01,4,0,0,2
2022-11-02,5,1,0,0
2022-11-03,5,-5,0,0
2022-11-04,8,6,0,1
2022-11-05,6,2,0,1
2022-11-06,6,1,0,3
2022-11-07,4,0,0,0
2022-11-08,3,1,0,0
2022-11-09,3,2,0,2
2022-11-10,1,1,0,1
2022-11-11,4,2,0,0
2022-11-12,4,3,1,1
2022-11-13,6,1,0,2
2022-11-14,3,1,0,2
2022-11-15,4,1,0,1
2022-11-16,4,1,0,1
2022-11-17,3,1,0,1
2022-11-18,2,0,0,2
2022-11-19,10,2,0,1
2022-11-20,5,2,0,5
2022-11-21,4,1,1,3
2022-11-22,5,1,1,0
2022-11-23,4,0,0,1
2022-11-24,3,0,0,2
2022-11-25,0,1,0,0
2022-11-26,3,0,0,1
2022-11-27,6,5,0,1
2022-11-28,8,2,0,3
2022-11-29,3,0,0,1
2022-11-30,5,-1,0,1
2022-12-01,1,1,0,1
2022-12-02,4,0,0,2
2022-12-03,6,1,0,3
2022-12-04,3,1,0,2
2022-12-05,6,1,0,3
2022-12-06,2,-1,0,1
2022-12-07,2,2,0,0
2022-12-08,1,1,1,0
2022-12-09,4,2,1,0
2022-12-10,2,2,0,0
2022-12-11,8,-1,0,5
2022-12-12,10,1,0,2
2022-12-13,5,0,0,0
2022-12-14,4,2,0,1
2022-12-15,3,2,0,0
2022-12-16,5,0,0,3
2022-12-17,2,0,0,1
2022-12-18,7,2,0,3
2022-12-19,5,2,0,0
2022-12-20,3,3,0,2
2022-12-21,3,0,0,2
2022-12-22,0,-1,0,0
2022-12-23,3,2,1,1
2022-12-24,3,0,0,1
2022-12-25,2,4,0,0
2022-12-26,6,2,0,4
2022-12-27,10,2,0,4
2022-12-28,5,-1,0,1
2022-12-29,6,0,0,4
2022-12-30,3,1,1,2
2022-12-31,9,3,0,3
2023-01-01,11,0,0,4
2023-01-02,7,3,0,3
2023-01-03,9,2,0,4
2023-01-04,8,0,0,5
2023-01-05,10,3,0,2
2023-01-06,9,3,0,1
2023-01-07,9,2,0,4
2023-01-08,11,6,0,5
2023-01-09,2,0,0,2
2023-01-10,10,1,1,5
2023-01-11,3,1,0,2
2023-01-12,9,-9,1,2
2023-01-13,12,-16,0,7
2023-01-14,7,1,1,3
2023-01-15,9,1,0,3
2023-01-16,8,4,0,2
2023-01-17,3,0,0,1
2023-01-18,6,-2,0,2
2023-01-19,6,2,0,3
2023-01-20,6,1,0,3
2023-01-21,3,1,0,1
2023-01-22,7,2,0,4
2023-01-23,5,1,0,3
2023-01-24,6,2,0,2
2023-01-25,8,2,0,2
2023-01-26,11,2,0,4
2023-01-27,3,1,0,2
2023-01-28,8,0,0,3
2023-01-29,10,4,0,4
2023-01-30,5,2,0,4
2023-01-31,7,1,0,4
2023-02-01,4,1,0,2
