date,added,ratings,reviews,to-read
2022-08-16,7,1,0,5
2022-08-17,6,2,0,4
2022-08-18,6,0,0,5
2022-08-19,6,0,0,3
2022-08-20,4,1,0,1
2022-08-21,8,1,0,5
2022-08-22,3,1,0,1
2022-08-23,5,1,0,2
2022-08-24,5,1,0,5
2022-08-25,6,0,0,6
2022-08-26,6,0,0,4
2022-08-27,9,3,0,5
2022-08-28,9,3,0,2
2022-08-29,6,-1,0,5
2022-08-30,9,-1,0,7
2022-08-31,4,1,0,4
2022-09-01,6,1,0,5
2022-09-02,4,1,0,2
2022-09-03,15,4,0,7
2022-09-04,7,0,0,2
2022-09-05,6,2,0,3
2022-09-06,11,1,0,7
2022-09-07,10,2,0,6
2022-09-08,10,-1,0,7
2022-09-09,6,1,0,6
2022-09-10,5,1,0,3
2022-09-11,3,1,0,2
2022-09-12,4,2,1,1
2022-09-13,8,1,0,7
2022-09-14,1,1,0,0
2022-09-15,5,-1,0,3
2022-09-16,5,0,0,3
2022-09-17,6,2,0,2
2022-09-18,6,2,0,4
2022-09-19,5,0,0,3
2022-09-20,7,3,0,4
2022-09-21,3,0,0,3
2022-09-22,1,0,0,1
2022-09-23,5,-7,0,3
2022-09-24,13,1,0,8
2022-09-25,3,2,0,2
2022-09-26,6,-13,0,5
2022-09-27,8,-12,0,5
2022-09-28,9,-19,0,5
2022-09-29,6,-11,0,3
2022-09-30,9,1,0,6
2022-10-01,2,0,0,2
2022-10-02,5,-2,0,3
2022-10-03,6,1,1,4
2022-10-04,12,2,0,6
2022-10-05,5,1,0,5
2022-10-06,8,1,0,6
2022-10-07,5,0,0,4
2022-10-08,8,1,0,5
2022-10-09,5,-5,0,2
2022-10-10,6,1,0,4
2022-10-11,5,0,0,3
2022-10-12,6,0,0,3
2022-10-13,4,0,0,2
2022-10-14,7,-3,0,6
2022-10-15,9,0,0,6
2022-10-16,8,-14,0,5
2022-10-17,8,-16,0,5
2022-10-18,11,-12,0,10
2022-10-19,5,0,0,3
2022-10-20,7,2,0,6
2022-10-21,3,-2,0,1
2022-10-22,5,-1,0,3
2022-10-23,3,-27,0,0
2022-10-24,6,-34,0,4
2022-10-25,9,-2,0,6
2022-10-26,6,0,0,3
2022-10-27,4,-1,0,1
2022-10-28,8,1,0,5
2022-10-29,5,2,0,3
2022-10-30,2,0,0,0
2022-10-31,6,-8,0,4
2022-11-01,13,3,0,8
2022-11-02,6,2,0,4
2022-11-03,4,-2,0,4
2022-11-04,2,0,0,2
2022-11-05,5,-1,0,4
2022-11-06,14,1,0,10
2022-11-07,3,1,0,2
2022-11-08,4,0,0,3
2022-11-09,3,0,0,2
2022-11-10,4,0,0,3
2022-11-11,3,0,0,1
2022-11-12,4,0,0,3
2022-11-13,3,1,0,2
2022-11-14,7,2,0,5
2022-11-15,4,1,0,1
2022-11-16,8,0,0,7
2022-11-17,5,1,0,4
2022-11-18,3,2,0,2
2022-11-19,10,2,0,6
2022-11-20,5,2,0,2
2022-11-21,9,3,0,7
2022-11-22,5,2,1,2
2022-11-23,8,1,0,4
2022-11-24,12,4,0,8
2022-11-25,6,2,0,3
2022-11-26,10,1,1,6
2022-11-27,7,0,0,6
2022-11-28,10,3,1,6
2022-11-29,7,0,0,5
2022-11-30,8,1,0,5
2022-12-01,9,0,0,6
2022-12-02,9,3,0,3
2022-12-03,10,1,1,6
2022-12-04,3,2,0,1
2022-12-05,11,1,0,5
2022-12-06,2,2,0,2
2022-12-07,6,0,0,4
2022-12-08,4,0,0,4
2022-12-09,4,1,0,2
2022-12-10,7,2,0,5
2022-12-11,7,2,0,4
2022-12-12,5,0,0,5
2022-12-13,7,0,0,7
2022-12-14,4,1,0,2
2022-12-15,10,2,0,4
2022-12-16,4,1,0,2
2022-12-17,6,1,0,6
2022-12-18,5,1,0,1
2022-12-19,7,2,0,5
2022-12-20,4,1,0,3
2022-12-21,4,0,0,3
2022-12-22,7,1,0,2
2022-12-23,7,2,0,1
2022-12-24,7,3,0,3
2022-12-25,8,1,0,5
2022-12-26,6,2,0,3
2022-12-27,9,4,0,4
2022-12-28,12,1,1,8
2022-12-29,6,2,0,5
2022-12-30,8,0,0,4
2022-12-31,7,1,0,4
2023-01-01,11,1,0,4
2023-01-02,15,4,0,10
2023-01-03,14,2,1,8
2023-01-04,6,2,0,4
2023-01-05,7,1,0,6
2023-01-06,9,-1,0,5
2023-01-07,9,3,1,5
2023-01-08,9,2,0,6
2023-01-09,8,0,0,4
2023-01-10,7,1,1,5
2023-01-11,5,0,0,3
2023-01-12,12,-11,0,8
2023-01-13,6,-16,0,3
2023-01-14,5,2,0,4
2023-01-15,11,2,0,6
2023-01-16,7,1,0,5
2023-01-17,6,2,0,4
2023-01-18,10,2,0,4
2023-01-19,12,3,1,4
2023-01-20,5,1,0,4
2023-01-21,11,2,1,7
2023-01-22,12,1,0,5
2023-01-23,13,5,0,8
2023-01-24,9,3,0,7
2023-01-25,6,0,0,4
2023-01-26,11,1,0,9
2023-01-27,5,-1,0,5
2023-01-28,6,3,1,3
2023-01-29,7,1,0,4
2023-01-30,5,3,0,1
2023-01-31,5,0,0,2
2023-02-01,5,1,0,4
