date,added,ratings,reviews,to-read
2022-08-16,8,1,0,6
2022-08-17,15,3,0,10
2022-08-18,11,0,0,7
2022-08-19,6,1,1,5
2022-08-20,7,1,0,4
2022-08-21,4,-1,0,4
2022-08-22,11,1,0,5
2022-08-23,17,4,1,14
2022-08-24,12,1,0,8
2022-08-25,9,2,0,6
2022-08-26,8,3,0,7
2022-08-27,7,1,0,5
2022-08-28,10,0,0,7
2022-08-29,5,-2,0,2
2022-08-30,9,2,0,6
2022-08-31,10,4,0,6
2022-09-01,12,3,0,7
2022-09-02,9,1,0,6
2022-09-03,7,0,0,5
2022-09-04,6,3,0,5
2022-09-05,11,2,0,6
2022-09-06,5,-2,0,2
2022-09-07,6,1,0,5
2022-09-08,9,1,0,4
2022-09-09,5,5,0,2
2022-09-10,10,0,0,9
2022-09-11,10,3,0,7
2022-09-12,12,3,0,8
2022-09-13,7,2,1,2
2022-09-14,6,1,0,5
2022-09-15,8,0,0,7
2022-09-16,9,-1,0,8
2022-09-17,2,0,0,2
2022-09-18,9,1,0,7
2022-09-19,3,3,0,1
2022-09-20,14,1,0,10
2022-09-21,6,3,0,3
2022-09-22,8,1,0,7
2022-09-23,8,-9,-1,4
2022-09-24,9,2,0,8
2022-09-25,11,0,1,7
2022-09-26,13,-9,0,8
2022-09-27,8,-13,0,7
2022-09-28,11,-18,0,6
2022-09-29,14,-20,0,8
2022-09-30,7,3,-1,4
2022-10-01,10,-1,0,9
2022-10-02,7,-1,0,5
2022-10-03,11,2,1,7
2022-10-04,12,2,0,8
2022-10-05,5,0,0,3
2022-10-06,10,2,0,4
2022-10-07,6,1,0,6
2022-10-08,7,1,0,4
2022-10-09,10,-2,0,7
2022-10-10,9,0,0,9
2022-10-11,7,0,0,7
2022-10-12,7,-4,0,5
2022-10-13,7,1,0,5
2022-10-14,11,-6,0,9
2022-10-15,9,3,1,4
2022-10-16,13,-12,0,10
2022-10-17,12,-17,1,8
2022-10-18,9,-2,1,5
2022-10-19,11,2,0,6
2022-10-20,8,1,0,7
2022-10-21,5,-1,0,5
2022-10-22,11,-1,0,9
2022-10-23,8,-26,0,8
2022-10-24,7,-26,0,7
2022-10-25,4,-2,0,1
2022-10-26,7,2,0,4
2022-10-27,4,0,0,3
2022-10-28,11,2,0,4
2022-10-29,12,3,0,8
2022-10-30,13,0,0,10
2022-10-31,2,-7,0,0
2022-11-01,11,0,0,6
2022-11-02,9,1,1,8
2022-11-03,7,-4,1,5
2022-11-04,3,0,0,2
2022-11-05,5,0,0,5
2022-11-06,19,3,0,15
2022-11-07,19,3,0,13
2022-11-08,11,4,0,8
2022-11-09,10,2,0,7
2022-11-10,7,1,0,4
2022-11-11,13,0,0,9
2022-11-12,11,2,0,9
2022-11-13,13,1,0,10
2022-11-14,7,1,0,6
2022-11-15,10,3,0,5
2022-11-16,7,-2,0,6
2022-11-17,4,0,0,4
2022-11-18,9,1,0,6
2022-11-19,2,0,0,2
2022-11-20,9,1,0,5
2022-11-21,7,2,0,5
2022-11-22,10,0,0,6
2022-11-23,4,0,0,4
2022-11-24,3,2,0,1
2022-11-25,6,1,0,3
2022-11-26,8,2,0,5
2022-11-27,6,1,0,4
2022-11-28,5,1,0,2
2022-11-29,5,0,0,3
2022-11-30,14,2,0,7
2022-12-01,7,3,0,2
2022-12-02,6,1,0,6
2022-12-03,7,2,0,4
2022-12-04,11,1,0,8
2022-12-05,7,1,0,6
2022-12-06,4,2,0,3
2022-12-07,11,2,0,7
2022-12-08,5,1,0,3
2022-12-09,8,3,0,5
2022-12-10,7,-1,0,4
2022-12-11,13,4,0,7
2022-12-12,7,3,0,5
2022-12-13,7,1,0,5
2022-12-14,4,0,0,2
2022-12-15,4,1,0,3
2022-12-16,6,1,0,4
2022-12-17,12,2,0,10
2022-12-18,6,1,0,5
2022-12-19,8,0,0,7
2022-12-20,29,1,0,24
2022-12-21,30,2,0,23
2022-12-22,16,2,0,12
2022-12-23,10,3,0,8
2022-12-24,12,2,0,8
2022-12-25,9,3,0,3
2022-12-26,13,2,0,9
2022-12-27,15,2,0,8
2022-12-28,16,2,0,11
2022-12-29,10,-1,0,9
2022-12-30,15,4,1,9
2022-12-31,18,3,0,11
2023-01-01,26,6,1,16
2023-01-02,25,7,0,8
2023-01-03,25,8,1,14
2023-01-04,18,5,0,13
2023-01-05,11,1,0,7
2023-01-06,16,1,0,12
2023-01-07,22,3,1,14
2023-01-08,14,-1,0,7
2023-01-09,13,2,0,10
2023-01-10,6,-1,0,3
2023-01-11,13,1,0,9
2023-01-12,7,-13,0,5
2023-01-13,14,-13,0,7
2023-01-14,11,1,0,6
2023-01-15,12,3,0,9
2023-01-16,19,1,0,13
2023-01-17,9,2,0,4
2023-01-18,3,-1,0,3
2023-01-19,6,1,0,3
2023-01-20,13,3,0,8
2023-01-21,12,4,0,9
2023-01-22,9,2,0,7
2023-01-23,13,1,0,9
2023-01-24,16,4,0,11
2023-01-25,17,0,1,11
2023-01-26,16,1,0,15
2023-01-27,8,1,0,6
2023-01-28,6,1,0,5
2023-01-29,11,0,0,9
2023-01-30,15,0,0,10
2023-01-31,11,2,0,6
2023-02-01,8,1,0,5
