date,added,ratings,reviews,to-read
2022-08-16,18,2,2,11
2022-08-17,14,5,0,9
2022-08-18,9,1,0,8
2022-08-19,8,1,0,6
2022-08-20,10,4,0,4
2022-08-21,16,0,0,12
2022-08-22,16,4,0,13
2022-08-23,6,0,0,6
2022-08-24,11,0,0,8
2022-08-25,10,1,0,6
2022-08-26,9,0,0,6
2022-08-27,6,3,0,4
2022-08-28,23,2,0,15
2022-08-29,11,-1,0,9
2022-08-30,5,2,0,3
2022-08-31,10,0,0,7
2022-09-01,13,3,0,9
2022-09-02,10,1,0,9
2022-09-03,10,0,0,8
2022-09-04,9,1,0,7
2022-09-05,16,2,0,12
2022-09-06,10,1,0,7
2022-09-07,11,0,0,8
2022-09-08,9,2,0,6
2022-09-09,17,2,0,13
2022-09-10,6,2,0,3
2022-09-11,7,1,0,5
2022-09-12,12,1,0,10
2022-09-13,9,1,0,6
2022-09-14,8,-1,0,8
2022-09-15,7,1,0,4
2022-09-16,8,1,1,6
2022-09-17,5,0,0,5
2022-09-18,6,-1,-1,3
2022-09-19,6,4,0,4
2022-09-20,9,0,0,6
2022-09-21,6,1,0,5
2022-09-22,3,4,0,1
2022-09-23,12,-9,1,8
2022-09-24,9,2,0,6
2022-09-25,8,1,0,6
2022-09-26,7,-7,0,6
2022-09-27,5,-17,0,3
2022-09-28,5,-33,0,1
2022-09-29,11,-30,0,6
2022-09-30,15,2,0,12
2022-10-01,15,0,0,13
2022-10-02,10,-2,0,5
2022-10-03,10,0,0,4
2022-10-04,5,1,0,3
2022-10-05,9,3,1,5
2022-10-06,8,3,0,2
2022-10-07,7,2,0,6
2022-10-08,4,0,0,3
2022-10-09,10,-2,0,6
2022-10-10,12,3,0,9
2022-10-11,8,2,0,5
2022-10-12,6,-1,0,5
2022-10-13,8,5,0,4
2022-10-14,7,-2,0,3
2022-10-15,11,0,0,7
2022-10-16,4,-5,0,3
2022-10-17,13,-19,1,10
2022-10-18,13,-4,0,10
2022-10-19,11,1,0,5
2022-10-20,6,0,0,5
2022-10-21,11,-4,0,6
2022-10-22,7,-5,0,5
2022-10-23,12,-27,1,7
2022-10-24,8,-19,1,2
2022-10-25,8,-1,1,5
2022-10-26,9,0,0,8
2022-10-27,5,1,0,4
2022-10-28,5,1,0,3
2022-10-29,2,1,0,2
2022-10-30,11,-2,0,8
2022-10-31,12,-6,0,10
2022-11-01,13,3,0,11
2022-11-02,8,3,0,6
2022-11-03,12,-7,0,10
2022-11-04,8,0,-1,4
2022-11-05,5,3,0,2
2022-11-06,8,3,0,3
2022-11-07,7,0,0,4
2022-11-08,7,1,0,5
2022-11-09,7,4,1,5
2022-11-10,9,2,0,7
2022-11-11,8,2,0,5
2022-11-12,11,1,0,8
2022-11-13,20,3,1,14
2022-11-14,7,0,0,6
2022-11-15,15,3,0,10
2022-11-16,10,4,1,5
2022-11-17,10,1,0,9
2022-11-18,5,1,0,2
2022-11-19,5,1,0,2
2022-11-20,15,3,0,12
2022-11-21,6,2,0,2
2022-11-22,7,1,0,5
2022-11-23,7,2,0,4
2022-11-24,7,-1,0,7
2022-11-25,10,1,0,6
2022-11-26,14,0,0,10
2022-11-27,16,4,0,14
2022-11-28,19,1,0,14
2022-11-29,11,0,0,5
2022-11-30,13,4,0,5
2022-12-01,6,3,1,3
2022-12-02,5,0,0,4
2022-12-03,9,1,0,7
2022-12-04,18,3,0,14
2022-12-05,9,1,0,6
2022-12-06,10,3,0,6
2022-12-07,9,3,0,6
2022-12-08,12,3,1,8
2022-12-09,8,3,0,5
2022-12-10,7,1,0,4
2022-12-11,4,-1,0,3
2022-12-12,6,0,0,4
2022-12-13,8,1,0,5
2022-12-14,10,1,0,8
2022-12-15,9,2,0,5
2022-12-16,12,1,0,9
2022-12-17,12,1,0,6
2022-12-18,8,0,0,8
2022-12-19,11,3,1,7
2022-12-20,8,1,0,7
2022-12-21,10,1,0,9
2022-12-22,8,0,0,7
2022-12-23,14,1,1,9
2022-12-24,6,4,0,3
2022-12-25,14,2,0,5
2022-12-26,8,4,0,4
2022-12-27,10,1,0,8
2022-12-28,17,0,0,11
2022-12-29,12,2,0,8
2022-12-30,19,3,0,7
2022-12-31,11,4,1,5
2023-01-01,19,6,0,11
2023-01-02,18,4,0,9
2023-01-03,21,0,0,14
2023-01-04,19,2,0,14
2023-01-05,16,2,0,9
2023-01-06,19,4,0,13
2023-01-07,10,1,0,5
2023-01-08,13,2,0,10
2023-01-09,23,4,0,16
2023-01-10,21,6,0,12
2023-01-11,14,3,0,11
2023-01-12,17,-4,1,10
2023-01-13,10,-20,0,8
2023-01-14,7,2,0,3
2023-01-15,16,4,0,7
2023-01-16,19,4,0,9
2023-01-17,15,4,0,13
2023-01-18,9,3,1,8
2023-01-19,9,2,0,7
2023-01-20,12,3,0,9
2023-01-21,7,2,0,5
2023-01-22,16,0,0,11
2023-01-23,18,5,1,8
2023-01-24,15,2,0,9
2023-01-25,12,4,1,6
2023-01-26,12,3,0,9
2023-01-27,15,3,0,10
2023-01-28,15,1,0,14
2023-01-29,14,1,0,9
2023-01-30,16,2,0,14
2023-01-31,2,1,0,2
2023-02-01,8,1,-1,7
