date,added,ratings,reviews,to-read
2022-08-16,16,1,1,12
2022-08-17,23,1,0,19
2022-08-18,20,2,1,14
2022-08-19,10,1,1,6
2022-08-20,14,2,0,9
2022-08-21,17,3,0,10
2022-08-22,22,7,1,21
2022-08-23,16,3,0,14
2022-08-24,26,2,0,18
2022-08-25,13,2,0,12
2022-08-26,8,-1,0,7
2022-08-27,10,3,0,6
2022-08-28,23,2,0,18
2022-08-29,18,1,0,12
2022-08-30,18,3,1,12
2022-08-31,14,2,0,6
2022-09-01,17,8,1,13
2022-09-02,16,1,0,10
2022-09-03,13,0,0,10
2022-09-04,22,2,0,19
2022-09-05,17,2,0,14
2022-09-06,15,1,1,8
2022-09-07,19,0,0,11
2022-09-08,21,5,0,12
2022-09-09,9,1,0,4
2022-09-10,7,1,0,4
2022-09-11,12,2,0,9
2022-09-12,21,2,0,14
2022-09-13,12,2,0,8
2022-09-14,9,0,0,7
2022-09-15,17,3,0,15
2022-09-16,16,1,1,11
2022-09-17,12,1,0,9
2022-09-18,19,1,0,13
2022-09-19,11,1,0,8
2022-09-20,12,2,0,8
2022-09-21,6,2,1,6
2022-09-22,12,-1,0,11
2022-09-23,13,-7,1,10
2022-09-24,6,1,0,2
2022-09-25,18,5,0,15
2022-09-26,11,-8,0,9
2022-09-27,22,-12,1,14
2022-09-28,20,-20,0,14
2022-09-29,11,-24,0,9
2022-09-30,9,1,0,8
2022-10-01,9,1,0,6
2022-10-02,24,2,0,16
2022-10-03,12,1,0,10
2022-10-04,19,4,1,13
2022-10-05,14,4,0,11
2022-10-06,11,3,0,7
2022-10-07,15,1,0,12
2022-10-08,12,3,0,10
2022-10-09,8,-4,0,5
2022-10-10,15,2,0,9
2022-10-11,10,3,0,4
2022-10-12,14,-1,0,9
2022-10-13,13,1,0,8
2022-10-14,16,-2,0,11
2022-10-15,13,0,0,7
2022-10-16,14,-11,1,11
2022-10-17,16,-9,2,12
2022-10-18,18,-2,0,14
2022-10-19,18,0,0,14
2022-10-20,9,2,0,6
2022-10-21,13,0,0,6
2022-10-22,10,1,0,8
2022-10-23,13,-22,0,7
2022-10-24,14,-17,0,9
2022-10-25,9,2,0,3
2022-10-26,10,4,1,8
2022-10-27,9,2,0,6
2022-10-28,10,1,0,5
2022-10-29,5,2,0,4
2022-10-30,14,1,1,9
2022-10-31,8,-6,0,6
2022-11-01,13,4,1,6
2022-11-02,15,2,0,10
2022-11-03,9,-9,0,8
2022-11-04,7,1,0,5
2022-11-05,8,1,0,5
2022-11-06,12,1,0,10
2022-11-07,7,0,0,3
2022-11-08,13,2,0,10
2022-11-09,14,0,0,11
2022-11-10,9,2,0,8
2022-11-11,15,2,0,13
2022-11-12,22,2,0,18
2022-11-13,28,2,0,26
2022-11-14,21,1,0,16
2022-11-15,22,2,0,15
2022-11-16,19,2,2,12
2022-11-17,16,4,0,11
2022-11-18,7,-1,0,5
2022-11-19,9,4,1,4
2022-11-20,17,3,0,14
2022-11-21,12,0,0,10
2022-11-22,18,1,1,12
2022-11-23,10,1,0,7
2022-11-24,21,1,1,17
2022-11-25,17,0,0,9
2022-11-26,17,3,0,10
2022-11-27,24,5,1,18
2022-11-28,23,2,1,17
2022-11-29,21,5,0,17
2022-11-30,17,4,0,12
2022-12-01,19,5,0,13
2022-12-02,13,3,1,10
2022-12-03,14,1,0,9
2022-12-04,11,2,1,6
2022-12-05,17,4,0,12
2022-12-06,17,3,0,12
2022-12-07,9,3,0,2
2022-12-08,15,-1,0,13
2022-12-09,17,1,0,13
2022-12-10,9,3,0,4
2022-12-11,18,4,0,12
2022-12-12,13,2,0,9
2022-12-13,18,1,0,15
2022-12-14,15,2,0,9
2022-12-15,18,3,0,14
2022-12-16,10,1,0,9
2022-12-17,18,3,0,13
2022-12-18,18,3,1,11
2022-12-19,12,4,2,9
2022-12-20,15,3,0,11
2022-12-21,24,4,1,20
2022-12-22,19,2,0,13
2022-12-23,12,4,0,9
2022-12-24,9,1,0,5
2022-12-25,17,2,0,10
2022-12-26,17,1,1,11
2022-12-27,19,4,1,10
2022-12-28,23,7,0,16
2022-12-29,15,2,0,11
2022-12-30,25,3,0,17
2022-12-31,13,3,0,8
2023-01-01,38,2,0,30
2023-01-02,36,3,0,25
2023-01-03,36,3,2,27
2023-01-04,32,9,0,24
2023-01-05,22,4,1,14
2023-01-06,23,5,0,12
2023-01-07,20,4,1,12
2023-01-08,19,2,0,15
2023-01-09,24,2,1,15
2023-01-10,18,2,0,12
2023-01-11,13,2,0,9
2023-01-12,28,-1,0,22
2023-01-13,13,-15,0,10
2023-01-14,19,0,0,13
2023-01-15,29,2,0,20
2023-01-16,18,4,2,11
2023-01-17,22,1,1,20
2023-01-18,20,3,1,15
2023-01-19,15,2,0,14
2023-01-20,10,2,0,5
2023-01-21,18,5,0,10
2023-01-22,19,3,1,12
2023-01-23,20,2,-1,16
2023-01-24,16,0,0,13
2023-01-25,27,2,0,18
2023-01-26,21,4,0,15
2023-01-27,13,2,0,10
2023-01-28,21,5,0,16
2023-01-29,20,3,1,16
2023-01-30,14,4,0,8
2023-01-31,21,6,2,16
2023-02-01,13,3,0,9
