date,added,ratings,reviews,to-read
2022-08-16,107,16,3,84
2022-08-17,106,21,2,60
2022-08-18,71,24,1,46
2022-08-19,67,17,3,40
2022-08-20,94,15,4,44
2022-08-21,67,16,1,46
2022-08-22,98,20,0,53
2022-08-23,99,13,1,56
2022-08-24,85,25,0,40
2022-08-25,58,18,4,29
2022-08-26,70,23,1,34
2022-08-27,76,15,4,42
2022-08-28,95,20,2,54
2022-08-29,75,7,6,48
2022-08-30,78,10,1,47
2022-08-31,71,26,4,42
2022-09-01,62,5,-1,36
2022-09-02,62,7,1,33
2022-09-03,74,15,1,38
2022-09-04,81,23,4,44
2022-09-05,75,13,0,39
2022-09-06,70,14,2,31
2022-09-07,95,16,2,44
2022-09-08,79,17,1,37
2022-09-09,90,23,5,45
2022-09-10,75,18,3,41
2022-09-11,67,21,4,43
2022-09-12,78,16,2,40
2022-09-13,77,13,2,51
2022-09-14,54,0,1,35
2022-09-15,49,15,1,29
2022-09-16,60,12,2,26
2022-09-17,63,16,1,41
2022-09-18,83,15,2,34
2022-09-19,99,18,5,63
2022-09-20,77,19,1,52
2022-09-21,62,24,1,43
2022-09-22,62,20,2,38
2022-09-23,61,-12,1,26
2022-09-24,58,17,2,28
2022-09-25,67,19,2,39
2022-09-26,55,-19,3,32
2022-09-27,71,-29,2,43
2022-09-28,70,-61,1,31
2022-09-29,77,-77,4,43
2022-09-30,62,26,2,23
2022-10-01,70,15,3,37
2022-10-02,84,1,2,38
2022-10-03,79,9,3,39
2022-10-04,83,21,2,49
2022-10-05,46,10,3,29
2022-10-06,54,11,3,27
2022-10-07,52,15,1,28
2022-10-08,72,16,3,30
2022-10-09,91,0,0,57
2022-10-10,89,21,0,51
2022-10-11,86,15,2,57
2022-10-12,68,4,1,44
2022-10-13,82,13,1,61
2022-10-14,68,-3,3,40
2022-10-15,58,9,1,33
2022-10-16,89,-24,2,48
2022-10-17,72,-39,1,28
2022-10-18,72,-7,1,41
2022-10-19,78,13,2,36
2022-10-20,62,8,3,36
2022-10-21,52,3,0,30
2022-10-22,70,7,4,41
2022-10-23,77,-54,4,45
2022-10-24,57,-55,1,31
2022-10-25,57,-14,1,28
2022-10-26,65,17,2,36
2022-10-27,60,16,1,31
2022-10-28,48,11,4,23
2022-10-29,72,11,0,44
2022-10-30,68,4,1,42
2022-10-31,63,-17,2,35
2022-11-01,79,15,1,37
2022-11-02,71,20,4,36
2022-11-03,93,5,1,44
2022-11-04,65,18,2,31
2022-11-05,81,17,1,51
2022-11-06,79,23,5,38
2022-11-07,76,16,3,38
2022-11-08,67,17,2,39
2022-11-09,61,17,3,30
2022-11-10,49,15,3,28
2022-11-11,47,19,1,29
2022-11-12,56,14,2,25
2022-11-13,70,10,1,33
2022-11-14,63,9,0,34
2022-11-15,95,17,3,52
2022-11-16,69,17,5,32
2022-11-17,56,16,0,37
2022-11-18,56,18,2,31
2022-11-19,75,17,4,39
2022-11-20,85,11,3,45
2022-11-21,92,11,3,58
2022-11-22,232,19,6,182
2022-11-23,186,21,3,140
2022-11-24,82,14,3,59
2022-11-25,115,9,3,78
2022-11-26,140,18,1,102
2022-11-27,167,15,3,117
2022-11-28,329,18,3,274
2022-11-29,144,31,6,115
2022-11-30,110,14,2,77
2022-12-01,99,14,2,60
2022-12-02,106,22,3,66
2022-12-03,120,26,2,67
2022-12-04,116,10,1,74
2022-12-05,133,20,-1,87
2022-12-06,92,11,1,61
2022-12-07,82,10,2,62
2022-12-08,79,23,3,63
2022-12-09,65,14,2,33
2022-12-10,116,14,2,83
2022-12-11,109,21,6,63
2022-12-12,103,23,0,59
2022-12-13,93,20,4,46
2022-12-14,75,17,3,45
2022-12-15,109,26,4,64
2022-12-16,75,14,0,36
2022-12-17,88,13,1,41
2022-12-18,100,18,2,48
2022-12-19,68,13,2,32
2022-12-20,71,17,2,44
2022-12-21,95,14,3,50
2022-12-22,103,26,1,56
2022-12-23,95,18,1,44
2022-12-24,65,19,2,43
2022-12-25,109,17,2,63
2022-12-26,131,23,3,72
2022-12-27,145,16,0,92
2022-12-28,172,34,1,93
2022-12-29,107,27,3,70
2022-12-30,140,28,6,83
2022-12-31,195,36,5,109
2023-01-01,242,40,1,137
2023-01-02,223,46,4,127
2023-01-03,233,43,3,119
2023-01-04,142,38,3,81
2023-01-05,156,23,2,81
2023-01-06,145,28,2,88
2023-01-07,163,21,2,86
2023-01-08,148,31,3,86
2023-01-09,144,32,2,75
2023-01-10,135,26,3,74
2023-01-11,98,26,3,57
2023-01-12,122,-25,5,49
2023-01-13,109,-24,4,58
2023-01-14,119,24,5,67
2023-01-15,152,28,8,79
2023-01-16,146,24,1,79
2023-01-17,119,25,4,61
2023-01-18,122,14,2,60
2023-01-19,108,24,2,55
2023-01-20,87,29,7,54
2023-01-21,127,31,5,66
2023-01-22,131,30,2,69
2023-01-23,101,23,2,48
2023-01-24,110,22,4,52
2023-01-25,131,29,5,61
2023-01-26,97,23,6,51
2023-01-27,105,13,2,67
2023-01-28,100,28,1,56
2023-01-29,129,18,2,58
2023-01-30,85,31,6,55
2023-01-31,104,23,3,56
2023-02-01,109,19,3,59
